location_info,location_href,upload_id,date_text,date_time,date_title,main_text
안면도 아그집,https://www.instagram.com/explore/locations/114562850228333/,cooooool_life,4일 전,2021-08-17T09:54:18.000Z,2021년 8월 17일,"⭕️게국지🧡돈까스⭕️ 안면도에서 그 유명한 게국지‼️ 저는 처음 먹어봤는데 왜이렇게 맛있죠😍💛💛👍

🔴 안면도 맛집 “아!그집” 🔴

❇️ 게국지 세트 2인 7만
- 게국지, 간장게장, 양념게장, 대하장, 공기밥

▫️이번 늦은 여름휴가로 안면도에 가게되어서 들리게된 현지 맛집 아그집‼️이에요ㅋㅋㅋ🧐

▫️안면도 맛집으로 조회하면 게국지가 많이 나와서 궁금했는데 아앗 꽃게가 한가득 들어가고 배추와 함께 끓여주고 새우와 들깨도 들어가서 국물이 찐해요😛💕💕 암튼 너무 맛있었어요🧡🧡

▫️꽃게탕보다 좀더 국물이 찐하다고 생각하는데 정말 꽃게가 아낌없이 들어가네요🧡🧡💕 국물속에서 다리가 계속 나와요..ㅋㅋ😋

▫️꼬마아이를 위한 돈까스 메뉴도 있었는데ㅎㅎ 옛날식 돈까스에 쫀득하고 소스가 맛있어서 어른과 아이 모두 만족할만한 식당이에요🧡🧡👍

❤️ ㅎㅎ 안면도 가시면 꼭 게국지에 소주한잔 필수로 드셔주세요👍❤️❤️❤️

@a_gjip_o3

#안면도맛집 #게국지 #게국지맛집 #돈까스 #태안맛집 #아그집 #안면도맛집추천 #안면도여행 #먹팔 #먹스타맞팔 #간장게장 #새우장"
장안동 어딘가에,https://www.instagram.com/explore/locations/410065702378436/,itsj_skin52gangnam,1일 전,2021-08-20T12:07:40.000Z,2021년 8월 20일,"'장안동 간장게장'맛집
·
아시는분🙋🏽‍♂
·
제 아카데미는 간장게장 성지인
·
강남 신사동이지만
·
10년째 단골집은 장안동
·
저녁 미팅 1:1식사 자리로
·
모셨답니다
·
즐금 되세요 🥰
·
첫번째 맞치시는 인친님께
·
스벅 세트 보내드릴께요
·
잼나는 금요일되세요😉"
,,hojoonnn,8월 12일,2021-08-12T08:26:23.000Z,2021년 8월 12일,"⠀
⠀
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

태안 딴뚝통나무집식당.

게국지로 유명한 집이고 게국지 주문하면 인원수만큼 이 간장게장이 사이드로 나옴.
게국지는 나오기도 전에 이미 2공 상태로 시작하게 돼요.

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
⠀
⠀
⠀
#게장 #간장게장 #게국지 #게국지맛집 #태안맛집 #충남여행 #충청남도맛집 #딴뚝통나무집 #밥도둑 #밥스타그램 #맛집추천 #먹스타 #먹스타맞팔 #맞팔환영 #인친환영 #푸드스타그램 #존맛"
장승마을식당,https://www.instagram.com/explore/locations/414538888908984/,yum_yum._.food,7월 8일,2021-07-08T13:20:03.000Z,2021년 7월 8일,"362.장승마을
.
.
정말 여기는 꼭 먹어봤으면 하는 맛집이다. 사장님이 진짜로 친절하신데, 맛도 진짜로 맛있다. 간장게장이라고 다 똑같지 않다. 퀄리티가 다르다. 꽉찬 알이 고소하다. 짜지도 않고 너무 맛있다. 여긴 단골각이다.


#장승마을 #간장게장 #한식 #대전맛집 #전국맛집 #맛집 #냠냠 #먹스타 #먹팔 #선팔 #맞팔 #먹방 #먹스타그램 #food #foodstagram #먹방스타그램 #먹스타맞팔 #맛집스타그램 #follow #followme #lfl #먹스타 #팔로우 #팔로우미 #팔로미 #팔로우환영 #맞팔해요 #선팔하면맞팔 #먹보 #맞팔환영 #맛스타그램"
마포 진미식당,https://www.instagram.com/explore/locations/246266358/,tinykind_km,5일 전,2021-08-16T11:42:42.000Z,2021년 8월 16일,".
며칠전 형님이랑 간장게장 이야기 하다가 급 예약하고 간 #진미식당
갈 때마다 감동 받는 간장게장. 감태 + 김 + 게장 조합으로 😋

우리 남편 먹기 힘든 음식은 절대 안먹는데 게살 직접 발라 주면
맛있게 먹으니까 게딱지에 비빔밥도 직접 해드림. 좋은거 먹이고 싶은 내 마음

+ 오빤 전생에 나라를 구했니🤣
#마포#간장게장#진미식당"
,,mukbang.sg,4일 전,2021-08-18T05:03:12.000Z,2021년 8월 18일,"Thank you for the overwhelming response 𝗚𝗲𝗯𝗮𝗻𝗴 𝗥𝗲𝘀𝘁𝗮𝘂𝗿𝗮𝗻𝘁 𝗦𝗼𝘆 𝗦𝗮𝘂𝗰𝗲 𝗠𝗮𝗿𝗶𝗻𝗮𝘁𝗲𝗱 𝗖𝗿𝗮𝗯𝘀! 😚⁠
⠀⁠
Your continuous support for our curation means alot to us! This pushes us to work even harder to bring in better food for you each time! 🥰⁠
⠀⁠
🦀 Comment down below if you would like us to open PRE-ORDER for Ganjang Gejang next Tuesday!⁠
⠀⁠
#mukbang #mukbangsg #mukbangmart #kfood #koreanlifestyle #koreanfood #ganjanggejang #간장게장 #soymarinatedcrab #crab #michellinguideseoul #gebangrestaurant #gebangsikdang⁠"
봉순게장,https://www.instagram.com/explore/locations/108943373972089/,sul_linnii,1일 전,2021-08-21T01:36:53.000Z,2021년 8월 21일,"고모가 포장해다주신 #봉순게장
간장게장 비리다고 싫어하던 친구도 밥+간장게장+날치알+김기루+참기름 조합 너무 잘먹더라구요 ㅋㅋㅋ 나 간장게장 좋아하네.라고 하며 저보다 잘먹었다는....

#게장맛집 #게장 #간장게장 #양념게장 #물왕리 #먹스타그램 #맛스타그램 #먹팔 #먹스타 #먹팔환영 #맛스타 #먹스타맞팔 #먹부림 #푸드 #맞팔 #맞팔해요 #맞팔환영 #선팔하면맞팔 #맞팔선팔환영 #맞팔은댓 #먹팔해요 #foodstagram #dailyfood #instafood #food"
,,simhyeonug71,8월 3일,2021-08-02T20:06:25.000Z,2021년 8월 3일,"가맹비가 정말 저렴하다는 야한게장 !

최근 창업을 준비해보고 싶어서 여기저기 알아보는데 ,
프랜차이즈인데도 불구하고 가맹비가 정말 저렴해서 놀람!

음식도 크게 손질할 필요도 없고, 또 제일 중요한건
판매해야할 식품들 모두 다 HACCP 인증된거라 마음이 놓인당
다시 한번 상담문의 해봐야지~~

#소자본창업 #야한게장 #샵인샵 #간장게장 #간장게장체인점 #간장게장프랜차이즈
#수원맛집 #수원영통맛집 #영통맛집 #소자본창업아이템#좋아요반사#좋아요늘리기#좋아요팔로우#소통해요"
South Korea,https://www.instagram.com/explore/locations/215622513/south-korea/,aronghykim,1일 전,2021-08-21T04:21:36.000Z,2021년 8월 21일,"외갓집

#🇰🇷 #koreanfood #시골밥상 #간장게장"
,,tyrose.k,5분 전,2021-08-22T05:16:58.000Z,2021년 8월 22일,"동생이 먹고 싶다는 것들을 한 번에 해결.
나는 일요일 식사를 한 번에 끝낸 듯 했다.

#집근처_프랜차이드
#유일한패밀리레스토랑
#간장게장&새우장
#괜찮았음
#쿠우쿠우은계점
#가까워좋네
#오늘도_잘"
