location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,theeasychan,2020년 1월 21일,2020-01-21T02:33:12.000Z,2020년 1월 21일,"명절이 코앞인데 명절 음식 말고
매콤한 밥반찬 생각나는 건 저만 그런가요?😋
오늘은 보글 보글 감자짜글이 끓여 봤어요.
이게이게 완전 밥 두공기 각이예요👍🏻
그냥 재료 넣고 보글 보글 끓여 졸이면 끝인데
뭐가 이렇게 맛있을까요? 백종원 선생님 레시피 기반으로
만들었는데 간장 양 줄이고 진참치액 넣고 해봤는데 ⠀
진짜.. 백종원 선생님한테 진참치액 한번 써보시라고
소개좀 하고 싶은 맛이예요. 😝 ⠀
⠀
오리지널 레시피에 진참치액을 넣어서 맛이 업그레이드 되는 이유는 진참치액에 들어있는 🐟참치농축액, 버섯, 멸치, 양파, 무 액기스 등으로 인해 자연 재료의 감칠맛이 훨씬 더 살아나기
때문인것 같아요. 기본 재료 구성 자체가 한식 요리 어디에
넣어도 두루 잘 어울리고 자연스러운 감칠맛을
올려주기 때문에 음식 많이 하는 명절에
없어서는 안될 필수템이예요.
오늘이 명절전 🚚마지막 배송인거 아시죠?
명절 음식맛을 업그레이드 시켜줄 진참치액
오늘 꼭 주문해 보세요!!
⠀
<감자 짜글이 #백종원레시피 feat. 진참치액>
1. 감자 중간 사이즈 2개 길쭉하게 썰어 준비.
2. 양파 소 사이즈 한개를 비슷한 크기로 썰어 준비 (전, 양파가 부족해서 반개만 넣었는데 1개 넣어주셔도 좋을 것 같아요.)
3. 대파 한대와 청양고추 2~3개 쫑쫑 썰어 준비.
4. 저염 스팸 200g(작은 사이즈) 한 캔을 모두 으깨서 준비
5. 팬 아래에 감자, 양파, 스팸, 대파, 청양고추 순으로 올리고 양념장과 물 700ml 넣고 끓인다.
양념장 : 진참치액, 진간장 or 양조간장, 고춧가루 각 2T,
진고추장, 다진마늘, 설탕 각1T / 진된장 0.5T
6. 감자가 익을때까지 뚜껑 열고 졸이듯이 바글바글 끓여준다.
⠀ ⠀
Recipe
⠀
1. Cut 2 medium-size potatoes into long slices.
2. Cut 1 small-size onion into long slices. (As for me, onion is not good enough, so I’ve only got half, but you could put one onion)
3. Chop 1 green onion and 2-3 spicy red peppers.
4. Crush 200 grams of low-salt spam (one can of small size).
5. Place potatoes, onions, spam, green onion, and spicy red peppers in the pan in order and add sauce and 700ml water, and then bring it to a boil.
Sauce : 2T of Jin Chamchi sauce, thick soy sauce or brewed soy sauce and red chili powder for each one, 1T of Jin Gochujang (red pepper paste), minced garlic and sugar for each one/0.5T Jin Doenjang (soy bean paste)
6. Until the potatoes (are) cooked through, open the lid and bring it to a simmer.
⠀
⠀
🚚오늘(21일) 오후 3시까지 주문해주셔야 설 전에 받아보실 수 있어요~!
이후 주문건 부터는 28일부터 순차적으로 발송됩니다.
• 궁금한점 댓글,DM 주세요~^^"
,,feed___food,7월 4일,2021-07-04T09:55:46.000Z,2021년 7월 4일,"[피드푸드 레시피-별4점]
.
감자짜글이를 만들어보았다!
.
백종원의 맛남의 광장 보고 만들어 본 레시피인데 중독성이 엄청나다..! 짭짤해서 흰 밥을 부르네 ㅜ 맵찔이라면 청양고추를 조금만 넣어 줘ㅎㅎ

1.감자 2개,양파 반개,대파 1대,청양고추 3개를 썰어준다!(손질 된 대파가 아니라면 2분의 1대를 사용)
2.스팸 한개를 비닐봉지에 넣고 으깬다.
3.재료가 잠길 정도로 물을 넣고 설탕 반스푼
4.고춧가루 2스푼,된장 반스푼,다진마늘 1큰술,고추장 1큰술,진간장4스푼 넣기
5.피드는 당면도 넣어줬다!(떡 사리도 맛있어)
6.자작하게 끓여주면 끝!

🍯재료정보
-감자
-양파
-대파
-고추
-된장
-고추장
-다진마늘
-설탕
-스팸
-간장
-고춧가루

#피드푸드 #맛남의광장 #감자짜글이 #피드_레시피"
,,especially00,7월 23일,2021-07-23T08:51:12.000Z,2021년 7월 23일,"송스방 저녁상 🥰

오늘은 있던 반찬 꺼내고 짜글이만 ☺️
감자 썰어 깔고 두부랑 스팸 넣어서
짜글이를 끓였다 😘
평소엔 스팸을 으깨 넣었는데 오늘은 썰어 넣기 😊
있던 반찬줘도 잘먹어줘서 고마워
이번주 야간 마지막날까지 조심히 🤗
2주연속 야간 수고했어 서아아빠 👍

#저녁밥상 #신랑밥상 #남달리밥상 #스팸요리 #두부요리 #스팸 #스팸두부감자짜글이 #스팸짜글이 #두부짜글이 #감자짜글이 #짜글이 #럽스타그램 #연상연하부부 #네살차이 #육아맘"
,,shinjjang_g1,2020년 12월 29일,2020-12-29T02:55:55.000Z,2020년 12월 29일,"#신짱키친 @so_delicious__ __
🔥스팸 감자짜글이

집에 스팸이랑 감자 있길래
만들어 먹어봤다눙,,

스팸은 영상처럼 저리 많이 으깨면
참치찌개처럼 만들어 지니깐

적당히 으깨서 사용하세요!
그래야 씹는맛도 있고 맛있습니다~

물은 400ml정도 넣었습니다!
다시다는 마지막에 약간만!

#감자짜글이 #스팸짜글이 #스팸찌개
#밥도둑 #술도둑 #밥두그릇 #집밥레시피
#요리레시피 #요리동영상 #cookingvideos
#foodvideos #recipevideo #집밥스타그램
#자취요리 #자취음식 #한끼식사 #요리유튜버
#요리하는남자 #간단한요리 #간편요리"
,,theeasychan,1월 22일,2021-01-22T08:40:54.000Z,2021년 1월 22일,"오늘은 초간단 찌개 요리 알려드려요.
재료도 레시피도 간단한데 맛은 정말 보장해드려요!!!
스팸을 으깨 넣은 것이 포인트에요.
얼큰한 국물 떠서 밥에 슥슥 비벼서😋
짭짤한 스팸 올려 먹으면.. 밥 두공기는 뚝딱.
다른 반찬 다 필요없는 맛이에요👍👍👍
⠀
<#더쉬운레시피_스팸 감자짜글이>
1. 감자 2개를 적당한 크기로 썰고, 양파, 대파, 청양고추, 홍고추도 썰어준다.
2. 저염 스팸 작은 사이즈 1캔을 비닐 봉지에 넣고 으깨준다.
3. 냄비에 감자, 양파 스팸을 올려주고 설탕 1T, 고추장 1T, 진참치액 1.5T, 고춧가루 2T, 된장 0.5T 넣고 물 500ml 넣어푹 끓인다. (단맛이 싫으시면 설탕 양 줄여주세요)
4. 다진마늘 1T 넣고 감자가 익을때까지 좀더 끓이다가 대파, 청양고추, 홍고추 넣고 섞어서 살짝 더 끓여주면 완성.
* The English recipe is in the comments.
⠀
🍎 샌드위치와 함께 소백산 사과즙
마시면서 비타민까지 챙겨보세요~
1. 24(일)까지 사과즙 공구중입니다.
⠀
📍더쉬운찬 @theeasychan 프로필링크
클릭하시면 구매 가능합니다~
⠀오늘은 초간단 찌개 요리 알려드려요.
재료도 레시피도 간단한데 맛은 정말 보장해드려요!!!
스팸을 으깨 넣은 것이 포인트에요.
얼큰한 국물 떠서 밥에 슥슥 비벼서😋
짭짤한 스팸 올려 먹으면.. 밥 두공기는 뚝딱.
다른 반찬 다 필요없는 맛이에요👍👍👍
⠀
<#더쉬운레시피_스팸감자짜글이>
1. 감자 2개를 적당한 크기로 썰고, 양파, 대파, 청양고추, 홍고추도 썰어준다.
2. 저염 스팸 작은 사이즈 1캔을 비닐 봉지에 넣고 으깨준다.
3. 냄비에 감자, 양파 스팸을 올려주고 설탕 1T, 고추장 1T, 진참치액 1.5T, 고춧가루 2T, 된장 0.5T 넣고 물 500ml 넣어푹 끓인다. (단맛이 싫으시면 설탕 양 줄여주세요)
4. 다진마늘 1T 넣고 감자가 익을때까지 좀더 끓이다가 대파, 청양고추, 홍고추 넣고 섞어서 살짝 더 끓여주면 완성.
* The English recipe is in the comments.
⠀
🍎 샌드위치와 함께 소백산 사과즙
마시면서 비타민까지 챙겨보세요~
1. 24(일)까지 사과즙 공구중입니다.
⠀
📍더쉬운찬 @theeasychan 프로필링크
클릭하시면 구매 가능합니다~
⠀"
,,lsoui_,7월 28일,2021-07-28T12:04:40.000Z,2021년 7월 28일,"🥔감자짜글이(Spicy Potato Stew)
백종원님 유튜브 보고 만든 감자짜글이! 재료도 간단하고 만드는 방법도 쉽지만 맛은 굳!👍🏻👍🏻 역시 한식이 최고얌,,⭐️

저는 기존 레시피에 액젓, 치킨스톡을 추가해줬어요!"
,,y.jjjeong0409,2020년 4월 6일,2020-04-06T13:14:13.000Z,2020년 4월 6일,"오늘의 밥상 🥘 #제육볶음#감자짜글이
.
.
.
#오늘의밥상#저녁#저녁메뉴#집밥#요리스타그램#신혼밥상#백종원레시피#감자요리#육퇴#👶😪#foodstagram#onthetable"
Jeju-do,https://www.instagram.com/explore/locations/572266130/jeju-do/,queen_story_sunny,1월 22일,2021-01-22T12:07:33.000Z,2021년 1월 22일,"#감자짜글이 #초간단요리
밥 두공기🍚🍚 뚝딱~😋🤭
.
.
볼일보다보니 저녁식사 시간은 다됐는데...
요리할시간은 없구~🙈
진짜 간단하지만 밥도둑인~ㅎㅎ

#감자스팸짜글이
#백파더레시피
.
.
[재료]
스팸 1개, 감자 2개, 양파 (중간크기) 1개,
대파 1단, 청양고추 2~3개

👉 햄의 종류에따라 염분함량이 조금씩 달라서~
스팸 저염을 사용하시는 경우 큰거 한통~!!
스팸 오리지널은 작은것(200g짜리) 넣고 간이랑 양을보면서 추가하시면 될것같아요~~~^^

그외 리챔...등 다른 햄을 사용하실 경우에도 간을 보면서 맞춰주세요~~~🤗

[양념]
간장 4T, 된장 1/2T, 고추장 1T, 설탕 1T,
고춧가루 2T, 다진마늘 1T, 물 700ml

📍감자, 양파 채썰기 - 대파, 청양고추 어슷썰기 - 스팸은 비닐에 넣어 으깨주기

📍 대팬에 양파, 감자, 스팸, 대파, 청양고추를 순서대로 넣어주고 양념을 넣어

쎈불에서 끓여주다 수봉현상이 생기면 뚜껑을 열어 중불로 줄여 졸이면서 끓여주세요~

📍감자가 으깨질때까지 푹~ 끓여줘야 더 맛있어용~^^👏👏👏
.
.
추적추적 비가내리는 오늘~☔🌧
더 잘어울리는 맛이네요~ㅎㅎ
.
.
#퀸요리 #간단요리
#프라이팬으로_쿠키만들기
#프라이팬으로_케익만들기

#노오븐베이킹 #홈베이킹 #QueenCook #homebaking #노오븐디저트

#퀸쿡 #암웨이퀸 #AmwayQueen #퀸요리 #퀸베이킹 #손님상 #디저트 #먹스타
#홈쿡 #집밥"
청학동 (인천),https://www.instagram.com/explore/locations/614368395284722/,ysbs112,2020년 11월 30일,2020-11-30T10:14:17.000Z,2020년 11월 30일,"#첫줄안녕
#평일 #저녁
#저녁메뉴 는
#백종원레시피 #감자짜글이 🍲
#배추전 #감자볶음 #닭가슴살볶음
#반찬 들과 함께~#백종원 아저씨꺼
따라서 #스팸 참치 감자짜글이를 해서
먹었는데 아들이 너무 맛있다고 하네요
역시 백종원 아저씨껀 따라만 해도
중간은 가요 ㅎㅎ 💁‍♀️💁‍♀️
다들 #맛저 하세요💕💕🙌"
,,misug0935,11시간 전,2021-08-06T15:05:39.000Z,2021년 8월 7일,"감자짜글이 🍲
빽햄감자짜글이
8월 6일 저녁메뉴

밥에 비벼먹어도 👍
김이나 야채쌈 먹어도 👍
.
.
.
.
.
#감자짜글이 🥘
#빽햄감자짜글이 #백종원감자짜글이
#백종원레시피👍 #맛남의광장레시피
#밥반찬추천 #술안주
#일상기록✍🏻"
