location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,shinshines12,5월 8일,2021-05-08T13:51:17.000Z,2021년 5월 8일,"미세먼지에도 먹는건 못참겠어요~
불토를 나름 즐겨봅시다~👍

#푸드스타그램 #먹스타 #먹스타그램 #불토❤️ #피자스쿨🍕 #피자스타그램🍕 #피자스타그램 #고르곤졸라피자 #불토를즐기자 #혼피🍕 #미세먼지에도 #만원의행복"
IKEA 고양,https://www.instagram.com/explore/locations/370106596757066/ikea/,god.oc,4월 11일,2021-04-11T08:34:38.000Z,2021년 4월 11일,"산책 나왔는데 덥더라...
시원한 생맥주가 땡겨 갑자기 들어온 곳.
일요일 산책 중 이곳도 코스로 넣어야지.

#고독간미식당 #더페스타 #thefesta #생맥주 #고르곤졸라피자 #마르게리따피자 #피맥맛집 #피맥 #동네한바퀴 #맛집 #동네맛집 #동네마실 #동네술집 #이케아 #창릉천 #고양시 #고양시맛집 #도래울마을 #도래울 #착한가격 #고독형 #피자맛집 #우리동네 #착한식당 #gorgonzola #pizza #margherita #margheritapizza #beer #italianfood"
,,wgf00dg00d,5월 21일,2021-05-21T04:03:05.000Z,2021년 5월 21일,"#고르곤졸라피자 #꿀에찍어서
#달달한시간 ~~
.
.
.
.
.
.
#선팔맞팔#선팔#맞팔#맞팔해요#좋반#좋테#좋아요반사#테러반사#인친환영#인친해요#맞팔선팔환영
#먹팔 #먹팔환영 #먹팔해요"
미스터최 스파게티,https://www.instagram.com/explore/locations/942726093/,gyugyus,3월 25일,2021-03-25T13:26:35.000Z,2021년 3월 25일,"미국식 재료소진으로 인한 분노로
먹게된 두번째 저녁🔥🔥

내방역에서 수영할때 자주가던
최애 피자 파스타집🍕🍝

#미스터최스파게티
#내방역맛집 #내방역피자
#오일파스타 #치즈오븐스파게티
#고르곤졸라피자"
아다지오,https://www.instagram.com/explore/locations/1905228743093101/,serie_maro,3월 2일,2021-03-02T12:40:14.000Z,2021년 3월 2일,"👻#아다지오 👻
#카페 #스파게티 #파스타전문점

#고르곤졸라피자 👈🏻13,000원
피자도우는 얇고 치즈는 듬뿍들어있고 여기에 꿀찍어서 입에 쏙💗
담백하면서 꿀의 달달함🥰
위에 아몬드가 뿌려져있어 씹히는 식감도 들고 완전 맛있어👍🏻

#단호박주스 👈🏻 7,000원
어?? 단호박이 아니라 고구마맛은 무엇?? 건강해지는 맛이예욧~!

#자몽차 👈🏻 5,500원
자몽2개 동동~
자몽 알갱이를 씹으면 입언에서 퍼지는 달달함😁

📍가게 내부는 아담하고 숨은 테이블이 많아요~ 밖이 확 트여있어서 한눈에 바다가 보이고 덕동 방파제도 보여요~ 주차는 넓지는 않은데 그래도 양호한 편이였어요(초보자✖️)

📋위치📋

경남 창원시 마산합포구 덕동동 133"
,,mimi.3214,2월 9일,2021-02-09T08:31:38.000Z,2021년 2월 9일,"깔끔한 화덕피자 라라코스트~♡
.
.
.
#라라코스트 #라라코스트범물점 #고르곤졸라피자 #마르게리따피자 #하프앤하프피자 #내돈내산 #화덕피자 #지산동맛집 #범물동맛집 #피자맛집 #피자 #피자스타그램 #대구맛집 #대구먹방 #먹스타그램 #맛스타그램 #먹방스타그램 #일상 #소통 #데일리 #미미_대구"
건대민벅MinBurg - 민벅,https://www.instagram.com/explore/locations/693134447407322/minburg-/,sosohan8,2020년 11월 2일,2020-11-02T03:56:25.000Z,2020년 11월 2일,🧀🐂🦐🍝🍕
수성못 (Suseong Lake),https://www.instagram.com/explore/locations/320332602080818/suseong-lake/,smari781016,5월 18일,2021-05-17T20:33:11.000Z,2021년 5월 18일,"사진은 흔들려야 제맛~~^^
가끔 한번씩 정말 먹고 싶은 #생맥 #고르곤졸라피자
그리고 가끔 봐야 좋은 #내아들
#요즘은가끔도안놀아주는중딩시끼"
혜화 돌쇠아저씨네,https://www.instagram.com/explore/locations/1397925/,rosie_mukstar20,2020년 11월 7일,2020-11-06T16:45:50.000Z,2020년 11월 7일,"☁️혜화 돌쇠아저씨☁️
⠀
✏️ 서울 종로구 대학로 129-8 (혜화역)
⠀
✏️ 매일 12:00 - 21:00 매주 월요일 휴무
⠀
✏️ 돌쇠세트 18900원 (고르곤졸라피자+김치볶음밥+콩나물라면+아이스크림)
⠀
✏️ 제 기준 고르곤졸라 제일 잘하는 집이에요💯 얇은 고르곤졸라 피자가 아니라 바삭한 도우에 치즈가 가득 있어서 무게감이 꽤 있어요👍 흘러내리는 치즈에 꿀 찍어서 먹는게 진짜 대박인 집이에요! 언제 올리지 하다가 급 생각나서 올려봅니다!이 가게는 조합이 진짜 많은데 고르곤졸라+김치볶음밥 조합을 제일 추천드려요! 가격도 저렴하고 피자,볶음밥 둘 다 확실히 맛있다고 추천드릴 수 있어요💯❤️ 게다가 콩나물 신라면이 서비스로 나오니까 느끼할 틈이 없어요😉 저는 너무 배불러서 아이스크림을 까먹었지만 원래는 후식으로 아이스크림까지 드실 수 있어요 🤍😄
⠀
⠀
#서울맛집 #혜화역맛집 #혜화맛집 #대학로맛집 #낙산공원맛집 #맛집추천 #혜화돌쇠아저씨 #혜화돌쇠아저씨네 #돌쇠아저씨 #돌쇠아저씨네 #먹스타맞팔 #먹팔 #돌쇠세트 #피자맛집 #고르곤졸라피자"
,,wons_dish_of_the_day,20분 전,2021-07-31T11:00:27.000Z,2021년 7월 31일,"오늘 점심

#고르곤졸라피자 #목살스테이크 #명란크림파스타 #샐러드 #버섯필라프

냠냠냠냠 배부름"
,,shao_rong_lovely,28분 전,2021-07-31T10:52:58.000Z,2021년 7월 31일,"토요일 점심메뉴~ 적당한 양만 맛있게 냠냠😚😊 손님없는 시간공략
.
.
.
#동생부부와함께 #늦은점심 #부평나들이 #왓더포크 #오랜만에파스타 #알리오올리오
#고르곤졸라피자 #새우필라프"
,,weejungyun,40분 전,2021-07-31T10:41:10.000Z,2021년 7월 31일,"저녁 불향쭈꾸미 고르곤졸라피자 셋트 맛은 그럭저럭 먼가 딱 맛있진않네
#저녁 #먹스타그램 #먹방 #쭈꾸미 #고르곤졸라피자"
,,vivhouse1,52분 전,2021-07-31T10:29:17.000Z,2021년 7월 31일,"#업체피자의뢰
#천연발효피자 #샘플링
#고르곤졸라피자
#블루치즈
#모짜렐라치즈
#문문베이커리
#거제빵집
#지세포빵집"
,,eunji__085,58분 전,2021-07-31T10:23:46.000Z,2021년 7월 31일,"#속초댁
#바람쐬기좋은곳
#고성카페 #고성카페추천
#천진해변맛집 #소울브릿지 #바다뷰카페
#커피맛집 #베이커리맛집 #브런치맛집
#뷰맛집 #포토존맛집 #피자맛집 #파스타맛집
#마르게리따피자 #고르곤졸라피자 #jmt"
,,w_hyerwang,1시간 전,2021-07-31T10:13:38.000Z,2021년 7월 31일,"오늘은 일찍 퇴근해서 기분이 너무 좋다~!
오랜만에 피자 포장 주문이 왔는데 피자는 포장을 하면 더 크게 못만들어서 많이 아쉽다 ㅠㅠ 😭 오늘 메론스무디가 너무 이쁘게만들어져서 행복했답 🥸😎
.
.
.
.
.
#치아바타샌드위치 #쿠바샌드위치 #아메리카노 #아아 #제주흑돼지쉬림프피자 #불고기피자🍕 #고르곤졸라피자 #마르게리따피자 #반반피자 #메론스무디 #메론스무디🍈 #생메론 #부산 #부산카페 #부산하바나 #하바나 #havana #알바생의하루 #❤️"
,,jaeun.fit,1시간 전,2021-07-31T10:12:43.000Z,2021년 7월 31일,"21.07.31(토)
뭐했다고 벌써 7월 마지막인지 ,, 세월이 야숙해 ,,

운동은 패스 했쥐만 기똥차게(?) 배타고 낚시도 하고 낚은 🐟로 #회덮밥
담백한게 즘트.... ❤️❤️
저녁은 @jadamchicken_official #맵슐랭치킨 마일드는 너무 안매운디 ..
#고르곤졸라피자 묵음 ‼️

와랄라 먹었지만 그나름 맛있고 뿌듯했던날✨✨"
,,jihoon.j.kim,1시간 전,2021-07-31T10:09:08.000Z,2021년 7월 31일,"엄니랑 간만에 동부산롯데아울렛 쇼핑
주말인데도 사람도 별로없네
한바퀴돌고 밥도묵고 조으네

#기장아울렛#기장아울렛맛집#동부산아울렛#동부산아울렛맛집#롯데몰동부산#롯데몰동부산맛집#롯데아울렛동부산#주말쇼핑#오말리#까르보나라#고르곤졸라피자#맛있네##"
"Yeonhui-dong, Seoul",https://www.instagram.com/explore/locations/105557709476811/yeonhui-dong-seoul/,yuksik_yeonhui,1시간 전,2021-07-31T10:06:34.000Z,2021년 7월 31일,"쉬림프 팟스타 1.2
고르곤졸라 핏자 1.3
가성비 좋은 선택 ~!
#일스타그램 #먹스타그램 #고르곤졸라피자 #쉬림프 #연희동맛집 #연희동데이트추천 #연희동육식"
군산 서가앤쿡,https://www.instagram.com/explore/locations/521910892/,ji._.min0306,1시간 전,2021-07-31T09:48:58.000Z,2021년 7월 31일,"오늘도 배부르게 먹었네..😋😌
•
•
•
•
•
#군산#서가앤쿡#군산수송동#군산맛집#목살스테이크#까르보나라#새우볶음밥#고르곤졸라피자#베이컨까보나라"
명지국제 호반베르디움 2차,https://www.instagram.com/explore/locations/1303063026486315/2/,hyeonyong0716,2시간 전,2021-07-31T08:40:52.000Z,2021년 7월 31일,"#명지맛집🍴 #주말점심🍴 #고르곤졸라피자 #토마토스파게티 #아빠쉐프👨‍🍳 #아빠스타그램👦🏻 #일상 ##일상스타그램💕 #아들딸그램👦🏻👧🏻♥️
오늘 점심은 또띠아 고르곤졸라피자와 토마토 스파게티~~^^
고르곤졸라 피자 괜찮네~~!!^^ㅋㅋ"
,,onez2013,2시간 전,2021-07-31T08:35:57.000Z,2021년 7월 31일,#그린하우스 #창원빵집 #베이커리 #고르곤졸라피자 #오랫만에왔는데😔 #하드계열빵이읍다😭 #창원도계동 #브런치카페 #시오빵맛있답
,,oreoooreoo,2시간 전,2021-07-31T08:29:59.000Z,2021년 7월 31일,#큐원 #비스킷믹스플레인 #비스킷믹스크림치즈 #비스킷믹스버터갈릭#멜론빙수 #파인애플주스 #치즈호떡믹스 #고르곤졸라피자 #홈술 #상쾌환
,,parkyire,2시간 전,2021-07-31T08:26:17.000Z,2021년 7월 31일,#커플세트 #고르곤졸라피자 #왕돈가스 #빠네크림스파게티 #아들과데이트 #돈까스클럽 #먹스타그램 #맛있다그램
롯데백화점 영등포점,https://www.instagram.com/explore/locations/2107672966118113/,szi_piggy,3시간 전,2021-07-31T08:05:30.000Z,2021년 7월 31일,"더플레이스 🍕🍝

꾸덕꾸덕 까르보파스타 🧀
고르곤, 마르게리따 피자 🍕
리코타 샐러드 🥗
딸기청 에이드 🍓

너무맛이쏘슴,,🤍"
,,yangjiu3099,3시간 전,2021-07-31T07:34:11.000Z,2021년 7월 31일,"77ㅑ!비래키키 왔당! @bak.gyurin_10 랑 ㅋㅋㅋ 노느라 사진을 이거 밖에 못찍음;;ㅋㅋ
#비래키키 #고르곤졸라피자#까르보나라스파게티#@bak.gyurin_10"
,,100hyo100,3시간 전,2021-07-31T07:33:13.000Z,2021년 7월 31일,"😋GoPizza 스리라차 슈프림피자
큰어른은 스리라차슈프림
아이들은 고르곤졸라 피자
난 냄새만 맏고ㅋㅋ
1인피자라서 큰거 한판씩 안시켜도 되서 좋음

#산동고피자 #확장단지고피자 #gopizza #산동피자 #산동맛집 #1인피자#스리라차슈프림 #고르곤졸라피자 #확장단지맛집 #확장단지맛집"
