location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,and_the_table,2020년 9월 18일,2020-09-18T02:18:57.000Z,2020년 9월 18일,"코로나 여파로 이번주부터 3분의 1개학 시작...
초등학교 1학년 큰 아들 하교 후 할머니랑 맛있게 먹으라고 아침부터 지글지글 굴비구이 준비~

어릴 적, 몸이 약해 한 달에 2번씩 입원하던 녀석이...
지금은 키 136cm에 몸무게 33kg,,,🤗

사람들이 묻는다.
어쩜 저리 건강하게 잘 컸냐고~
시중에 파는 군것질거리며 배달음식 모른척하고,
지극정성 사시사철 좋은 신선한 음식, 제철음식 검색해가며 산지직송으로 먹여 키웠다.
😂😂😂

그 덕분인지 감기한번 안걸리고 편식없이 쑥쑥 잘도 크네~~😍

오늘은 어릴적 돌 지나고부터 즐겨먹던 #굴비구이!!
맛있게 먹으렴♡

#굴비#법성포#영광#찐보리#택배맛집#산지직송#농산물#수산물#반찬#레시피#밥도둑#술안주#먹방#혼술#가족모임#소모임#대모임#추석#명절#선물"
,,oneul__table,6월 23일,2021-06-23T12:17:13.000Z,2021년 6월 23일,"오늘의식탁
굴비구이
문어초회
불고기
.
사위가 늦게 퇴근 인데다 단지내 공사로 온수가 나오지 않아
다미맘이 와서 함께 저녁을 하였다
.
엊저녁 저녁준비를 거의 해놨는데 나가 먹는 바람에 크게 준비 하지 않아도 푸짐한 저녁상이 되었다
.
퇴근한 아들도 다미를 보고 어찌 반가워 하는지
집안에 화색이 돈다
저녁준비 하는 주방을 왔다갔다 하며 문어 하나만 먹어도 되요??""""
딸 아들이 번갈아 가며 묻더니
사진 찍을때 보니~ㅋㅋㅋㅋ
.
입맛이 없으시다고 아버님은 매일 노래를 부르신다
식사양은 크게 줄지 않아 이젠 그런 소릴 들어도 한 귀로 듣고 한 귀로 흘리려 한다~~하면서도
장 볼때면 뭐가 없을까 하고 몇바퀴를 돈다
오랫만에 알배기굴비를 들였다
역시
입맛 없을땐 굴비였던가~😆
너무 잘 드신다
.
시끌벅적하게 저녁을 먹고
다미는 목욕을 하고
다미네 데려다 주고
해가 길어져서 시간이 이리 된줄도 모르게 한바탕을 치룬 저녁시간이다
.
.
문의도 많고
오랫동안 기다려주신
테이블매트❗️❗️
6.25(금)-27(일) 3일간 공구 예정입니다
이벤트도 함께 진행 할 예정이오니 많은 관심 부탁드릴게요
계속 문의 주시면서 오랜시간 기다려주셔서 감사합니다
좋은가격과 이벤트 선물로 보답하겠습니다🙏🙏🙏
.
.
.
.
.
.
.
.
.
.
.
.

#집밥#집밥스타그램#온더테이블#플레이팅#요리스타그램#푸드스타그램#식단공유#요리#쿡스타그램#예쁜그릇#도자기그릇#밥상#홈쿡#홈메이드#요리하는여자#오늘의식탁#오늘테이블#굴비구이#문어초회
#불고기"
Songdo International Business District,https://www.instagram.com/explore/locations/4199826/songdo-international-business-district/,jungyeosa,2020년 10월 8일,2020-10-08T02:22:45.000Z,2020년 10월 8일,"_ 💕
.
#아침밥
.
.
따끈하게 #어묵탕🍢 끓이고
자그만 #굴비🐟 기름에 굽굽
#호박🎃 새우젓에 볶아볶아
있는 밑반찬과 함께 차려낸 #아침밥상
.
.
.
.
.
.
.
.
.
#일상 #집밥 #아침 #밥상 #주부의일상 #밥상이야기
#굴비 #굴비구이 #가지무침 #호박볶음 #둥근호박
#호박 #콩나물무침 #시금치무침 #건새우마늘쫑볶음
#조기 #어묵탕 #부추오이무침 #오이무침 #건새우볶음
#홈쿡스타그램 #요리스타그램 #밥상스타그램"
,,yookyung_0918,6월 5일,2021-06-05T01:06:24.000Z,2021년 6월 5일,"2021.6.5 아침
.
.
.
#아침밥 #주말아침 #콩비지찌개 #굴비구이 #아이식단 #집밥스타그램 #한식스타그램 #엄마표요리 #홈쿡 #맛스타그램 #먹스타그램 #먹팔 #온더테이블 #플레이팅 #삼남매네집🏡 #식단기록✍🏻 #주말일상 #주부스타그램 #그릇스타그램 #요리스타그램 #건강밥상 #냐미냐미😋 #행복한주말되세요💕"
,,ejskitchen1004,2020년 12월 16일,2020-12-16T02:03:18.000Z,2020년 12월 16일,".
계속되는 냉파모드로 오늘 아침엔 샐마 1쿼터 냄비에 콩밥 짓고 냉동실에 재어둔 불고기 꺼내 뚝배기 불고기 했어요~
.
등갈비조림 국물 남겨둔걸로 떡국떡 넣고 떡찜처럼 해줬구요
굴비 한마리 꺼내 구웠어요~
.
딸기랑 루꼴라 넣고 샐러드 해서 #메종드율 #대파드레싱
이랑 같이 냈어요~
.
어제 해 놓은 시골두부조림, 취나물 냈고 김장김치 올려줬어요
.
차리고 보니 전체 색감이 왜이리 우중충한지...😂
.
오늘도 여전히 추운 날씨에 좋은 소식이라곤 없지만...
그래도 일상에서 소소한 행복들 찾으면
오늘 하루도 잘 버텨 보아요 우리~🤗
.
#남편을위한아침상 #아침밥상 #콩밥 #뚝배기불고기 #굴비구이 #시골두부조림 #떡찜 #딸기샐러드 #취나물 #김장김치 #문도방 #문도방그릇 #집밥 #한식상차림 #한식플레이팅"
보리굴비,https://www.instagram.com/explore/locations/1921473881470304/,jmttgr,2020년 1월 20일,2020-01-20T08:47:00.000Z,2020년 1월 20일,"❤️여의도에 위치한 #무끼 ❤️
보리굴비 먹을 때마다 가는 무끼!
갓 지은 따끈한 돌솥밥에 보리굴비 하나 올리고 명란젓 올려서 먹으면 조합 끝장나요🥺
솔직히 생선은 가시 발라먹기 귀찮아서 잘 안먹게 되는데 보라굴비는 잔 가시 없이 다 발라져 나와 넘 편하고 먹는데 끊기지? 않아서 넘 좋아요^^ 발라먹다가 흐름 끊김 안되잖아요?^^
오늘도 잘먹었습니다🐟
✨주문메뉴 및 가격
영광법성포 보리굴비 1인(2.8)
⠀⠀⠀
⠀⠀⠀
#여의도무끼 #여의도맛집 #여의도무끼 #여의도한식 #여의도보리굴비 #보리굴비 #보리굴비정식 #굴비 #굴비구이 #명란젓 #먹스타맞팔환영 #먹스타그램꿈나무 #먹스타맞팔 #jmttgr_여의도"
,,ejskitchen1004,2020년 12월 30일,2020-12-30T01:36:21.000Z,2020년 12월 30일,".
오늘 아침엔 남편 지인분이 선물해주신
목장원 곰탕 하나 꺼내 데워 올렸어요~
.
마지막 남은 굴비도 구워 올렸구요~
.
#그레이스쌤레시피 로 연근샐러드 만들어 냈구요~
.
고장초 남은 걸로는 새우 데쳐 함께 넣고 #지원쌤레시피 로
#잣겨자소스 만들어 해초냉채 해서 냈어요~
.
올만에 곱창김 구워 달래장과 함께 냈어요~
저는 달래장 #여나테이블 #근사한솥밥 에 나와 있는
달래장에 고추가루만 빼고 만들었는데
책 있으신 분 만들어 보세요 너무 맛있어요~
.
곰탕에는 김치가 있어야하니 김장김치도 냈네요~
.
팔로워 1만돌파 이벤트 계획 중이예요~
.
어떤 선물이 좋을지....
지금 딸의 도움 받아 알아보는 중이니
조금만 기다려주세요~
.
글구 이벤트에 대한 참신한 아이디어 있으신 분들도
댓글이나 dm으로 연락 부탁드립니다~
.
추운 날씨에 맘만은 따뜻한 하루 되시길 바랄게요~
.
#남편을위한아침상 #아침밥상 #쌀밥 #한우곰탕 #굴비구이 #해초새우냉채 #연근샐러드 #곱창김구이 #달래장 #김장김치 #집밥 #홈쿡 #놋담유기그릇 #더트레이 #한식상차림 #한식플레이팅"
,,coconute_mimi,2월 11일,2021-02-11T12:07:20.000Z,2021년 2월 11일,"🎈코미네 저녁밥상
명절 연휴동안 먹을 음식들 이것저것 만들었어요,,
생각보다 일찍 끝나서 동네 한 바퀴 산책 다녀올 수 있겠어요🏃‍♀️💨
울 집 어린이들랑 남편이 함께 하니,,
넘 재밌고, 편하네요🤭
담에도 부탁해😉👌
.
갈비찜이 적당히 씹히는 맛이 있고 간이 잘 베어서 만족스럽네요♡
밀전병하느라 시간이 젤 많이 걸린듯해요,,
시금치물로 초록만들고
치자로 노랗게 하고,,
아로니아로 보라보라 만들고,, 미술놀이 하는줄요😆🤣
꼬치에 나물 세가지하고 굴비 굽굽해서 먹고,,
곶감호두말이로 마무리 하니 명절 분위기 뿜뿜하네요👨‍👩‍👧‍👦
.
.
.
새해 복 많이 받으세요🙆‍♀️
행복한 명절 연휴 되세요😊"
"Busan, South Korea",https://www.instagram.com/explore/locations/287620626/busan-south-korea/,ye__eun_kim__,1월 11일,2021-01-11T13:28:00.000Z,2021년 1월 11일,"운동 갔다오자마자 쿠키 까묵는 여보
이렇게 큰 굴비는 처음봐서
오늘은 여보가 좋아하는 한식이에요 ♥️
#통삼겹김치찜 🥘
#잡채
#굴비구이 🐟
#계란말이 🍳
#꽃게된장찌개 🦀
뚝딱 뚝 딱 #예은식땅"
,,lee.su_,3시간 전,2021-08-09T11:44:04.000Z,2021년 8월 9일,"* 냉동실파먹기1탄
소갈비탕, 굴비구이, 큐브가지전, 간장돼지불고기😘

여름이 급격하게 지나가다보니 냉동실 사용량이 급증했는데 아이스크림을 사서 넣고 싶어도 펀하게 몇개 넣을곳도 없고 엄마가 더우니 국끓이기 힘들다고 갈비탕을 주문해줬는데 넣을곳도 없어서 화난마음에 오늘부터 시장안보기로 마음먹고 냉동실에잇는 재료를 파먹긔로 했어요🤣

아부지가 따오신 가지가 해롱해롱하고 있어서 예전 @hanlgusl 님 피드에서 본 큐브가지전을 후다닥 하나부쳐서 한상 차려보았어요~

#가지전
재료- 가지1개, 표고버섯5개, 청양고추2개
양념- 부침가루2수저, 튀김가루3수저, 물반컵, 후추가루톡톡

저는 표고버섯이 조금있어서 추가해서 함께 구버내어 보았어요~
가지, 표고버섯을 잘게 깍뚝썰어주고 청양고추는 다져주어요~
볼에 넣고 부침가루, 튀김가루를 넣어준뒤 농도를 봐가며 물을 부어주세요~
남편이님 맥주안주겸으로 꾸분거라 조금바삭하게 꾸버주었어요~

갈비탕엔 역시 파가득 넣어서 먹어줘야 맛나서 대파 잔뜩 썰어 넣어주고 예전에 시어머니가 주신 간장돼지불고기 꺼내굽고 친정엄마가 사준 굴비까지 꾸버냈더니 근사한 한상이 완성되었어요😊

뭘이리 많이 쑤셔넣어놨는지 이거 다해먹으려면 2~30탄은 해야될꺼같아요🤣
일단 제목표는 한칸이라도 한개도 없이 비우자라 앞으로도 즐겁게 봐주세욧🤣

오늘도 최고온도 35를 보았는데 내일부턴 한풀꺽인다니 건강조심하시고 화요팅하세요😗

#20210809 #냉파 #냉장고파먹기 #이원일홍석천전통갈비탕 #갈비탕 #굴비구이 #제주안심밥상 #간장돼지불고기 #외식아닌외식 #간편식 #한식 #집밥 #홈쿡 #일상 #기록 #집밥레시피 #먹스타그램 #맛스타그램 #요리스타그램 #홈쿡스타그램 #집밥스타그램 #주부스타그램 #선팔 #맞팔 #먹팔 #맛팔 #소통 #소통환영"
