location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,themaindish2,1일 전,2021-08-01T20:50:43.000Z,2021년 8월 2일,"#김치볶음밥 🍛🍛

주말 점심은 집에서 김치볶음밥을 먹었죠🤩
요즘처럼 무더운 여름에 시원하게 에어컨
틀어놓고 매콤한 김치볶음밥이 최고에요👍

매콤한 김치볶음밥 위에 계란 후라이 한장
올려서 담백한 노른자와 함께 먹으면
고소하고 매콤하고 너무 맛있어요🥳

김치볶음밥은 안팔지만
캠핑갈때 고기가 먹고 싶을땐
클릭 한번이면 다음날 문앞에😍

🔺 @themaindish2 <<클릭
🔺 상단 프로필 클릭 후 구매링크 클릭
🔺 네이버에서 “더메인디쉬2”를 검색해 주세요.

#주말점심 #점심메뉴 #메뉴추천 #더메인디쉬2 #고기맛집 #일상소통 #일상스타그램 #육아맘 #육아소통 #육아스타그램 #홈쿡 #홈쿡스타그램 #수제떡갈비 #함박스테이크 #세일 #공구"
,,_______min.a,6월 21일,2021-06-21T06:45:49.000Z,2021년 6월 21일,"⠀
⠀
⠀
#오늘한끼
#김치볶음밥

⠀

⠀
#먹스타그램 #맛스타그램 #먹방 #먹부림 #음식 #인스타푸드 #가정식 #혼밥 #yummy #인스타그램 #일상 #소통 #좋아요 #맞팔 #맛있다그램 #푸드스타그램 #food #foodporn #소통환영 #냠냠쩝쩝 #daily #f4f #좋아요반사 #집밥 #홈쿡 #점심메뉴 #현실밥상 #볶음밥
⠀
⠀
⠀
⠀
⠀"
,,ms_samsisekki,7월 7일,2021-07-07T02:55:37.000Z,2021년 7월 7일,"_
📍#미쓰삼시세끼표 마약김치볶음밥🥄
_
햄이나 참치, 원하는걸로 골라드세요💖
-
▫️밥 한공기 기준
1. 파기름을 내고(약한 불에서 시작하셔야 제대로 나요)
2. 잘게 썬 신김치를 볶다가
3. 고춧가루, 조미료 2/3스푼, 물엿1스푼 넣어 볶아요
4. 햄이나 참치 더하고 물기를 반 정도 날려요
5. 밥 넣고 고슬해지게 볶아주세요
6. 반숙 후라이 곁들이면 더 맛있어요
-
천천히 세지 않은 불로 물기 날리며 볶는게 포인트➰
-
-
-
#김치볶음밥 #충격의김치볶음밥 #집밥 #미쓰삼시세끼"
,,g80s_zeus,7월 24일,2021-07-24T08:02:47.000Z,2021년 7월 24일,"#청주
오빠네 맛집 탐방
.
맛도 맛인데
음식조합이 좋은곳!
.
햄버거 싸들고 가야되서
가는길이 매우 바빴음...
.
미지근할때 도착... 다행히 찬기운은 없다!
.
#오빠네 #청주맛집 #자동차성지
#쫄면 #만두 #김치볶음밥 #옛날햄버거 #토스트
#G80 #G80SPORT #GENESIS #icewhite
#지팔공 #G80스포츠 #제네시스 #아이스화이트
#V6 #330turbo #twinturbo #biturbo #TGDI
#금장 #엠블럼 #차쟁이 #차스타그램 #카스타그램"
,,oneul__table,7월 10일,2021-07-10T11:18:02.000Z,2021년 7월 10일,"오늘의식탁
김치볶음밥
미소된장국
토마토바질샐러드
.
주중 매일 밥을 하다보니 찬밥이 많아 김치볶음밥을 했다
솥밥을 해먹고 남은밥이라 밥이 고슬고슬하니 볶음밥용으로 적당하다
두부 남아 있는거로 장국을 곁들이고,
유기농 바질이 어찌나 향이 좋고 튼실한지 뚝뚝 잘라 방울토마토,양싱추와 함께 드레싱 휘리릭하고 크림발삭을 한바퀴 둘러줬다
.
입가심으로 아이스모찌 먹으려고
냉동실에서 꺼내 두었다
날이 더워 그런지 너무 금방 녹아버렸다😥
더 차갑게 먹고 싶었는데~🤣🤣
.
오전 쑥찹쌀떡 공동구매가 이렇게 1분안에 품절날줄 정말 몰랐습니다
예상치 못한 일이라
사실 제가 너무 당황해서 막 두근거리고😥😥
디엠폭주에 😂😂😂
정신 못차린 토욜 오전이였어요
.
13일(화)에 재공구 할 예정입니다
구매 못하신 분들 맛 보여드릴때까지 재공구 예정이오니 너무 재촉마시고
기다려주세요🙏
말씀드렸듯이 사돈댁 어르신 두분이 직접 만드시는거라 한계가 있습니다
많은 관심에 너무너무 감사드려요🙏🙏🙏
담주월욜에 재공구 안내는 자세히 올리겠습니다
공구오픈시간을 저녁에 해달라시는 분들이 계셔서 고민중이에요
.
믿고 구매해주시고,
쑥찹쌀떡 큰사랑에 다시한번 감사 드립니다🙏🙏🥰
.
.
.
.
.
.
.
.
.
.
.
.
#집밥#집밥스타그램#온더테이블#플레이팅#요리스타그램#푸드스타그램#식단공유#요리#쿡스타그램#예쁜그릇#도자기그릇#밥상#홈쿡#홈메이드#요리하는여자#오늘의식탁#오늘테이블#김치볶음밥
#토마토샐러드"
,,kimsaelyun,6일 전,2021-07-27T07:36:20.000Z,2021년 7월 27일,#통영 #집밥#밥순이#집밥스타그램 #요리하는여자#홈쿡#요롱이표집밥#요롱이밥상#반찬만들기#반찬데이#오이냉국#오늘점심#점심밥상#바지락칼제비#도시락#남편도시락#김치볶음밥#어제꽃작품#반찬상세샷#하루가어찌지나가나모르겠다😂#이제저녁밥할시간
김해장유,https://www.instagram.com/explore/locations/269664568/,mstgr91,7월 11일,2021-07-11T01:45:39.000Z,2021년 7월 11일,"#애덩이신혼집밥 302탄
남편표 김볶💜
이오빠는 볶고 굽고를 잘함"
,,_hyerim.2,7월 26일,2021-07-26T01:08:06.000Z,2021년 7월 26일,"주말이면 돌아오는 김치볶음밥
계란 후라이는 일인 두알 필수ㅎㅎ

@k.m.2425 경미님이 공구중이신 벨리벤우드세트, 한달가까이 사용하고있는데 휘뚜루마뚜루 잘 사용하고있어요!

7종 구성에 가격도 좋더라구요 :)
평소에 관심있었던 분들은 구경가보세요!
이번 한 주도 잘 살아봅시다 ☺️"
비재즈,https://www.instagram.com/explore/locations/1031692169/,shalala_sso,7월 17일,2021-07-17T05:30:32.000Z,2021년 7월 17일,"#김치볶음밥 ???논논논놋
#김치덮밥
🤩🤩🤩🤩🤩대환장맛👍🏻
#오징어덮밥#김치국밥#새우볶음밥#짬뽕밥#김치칼국수#짜파게티 애네역시 대환장맛👍🏻
#라볶이 #분식 은 강추는 아닌빤한맛이지만 맛은 있
10년 넘게 이집을 댕기며 거의 모든 메뉴를 섭렵한 결과
믿길바래
나의입맛을😋
.
.
.
다년간 댕길땐 잘모르시더니 오늘은 계후 주심서 왜 그 사진 잘찍는 남자분 안왔냐 묻드라 @piwpiw 니덕에 계후써비스받았
또가자!!!!
#비재즈#비재즈박박사 #압구정맛집#압구정숨은맛집#월요일휴무#5층#엘레베이터공사#압구정점심#중화풍한식맛집#강남조화❤️"
마들렌홈 세종점,https://www.instagram.com/explore/locations/102647108500005/,pastaurant_sejong,6분 전,2021-08-03T07:20:42.000Z,2021년 8월 3일,"#김치베이컨필라프 에 최적화 된 김치로 변신중😝 안드셔 본 분은 계셔도 한번만 드신 분은 없다는 저희 김치 베이컨 필라프는 마들렌만의 방식으로 직접 맛있게 볶아 제공해드립니다😋

#김베필 #김치볶음밥 #김치베이컨볶음밥 #세종맛집 #세종배달 #피크닉세트 #패밀리세트 #스페셜커플세트 #세종초밥 #세종냉면 #세종김치말이소면 #세종필라프 #세종피자 #세종한식 #세종일식 #세종초밥맛집 #세종우동 #세종덮밥 #세종돈까스 #세종도시락 #세종도시락맛집 #세종파스타 #세종파스타맛집 #세종샐러드 #세종샐러드맛집 #세종마들렌홈 #마들렌홈세종점 #연어스테이크 #비프스테이크"
마들렌홈 세종점,https://www.instagram.com/explore/locations/102647108500005/,mdlhome_sejong,6분 전,2021-08-03T07:20:38.000Z,2021년 8월 3일,"#김치베이컨필라프 에 최적화 된 김치로 변신중😝 안드셔 본 분은 계셔도 한번만 드신 분은 없다는 저희 김치 베이컨 필라프는 마들렌만의 방식으로 직접 맛있게 볶아 제공해드립니다😋

#김베필 #김치볶음밥 #김치베이컨볶음밥 #세종맛집 #세종배달 #피크닉세트 #패밀리세트 #스페셜커플세트 #세종초밥 #세종냉면 #세종김치말이소면 #세종필라프 #세종피자 #세종한식 #세종일식 #세종초밥맛집 #세종우동 #세종덮밥 #세종돈까스 #세종도시락 #세종도시락맛집 #세종파스타 #세종파스타맛집 #세종샐러드 #세종샐러드맛집 #세종마들렌홈 #마들렌홈세종점 #연어스테이크 #비프스테이크"
마들렌홈 세종점,https://www.instagram.com/explore/locations/102647108500005/,madeleine_home_sejong,6분 전,2021-08-03T07:20:34.000Z,2021년 8월 3일,"#김치베이컨필라프 에 최적화 된 김치로 변신중😝 안드셔 본 분은 계셔도 한번만 드신 분은 없다는 저희 김치 베이컨 필라프는 마들렌만의 방식으로 직접 맛있게 볶아 제공해드립니다😋

#김베필 #김치볶음밥 #김치베이컨볶음밥 #세종맛집 #세종배달 #피크닉세트 #패밀리세트 #스페셜커플세트 #세종초밥 #세종냉면 #세종김치말이소면 #세종필라프 #세종피자 #세종한식 #세종일식 #세종초밥맛집 #세종우동 #세종덮밥 #세종돈까스 #세종도시락 #세종도시락맛집 #세종파스타 #세종파스타맛집 #세종샐러드 #세종샐러드맛집 #세종마들렌홈 #마들렌홈세종점 #연어스테이크 #비프스테이크"
,,bidal_table_club,10분 전,2021-08-03T07:16:44.000Z,2021년 8월 3일,"영혼의 소울푸드 = 김치볶음밥😏
김치 없는 삶은 상상도 할 수 없어 이 사람듀라💥
.
유명한 마카롱 여사님 레시피로 만들어봤는데
역시는 역시다🔥여사님은 어떤 삶을 살아오신거죠?
.
스팸을 갈아서 볶으니 살찔만한 진한 풍미가 up😋
입맛 까다로운 제 동생도 코 박고 먹더라구요✔️"
,,yum_my.life,15분 전,2021-08-03T07:12:28.000Z,2021년 8월 3일,"오늘의 점심

#김치볶음밥 #참치치즈김밥 #참치김밥 #치즈김밥 #분식집 #치즈라면 #만두라면 #좋아요 #팔로우 #먹스타그램 #럽스타그램"
,,gnb_fruits,18분 전,2021-08-03T07:09:56.000Z,2021년 8월 3일,"(08.03) 을지로6가 **은행 크로플,쿠키&과일도시락

#과일도시락 #쿠키도시락 #크로플 #머핀 #떡도시락 #샌드위치도시락 #돈까스 #김밥 #불고기덮밥 #유부초밥 #김치볶음밥 #참치마요 #야채볶음밥 #컵밥 #주먹밥 #비빔밥 #기프트세트 #퐁당쇼콜라 #호두파이 #닭강정 #크림뷔릴레"
,,gnb_fruits,19분 전,2021-08-03T07:08:31.000Z,2021년 8월 3일,"(08.03) 삼청동 수도***** 크로플&과일도시락

#과일도시락 #쿠키도시락 #크로플 #머핀 #떡도시락 #샌드위치도시락 #돈까스 #김밥 #불고기덮밥 #유부초밥 #김치볶음밥 #참치마요 #야채볶음밥 #컵밥 #주먹밥 #비빔밥 #기프트세트 #퐁당쇼콜라 #호두파이 #닭강정 #크림뷔릴레"
,,gnb_fruits,25분 전,2021-08-03T07:02:34.000Z,2021년 8월 3일,"(08.03) 서계동 **제약 에그샌드&과일도시락

#과일도시락 #쿠키도시락 #크로플 #머핀 #떡도시락 #샌드위치도시락 #돈까스 #김밥 #불고기덮밥 #유부초밥 #김치볶음밥 #참치마요 #야채볶음밥 #컵밥 #주먹밥 #비빔밥 #기프트세트 #퐁당쇼콜라 #호두파이 #닭강정 #크림뷔릴레"
,,gnb_fruits,27분 전,2021-08-03T07:01:32.000Z,2021년 8월 3일,"(08.03) 상계동 **은행 에그샌드&과일도시락

#과일도시락 #쿠키도시락 #크로플 #머핀 #떡도시락 #샌드위치도시락 #돈까스 #김밥 #불고기덮밥 #유부초밥 #김치볶음밥 #참치마요 #야채볶음밥 #컵밥 #주먹밥 #비빔밥 #기프트세트 #퐁당쇼콜라 #호두파이 #닭강정 #크림뷔릴레"
,,gweonseonghyeon275,56분 전,2021-08-03T06:32:49.000Z,2021년 8월 3일,점심떼 레시피보면서 김치볶음밥 만들어봄 생각보다 맛있어서 좋았음 어머니께서도 감동하셔서 우심.. #첫요리 #김치볶음밥 #맛있었다
,,gimjubu76,57분 전,2021-08-03T06:31:58.000Z,2021년 8월 3일,"심심해서 만둘어봤습니다..
김치넣고 기름 넣고 볶다가...
간장한스푼... 설탕 조금.. 고추장도 넣어서 볶은후에
밥 넣으면 끝 ^^
#김치볶음밥 #새우볶음밥 #음식 #food #선팔은맞팔 #followforfollowback #foodstagram #foodie #foodporn #koreanfood"
,,soon.soon._,1시간 전,2021-08-03T06:22:04.000Z,2021년 8월 3일,"2021.07.30
#평일 #점심메뉴
배고픈데 귀찮아서 호닥 #김치볶음밥
빨강+계란후라이=굿조합👍
여름이라 가스불켜면 곰방 더워져서 힘들어진다🥲🔥"
코다차야두정점,https://www.instagram.com/explore/locations/639367899899019/,sso_ttomeok,1시간 전,2021-08-03T06:07:42.000Z,2021년 8월 3일,"⭕️ 코다차야
#천안 #두정동 #코다차야

🥄 김치볶음밥 ₩ 9,000원
🥄 타코와사비 ₩ 11,000원
🥄 매콤 닭강정 ₩ 13,000원
🥄 헛개열매차 ₩ 1,000원

ㅡ
가끔 김볶밥 생각날 때 오는 집!
코다차야 하면 김치볶음밥이죠~~
정말 잊을 수 없는 맛이에오
ㅡ
왜 집에서하면 이런맛이 안나죠ㅠㅠ
무조건 시켜야하는 김치볶음밥과
타코와사비를 시켜서 먹었습니다.
친구가 아이셔에 이슬 먹어보고 싶다해서 같이 담와왔습니다!
타코와사비도 맛 괜찮더라구요
ㅡ
먹다가 다른 안주 먹고싶어서 매콤 닭강정도 주문!!
한입 딱 먹자마자 매운맛이 좀 올라오더라구요
뜨거워서 더했는지 매워서 먹자마자 물 흡입했어요ㅋㅋㅋㅋ
그래도 좀 식으니 덜 맵더라구요
담에 또 김볶밥 생각나면 갈 집
ㅡ
여러 종류의 술을 구비하고있는 집으로
요즘 한창 뜨고있는 #민트초코소주 도 있더라구요!

ㅡㅡㅡ

📌 코다차야
📌 충남 천안시 서북구 원두정2길 31 2층 코다차야

ㅡㅡㅡ

> 본 게시물은 #내돈내산 #내돈내먹 후기입니다<"
Jangseong,https://www.instagram.com/explore/locations/348325013/jangseong/,tlswldms83,1시간 전,2021-08-03T06:07:18.000Z,2021년 8월 3일,"#지난주말
#장성#동생집에서
#김치볶음밥
#볶음밥맛집
#보이스4
#소리가들려
#삼겹살맛집
#소주한잔
#혼자술마시기좋은곳
#포차#이름짓자"
,,mom.my_mode,1시간 전,2021-08-03T06:06:03.000Z,2021년 8월 3일,"보통의 점심이라면 역시
김치볶음밥이지!

#보통엄마의보통점심 #점심뭐먹지 #김치볶음밥 #묵은지요리 #엄마모드 #보통사진"
,,chang_bae_cc,1시간 전,2021-08-03T06:04:38.000Z,2021년 8월 3일,#mukbangkorea #mukbangasmr #mukbang #eatingshow #eatingsounds #asmr #koreanfood #jmt #yummy #먹스타그램 #김치볶음밥 #어묵탕 #우동 #맛집 #changbae #legend #창배먹방 #창배 #thx
,,cjdlgn,1시간 전,2021-08-03T05:53:20.000Z,2021년 8월 3일,"늦은 점심....
집에서 뒹굴 거리다 간단하게만든 김치볶음밥...
음료는 자두쉐이크......^^
잘 먹겠습니다~~~^^

#김치볶음밥 #늦은점심 #자두쉐이크 #잘먹겠습니다아💕"
,,stzqbke127552,1시간 전,2021-08-03T05:49:11.000Z,2021년 8월 3일,🍮#뒷북잼 🌵#돈관리 🍔#김치볶음밥 🙋#성산일출봉카페
,,worker__food,1시간 전,2021-08-03T05:46:48.000Z,2021년 8월 3일,"#냉동삼겹살 #김치볶음밥 #국룰
먹어도 먹어도 맛있는 고기
언제 먹어도 맛있는 고기"
,,2castle_mi,1시간 전,2021-08-03T05:33:42.000Z,2021년 8월 3일,#집밥 #김치볶음밥 #계란후라이 #떡갈비 #집반찬 #육개장 #저녁
,,honesty_shin,2시간 전,2021-08-03T05:22:20.000Z,2021년 8월 3일,"♡ 방학 ♡

오전에는 차 정비하러 같이 간 우주♡

집에 와서 수학, 영어공부를 하고 같이 놀자는 우주♡

비행기를 좋아하는 우주♡

간식 만들어 달라는 우주♡

날씨가 좋아져서 산책 나온 우주♡

김치볶음밥 좋아하는 우주♡

오늘도 사랑하는 아들과 행복한 시간을 보냅니다~~❤

#우주 #방학 #오전 #차 #정비 #공부 #비행기 #레고 #신남 #오후 #간식 #팝콘 #날씨 #좋아짐 #산책 #살구청 #김치볶음밥 #좋아함 #행복 #감사함"
,,sojung91,2시간 전,2021-08-03T05:06:12.000Z,2021년 8월 3일,"한동안 신랑의 최애조합이었던 도시락!
맨날 김치볶음밥이랑 소세지만 싸달라고 했었다😂
역시 맛없없 조합!
아..근데 회사인데 소맥 먹고싶다...편의점 얼음컵에 시원하게 한잔 말아서 먹고 싶다...
.

#김치볶음밥 #계란후라이 #소시지구이 #고사리나물 #깍두기 #케찹
#신랑도시락 #남편도시락 #직장인도시락 #회사도시락 #직장인점심 #다이어트도시락 #점심도시락 #도시락  #점심메뉴 #오늘의도시락 #오늘점심 #홈쿡 #집밥"
,,niceyongyong,2시간 전,2021-08-03T05:03:50.000Z,2021년 8월 3일,"8월3일 아침
김치볶음밥
오랫만에 김치볶음밥
김치볶음밥은 늘 정답

#집밥 #김치볶음밥 #김치볶음밥은정답"
,,babbibabi,2시간 전,2021-08-03T04:46:34.000Z,2021년 8월 3일,맛있는 점심드셨나요😋
,,soom_mari,2시간 전,2021-08-03T04:45:44.000Z,2021년 8월 3일,"#숨마리 분식데이👩🏻‍🍳

스팸 양파 김치 넣고 #김치볶음밥 만들고
이마트에서 산 #국물떡볶이 밀키트로 떡볶이 만들었어요😍

반숙 계란도 얹고 근사한 분식 한끼 해결💓

#오늘의요리 #오늘뭐먹지 #식단일기 #온더테이블 #푸드스타일링 #맛스타그램 #인스타푸드 #먹스타그램 #분식그램 #집밥 #홈쿡 #베르나르도 #라귀올커트러리 #foodstargram"
,,gimdoyeon7357,2시간 전,2021-08-03T04:39:58.000Z,2021년 8월 3일,"김치볶음밥

맛있다!"
,,qkrwnsgml_06,2시간 전,2021-08-03T04:39:57.000Z,2021년 8월 3일,"이게몰까???🤔
뒤에보지 말고 댓글로 맞쳐봐요😲
🥓베이컨 김치볶음밥🤤❤
#김치볶음밥 #베이컨김치볶음밥 #베이컨 #김치라면밥 #라면밥 #김치사발면 #김치국물 #할머니김치 #계란후라이 #반숙 #존맛탱 #저녁메뉴 #저녁식사 #요리 #요리스타그램 #먹스타그램 #일상 #일상스타그램 #06 #06년생 #06공스타그램 #follow #followｍe #follow환영 #선팔 #선팔환영 #선팔로우"
데일리청담 Daily Cheongdam,https://www.instagram.com/explore/locations/109430270864707/daily-cheongdam/,harin.0_v,2시간 전,2021-08-03T04:36:44.000Z,2021년 8월 3일,"데일리는 주기적으로 수혈해줘야해✨
밍도랑 데이트 뒷뒷뒷뒷뒷북ㅋ ㅋㅋㅋ

데일리는 @daily_hs_min 😊"
,,herbtea_d,5시간 전,2021-08-03T01:33:23.000Z,2021년 8월 3일,#탄괴선생 #눈이떠지질않아 #탄단지꺼져 #탄탄탄최고 #김치볶음밥 #김치찌개 #김밥 #진비빔면🍜
후루룩칼국수,https://www.instagram.com/explore/locations/277293516/,tasty._.jh030,12시간 전,2021-08-02T19:14:13.000Z,2021년 8월 3일,"#현풍닭칼국수 #닭칼국수

저번주 일요일에 현풍닭칼국수를 먹었어요

저희 언니가 현풍닭칼국수에 김치가 너무 먹고 싶다고해서 같이 갔숩니다 😮‍💨

현풍닭칼국수를 고등학교때 이후로 첨 먹어보는데 ,, 맛은 그때 먹었던 맛이랑 비슷하더라구요 !!

약간 닭칼국수라 그런지 개인적으로 조금 느끼했지만 맛있었어요

전 약간 조개 들어간 칼국수를 (?) 좋아해서 ,,, 암튼 현풍닭칼국수는 김치가 진짜 대박이에요 .. 너무 맛있어요 ♥

김치 한 두번 더 받아먹은 거 같네용 ㅋㅋㅋㅋㅋㅋㅋ 현풍 닭칼국수 김치 먹어보셨나요 ㅠㅠ 매운맛 진짜 맛있어요 !!

현풍 닭칼국수의 김치 …안 먹어본 사람은 있어도 한번만 먹어본 사람은 없을 거예요 ,, ❤️

김치사진도 따로 찍을 거 그랬나봐요 ㅋㅋ 다음에 가면 김치 사진 찍어올게요 ✌🏻

.
.
.

#먹스타그램 #먹스타 #맛스타 #맛스타그램 #좋아요반사 #likeforlikes #food #foodporn #foodart #foodie #foodstyling #foodphotography #foodstagram #foods #대구카페 #푸드스타그램 #대구 #대구맛집#칼국수 #칼국수 #김치볶음밥 #김치 #김치맛집"
,,sacocina,3시간 전,2021-08-03T04:32:55.000Z,2021년 8월 3일,#김치볶음밥 Kimchi fried rice 🤤
,,01089933516_em,3시간 전,2021-08-03T04:25:57.000Z,2021년 8월 3일,"우리가 지은이름! 쭈돈닭!!!
1.쭈꾸미450그램을 넣고볶다가 대패삼겹넣고 볶아준다~
2. 물이 자박하게생기는데 어느정도 줄때까지 짜박하게 볶아준뒤..' 숯불향 닭발을 넣어 볶아준다..
3.갖은 야채를 넣어도 맛은있지만 최소한짐을 줄이기위해 우린 야채를 생략하고 먹었지만 꿀맛이었다~

남은 양념에 김치 쫑쫑 썰어넣고 볶음밥까지 하면 금상첨화~ 살찌는걱정은 내일부터~

1.쭈꾸미ㅡ450g에 10000원
2.숯불불닭발ㅡ230g에 6000원
3.뼈있는숯불불닭발ㅡ280g에 6000원
4.닭갈비260g ㅡ6000원

#완전강추 #쭈돈닭 #쭈꾸미 #불닭발 #대패삼겹살 #김치볶음밥"
