location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,shinjjang_g1,23시간 전,2021-08-04T12:23:38.000Z,2021년 8월 4일,"#신짱키친 @so_delicious__ __
👩🏻‍🌾100%국내산 김치 6종 2차공구

#오픈알림신청은_댓글을_남겨주세요

저번에 인기짱이였던 김치공구입니다!
ㄹㅇ후기는 쏘딜 사이트 들어가시면 보실 수 있어요🖐🏻

숙성김치는 여전히 맛있구요~
모든재료 100%국내산을 이용해서 정성껏 만든 김치입니다.

이번엔 당일제조해서 만든 생김치도 추가되었는데요~
진짜 너무너무 맛있어요!

나머지 김치들도 좋은재료로 만들어 모두 맛있습니다!

6개월 이상 숙성되면 묵은지라고도 부르구
요리하기에 딱 좋은 익힘정도입니다!
(받으셔서 기호에 맞게 더 익혀 드셔도 되구요)

🔻김치공구 상품🔻

숙성김치 2kg
당일제조 생김치 2kg
열무김치 2kg
열무 물김치 2kg
오이소박이 1kg
파김치 500g

✔️오픈일정 8월 7일 낮 12시
🚚8월 10일 화요일부터 순차출고

⏰알림신청은 댓글을 남겨주세요!
.
.
#숙성김치 #묵은지 #김치공구 #공구예정
#할인행사 #파김치 #집밥메뉴 #숙성지
#열무김치 #열무물김치 #국내산김치
#김치전 #김치요리 #쏘딜 #생김치
#포기김치 #김치 #김치택배 #오이소박이"
충북혁신도시,https://www.instagram.com/explore/locations/1211823685588589/,yunmi.heo,2일 전,2021-08-02T21:18:12.000Z,2021년 8월 3일,"오늘은 도가니탕에 김치전🍚
.
얼려둔 도가니탕 해동시켜 팔팔끓이고 김치전부쳐서👩‍🍳
.
.
.
#김치전
#도가니탕
#아침밥상
#아침밥
#아이밥상
#아이밥
#집밥
#홈쿡
#먹스타그램
#온더테이블
#충북혁신도시"
,,lhy0522,2일 전,2021-08-02T23:50:00.000Z,2021년 8월 3일,"20210802 #이해네
#삼겹살 버섯 소세지 굽고 삼겹살 듬뿍
#김치찌개 에 #김치전 무채샐러드!!
양배추쌈에 청양고추 땡초장 올려 한쌈
깻잎장아찌에 한쌈~^^ 더우니 잘먹고
더위 이겨내보아요 오늘도 홧팅
.
.
#집밥 #한식 #혼밥 #밑반찬 #홈쿡 #유기그릇"
,,jjuaeng2,7월 7일,2021-07-07T12:15:37.000Z,2021년 7월 7일,"#주애오일 #오일스프레이 #공구중
이번에도!! 느므느므 #감사하모니카 🎼🎼 눙물😭

예전에 찍었던 #오징어김치전 #🦑
오전에 비오는날 이였는데…
점심에 해가 쨍쨍해서..비오는날 올려야지~ 했던 영상인데..
영영 잊혀질까 올려볼래요😘
예전에 바삭한 김치전 말고,
좀 묽게 해서 떡진 김치전 찬밥에 먹는거 좋아했어요😜
중간에 탄산수 까지가 딱 바삭인데,
김치국물 추가로 질퍽한 김치전 되었어요😉

주애오일 8차공구 정말 3일동안 너무너무 감사 드립니다🙏🏻
내일 오후 12시에 공구는 자동 마감되어요!😘
새벽까지도 찬찬히 보시고 구매 하셔도 된답니다😘

오늘 많이 늦은 시간😭
하말하않인 날 있잖아요..?😭
오늘이 그런날이였어요……?
많은 사건즁 하나는.. 에어컨 청소업체 불러서 하고 난뒤..
시원하겠지.. 했는데…. 가스터짐…
똬히.. 이게 젤 슬퍼………
우리집 마치 아프리카 🌴
살려주이소…..

이런날 더 더어.. 나도 덥다고..
👦🏻👧🏻깔깔대며 들러붙는거 해디마 ㅠㅠㅠ
들러붙지마 ㅠㅠ 내머리 내피부에 온도 전달 해디마 ㅠㅠ
😳😳😳😳😳😳

그럼에도 불구하고… 난… 괘..괜찮아…….
주애오일은 절찬공구중 이고요😆
주문후 바로 문자가 가진 않아요!
프로필링크 통해 주문 조회 가능 하세오💟

그럼 더운 밤.. 긴긴밤…..😳
그래도 즐겁게 보내세요😘

🎖주애오일 구매이벤트🎖
(오픈피드에 댓글 남겨 쥬세요!)
🏷주애오일 재구매 찐 인친님들 댓글 남겨 해주세요!
5분께 커피케익 쿠폰 보내드릴께요
예)김주*(주문자성함)1234(핸드폰뒷자리)
@친구아이디) 재구매완료!

🏷첫구매 인친님(또눈 재구매) 댓글달아 주신
5분께는 햄버거세트 보내드릴께요💛
예)김주*(주문자성함)1234(핸드폰뒷자리)
@친구아이디) 구매완료!
총 10분께 보내드릴께용 많은 참여 부탁 드려요💟

🏷공구일정:7월5일(월)-8일(목)낮12시 자동마감
🏷구매방법:프로필링크 (@jjuaeng2)
🏷주문배송조회:
프로필링크”주애키친”주문조회클릭후확인

#주애키친 #주애와플 #에스파뇰라오일스프레이 #김치전 #스팸호박전 #스팸 #요리동영상 #레시피 #레시피공유 #김치볶음밥 #저녁 #야식 #부침개 #koreafood"
한국교원대학교 (Korea National University of Education),https://www.instagram.com/explore/locations/1035553069/korea-national-university-of-education/,heeee_food,2일 전,2021-08-02T14:19:43.000Z,2021년 8월 2일,"😋😋😋

#시인과촌장 아는사람 나오세요

#한국교원대학교 교수님들이 사랑하는 치즈김치전 맛집입니다,,#추억 💕
술에 취한 동기를 끌고 기숙사에 갔던 그런 기억이 생생하다,,,,ㅋㅋㅋㅋㅋ🎓🏫

#청주 #청주맛집 #교원대 #knue #치즈김치전 #막걸리 #술 #술스타그램 #맛집스타그램 #맛스타그램 #맛있다그램 #먹스타그램 #먹방 #술스타그램 #오늘뭐먹지 #선팔 #선팔맞팔 #먹스타그램 #먹스타 #먹스타맞팔 #먹팔 #먹스타그램맞팔 #먹팔 #먹팔해요 #먹팔환영 #먹팔하면맞팔 #먹팔맞팔 #막걸리 #막걸리안주 #김치전 #야식"
동강주막,https://www.instagram.com/explore/locations/1906662166281709/,jacobys_2918,7월 27일,2021-07-27T09:19:18.000Z,2021년 7월 27일,"⠀
<동강주막>
⠀
-동묘앞역 병어찜에 홍어까지
사장님 손맛 가득 담긴 동강주막~🤗
⠀
-촉촉하니 부드럽게 발리는 병어찜
비주얼 좋고 생물병어라 살이 입안에
넣자마자 녹아내린다ㅎㅎ
⠀
-조림은 좀 뻑뻑한감이 있지만
양념맛 좋고 감자까지 부드럽게
잘 익어 소주 안주로 딱이고
⠀
-국내산홍어도 이만원에 이정도 내주시니
가성비 좋고 서비스로 나오는 조개탕에
김밥까지 맘에 드는 집이다
⠀
-푸짐히 내주시는 사장님 인심에 더욱
맛있었던 동각주막 오랜만에 손맛 제대로
느끼고 갑니다~☺
.
.
.
.
.
.
.
.
.
.
#동강주막#동강주막호프#창신동맛집#동묘맛집#병어찜#병어조림맛집#병어맛집#홍어맛집#홍어사시미#홍어삼합맛집"
美味齋上海飯店,https://www.instagram.com/explore/locations/4393875/,seekenken,1일 전,2021-08-04T09:16:21.000Z,2021년 8월 4일,"又又又美味齋Dinner 尋晚叫啲平時小啲嘅餸
#清炒蝦仁 好香蝦味 要死左1⃣️段時間嘅蝦先有E個昧道～明就明
#椒麻雞 餐牌冇 要七哥得閒入廚房先有🉐️食～好香 小小麻 冰鮮雞做到咁堅勁
#大鹵麵 材料有珍肝魷魚木耳荀蛋花 算係比較清淡嘅湯麵 有啲似煨麵 主要含佢好滑嘅感覺
.
.
.
#cuisinefood #hkfoodie #foodie #foodporn #foodgram #食べ物 #美味しい #おいしい #김치전 #김치 #food #taste #yummy#美味齋上海飯店"
,,soomin_brow,7월 15일,2021-07-15T10:55:22.000Z,2021년 7월 15일,"비가 오는날엔...
김취 전~
#김치전 #오징어 넣고 #새우 넣고
#양파 넣고 #묵은지 넣고"
,,9th_london,7월 5일,2021-07-05T13:21:22.000Z,2021년 7월 5일,"♥️#오늘이거드세요 으허허허허허 #김치전

만나면 세시간이 삼십분처럼 짧게 느껴지는 소중한 친친님들과 추억의 대화하다보니 이 영상 올리는 시간을 놓쳤어요
김치전에 치즈 올려서 함께 구우면 그냥 맛있는거 아시죠, 냉장고 비우기에 돌입한 저는 예전에 소분해서 냉동해둔 햄도 꺼내서 잘라 넣은 김치전입니다 베이컨도 좋아요
부침가루에 튀김가루 1대1 비율 정도 섞으면 더 바삭하게 만들 수 있으니 이렇게도 만들어보셔요
물은 한꺼번에 붓지마시고 농도 보면서 추가하면 좋구요 김치나 다른 재료는 취향껏 넣어주세요
다른 간은 더하지 않았어요
막걸리나 맥주 한잔 시원하게 어떤가요

손잡이 이렇게 분리되는 팬, 쪼꼬미 국자 스포할게요 팬 구성도 가성비도 좋아서 요즘 잘 사용하고 있어요 ♥️

월요일이 이렇게 지나가는군요 월요일이 지나면 한주 힘든거 반 이상 해치운거니 꿀잠하시고 더 좋은 내일 만나요
굿바미!
ㆍ
ㆍ
ㆍ
#김치부침개
#김치치즈전
#김치 #요리동영상
#간식 #야식"
,,lucy_hg,7분 전,2021-08-05T11:54:28.000Z,2021년 8월 5일,"#남편 #휴가 의 마지막날 #야구 와 함께

#드레곤스 #미국맥주 #응원은한국 #냠냠 #김치전 #해물김치전 #냠냠 #우리집 #동네삐약이 #yummy #today #beer #korea #jeonju #여긴전주"
옛촌 막걸리,https://www.instagram.com/explore/locations/1630836/,soyoung6048,16분 전,2021-08-05T11:46:18.000Z,2021년 8월 5일,#옛촌막걸리 #옛촌 #전주막걸리 #전주맛집 #전주 #막걸리 #여름휴가 #잔치상 #고등어구이 #계란말이 #김치전 #족발 #삼계탕 #홍합탕 #김치찜 #메밀전병
,,_heimish_10,19분 전,2021-08-05T11:42:50.000Z,2021년 8월 5일,"마로 벌스데이🎂

#저녁 #생일 #브라더 #양주 #사케 #막걸리 #술스타그램 #생일파티 #소불고기 #새우완자탕 #잡채 #김치전 #참치전 #콩나물전 #도토리묵무침 #강도다리 #회스타그램 #물회 #먹스타그램 #먹스타 #먹팔 #맞팔 #안주 #안주스타그램 #소소한행복 #언제나 #좋구나"
,,joohee_0824,20분 전,2021-08-05T11:42:35.000Z,2021년 8월 5일,"음식취향 다른 둘👭

#닭칼국수 #김치전 #감자전"
가락시장역,https://www.instagram.com/explore/locations/810437544/,amsa_korea_king,21분 전,2021-08-05T11:41:26.000Z,2021년 8월 5일,"-
가락시장 정기휴업으로 인해

좋은 파를 구할 수 없어

당분간 파김치는 품절입니다~😭

다른 좋은 메뉴들도 많으니 함 잡숴보세용 ~!"
옥정신도시,https://www.instagram.com/explore/locations/180260832510611/,elinyyyy,32분 전,2021-08-05T11:30:43.000Z,2021년 8월 5일,"처음으로 혼자 해본 #김치전
부엌은 튀겨진 기름으로 #기름파티
가스버너로 전부쳤더니 땀이 주룩주룩ㅠ
담엔 그냥 인덕션으로 해야지^^...
#김치전 에 #막걸리 는 #못참지"
,,sonnykyu,43분 전,2021-08-05T11:20:11.000Z,2021년 8월 5일,"#3박4일간날씨가

비왔다 맑았다 또 비왔다 맑았다...
아주 변화무쌍하게 펼쳐졌어요~^^

맑을 땐 수영장서 놀고...
비오면 김치전 붙여가며 분위기 잡아보고...ㅋ

우중캠을 많이 하다보니 휴가때 이정도 내린 비는 아주 그냥 웃으면서 맞이 했네요~

이제 슬슬 휴가도 몇일 남지도 않고... 벌써 일상으로 복귀가 두려워 지고 있습니다~🤕🤢

#오늘사진아니예요 #몇일전 #휴가캠핑 #오락가락날씨 #비와도두렵지않아요 #우중캠핑 #비올땐전붙이고막걸리 #소백산막걸리 #김치전 #점점끝이보이는휴가"
,,js_park_c,44분 전,2021-08-05T11:19:51.000Z,2021년 8월 5일,"#막걸리 #동동주 #김치전 #편육 #번데기탕
한여름에는 집에서 에어컨틀고 시원하고 맛난거 먹는것도~ㅋㅋ"
,,1984_jinmin,48분 전,2021-08-05T11:15:59.000Z,2021년 8월 5일,"#저녁
#동동주#김치전 #옥수수김치전
#짜장 #짜장밥#김치두루지기 #콘버터
#안쓰는 물건들 치우느라 바쁜하루
#아깝지만 그냥 다버려버림
#냅둬봤자 쓰지도 않음
#다하고 김치전에 #막걸리
#막걸리엔김치전👍
#낼은 #여자배구 준결승하는날..
#넘나조음 #👏👏👏"
,,dj123k02,1시간 전,2021-08-05T10:56:04.000Z,2021년 8월 5일,"#저녁
#김치전
#맛있어요
저녁으로 3장 클리어~♡
해물 넣고 싶지만 워니가 해산물을 싫어해서
김치만 넣어서 꾸웠는데도~
#맛있옹
#방학 #방학식단 #간식 #김주부 #홈쿡 #다이어트식단 #우리집반찬 #양산맘"
,,bird1004110,1시간 전,2021-08-05T10:52:50.000Z,2021년 8월 5일,"나 빼고 다 취하는날😭
#통영#일마치고#술쟁이모임
#오늘은금주#나빼고다취함
#2차#통영의밤#음료수서비스받기
#통영맛집#통영막걸리#김치전
#순두부짬뽕탕#소주#사이다"
,,ggotbaram,1시간 전,2021-08-05T10:46:31.000Z,2021년 8월 5일,"#김치전 7장
#부추전 10장
#문어숙회
#출동_기열님
#간만솜씨발휘
#맥주 마시고_발리가라고_사온_맥주
#배부르다그램

간만에 출동하신 김쉐프♥
오늘 그대에게 션한 맥주를 허하오~~

문어 삶은 물에 라면 끓이신다는 아들~
맛나긋다 젓가락 못놓는다 일러라

김치전 끝장내고 요굴트 2개 잡수시는 딸님~
도대체 살은 언제 빼실건가요 ㅜ ㅜ

맛난 저녁

감사합니다♥♥♥♥♥"
,,hwang_yeon_joo,1시간 전,2021-08-05T10:41:50.000Z,2021년 8월 5일,"오늘 월래는 삼계탕인데 애들이랑 극장 다녀오느라 늦어서 그냥 김치전에 냉장고에 있는 반찬으로 냠냠~~~!!

#김치전#밤막걸리#가자미구이#오징어볶음#북어미역국#맛있다#냠냠냠"
,,a.reum__song,1시간 전,2021-08-05T10:37:02.000Z,2021년 8월 5일,"#닭갈비#김치전

오늘의요리는요~~~😁
감성따윈없다 맛잇으면그만👍

#캠핑요리
#물놀이후꿀맛"
,,samsun.dish,2시간 전,2021-08-05T09:46:19.000Z,2021년 8월 5일,"😩
쯔아증이 잔뜩 난 반반전

스테인리스 팬을 사용한지도 반년이 넘어가고
나 이제 정말 널 길들이는데 달인이 된 줄 알았는데😌
방심했더니 들러붙고 안익고 나노단위로 조사져버린 나의 반반전
😩 😖 😫 😣
참다참다가 뒤집개로 팬을 때리면서
넌 정말 나쁜팬이라고 소리질렀는데

마지막 전은 귀신같이 잘 뒤집힌다..?
😩……?
열받아ㅏㅏㅏㅏㅏ

#감자전 #김치전 #반반전 #전엔막걸리 #망함 #막걸리 #스텐후라이팬 #후라이팬길들이기 #맛스타그램 #승질 #열받아 #삼선동관찰종자 #음식관찰종자 #삼선동따순집"
,,qeenda_c,2시간 전,2021-08-05T09:30:22.000Z,2021년 8월 5일,"#기록 #추억 #신혼부부밥상

헤롱 헤롱~
요즘 너무 바빠욧!ㅜㅜ

막 밤에 3시간 정도밖에 못자구
체력이 뚝뚝 떨어져서 피곤하단 말을 입에 달고살고
커피가 생명수고 그래요ㅋㅋ

빠쁘고 힘들다고 요즘 라면이랑 냉동 도시락
대충 렌지에 돌려먹거나
편의점 음식으로 버티고 있었어요ㅎㅎ

그래도 신랑 도시락은 챙겨보내 줬네용😁😁

🙋‍♀️천도복숭아 싸주까? 물어보니 ㅋㅋ
🙋‍♂️많이 먹어서 싫은데... 라고해서

오늘은 일반 아몬드랑 코팅 아몬드 맛별로
싸서 보냈어요 ㅋㄷ
(아직 냉장고에 복숭아 6개 남았는뎅...ㅠㅜㄴ)

주말엔 여유 좀 있을거 같으니
듭지만 그때 신랑 좋아하는 소고기 좀 사서 먹이고
신랑 좋아하는 과일도 새로 사오고
새반찬도 좀 해야겠어용~~!

#신랑도시락 #직장인도시락 #점심도시락 #도시락

#새우볶음밥 #김치전 #부추전 #오징어야채전 #모둠전 #간장
#코팅아몬드 #쥐포무침 #닭가슴살스테이크"
,,jjokko_me84,2시간 전,2021-08-05T09:17:31.000Z,2021년 8월 5일,"오늘저녁은 김치부침개ㅋㅋㅋ
어제부터 먹고싶다고 징징 댔는데
오늘 드디어 해주네요 허허 거참
해달라고 할때 안해주고😑😑
어쨌든 해주니까 봐준다ㅋㅋㅋㅋ

얼릉부처라 한장으로 부족하다ㅋㅋㅋ
다들 오늘 저녁 뭐드시나요?
맛있는 저녁 되세요~~♡

아놔😡😡 글쓰고 딸래미 사진 찍고 있는 사이에 이건 뭔가요?? 빠삭한게 맛있다며
나를 주는것도 아니고,,,
자기는 겉이 빠삭해서 좋다며ㅡㅡ
제 접시에는 가운데 부분만 놓여 있네요

#오늘저녁메뉴 #김치전 #김치부침개
#신김치 #묵은김치 #친정엄마김치
#남편 #남의편 #에라이 #빠삭😳"
,,ssteve_606,3시간 전,2021-08-05T08:39:26.000Z,2021년 8월 5일,"운전해야해서 막걸리 못먹은 것 레전드..
@k.narae_ 면허좀 따주세요..😢"
"Jakarta, Indonesia",https://www.instagram.com/explore/locations/214427142/jakarta-indonesia/,ysn1017,3시간 전,2021-08-05T08:38:23.000Z,2021년 8월 5일,"ᴋɪᴍᴄʜɪᴊᴇᴏɴ
🤩
Kalau pakai cumi2 ke kimchijeon
itu lebih enak

오징어에 애호박까지 넣고
오랜만에 김치전-

역시 튀김, 부침 등
기름 쓰는 요리는
갑천쓰가 짱짱맨쓰-
.
.
#김치전 #kimchijeon
#윤시내집밥
#sinaexfood_homemade"
,,khy318,3시간 전,2021-08-05T08:34:46.000Z,2021년 8월 5일,#김치전#남편퇴근시간다가오면준비하는안주?#남들은여름이면입맛도없다던데#난매일오늘뭐먹지😋
바로전집,https://www.instagram.com/explore/locations/292994163/,barojeon_d.d,3시간 전,2021-08-05T08:33:15.000Z,2021년 8월 5일,"빨간색 음식🍓🌶🍎🍒🍅이 식욕을 부른다던데..

빨간 김치전은 어떤가요?? 🧐❤️

.

배부르게 많이 드시는 것이 부담스러우시다면,

간단하게 김치전!!! 드셔보세요 😙

.

#은평구 #대조동 #역촌동 #응암동 #녹번동 #역촌역 #역촌오거리 #맛집 #바로전집 #역촌동맛집 #제육볶음 #모듬전 #불오징어 #동그랑땡 #깻잎전 #김치전 #고추전 #동태전 #호박전 #해물부추전 #부추전 #고추장찌개 #김치찌개 #라면 #묵사발 #국순당 #막걸리 #맞팔 #followforfollowback"
,,sjk1256,4시간 전,2021-08-05T07:24:38.000Z,2021년 8월 5일,"●문의만 주셔도 좋은 정보 공유 받으실수 있고
●오십만 투자로 부터 시작하여
●고수익 얻을수 있습니다.
●아직도 망설이고 계신분들
●고민하지 말고 문의 주세요~^^
● 재테크 무료 상담 문의
♡카톡문의: jsj230♡"
,,yoony7595,6시간 전,2021-08-05T06:06:10.000Z,2021년 8월 5일,"#펜션#홍천#강원도#2박3일#부추전#김치전#이모
#맛집#먹방#잣막걸리#낮술#신김치#힐링#음주
#코로나#방역수칙#격상#마스크#하나로마트
.
.
여유있게..산책후
펜션서..전부쳐먹기ㅋㅋ
.
.
#일상#공유#좋아요#먹스타그램#다이어트"
,,hansung_food,6시간 전,2021-08-05T05:59:32.000Z,2021년 8월 5일,"💝외국인 입맛 저격한 자랑스러운 한국 음식💝

한국 특유의 매콤한 맛이 매력적인 한국음식을 소개합니다!
매운 맛이 익숙하지 않은 외국인들도 한번 먹고 반해 자주 먹게되는 우리나라음식은 어떤 것들이 있을까요?🧐

안 먹어본 사람은 있어도 한번 먹은 사람은 없다는 매력 넘치는 한국음식은?

🔸부드러운 닭고기와 다양한 야채의 콜라보, 닭갈비
🔸매콤달콤한 양념에 쫄깃한 떡의 환상궁합, 떡볶이
🔸아픈 역사가 담겼지만 다양한 사리를 즐기는 재밌는 맛, 부대찌개
🔸취향대로 재료와 양념을 넣어 매일 기대되는 맛, 비빔밥
🔸이외 김치, 불고기, 김치전, 김밥, 삼겹살, 잡채

#외국인이좋아하는한국음식 #한국음식추천 #K푸드 #닭갈비 #떡볶이 #부대찌개 #비빔밥 #불고기 #김치전 #김밥 #삼겹살 #잡채"
평창막걸리,https://www.instagram.com/explore/locations/477129547/,94je_chan,6시간 전,2021-08-05T05:21:05.000Z,2021년 8월 5일,#모듬전 #평창막걸리 #석사동 #시민닭갈비부근 #25000원 #지평막걸리 #옥수수동동주 #비오면사람많음주의 #버섯전 #고추전 #깻잎전 #김치전 #파전 #소시지전 #동그랑땡 #호박전 #먹스타그램 #일상공유 #맞팔선팔환영 #전맛집
우리집♥,https://www.instagram.com/explore/locations/243605989/,irene__choice,6시간 전,2021-08-05T05:18:55.000Z,2021년 8월 5일,"오늘 점심은
막걸리1잔과 함께 😋
#김치전 & #부라타치즈샐러드
.
2-3일숙성해서 마시니 더 맛있는
막걸리계의 명품
#천지수막걸리
진심 강추~ 한번들 맛 보세요
.
@daehan_makgeolli
.

#협찬 #대한주조 #미슐랭막걸리 #고급막걸리 #막걸리안주 #막걸리맛집 #막걸리칵테일 #선물추천 #지인선물 #홈술 #취중진담 #탁주 #막걸리배달 #발효타이밍 #막걸리추천 #막걸리선물 #막걸리한잔 #생막걸리 #오양주 #술스타그램 #발효주 #쌀막걸리 #전통주"
