location_info,location_href,upload_id,date_text,date_time,date_title,main_text
답십리동,https://www.instagram.com/explore/locations/311524342/,0seoneun0,2일 전,2021-08-05T08:47:34.000Z,2021년 8월 5일,"21. 8.5 목🎈뚱스맛집_답십리🎈협찬
#치킨매니아 #새우치킨 🎥포함리뷰
ㆍ
뚱하~~🙃
오늘도 무탈하셨나요~
주말을 앞두고 목욜부터 행복해지는건 저만 그런거 아니죠❤
ㆍ
울애들 치킨 먹고싶다고해서 배달찬스~~
<치킨매니아> 신메뉴 <새우치킨> 시켰어요.
ㆍ
새우치킨에 기본적으로 새우가 포함되있으나 푸짐하게 먹으려고 ✔새우추가했는데 상자열어보니 아주 한가득 푸짐하네요👍 역시 추가하길 잘했어요.
ㆍ
많이 매울까봐 걱정했는데 웬뇰~~ 양념치킨인데도 바삭하고 깐풍기처럼 매콤, 달콤, 새콤 넘 맛있어서 울애들도 아주 잘먹어요. 맥주를 부르는 맛이네요^^
올림픽보면서 치맥하면 세상 행복이쥬~
ㆍ
치킨과 새우 둘다 좋아하시면 맛있고 가성비좋은 치킨매니아 새우치킨 꼭드셔보세요. 새우추가해도 20,900원 👍
🧿새우치킨(뼈) 18.9
🧿새우추가 2.0~3.0 (지점별상이)
ㆍ
오늘도 고생 많으셨어요
울님들 행복한 목욜저녁 보내세요💕
ㆍ
ㆍ
🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️
치킨매니아 @chicken_mania

🚩치킨매니아_답십리1호점
▪️16:00~23:59
▪️포장, 배달
🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
#레게노치킨#깐풍기#치즈볼#치킨신메뉴#치킨추천#야식추천#치킨배달#배달치킨#치킨맛집#배달음식추천#맛있는치킨#치킨사랑#치킨스타그램#치맥#야식스타그램#답십리맛집#서울맛집#치킨#맥주안주#순살치킨#후라이드치킨#양념치킨#깐풍새우#맛집추천#홈쿡스타그램#집밥스타그램#요리스타그램 #저녁밥상"
,,hojun1129,5월 27일,2021-05-26T23:46:38.000Z,2021년 5월 27일,"#재송동 #객잔by미쓰꾸냥

재송시장 입구
설빙 맞은편입니다.

중식 주점입니다.

개업때 가보고
2번째 방문입니다.

친구랑 식사를 하고
그냥 가기 아쉬워서
깐풍기에 간단히 마셨습니다.

개업 때는
세트메뉴를 선택했었는 데

메뉴에 변화가 생겼나봅니다.

깐풍기의
착한 가격과 맛에 만족했습니다.

식사를 하고와서
다른 메뉴를 못 먹어 아쉬웠지만

연태고량주랑
먹으면 좋겠다는 생각이 들더군요.

다음에는 고량주와 함께!

#객잔
#객잔미스꾸냥 #미쓰꾸냥
#재송동객잔 #객잔재송동

#재송동맛집 #재송동술집
#재송동중식 #재송동중식주점

#재송동깐풍기 #깐풍기

#비밀부엌방 #비밀맛집
#비밀깐풍기 #비밀중식 #비밀재송동"
,,forenooooon,7월 28일,2021-07-28T07:21:25.000Z,2021년 7월 28일,"#유료광고 #CJ고메 @cj.gourmet
요린이도 완벽하게 한상 차릴 수 있는 CJ고메 중화요리 라인업 ‘고메루’!
믿고 먹는 고메에서 신제품 깐풍기 출시하면서 완벽한 굿즈까지 준비했다고 하네요🍜🥟🍤

에어프라이어로 간편하게 깐풍기를 만들고, 중식당 부럽지 않은 탱글한 면빨의 짜장면까지 갓 만들어 갓 먹어 더욱 맛있는 중화요리 끝판왕⭐️
고급 중식집 느낌 뿜뿜할 수 있는 한정판 콜라보 굿즈 인센스와 달콤한 디저트 수제 젤라또까지🍨🍧
함께하니 고급스러운 중식집 저리가라예요🥢🥢🥢

콜라보에 대한 자세한 내용 궁금하신 분들은 29CM PT 온라인 기획전에서 확인 가능합니다😋

#고메 #고메루 #29CM #고메루굿즈 #한정판 #콜라보 #고메탕수육 #고메깐풍기 #고메짬뽕 #고메짜장 #인센스 #샌달우드 #올롯 #젤라또 #펠앤콜 #중화요리 #탕수육 #깐풍기 #짜장면 #짬뽕"
소원반점,https://www.instagram.com/explore/locations/108444667971012/,hobby_wife,7월 10일,2021-07-10T08:19:59.000Z,2021년 7월 10일,".

#소명커피바 #커마카세 가기전
#봉산동 #소원반점 들러

새콤달콤 살얼음 가득한 #중국냉면 ₩8,000
(땅콩버터 살살 풀어서 진한 고소함을 더해 후루룩)
흑식초로 맛을낸 미친 양념에 바사삭 닭튀김 #깐풍기
절대 돈아깝지 않은 중국식 오이무침 #파이황과 ₩2,000

맛있게 먹었어요
이곳은 맛없는 메뉴가 없어요 ㅠㅠ

🏷소원반점 처음이라면
1. 짜장면 6,000 (라조장이랑 드세요)
2.마파순두부 8,000
3.깐풍기 half 13,000

@sowonbanjum

아직 제가 여기서 초마면(짬뽕) 안먹어봄 ㅋㅋ
먹고 순위바뀔수 있음 ㅋㅋㅋㅋㅋ

🏷 매장 옆 유료주차장 1시간 무료주차

#취미주부_대구 #취미주부_대구맛집 #취미주부_봉산동"
"Busan, South Korea",https://www.instagram.com/explore/locations/287620626/busan-south-korea/,duck2c,7월 30일,2021-07-30T10:00:42.000Z,2021년 7월 30일,"#치킨매니아 (🔥금) 협찬

𓅿 @chicken_mania
𓅿 새우치킨(뼈)18,900원
𓅿 새우추가 2,000원

치킨매니아 신제품 새우치킨 🦐
달콤 맵삭한 치킨에 새우까지
저는 새우를 너무 좋아해서
새우를 추가 했는데요 ㅎ
그렇게 해도 가격이 20,900원 ㅎ
일단 양념이 진짜 맛있어요
매콤 달콤 새콤 ㅎㅎ 🍗
더 맛있게 느껴진건 바삭함
와우 진짜 바삭 바삭 정말 좋았어요
새우도 바삭하게 튀겨져서 치킨이랑
먹기 너무 좋았네요 ㅎ
불금에 진짜 불나는 치킨 ㅎ
엄청 맛있게 잘 먹었습니다 😜

#먹스타그램 #레게노치킨 #새우치킨 #깐풍기
#치즈볼 #치킨신메뉴 #치킨추천 #야식추천
#치킨배달 #배달치킨 #치킨맛집 #배달음식추천 #맛있는치킨 #치킨사랑 #치킨스타그램 #치킨"
홍명,https://www.instagram.com/explore/locations/169502993579797/,baikseol_g,6월 22일,2021-06-22T14:45:40.000Z,2021년 6월 22일,즐거운 푸파~~~🍲🍗🍶🍽
자은동 에일린의 뜰,https://www.instagram.com/explore/locations/354353728358119/,strong_hyem,5월 8일,2021-05-08T11:53:18.000Z,2021년 5월 8일,"어버이날 몸으로 때우기 2탄
힘들어여....
#오늘혬밥상
#탕수육 #깐풍기 #마파두부 #울면"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,ddomukzzi,7월 29일,2021-07-29T11:48:39.000Z,2021년 7월 29일,"< #협찬 인데 존맛탱💛/ #치킨매니아 @chicken_mania / #새우치킨 (₩18,900)+새우추가(₩3,000)=(₩21,900) >
#깐풍기 져아하시면 구냥 드세요,,💛요 아이 치킨매니아 대표메뉴라구 해요!!ㅎㅎ
살짝 매콤하면서 달달한 깐풍기 느낌의 치킨!!ㅎㅎ
기본으로 새우가 들어잇지만 새우추가는 국룰!!👍🏻
✔️새우치킨+새우추가
살짝 매콤하면서 달달하구 아주 살짝 새콤한게 딱 깐풍기맛💛
양념치킨인데도 겉이 바삭바삭해서 굿굿ㅠㅜㅠ
치킨매니아는 처음 먹어보는데 양이 디게 많더라구요ㅎㅎ치킨러버는 넘 행복 그 자체,,💛
새우도 겉엔 바삭하구 속은 오독오독 씹히는게 최고!!ㅎㅎ
처음 먹어보는데 넘 마잇어서 다음에 사먹을 의사 잇어요!!💛
+양이 많구 마잇어서 완전 취저 탕탕입니댜ㅎㅎ
.
.
.
#레게노치킨 #치즈볼 #치킨신메뉴 #치킨추천 #야식추천 #치킨배달 #배달치킨 #치킨맛집 #배달음식추천 #맛있는치킨 #치킨사랑 #치킨스타그램"
치킨♥,https://www.instagram.com/explore/locations/664513331/,mukmuk_ga,7월 28일,2021-07-28T07:04:21.000Z,2021년 7월 28일,"🍤새우덕후들 나와라🍤 #치킨매니아 #새우치킨
파삭파삭한 튀김옷에 깐풍기st 양념소스가 묻어있는 존맛탱 치킨✨소스가 매콤, 달콤, 새콤새콤하다고요〰️

치킨매니아 대표메뉴답게 너무 맛있는 새우치킨은 새우튀김이 가득가득 들어이쒀요🍤🍤🍤
새우 추가해서 행복 Up시키면 기분도 업된다구요🔥
새우가 손바닥 가득 올라가는데 그것도 일부만 올라간거예요🥺양이 아주아주 많아용🌟

새우 덕후들 빨리 근처 치킨매니아 찾아야해요@@ 💓

✔️상호명: 치킨매니아 은행점
@chicken_mania
@chickenmania_eunhaeng
💡위치: 시흥시 대은로 104번길 10, 1층:
💰메뉴: 새우치킨(뼈)18,900원 + 새우추가 +2~3000원= ￦20,900
-
-
-
#치킨매니아 #레게노치킨 #새우치킨 #깐풍기 #치즈볼 #치킨신메뉴 #치킨추천 #야식추천 #치킨배달 #배달치킨 #치킨맛집 #배달음식추천 #맛있는치킨 #치킨사랑 #치킨스타그램"
,,2h.kwon,42분 전,2021-08-08T04:13:07.000Z,2021년 8월 8일,"오랜만에 #크리스탈제이드
.
#신세계프리미엄아울렛파주 #홍콩식딤섬 #깐풍기 #공부가주"
