location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,muk_ggyul,7월 13일,2021-07-13T05:35:45.000Z,2021년 7월 13일,"#뀰_먹스타
-
#송화산시도삭면#도삭면#꿔바로우#샤오롱바오#건대맛집#건대
-
병동 선생님이 알려준 건대 맛집😉
여기가 글케 맛있다면서..그래서 바로 후다닥 먹고왔슴돠!
tv에서도 많이 나온곳인거 같더라구요ㅎ
가지튀김이 유명한 곳인데 같이 간 친구가 가지를 안좋아해서..꿔바로우로!!
일단 도삭면은 면이 쫀득하고 찰지면서 얇은 부분은 국물이 스며들어서 아주 그뤠잇
꿔바로우는 약간 새콤하면서 세상 바삭해서 도삭면이랑 넘나 잘어울린답👍🏻👍🏻
샤오롱바오는 육즙 장난아녘ㅋㅋ한판 더시킬걸 하는 맘이였는데 참음..
진짜 코박고 음식에만 집중해서 먹은듯 강추에영!!😘"
현대백화점 판교점,https://www.instagram.com/explore/locations/274576576310199/,duyoungjung,7월 7일,2021-07-07T11:10:20.000Z,2021년 7월 7일,"환상의 조합 😋
.
#유니자장면 #꿔바로우 #군만두
이거면 끝이에요~😍
중국 아니고요 🤣
#현대판교점 #신승반점
#수요미식회 맛집으로 인정합니다 👍
.
먹을때만 마스크 오프 😷"
광나루역,https://www.instagram.com/explore/locations/453162032/,mukgenie,3일 전,2021-08-20T12:00:06.000Z,2021년 8월 20일,"마늘칩이 한가득 올라간 꿔바로우다 . #범가
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
모양은 탕수육인데 사실 맛은 꿔바로우다. 넙적하지않음 !
마늘이 가득 올라갔지만 마늘향이 심하지는 않다.
위에 올라간 마늘칩을 한가득 올려먹어야 제대로 느껴진다 .
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
소스가 가득 뿌려져있는데도 바삭함이 느껴지는 맛이다.
다먹을때까지도 바삭해서 살짝 놀랬음. 소스는 계피향 가득
마늘칩을 중간중간 먹어주면 하나도 안질리는것같다.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
마늘칩계란볶음밥도 주문했는데 사실 이게 더 맛있었다 .
고소한 볶음밥 풍미와 마늘칩의 조화+짜장소스까지 !
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
✨별점 𖤐 𖤐 𖤐. 5
🔍위치_ 서울 광진구 광장로 58-1
💡가격_ 마늘 찹쌀탕수육 ₩19,000 마늘볶음밥 ₩8,900
🧨시간_매일 11:30 ~ 21:30 (B.T 15:00 ~ 17:00)
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#광나루한강공원 #광나루 #광나루역맛집 #광나루역 #꿔바로우 #꿔바로우맛집 #마늘칩 #마늘 #강동구맛집 #강동구 #강동구청맛집 #천호맛집 #아차산 #아차산맛집"
중앙감속기,https://www.instagram.com/explore/locations/720293098150024/,jjin._.e__,3일 전,2021-08-20T09:06:05.000Z,2021년 8월 20일,"🍽성수 중식 퓨전레스토랑 - 중앙감속기🥢

요번에는 최현석 셰프님이 운영하는 “중앙감속기”에 다녀왔어요☺️

남자친구가 유튜브 보다가 우연히 알게된 레스토랑인데 위치가 또 회사 근처인 성수역쪽이라 퇴근하구 바로 가보게 되었어요🙊❤️

중앙감속기는 중식 퓨전레스토랑으로 중식과 이탈리아 음식의 퓨전 느낌이더라구요👀
예약하구 들렸는데 핫한 곳이라 그런지 평일 저녁에두 웨이팅이 많았어요👍

제가 갔을 때 최현석 셰프님두 계셔서 주문도 친절하게 받아주시구 실제로 뵈니까 넘넘 신기하더라구요😆

🥗어향가지와 부라타치즈튀김
유튜브 영상보다가 제 사랑 부라타치즈로 한 요리가 나와서 바로 가보구 싶다구 생각했는데 비주얼을 보니 오길 잘 했다는 생각이 막 들더라구요👍

겉은 완전 바삭하구 속은 녹아서 부드러운 부라타치즈에 중국식 어향소스+가지튀김+루꼴라+부라타치즈 안에 바질페스토 조합이 진짜 너무너무 잘어울리구 가지튀김도 겉바속촉이라 사르르하면서 먹자마자 사라져요🤭🤭
(부라타 자르는 영상은 릴스❤️)

🥢발사믹 꿔바로우
요거는 중앙감속기의 시그니처 메뉴 중 하나로 이탈리아 발사믹 식초를 사용하고 발사믹과 궁합이 좋은 딸기를 곁들인 중국식 꿔바로우예요😆

다들 진짜 많이 주문하셔서 나오기 전에 매장에 발사믹 향이 가득해지구☺️ 꿔바로우도 완전 바삭하면서 발사믹이랑 너무 잘어울려서 놀랐네요ㅎㅎㅎ
중간중간 딸기도 신기하구 담에 또 먹구 싶은 맛이었어요👍

🍚크림리조또 공기밥
중앙감속기에서 공기밥은 “크림리조또”❤️
메뉴 2개만 시키기에는 아수워서 어떤걸 시켜볼까하다가 양이 딱 적당할거 같았던 공기밥을 같이 시켰어요ㅎㅎㅎ
사이즈도 둘이 노나먹기 좋구 양은 적어도 맛이 진짜 음식으로 나오는 리조또 퀄리티라 너무너무 맛있게 먹었네요😆

담에 또 가면 동파육이랑 차돌 마라크림 짬뽕 꼭 먹구 오려구요❤️ 잇님들두 불금 잘보내시구 맛난거 많이 드세용~~!!!

#성수맛집
#중앙감속기"
소고산제일루,https://www.instagram.com/explore/locations/703236835/,bbo_muksta,7월 20일,2021-07-20T10:57:37.000Z,2021년 7월 20일,"저 인생 꿔바로우를 찾은것같아요,,,❗️ #소고산제일루

🔸꿔바로우 소(10000)
🔸고기 군만두 6p(8000)
🔸마라탕 중(18000)

✅수요미식회 맛집으로도 유명한 홍대 소고산제일루를 다녀온 후 솔직후기 남깁니다🤗훠궈,양꼬치,만두,마라탕등 정말 다양한 중국음식들이 있었고 직원분들도 친절하셔서 좋았어요💓

🔸꿔바로우
여기 꿔바로우 진짜 찐이예요...😳고기도 실하게 들어있고 쫀득쫀득한 피가 소스도 적당히 새콤달콤해서 넘 맛있었어요💛고기 잡내없이 깔끔했고 식감이 쫀득쫄깃한게💯

🔸마라탕
꿔바로우와 짝꿍인 마라탕과 함께 먹었는데 마라탕국물이 찐해서 좋았어요🥰사골베이스에 얼얼한 마라향 그리고 여러가지 재료와의 조화가 국물이 많이 자극적이지 않아서 맛있었어요!!

🔸고기군만두
만두소가 정말 실했고 한입베어무는 순간 육즙이 가득가득 군만두라 바삭하면서도 퐁신퐁신한 식감이 좋았어요😍꿔바로우 소스에 찍어먹었는데 엄청 잘어울리더라구요!!

#홍대맛집 #꿔바로우 #꿔바로우맛집 #마라탕맛집 #홍대데이트 #만두맛집 #고기만두 #중식맛집"
,,arampp__,5월 28일,2021-05-28T01:31:16.000Z,2021년 5월 28일,"혹시 안양사시는 분들
마라탕 시키시면 #소림마라안양만안점 🙏🏽
이거보고 시키시면 소고기랑 야채 서비스 주신데요

남은 짜투리 청경채에 건두부 푸주 분모자 피시볼 숙주 (원래는 양고기도) 볶볶, 마라 너무 중독적 ㅜㅜ
내꺼만 따로한거라 비주얼 저래도 맛있음🤣

#일일알바 #마라탕 #꿔바로우 #로제떡볶이
#안양맛집 #배민 #쿠팡이츠 #dailyfood
#안양배달맛집 #안양야식 #만안구 #안양배달 #석수배달 #석수마라탕 #마라샹궈 #석수맛집
#블랙로제 #석수떡볶이 #안양떡볶이배달 #안양마라탕
#배고프다"
동일루,https://www.instagram.com/explore/locations/123566968332435/,a.lonely.foodie,22시간 전,2021-08-22T16:31:31.000Z,2021년 8월 23일,"망리단길에서 배터지게 중식 동일루 🍜
요즘 들어 예전 같았으면 웨이팅 때문에 엄두도 못 냈을 식당들에 종종 간다. 거리두기 영향인지. 동일루도 그 중 하나.
둘이서 짬뽕, 짜장 그리고 찹쌀탕수육 작은거 주문. 짜장은 무난했고 짬뽕은 해산물이 실하게 들어간 것에 비해 국물이 가벼웠다. 매콤한 맛으로 짬뽕을 즐기는 나에겐 좀 아쉬운 맵기. 찹쌀 탕수육은 튀김이 워낙 바삭하고 크기도 알맞게 잘라져 나와 평소 꿔바로우를 즐긴다면 좋아할 듯
*유니짜장 6천, 하마짬뽕 9천9백, 찹쌀탕수육 (소) 2만"
,,heejiny1231,2일 전,2021-08-21T11:22:41.000Z,2021년 8월 21일,".
.
.
붸붸야
탕수육은 이제 그만 먹으면
안될까_?🥺

#언제까지 #어깨춤만 #추게 #할거야_
#언제까지 #탕수육만 #먹게 #할거야"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,uzzatv,8월 5일,2021-08-05T05:10:32.000Z,2021년 8월 5일,"오늘 오후 5시 35분! 신세계쇼핑에서 ‘인절미 탕수육’을 판매합니다!
신세계쇼핑 첫 방송이라 가족들과 같이 출연합니다❤️
시켜먹기 귀찮을 때, 에어프라이어로 간편하게!
에어프라이어도 귀찮다면 후라이팬으로 간편하게!
후라이팬도 귀찮다면 전자레인지로 간편하게!
맥주 안주로도 최고💕 짜파게티에도 최고💞
떡볶이 토핑으로도 최고🧡 아주 맛난답니다🔥
-
8월 5일 오늘 오후 5시 35분! 신세계쇼핑에서 만나요👍🏻🤍
-
#홈쇼핑 #신세계 #신세계쇼핑 #라이브방송 #탕수육 #린찐 #차이나린찐 #꿔바로우 #안주 #맥주 #야식 #오늘뭐먹지 #1호가될순없어 #예능 #짤"
,,yeon_cheezz,12분 전,2021-08-23T15:17:15.000Z,2021년 8월 24일,호기로운 먹깨비들👹
