location_info,location_href,upload_id,date_text,date_time,date_title,main_text
쇼린 - 笑林,https://www.instagram.com/explore/locations/259801886/-/,winevling,4월 20일,2021-04-20T04:57:04.000Z,2021년 4월 20일,"요즘 점심은 계속 #샐러드 먹는 중인데 가끔 난 뭘먹고 살았었지? 하고 사진첩을 뒤집니다 😭

어후 오늘 발견한 사진은 #청담맛집 #이자카야 #우니맛집 @shorin_ 에서 배터지게 먹은날!

신선한 해산물 특히 우니가 정말 맛있고 #콜키지프리 라서 부담없는곳.
#우니 #회 #세비체 #명란구이 #나베 #갈비찜 6월에 다시 봐요! ㅎㅎ"
슈엔-酒縁,https://www.instagram.com/explore/locations/1272638396181771/-/,shu_n5142,3월 27일,2021-03-27T08:41:38.000Z,2021년 3월 27일,"청어김말이.

주말인데 비가 추적추적 내린다.
#출출해요#슈엔#잠원동의희망#술과인연#선술집#신사역#강남#모듬사시미#꼬치#나베#모츠나베#매운지옥나베#스지오뎅탕#청어#참치#도미#농어#酒縁#酒#居酒屋#2021#토요일#청어이소베마끼#하루#단새우#배달의민족#배달#포장"
야루키,https://www.instagram.com/explore/locations/104797061408701/,hj941030,4월 5일,2021-04-04T23:55:52.000Z,2021년 4월 5일,용산 맛집 '야루키'
슈엔-酒縁,https://www.instagram.com/explore/locations/1272638396181771/-/,shu_n5142,2020년 10월 22일,2020-10-22T09:43:20.000Z,2020년 10월 22일,"목요일스럽게.

#출출해요#슈엔#꼬치#잠원동의희망#술과인연#선술집#신사역#강남#모듬사시미#나베#2020"
히비 - HIBI,https://www.instagram.com/explore/locations/101974741716626/-hibi/,sonjaew1,7월 17일,2021-07-16T15:01:03.000Z,2021년 7월 17일,".
열정도 히비 ‘여기는 삿포로인가 서울인가’
.
일단 1차로 오면 밥먹기 좋고 술마시기 좋은곳인데 2차나 3차로 오면 배불러도 또 밥을 찾고 있고 술도 잘들어가는곳입니다👏🏻
.
그냥 냄새부터 해외에 온 느낌인곳입니다👏🏻👏🏻
.
일본 카레하면 골든큐브를 생각하는데 거기서 더 찐하고 더 깊은 맛의 스프커리 나베 집입니다👏🏻
.
초원을 갔다가 2차였는데도 불구하고 새롭게 시작하도록 만들어준곳입니다👍🏻
.
호밀누들 아니면 우동면 선택인데 호밀누들이 우동보다 더 잘 어울리더라구요 굵기도 그렇고 맛도 그렇고 암튼 호밀 완전 추천입니다👍🏻
.
그렇게 먹다보면 갑자기 역시 카레엔 밥인데 왜 내가 밥을 안시켰지 생각에 저도 모르게 밥을 시켜서 비벼 먹고있습니다🤣
.
꼬치들도 일식 제대로이고 카라아게도 일식 제대로입니다👏🏻
.
여기는 소주와 사케, 화요도 정말 잘 어울릴거 같은데 주류가 다양하지가 않아 아쉽습니다🥲
.
너무 잘 챙겨주셔서 감사하고 잘먹었습니다🙇🏻‍♂️
.
▪️서울 용산구 원효로1가 128-12
▪️히비커리나베 극 : 26,000원
▪️소대창구이 : 3,000원
▪️소살치구이 : 3,000원
▪️양등심구이 : 3,000원
▪️닭봉카라아게 : 6,000원
▪️산토리프리미엄몰츠(380ml) : 10,000원
▪️하이볼 : 8,000원(샷추가2,000원)
.
.
.
#먹스타그램#맛스타그램#맛집#찐맛집#용산#열정도#남영동#용산맛집#열정도맛집#남영동맛집#카레#커리#스프커리#나베#커리나베#커리맛집#스프커리맛집#커리나베맛집#나베맛집#원마카세_용산구#hibi#히비
#술스타그램#안주스타그램#맥주#산토리#하이볼"
"Daegu, South Korea",https://www.instagram.com/explore/locations/102159636493202/daegu-south-korea/,ugiski,3월 12일,2021-03-12T01:15:46.000Z,2021년 3월 12일,"대구 대명동 #진해숯불막창
다시금 느껴본 절창의 맛
.
이곳은 사람반, 막창반
돼지막창과 절창을 주문해보았다
소스에 쪽파, 고추 팍팍넣어
소쥬한잔 똑딱⚡
#대구#대구맛집#대구막창#막창#절창
#사람반막창반#된장찌개#대명동맛집
#이자카야#하츠#나베#고로케#홧띵ㅎ
#인셀덤#보타랩#김태희#비#연예인#미스트
#발라또#너발라또안발라또#뷰티스타그램#욱슼대구"
로바타잔잔,https://www.instagram.com/explore/locations/109879814124930/,crl_admire,3월 10일,2021-03-10T10:21:02.000Z,2021년 3월 10일,"#첫줄안녕

모란에 위치한 #분위기맛집 #이자카야 #로바타잔잔 입니다🙌🙌
매장 외부부터 느껴지는 이자카야의 향기..
이자카야 술집을 좋아하는 저로서는
분위기가 좋은 술집을 매우 좋아하는데요?
모란에 위치한 이자카야 로바타잔잔은
외관부터 너무 맛있겠다는 느낌이 온몸으로 전해지더라구요🥰
내부더 너무 좋았습니다 목제로 인테리어가 되어있고
전통적인 붙위기와 주황등불이 너무 마음에 들었습니다.
입장부터 인테리어에 취한다..✨

이자카야 답게 메뉴판 그리고 메뉴들도 일식들로 가득했습니다.
가장 좋아하는 #사시미 그리고 #나베 , #스끼야끼
그리고 최근 가장 먹고싶었던 #꼬치 들까지!🤤🤤
저희는 #스끼야끼 그리고 #추천꼬치5종 이렇게 2가지를 시켰습니다.
추천꼬치는 그날그날 셰프님 추천으로 그날그날 바뀐다고 합니다‼️
저희는 #은행꼬치 #메추리삼겹 #파인애플삼겹 #대파삼겹 #명란가슴살
이렇게 5가지로 나왔습니다. 우선 맛은 제가 보장합니다..
다이어트 하는 도중 이렇게 많이 먹다니.. 반성하지만 행복하네요 ❤️❤️

모란에서 맛있는 이자카야, 분위기 맛집, 단체 혹은 룸이 있는 술집을 찾으신다면
모란 로바타 잔잔에 방문해 보시는걸 추천드립니다👏👏

#모란역맛집 #모란맛집 #일식맛집 #데이트코스 #성남데이트코스 #성남데이트 #모란데이트 #모란회식 #성남회식"
,,mr__kkim,2월 10일,2021-02-10T04:15:58.000Z,2021년 2월 10일,"돌아온
#늙은호박"
,,sep6_iktaewon_official,3월 15일,2021-03-15T08:20:35.000Z,2021년 3월 15일,"날씨만 봐도 설레는 봄날,
소중한 사람들과 익태원에서 소중한 시간 보내셨으면 좋겠습니다😃
#익태원어양점 정상오픈
.
.
open 17:00
close 02:00
.
.
익산맛집#익산술집#원광대#원광대학교#영등동맛집#부송동맛집#전주카페#군산카페#신시가지#대학로#수송동#익산데이트#익산여행#맛집추천#생연어#나베#전골나베#칵테일#와인#칠리새우#불닭#탕수육#맛집#맛스타그램#익산파스타#파스타#익산나베#어양동맛집"
,,dieter._.yam,2시간 전,2021-08-05T11:17:40.000Z,2021년 8월 5일,"2021.08.05 목
-
-
-
아침: 사과 1/2개 & 닭찌소세지 1개
-
-
점심: 닭찌 100g & 스윗칠리소스 1티스푼 & 상추 & 양상추 & 밤호박 90g
-
-
간식: 그릭요거트 50g & 트윅스탑 과자 1개
-
-
저녁: 우둔살 100g 나베 (숙주&배추) & 현미밥 100g
-
-
-
-
레그프레스 정말 너모 힘들어 죽겟다
근데 다하구 나면 엉덩이쪽? 자극이 잘 느껴져서 운동 제대로 한 것 같은 느낌 들어서 조음ㅠ
엄마가 우유랑 플레인요거트 섞어서 진짜 수제 그릭요거트 만들어줬는데 사먹는 것보다 맛있어서 놀랐다ㄷㄷ
트윅스탑에 올려서 먹으니까 극락
친구가 준 밤호박도 개ㅐㅐ존맛 역시 퍽퍽한 구황작물 체고다
-
-
-
-
#식단일기 #식단기록 #식단 #다이어트 #다이어터 #사과 #닭가슴살소세지 #닭가슴살 #샐러드 #간식 #트윅스탑 #트윅스 #그릭요거트 #우둔살 #나베 #현미밥 #맛있다 #일상 #diet #daily #폭식증 #폭식증극복"
