location_info,location_href,upload_id,date_text,date_time,date_title,main_text
Amazing Brewing Company,https://www.instagram.com/explore/locations/2228922944001791/amazing-brewing-company/,oh_yunjong,2월 18일,2021-02-18T13:36:43.000Z,2021년 2월 18일,".
날씨가 조금 풀렸다고 손님이 금방 늘어나네 :)
내일도 도우 많이 준비해놨으니 핏자 드시러 오세요~ 🤩

내일은 요즘 핫한 브라운치즈를 만들어 볼 예정 🔥
(오늘 리코타 치즈 만들고 남은 유청 사용할거임. 버리는게 없다!👍)"
포폴로피자,https://www.instagram.com/explore/locations/561118414086600/,_chae__chef,2020년 9월 26일,2020-09-26T04:19:26.000Z,2020년 9월 26일,"일산 포폴로피자 화덕피자에 장작을 사용해서 장작의 훈연향가득! 맛은 굿굿
매번갈때마다 피자3판기본."
서래마을 볼라레,https://www.instagram.com/explore/locations/278554216/,hyon_ing,2020년 6월 3일,2020-06-02T15:59:07.000Z,2020년 6월 3일,"한국 최초 나폴리피자협회 인증 맛집 🍕
#마르게리따 진짜 맛있다ㅠㅠ
#파스타 까지 맛있다"
폴베리,https://www.instagram.com/explore/locations/100180375145352/,polveri.by.nino,3월 23일,2021-03-23T09:19:21.000Z,2021년 3월 23일,"천연발효종으로 만든 나폴리식 화덕핏짜🍕
-
폴베리핏짜앳홈🚚🍕
지금 바로 스마트스토어에 등록 해놨습니다!

일주일에 하루, 월요일만 만드는 시간이 되서
소량만 가능합니다ㅜ
많이 만들지 못한점 양해 부탁드리며

우선은 마르게리따 한 종류와
프로슈또 토핑 추가로 진행합니다.😀

프로필 링크에 스마트스토어 주소 있습니다!
상품이 안보이시면 전체상품을 클릭하시면 됩니다👍
선착순입니다😉
-"
Gino Sorbillo Artista Pizza Napoletana,https://www.instagram.com/explore/locations/216662911/gino-sorbillo-artista-pizza-napoletana/,panello_,2019년 11월 13일,2019-11-13T02:51:16.000Z,2019년 11월 13일,"보고 먹고 고민하고...
피자 한판 정도는 호로록 할 수 있도록.
#빠넬로#피자공부#피자연구#고시공부처럼#10회독#나폴리피자"
핏제리아오,https://www.instagram.com/explore/locations/237700015/,pizzeria_o,2020년 8월 8일,2020-08-08T00:38:48.000Z,2020년 8월 8일,"멋진 박주호님과 소중한 시간이였습니다.
즐거운 추억을 남겨준 캡틴 파추호님!
항상 부상 조심하시고 좋은날에 또 만나요:)

📌 규현 스승에 이은 캡틴 파추호의 스승!
피자를 배우는 박주호 선수의 하루는
📌 유튜브 이진형 셰프TV와
캡틴파추호에서
재미있는 영상으로 확인하세요~

#핏제리아오#이진형셰프#피자월드컵1위#박주호#파추호#캡틴파추호#울산현대#나폴리피자#피자장인#건후#나은#피자맛집#대학로맛집#혜화역맛집"
폴베리,https://www.instagram.com/explore/locations/100180375145352/,polveri.by.nino,2월 13일,2021-02-13T11:51:50.000Z,2021년 2월 13일,"내일(14일) 하루만 떠나는 나폴리여행✈️
-
평소에 폴베리는
로마식 피자를 판매하지만,
일년에 두번, 설날과 추석 연휴 마지막 날
하루만 나폴리 피자로 선보입니다.😀

일반 나폴리화덕피자에서 한층 업그레이드된
까노또스타일(canotto style)을 만듭니다.
엣지부분에 공기층을 많이 형성 시켜
최대한 부풀려서 마치 고무보트를
연상시킨다하여 지어진 이름입니다.🛶

이탈리아 현지에서도 전통방식에서
점점 변화를 주는 추세이고
국내에선 예전 피자집을 운영했을 때
제가 최초로 선보였습니다.✌️

우선 내일은 혼자 운영하기에

☝️피자는 마르게리따만 판매합니다.
-추가 토핑은 내일 상황봐서 공지해보겠습니다.

☝️전용접시가 없기에 테이크아웃 박스로 제공됩니다.
-매장에서 드셔도 되고 바로 가져가셔도 됩니다.

☝️포크나이프 제공 안됩니다.
-물티슈와 손세정제 넉넉하게 드릴테니
내일만큼은 현지느낌 그대로.

☝️재료소진시 조기종료 합니다.
-도우가 한정되어있기 때문에 서둘러주세요.

☝️피맥도 좋지만 피와(피자+와인) 강추합니다.
-내일은 내추럴와인 보틀로 구매시 오르토케첩
하나 추가로 드립니다.

설 연휴에 많은 분들이 찾아주셔서
감사했습니다. 내일도 잘 부탁드리겠습니다!🙏

A domani!🙌
-"
양평,https://www.instagram.com/explore/locations/868932403/,travellerjun,2020년 11월 25일,2020-11-25T01:51:25.000Z,2020년 11월 25일,"경기. 양평. 용문면 조현리에 위치한 #핏제리아루카. 본점. since2018. 외국을 못나가니 요즘 나폴리피자가 자꾸 생각나고 양평에 간김에 찾아간 곳. 쫀득한 도우의 나폴리식 피자. 마르게리따, 라자냐 주문. 직접 화덕에서 구워주지만 화덕의 스모키한 향이 약한게 아쉽다. 좀 더 구워졌으면 좋았을듯. 토마토베이스는 새콤한 편. 라자냐는 라구베이스인데 국물이 너무 많았고 치즈도 물처럼 묽다. 맛있게 잘먹고 갑니다. 제 점수는요~ 5점만점에 3.5점 드릴게요~^^"
빠넬로panello,https://www.instagram.com/explore/locations/261477957/panello/,bimirya,2020년 5월 16일,2020-05-15T23:52:42.000Z,2020년 5월 16일,"원래 주말은 피자 먹는 날 아님?
빠넬로의 기본은 마르게리따 부팔라와 트러플 따야린을 시키는 것!
이태리산 트러플 듬뿍 올라간 진짜 트러플도 좋고 ❤
봉골레 뇨끼는 뇨끼 안 좋아하는 취향임에도 맛나게 먹은~
#빠넬로 #Panello #홍대 #나폴리피자
#마르게리따 #마르게리따부팔라 #트러플피자 #트러플따야린
#요새도 #트러플오일몇방울뿌리고 #트러플메뉴라는데있나
#그러나나도 #현실은 #파파존스나 #시켜먹을듯"
요리인류 청파언덕집,https://www.instagram.com/explore/locations/100788808221314/,cafe.cheongpa,1시간 전,2021-08-03T03:47:52.000Z,2021년 8월 3일,"8월 3일 청파언덕집 오픈했습니다.

어제는 희망클래스 <마들렌 만들기 클래스>가 진행되었습니다. 짧은 시간에 바닐라, 블루베리 크럼블, 애플시나몬 세 가지를 만들어 보았어요! 다들 너무 잘 하시고 만족하셔서 뿌듯했답니다 :)

오늘도 청파언덕집은 7시까지 열려있으니 편하게 방문해 주세요."
