location_info,location_href,upload_id,date_text,date_time,date_title,main_text
진미네,https://www.instagram.com/explore/locations/393536394603692/,summerlytaste,2020년 8월 28일,2020-08-28T03:43:37.000Z,2020년 8월 28일,Seafood heaven is where I get too busy to take photos. #진미네 🌻 난 해바라기가 좋아요.
범계역,https://www.instagram.com/explore/locations/391847498/,hundoctor,5월 6일,2021-05-06T11:48:29.000Z,2021년 5월 6일,"<오봉집>
.
한줄평 : 불 낙지와 제육, 막국수까지
.
- 범계위치, 친절하신 사장님
- 불맛 낙지, 부드럽고 고소한 가브리살 보쌈
- 막국수는 시다는 느낌을 받아.. 별로?
- 전체적으로 추천하고 싶은 집
.

#인친 #훈박사맛집탐방기 #좋아요 #셀피 #소통 #좋아요반사 #오오티디 #밥스타그램 #일상 #셀카 #점심 #저녁 #오늘의음식 #음식 #음식스타그램 #먹스타그램 #맛스타그램 #소주 #안주 #맥주 #야식 #먹방 #오늘의먹방 #맛집 #셀카스타그램 #럽스타그램 #오봉집 #보쌈 #낚지볶음 #범계맛집"
착한낙지,https://www.instagram.com/explore/locations/486141585211289/,jb_wang_no.32,2일 전,2021-08-03T07:53:52.000Z,2021년 8월 3일,"⠀
휴가는 못가더라도
주말은 좀 쉬자...👻
⠀
#착한낙지
#포항
#남구
#낚지볶음
#낚지해물파전
#새우튀김"
가산디지털단지,https://www.instagram.com/explore/locations/1009754055/,soonkyu_believe,2019년 5월 18일,2019-05-18T01:39:36.000Z,2019년 5월 18일,#가산맛집 #신육회 #서울맛집 #전국맛집 #먹스타맞팔 #내맘대로맛집 #숨은맛집 #먹스타그램 #맛스타그램 #육회튀김 #서비스부침개 #2차는이태원포차 #계란후라이 #낚지볶음
,,hana_jang0502,5월 6일,2021-05-06T06:42:52.000Z,2021년 5월 6일,"#짱구네 #동탄점 #드디어 #집주변에
#행복지수올라감 #인천맛집 #경기도맛집 #수원맛집 #동탄맛집 #기흥맛집 #한국맛집 #두루치기 #낚지볶음

인천만 가면 먹었던 짱구네 평상시 먹고싶어서 죽겠던 그게 드디어 경기도에도!!!!
와.... 사랑합니다.
믿고 먹는 짱구네

경기 화성시 동탄대로21가길 14-12 1층
#짱구네동탄점"
후루룩칼국수,https://www.instagram.com/explore/locations/277293516/,dal_dal_oh,4월 29일,2021-04-29T03:57:10.000Z,2021년 4월 29일,"낚지볶음 보자마자
막걸리 주문
나 딱 2잔마셨어 점심이라서ㅋㅋ

#첫줄반사#점심#대전#둔산동#후루룩손칼국수#맛집#먹방#낚지볶음#막걸리#낮술#점심메뉴#맛점#맛있다그램#먹스타그램#술안주#소통#인친#선팔맞팔#일상그램#일상기록#daily#데일리#오늘#목요일#좋아요#좋반#데일리스타그램#일상스타그램#행복#힐링"
건대입구역,https://www.instagram.com/explore/locations/262329219/,my_chaan,6월 25일,2021-06-25T08:07:07.000Z,2021년 6월 25일,"건대 오봉집

불향 솔솔 낚지볶음과 야들야들 삼겹 보쌈의 환상 조화
오봉쟁반 가득 맛있고 푸짐한 반찬까지 아주 든든한 곳

건대입구역에서 청담대교 가는길에 잔뜩 자란 담쟁이
덩쿨 푸르른 담을 바라보며 먹는 이국적인 뷰에
푸짐한 한상이 차려지는 곳이에요

강한 화력이 위아래로 나오는 화구에서 센불에 빠르게
볶아내는 #낚지볶음 향긋한 불내음에 매료되요
아주 큼직한 낚지인데 센불에 볶아 내선지 질기지 않고
아주 야들야들 탱글 쫄깃한 식감이 일품
매콤한 양념 입은 통통한 낙지와 촉촉하고 잡내없이
잘 삶아낸 #수육 한점 같이 곁들이면 여지껏 몰랐던
새로운 바다와 육지 결합의 맛에 아주 깜짝 놀랐어요❤️

직접 담그시는 #보쌈 김치 두종류도 아삭함이 살아있고
그날 그날 달라지는 새로운 반찬들도 정겹고 푸짐해요

이날은 게다가 분홍소세지전과 소세지야채볶음이 나와서
그 두개 만으로도 소주 세병 뿌셨다고 합니다

45000원 오봉낙지보쌈 하나면 삼겹보쌈에 낙지볶음
쟁반국수에 다양한 반찬들까지 네명이서 배 터지게
푸짐하게 먹을 수 있는 #가성비갑 맛집이에요

❤️영업시간 : 매일 11:30-22:00 (B.T 14:30~16:30)
❤️위치주소 : 서울 광진구 능동로 68 이튼타워리버1차 1층 112호-113호
❤️전화번호 : 02-447-3535
❤️주차여부 : 가능
❤️추가정보 : 야장 분위기 물씬나는 반야외석 강추

#오봉집 #건대오봉집 #건대맛집 #건대맛집추천 #낙지 #보쌈맛집 #보쌈정식 #자양동맛집 #가성비맛집 #노포맛집 #마이찬건대 #마이찬자양동 #먹스타그램 #맛집추천 #맛집소개"
환상의 섬 Jeju Island,https://www.instagram.com/explore/locations/238592883/jeju-island/,_yangjjung,2020년 2월 20일,2020-02-19T16:12:22.000Z,2020년 2월 20일,"먹고 먹고 먹고.!
먹고 먹고옴!.
...
..
.
#여행스타그램 #먹스타그램 #제주 #먹방
#양곱창 #해물라면 #갈치조림 #전복뚝배기
#육회 #육사시미 #방어회 #도미회 #딱새우
#흑돼지 #고사리해장국 #낚지볶음 #청국장"
,,realfollow_1,4월 21일,2021-04-21T06:14:44.000Z,2021년 4월 21일,#낚지볶음 #황리단길맛집 #경주가볼만한곳 #김포맛집 #경주맛집 #해운대맛집 #동성로맛집 #애월카페
,,good_shot_ju,1시간 전,2021-08-05T11:49:11.000Z,2021년 8월 5일,"#낚지볶음 #매운음식 #저녁

마시따~

#재택부업 #부업 #부업문의 #소통해요 #소통 #소통스타그램 #팔로우 #맞팔 #선팔 #직장인부업 #육아맘부업 #투잡 #좋아요 #좋아요그램 #좋아요반사"
,,juniye88,2시간 전,2021-08-05T10:42:57.000Z,2021년 8월 5일,"#낚지볶음
#낚지호롱구이

배고파서
눈뜨고보니
이미 먹은 흔적만 남아있네?!
누가 먹은거니?
사진은 어디로 찍은거데?ㅋㅋ

디저트인 낚지호롱구이만 남았네ㅋㅋㅋ
하나건졌다ㅋㅋ"
