location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,e.a.t.club,5일 전,2021-07-29T12:56:09.000Z,2021년 7월 29일,"말도 안되는 가격이다.
#성신여대맛집 #오래누드김밥
🪧디렉터 : 푸드민섭 @food_minsub

✔️ 참치가 잔뜩 올라간 누드김밥,
폭신한 계란을 돌돌 말아주시는 계란김밥.
경희대 앞에서 #경희누드김밥 으로,
장사하시다가 옮긴 김밥 맛집이다.

✔️ 참치 올라간 누드김밥이 2500원,
계란말이 김밥이 3,000원이다.
지금 물가에 말도 안되는 가격이다.
더 비싸게 받으셔야하는거 아니냐고 여쭤보니,
그건 절대 안된다고 하신다. 대단하다.

✔️ 메뉴는 단순하다면 단순하다.
하지만 정성을 담아 꾹꾹 눌러 말아주신다.
계란도 즉석에서 바로 부쳐주신다.
근처 갈 일이 있다면 꼭 먹어보길 추천한다.

- 매장 : 성신여대 오래누드김밥
- 위치 : 서울 성북구 동선동3가 173
- 메뉴 : 오래누드김밥(2,500) 계란말이김밥(3,000)

#성신여대 #성북구맛집 #김밥맛집 #김밥 #누드김밥 #계란말이김밥 #길음맛집 #서울맛집"
,,uk.ssung,7월 2일,2021-07-02T12:44:08.000Z,2021년 7월 2일,"#협찬 #마미신고추다대기
요즘 더워서 입맛 없는데, 마미신 고추다대기로 입맛 돋꾸기🍙
맨밥에 비벼먹으도 매콤새콤 맛있지만, 김밥 도전!
소고기고추다대기,고추참치,참치마요 다 레알 밥도둑들….❤️
너무 맵기만하면 속쓰리고 잘 안먹게 되는데, 마미신 꺼는
적당히 맛있게 매콤하면서 감칠맛있고 자꾸 생각나는맛!
강추해요ㅎㅎㅎ 흰밥에 다대기 계란후라이만넣어도 맛있어용
밥도둑이라 살찔걱정만…ㅠㅠㅠㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋ
.
.
구매👉🏻 @hyeonhyi1171"
Apertemen Amarta Pura II Karawaci,https://www.instagram.com/explore/locations/718901279/apertemen-amarta-pura-ii-karawaci/,bidadariok,2018년 3월 10일,2018-03-10T13:06:01.000Z,2018년 3월 10일,".
누드김밥과 원조김밥의
크기를 맞추는것보디
인수분해가 훨씬 쉽다.
김을 조금 잘라내고 만들어도
매번 누드김밥이 더 크게 말린다.😡
.
.
.
#김밥
#누드김밥
#원조김밥
#야채김밥
#kimbab"
,,bbangsoonii,2019년 6월 15일,2019-06-15T04:36:34.000Z,2019년 6월 15일,".
캘리포니아롤 먹고싶었는데!!
엄마란 텔레파시 통했나?
백화점식품관에서 이것저것 털어옴😍최고👍
초밥종류는 역시 언제 먹어도 맛있어🍣❤️
.
#초밥 #유부초밥 #연어초밥 #캘리포니아롤 #연어롤초밥 #게맛살초밥 #게살롤 #누드김밥 #신세계백화점강남점 #백화점식품관 #신세계식품관 #신세계백화점식품관 #먹스타그램 #주말스타그램 #주말에뭐하지 #주말에뭐먹지 #오늘뭐먹지 #백수생활"
,,food_minsub,7월 16일,2021-07-16T11:57:42.000Z,2021년 7월 16일,"말도 안되는 가격이다.
#성신여대맛집 #오래누드김밥

✔️ 참치가 잔뜩 올라간 누드김밥,
폭신한 계란을 돌돌 말아주시는 계란김밥.
경희대 앞에서 #경희누드김밥 으로,
장사하시다가 옮긴 김밥 맛집이다.

✔️ 참치 올라간 누드김밥이 2500원,
계란말이 김밥이 3,000원이다.
지금 물가에 말도 안되는 가격이다.
더 비싸게 받으셔야하는거 아니냐고 여쭤보니,
그건 절대 안된다고 하신다. 대단하다.

✔️ 메뉴는 단순하다면 단순하다.
하지만 정성을 담아 꾹꾹 눌러 말아주신다.
계란도 즉석에서 바로 부쳐주신다.
근처 갈 일이 있다면 꼭 먹어보길 추천한다.

- 매장 : 성신여대 오래누드김밥
- 위치 : 서울 성북구 동선동3가 173
- 메뉴 : 오래누드김밥(2,500) 계란말이김밥(3,000)

#푸민_성신여대 #푸민로드

#성신여대 #성북구맛집 #김밥맛집 #김밥 #누드김밥 #계란말이김밥 #길음맛집 #서울맛집"
원조누드치즈김밥,https://www.instagram.com/explore/locations/187122012186314/,hun.gry.gram,2월 23일,2021-02-23T01:31:30.000Z,2021년 2월 23일,"백선생님 3대천왕에 나온 K -소울
.
광장시장에 가면 빈대떡도 있고, 육회도 있고, 보리밥도 있고! 또 모다?
.
참치누드 김밥도 있다
.
단돈 2000원에 김밥을 라이브로 말아주시는데 참치 양이 완전 푸지미..
500원만 추가 금액 내면 잡채도 같이 내어주시는데
두 음식의 조화가 아주 좋다
.
시장통에서 노상깔고 먹으면 진짜 이게 K-soul 이지
코로나 끝나고 외국인 친구들 오면 여기 데려가야겠다
.
광장시장에는 누드김밥도 있다😂
.
🐽원조누드치즈김밥
🐽광장시장 안
🐽7시 마감
🐽참치 누드김밥 2000원, 잡채 추가 500원"
광장시장,https://www.instagram.com/explore/locations/228754501/,g_wwoong,2월 4일,2021-02-04T00:22:33.000Z,2021년 2월 4일,"마약이 땡겨서 퇴근하자마자 런
.
.
#광장시장 #누드김밥 #마약김밥"
,,ideunhwan,2017년 11월 20일,2017-11-20T03:38:22.000Z,2017년 11월 20일,"왠 손님이 뭐냐고 얼마냐고 물어보셨다.
나는 말했다. 내 밥이라고. 못준다고. 다 내꺼얌..!
#먹부림 #맛스타그램 #먹스타그램 #냠스타그램 #instafood #foodstagram #food #foodies #foodporn #호주유학생 #호주먹방 #내가만듬 #내밥 #초밥도시락 #김밥 #누드김밥 #초밥 #내가만듬 #스시 #sushi #스시롤 #아보카도롤 #투나롤 #tunaroll #sushirolls #직장 #호주 #Austrailia #NSW #예의로운_사람"
,,our_vefu,2017년 10월 21일,2017-10-21T02:59:43.000Z,2017년 10월 21일,"김밥 .
.
.

네~ 저 오늘 맘먹고 말아봅니다. .
.
분홍소세지 옛날김밥
고들빼기만 넣은 계란말이김밥

참깨에 굴린 참깨누드김밥

다시 도전!! 꽃김밥 .
교리김밥st 지단듬뿍김밥 .
.

소풍가려고 말았는데... 이제 소풍가야하는데... 가기도 전에 지치는 느낌적인 느낌. .
.
.

#김밥 #집김밥 #분홍소세지 #옛날김밥 #고들빼기 #계란말이김밥 #참깨누드김밥 #누드김밥 #꽃김밥 #교리김밥 st #계란김밥 #지단김밥 #갱스김밥 #가을소풍 #소풍도시락 #주말 #하얗게불태웠어 .
.
I made various kind of gimbap for picnic. Gimbap has been loved for a long time by picnic food in korea because it is easy to eat.(but isn’t easy to make 😅)We are going to picnic now. I hope you all have Happy weekend.
#gimbap #kimbap #kimbab #sushi #picnicfood #riceroll #koreanfood"
,,heo.hyigyeong,21시간 전,2021-08-03T10:01:46.000Z,2021년 8월 3일,"동생내려와서 같이 점심먹구 커피타임~
저녁은 냉장고있던 재료찾아서 김밥말아서
저녁차려주고 동생들이랑 일찍 맥주타임~♡

#요리하는줄넘기쌤#집밥#홈쿡#맛스타그램#푸드스타그램#homecook#food#homemade#foodstargram#엄마는요리사#다둥맘#독수리5남매맘#저녁메뉴#김밥#누드김밥#집김밥이최고#맥주타임#동생들아♡"
,,yoyojang0324,22시간 전,2021-08-03T09:21:26.000Z,2021년 8월 3일,"#엄마표 #집김밥
김밥이랑 #라면 같이 먹음 기똥차지👍👍
한 줄은 #광장시장 잡채 없는 #잡채김밥 따라하기
담엔 오뚜기잡채라도 사다가 따라해봐야지🤣
.
.
#김밥#참치김밥#누드김밥#집밥#원조김밥#수제김밥#홈메이드#사발면#육개장사발면#컵라면#라면#집밥스타그램#오늘뭐먹지#먹스타그램#먹방#먹스타#맛스타그램#야식#간식#음식#푸드스타그램#좋아요반사#좋반#yummy#하나멤버스#하나멤벌스데이"
,,3_siblings__pa,1일 전,2021-08-03T04:14:09.000Z,2021년 8월 3일,"방학😂😂
식사메뉴 정하는것도 일이다
간단히 한끼먹이고
엄마는 쉴께😅

밥 많이 남아서,
의도치않은 누드김밥🤫🤦‍♀️

#여름방학 #점심메뉴 #김밥 #김밥만들기🌯 #누드김밥 #유부초밥 #유부초밥만들기 #세남매맘🤷‍♀️🤷‍♂️🤷‍♀️ #정신없음 #시끄러워 #그만싸워라이것들아 #딸스타그램 #아들스타그램 #부부스타그램 #사랑해"
단구동,https://www.instagram.com/explore/locations/587348198023384/,attie_best,1일 전,2021-08-02T23:35:25.000Z,2021년 8월 3일,"#새벽 #도시락 #김밥
별거아닌데 김밥싸는 시간은 왜케
오래걸리는것일까🤔🤔🤔
도시락반찬 뭐먹고 싶냐고 물은 내가
잘못이지. 김밥이랑 볶음김치 싸달라고???
누드김밥도 싸고 속재료 꽉채우고
맛도 나름 개안네~했는데
잠자고있던 딸랑구 유치원때 도시락통
포기못해서 김밥 다 찌그러짐ㅋㅋㅋㅋ
오늘 김밥은 도시락통이 열일한걸로~~
앗!!!김치 두포기나 볶았는데 깜빡하고 안싸줌.미춰ㅋㅋ
서방 미안~볶음김치는 걍 저녁반찬하쟈🤣🤣🤣
.
.
.
#김밥도시락 #누드김밥 #도시락통 #볶음김치
#일상 #daily #초등그램 #키즈그램 #육아그램
#육아 #육아맘 #딸그램 #딸맘 #원주 #wonju
#원주맘 #원주그램 #최고다허성연
#좋아요 #팔로우 #맞팔환영 #맞팔 #선팔
#선팔하면맞팔 #선팔맞팔 #팔로우 #맞팔해요"
