location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,so0yeon,2017년 3월 31일,2017-03-31T06:56:54.000Z,2017년 3월 31일,#오랜만에 #오늘의메뉴 #세계음식의날 #미국편 #수제햄버거 #데리버거 #감자튀김🍟 #콘샐러드 #탄산음료 #쇠고기버섯죽 #열무김치 #이제햄버거는별거니라고생각햇는데개뿔 #🍔🍟🍻 #회사밥 #구내식당 #영양사 #먹스타그램
우리집,https://www.instagram.com/explore/locations/403241066/,e_jungmin_,2월 1일,2021-02-01T12:48:14.000Z,2021년 2월 1일,"솔직히 나혼자 이거 4개 다먹을 수 있는데
참는당 다이어트중이니깐😁
데리버거 2개 3900원 행사중🙃"
,,leeaering,2016년 11월 15일,2016-11-15T06:21:25.000Z,2016년 11월 15일,"아침헬스 갔다가 먹는 햄버거는 꿀맛
난 롯리 좋은데... 맛있는데... 언제 먹어도 알찬데... #롯데리아#롯리#햄버거#핫크리스피버거#새우버거#데리버거#치즈스틱#감자튀김#콜라#ㅇㄱㄹㅇ팩#이거레알팩#먹스타그램"
우리집♡,https://www.instagram.com/explore/locations/268182277/,yeonvely2823,2019년 7월 12일,2019-07-12T05:13:47.000Z,2019년 7월 12일,"원래 롯데리아 버거는 두개쓱 먹는거 아입니까 !?? 😂 어제도 버거 먹었는데,, 낑깡아 너 왜구러니 👀
초복이니까 저녁엔 건강이로 먹어줘야징 ! 💪🏼"
,,thor__daddy,6월 15일,2021-06-15T11:17:21.000Z,2021년 6월 15일,"#다이어트
밴딩 3일차 진행 중..
이제 먹고 싶은 거도 없음..
#꿀고구마피자
#지코바
#데리버거
#스테커4와퍼
#찹쌀떡
#크림단팥빵
#롯데리아팥빙수"
,,shadesofdianne,2014년 7월 15일,2014-07-15T07:54:43.000Z,2014년 7월 15일,"🍔🌴🌞 아 ~ 이거를 안먹으면 진짜 먹어야지! 하와이에서 우리는 이 치즈버거 ""데리버거"" 라고 한다. [데리야끼 치즈버거야] 너무 맛있었어^^
Ah ~ If you haven't eaten this, you really must! In Hawaii we call this a ""Teri Burger."" [It's a teriyaki burger with cheese] It's really delicious^^"
우리집,https://www.instagram.com/explore/locations/447101958658111/,uhwithfood,2020년 6월 12일,2020-06-12T14:39:30.000Z,2020년 6월 12일,"야식으로 햄버거 어떠세요 ?(찡긋)
_
_
_
#롯데리아 #new홀투게더팩 #새우버거 #데리버거 #치즈스틱"
,,seots,2020년 11월 8일,2020-11-08T11:57:20.000Z,2020년 11월 8일,"이거먹고
코스 조졌음 데헿
#부안 #롯데리아 #데리버거 #불고기버거 #새우버거 #핫크리스피치킨버거 #빅불버거 #양념감자
.
#부안여행 #부안맛집추천 #맛집추천 #맛집스타그램 #먹스타그램
#좋아요 #좋아요그램 #좋아요테러 #좋아요반사 #좋반환영 #좋반 #좋반테러 #선팔환영 #선팔하면맞팔가요 #맞팔해요 #맞팔환영 #맞팔선팔 #선팔100 #맞팔100 #일상 #데일리 #일상스타그램"
,,dasol___90,2016년 5월 8일,2016-05-08T13:50:31.000Z,2016년 5월 8일,#머리카락#뿌염#개운#광주#함평#나비축제#송정리#일요일#1차#도산골#실패#2차#서울곱창#실패#롯데리아#데리버거#햄버거#크런치새우#마요네즈#내스퇄#여자여자#카페#조용#분위기#찜콩 오늘 메뉴 죄다 실패...#일요일#주말#마지막 여기 카페자주와야징~
,,haamm83,11시간 전,2021-08-04T14:24:00.000Z,2021년 8월 4일,지파이 너무 맛있어~~ㅠㅠ#롯데리아#추억의 #데리버거#지파이고소한맛 #먹스타그램 #먹팔해요 #먹팔소통 #먹팔하면맞팔 #먹팔#선팔#선팔맞팔 #선팔환영 #선팔하면맞팔 #선팔맞팔환영 #선팔하면맞팔가요 #맞팔 #맞팔선팔환영 #맞팔해요 #맞팔환영
,,ha09ne,23시간 전,2021-08-04T03:09:05.000Z,2021년 8월 4일,"씐나

방학을 알차게

어제먹은 삼겹살빼기

#도봉구복지
#첨받은듯
#폭염탈출냉장고
#준이랑
#의정부까지
#내일은뭐할까
#땀쫙빼고
#햄버거두개먹기
#롯데리아
#데리버거
#입맛이고급"
,,hyoz_sla,1일 전,2021-08-03T11:51:54.000Z,2021년 8월 3일,#롯데리아 #데리버거 #데리버거세트 #클래식치즈버거 #화이어윙 #치킨닭다리 #먹스타그램
,,es_chu,1일 전,2021-08-03T04:45:07.000Z,2021년 8월 3일,"행복의 나라 롯데리아

#롯데리아 #데리버거 #일상기록공간"
