location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,cocojinyjiny,2020년 8월 6일,2020-08-06T06:25:11.000Z,2020년 8월 6일,".
.
.
#텐동 ❣
#핫플 답게 핫한
#난파센덴동 고삼이꺼🙂
#덴동 내꺼😌
#승슐랭 말처럼 앞집 사천짜장 한 그릇 할 뻔🤣
#잘먹었습니다🙏
.
.
.
#난파선
#난파센
#남천동난파센"
이치젠,https://www.instagram.com/explore/locations/1794592334203342/,bobby__chung,2017년 6월 27일,2017-06-27T06:48:58.000Z,2017년 6월 27일,선수가 많아도 너무 많다 😂
虎之介 佐賀高木瀬東店,https://www.instagram.com/explore/locations/107175114482550/,hakata_bandit,5월 11일,2021-05-11T12:45:47.000Z,2021년 5월 11일,"사가현에서 점심으로 먹은 #튀김덮밥(텐동).
사가에서 유명한 튀김집인 '토라노스케(虎之介)'는 튀김덮밥과 튀김정식이 메인입니다.
덮밥은 새우와 아나고(옆으로 긴 놈ㅎ)가 메인이고 야채 튀김은 통째로 튀긴 우엉이 너무 맛있습니다.
반숙 튀김도 너무 고소하고 맛있었습니다.
튀김덮밥 맛집 인정입니다. ㅎ

佐賀県で昼食食べた#天丼
佐賀で有名な天ぷら屋である'虎之助'は天丼と#天ぷら 定食がメインです。
天丼はエビとアナゴ(横に長いやつ。)がメインで野菜天ぷらは丸で揚げたごぼうがとても美味しいです。

I ate lunch in Saga prefecture #Tendon
'Toranosuke', a famous tempura restaurant in Saga, mainly serves tempura bowls and #tempura set meals.
The main bowl of tempura is shrimp and conger eel (long sideways), and the vegetable tempura is very delicious.

#사가현 #사가맛집 #튀김 #덴동 #새우튀김 #아나고 #우엉튀김 #맛집스타그램 #일본요리 #일본여행 #토라노스케 #佐賀県 #佐賀ぐるめ #天丼 #エビフライ #アナゴの天ぷら #ゴボウ #虎之助 #天ぷら定食 #sagaprefecture #saga #tempura #tendon #shrimptempura #anago #japantravel #toranosuke"
현대프리미엄아울렛 스페이스원,https://www.instagram.com/explore/locations/100270545233209/,jinhwan_y_89,1월 15일,2021-01-15T05:47:12.000Z,2021년 1월 15일,"_
BASAKBASAKBASAKBASAK 🤩_
남양주 현대 Space1 온기정 / 텐동 🍤_

먹음직스런 황금빛 튀김 !! (반죽이 골드브라운 컬러 !)👍_
새우, 오징어, 깻잎, 연근, 김_
표고, 팽이, 단호박, 꽈리, 겨란 총 열가지 튀김 🤩_
밥에 뿌려진 감칠맛 오지는 간장소오스으 😋_
바삭바삭바삭바삭 소리까지 환상이다 환상 🤤👍_
귀, 눈, 입이 모두 즐겁다 👂👀👅_

슬세권에 맛집이 넘 많아서 행복합니다아 😭🩴_

아 그래도 라멘도 함 묵으러가야하는데 ... 🍜_
몸을 움직이기가 넘넘 싫으네유 ... 🥲🥺_

#온기정 #텐동 #덴동 #튀김 #天丼"
익선동,https://www.instagram.com/explore/locations/967846243301240/,ssorong22,2020년 11월 7일,2020-11-07T09:34:11.000Z,2020년 11월 7일,".
[JUST TENDONG]
.
바삭바삭한 튀김을 맛보고 싶다면,
음식이 나오자마자 앞접시에 튀김을 옮겨주세요😙
.
그런 다음 김 튀김을 잘게 부신 후,
수란이랑 소스랑 밥이랑 잘 비벼주세요.
.
옮겨 놓았던 튀김을 잘 비빈 밥과 맛있게 먹으면 끝!!
.
🍢🍣🍤🍥
.
.
✔ 스페셜 한상 (18.9)
붕장어 1/2마리. 새우2. 표고버섯. 아스파라거스. 베이컨. 오징어채. 단호박. 팽이버섯. 꽈리고추. 김. 수란.
.
✔ 생선 한상 (16.9)
흰살생선. 새우2. 단호박. 아스파라거스. 베이컨. 느타리. 꽈리고추. 김. 수란.
.
.
#주말 #익선동맛집 #저스트텐동 #튀김덮밥 #텐동 #덴동 #새우튀김 #저스트텐동익선점 #익선동텐동 #한그릇요리 #종로3가맛집 #종로3가역맛집 #오늘의먹방 #쏘롱스타그램"
홍대,https://www.instagram.com/explore/locations/253762214/,dobby_91_,2019년 9월 1일,2019-09-01T13:57:21.000Z,2019년 9월 1일,"동네 마실
.
.
.
.
.
.
.
.
#망원동 #망원동맛집 #이치젠 #덴동 #주말 #일상 #셀카 #셀피 #선팔하면맞팔"
成蹊大学,https://www.instagram.com/explore/locations/405616581/,mangsoo7,2020년 6월 20일,2020-06-20T06:35:55.000Z,2020년 6월 20일,"天丼は…ノーコンメント…ビールが美味しかったところ。食事後の成蹊大学のところ歩いたけど…いい散歩道！
덴동은 노코멘트... 맥주가 젤 맛있더라는... 밥 먹고 세이케이대학을 걸었는데 아주 좋은 산책로더라는...
.
.
.
#도쿄 #도쿄맛집 #도쿄구르메 #덴동 #맛없다 #싼게비지떡 #한일부부 #도쿄일상
#東京 #東京グルメ #東京食べ歩き #天丼 #日韓夫婦 #東京日常 #成蹊大学"
난파센,https://www.instagram.com/explore/locations/102461978220301/,_1997._.kg,2020년 8월 23일,2020-08-23T03:30:13.000Z,2020년 8월 23일,와 진짜 씨 와 씨 존맛임 ;
,,bhyunwoo,5월 13일,2021-05-13T05:13:57.000Z,2021년 5월 13일,"#반슨생
#남천동맛집#난파센
#덴동#새우덴동
feat.casslight
.
.
.
.
어제 밤샘하고 자려고 했는데
자야하는데
잠도 오는데
맛있었다.."
,,lee_yoo_mim,7시간 전,2021-07-31T03:42:59.000Z,2021년 7월 31일,"평범한듯 평범하지 않은 일상
#꿀피부엄마 #임셀덤하는엄마
#오후식사 #덴동 #포항맛집
#저스트텐동 #블랑1664 #칠면조다리
#낮술 #낮술은사랑
#인셀덤하면서생긴여유"
