location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,byswing,2015년 5월 30일,2015-05-30T11:02:39.000Z,2015년 5월 30일,"_
쌈 싸먹는 #돈가스카레덮밥
지난번 먹고 남은 카레로 주말 한 끼 때우기 #스윙집밥🍴"
,,sj_kimkwajjang,6월 3일,2021-06-03T01:59:11.000Z,2021년 6월 3일,"#sj_kimkwajjang
#돈가스카레덮밥
#맛있는양식당
#사가정식당
#점심메뉴
#오늘은뭐먹지⁉️

어제 지인분과 함께한 점심!
오랜만에 국, 찌게, 탕 종류에서 벗어나서
별미식으로다가 ^^

오늘 점심은 뭐먹지?

____________________________________
^^ 우리 멘탈관리 잘해서 행복해집시다."
"Seoul, South Korea",https://www.instagram.com/explore/locations/745256841/seoul-south-korea/,gongbock,2020년 5월 26일,2020-05-26T01:26:29.000Z,2020년 5월 26일,아내의 플레이팅이 날이갈수록 향상되고있다. #돈가스카레덮밥 #음식 #맛 #공복김성윤 #함부로채우지않아요내공복은소중하니까 #donkatsucurryrice #donkatsu #curry #rice #food #taste #korean #gongbock
,,jiho_table,1월 27일,2021-01-27T10:25:23.000Z,2021년 1월 27일,"국도 반찬도 애매하게 남아서 그냥 돈가스만 구워서 간단히 해결하려했는데🙄🙄.
돈가스엔 역시 카레이지싶어서 양파를 30분 볶았어요😅😅.
.
👩‍🍳 양파카라멜라이징(오래할수록 좋으나 전 30분이 한계였어요)>버터약간, 토마토 넣고 볶기>당근, 버섯 넣고 볶기>물넣고 끓인후 하이라이스가루, 카레가루 넣기>우유로 농도맞추기>좀식힌후 믹서에 갈기>다시한번끓이기
.
번거롭지만 요레시피가 저희 가족 입맛엔 딱이네요, 지원이도 야채보이면 안먹는데 갈아서주면 너무 잘먹어요🤗. 오랜만에 만든 상큼한 감귤드레싱샐러드와 찰떡 궁합👍.
.
우연히 알게됐는데, #포프리올리브돈까스 지금 특가중이래요(아시겠만 내돈내산후기입니다🤗) 👉@fourfreecook
.
.
#돈가스카레덮밥정식#지호테이블
#돈가스카레덮밥#감귤드레싱샐러드#포프리올리브돈까스
#홈쿡#집밥#집밥그램#온더테이블#저녁밥상#남편밥상
#화소반#화소반그릇
#운담#운담월넛소반트레이#내돈내산후기
#운담이벤트중👉@undam4865"
,,h.__.sil.__.2,2020년 12월 26일,2020-12-26T10:23:04.000Z,2020년 12월 26일,"#토요일 저녁은 어제 남은 돈가스에 카레만 후딱 만들어 #돈가스카레덮밥
소세지 칼집 장인 👍👍
.
.
.
.
#집밥스타그램#요리하는여자#홈쿡스타그램"
,,bokja1963,3월 9일,2021-03-08T21:39:13.000Z,2021년 3월 9일,"#돈가스카레덮밥 #부르게스타 #깐쇼새우 #돼지국밥 #딸바라떼 #학교급식 #3월 급식
생선도 맛보았으면ㆍㆍ
#여중급식#여고급식#급식사진#식판사진#단체급식 #급식레시피#급식스타그램#복자여고급식#복자여중급식#복자급식"
유니시티,https://www.instagram.com/explore/locations/1655747518066800/,ostar_ju,2020년 8월 29일,2020-08-29T11:12:32.000Z,2020년 8월 29일,"코로나땜에 집콕하면서 먹기 전 간만에 벼리밥상 컷 🍛🥄🥢

#벼리밥상 #벼리식탁 #신혼밥상 #집밥 #요리하는여자 #homecooking #onthetable
#돈가스카레덮밥 #미역국
#코로나19물러가라 #외식하고싶다"
,,jongran3405,4월 30일,2021-04-30T02:32:04.000Z,2021년 4월 30일,"2021.4.30(금)
ㆍ
오늘부터 뭔가 더 허전한집
ㆍ
난 결혼하고 일년뒤부터
아이들과 같이 사는 삶을
지금까지 살았왔는데ᆢ
요즘은 다시 둘이 되어가는
삶을 살고 있는듯^^;;;
ㆍ
푹~아주 푹 자고 일어나
간만에 카레하고 돈가스튀겨
간단해보이지만 알찬
한그릇메뉴 ㅋㅋㅋㅋ
ㆍ
우리부부는 가리는거없이
뭐든 먹는데 왜 딸들은 가리는게
있는건지 아이런합니당 ㅋㅋㅋ
(카레싫어하는딸 디스중 푸하하^^;;)
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
#먹스타그램 #집밥스타그램
#홈쿡 #한그릇음식 #소박한한끼
#집콕메뉴 #쫑이네집밥 #카레
#집밥좋아 #간단한한끼 #쿡
#밥상일기 #일상이야기 #한끼
#카레라이스 #카레덮밥 #돈가스
#돈가스카레덮밥 #잘먹었다그램
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ"
사하구오사카,https://www.instagram.com/explore/locations/1022797995/,euntai.park,2020년 10월 31일,2020-10-30T23:11:11.000Z,2020년 10월 31일,#오랜만에 #괴정오사카 #고로케맛남 #돈가스카레덮밥
,,sagajeong_dd,1일 전,2021-08-01T02:14:54.000Z,2021년 8월 1일,"⭐당분간 영업시간이랑 휴무는 조금씩 다를것 같아요.죄송합니다⭐
(배민으로 확인해주세요)

치킨이랑 밥이랑 같이 먹고싶을땐
#치킨덮밥 🍗

▪️돈가스덮밥
▪️새우덮밥
▪️돈가스치킨덮밥
▪️돈가스새우덮밥
▪️맥스덮밥(돈가스,새우,치킨)

🥄든든덮밥(포장배달전문점)🛵💨

🚩서울 중랑구 사가정로 429 1층
     (면목동 523-10)

☎️ 050-5150-3623

▪️평일
🌞 OPEN 11:00
🌜CLOSE 08:50

▪️주말
🌞 OPEN 11:30
🌜CLOSE 08:50"
