location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,jinwoobaee,1일 전,2021-08-01T07:26:16.000Z,2021년 8월 1일,"돈코츠 러버,,🍜🤤"
호로롯쿠,https://www.instagram.com/explore/locations/102440541585304/,97__ysl,6일 전,2021-07-26T14:09:00.000Z,2021년 7월 26일,"호로롯쿠 - 백
염도 1 농도 1 매콤 2"
합정동,https://www.instagram.com/explore/locations/106664140958585/,ramen_roadtrip,6월 17일,2021-06-17T05:08:04.000Z,2021년 6월 17일,"라멘로드트립 No.1240 <#소박한이야기 >
소박한이야기_미소라멘
서울시 마포구 서교동 402-7
#미소라멘 #매운미소라멘 #상수동맛집 #마포로드트립

최근들어 가장 애정하고 최애하는 라멘야, ‘소박한이야기’다.
비록 상호명은 소박한 이야기지만 라멘의 구성만큼은 대박적이야기 라고 생각이 들 정도로 풀구성에 가성비 찐이다.
이 날은 살치살차슈를 연구하고 계셨는지 감사하게도 한 접시 나눠주셨는데 유즈코쇼와의 조화가 초대박적이야기의 맛이었다.(언제쯤 정식메뉴화가 될 수 있을까요?? (´༎ຶོρ༎ຶོ`)

최근들어 가장 만족도 높고 가장 자주 방문하고 있는 대박적이야기(소박한이야기) 너무 맛있게 잘 먹었습니다!!🙏🏻"
돈이찌,https://www.instagram.com/explore/locations/111860357098523/,menyahokori_official,4일 전,2021-07-28T14:17:38.000Z,2021년 7월 28일,"아,, 더운 날씨에 너무 죄송스럽고 감사한 하루였습니다😵‍💫 사회적 거리두기의 취지로 항상 자리를 띄어서 안내하기에 ㅠ 음식을 드실 때 후회하시지 않도록 최선을 다해 만들어드렸습니다 🙏 개인적으로는 너무 맛있게 드셔주셔서 너무 보람찼습니다.
.
🔶 스프가 15-20식 정도 남은것 같은데,, (아마 15식정도,,)내일 정확히 체크해보고 점심에 뒤늦게 오셨는데 못 드신 분들 +로 주말 한타임에 해드리려고 합니다. 이번주가 아닐수도 있으니 내일중으로 말씀드리겠습니다. 먼 길 오셨는데 ㅠ 브레이크 타임 없이 저녁까지 한다고 한 약속 못 지켜서 죄송합니다.
.
🔶 제가 좀 애매하게 공지드린 탓인지 😂 지로 아직 끝 아닙니다,, 😅 면 소진시까지는 돈코츠가 아니라 지로입니다 😂😂😂
.
🔶 앞서 공지드렸듯이, 다음 씨스프 릴레이 주자는 @shin.men_official 입니다! 저도 꼭 먹어봐야 할텐데 😅 웨이팅이 좀 겁나네요 😅😅😅 이에케지로는 조만간 미소와 시오버전도 계획중이니 기대해주시면 🥺(@torixshio 각종 협찬 감사드립니닷 😂 고생하셨습니다!)
.
감사드리며 전 이만,, 😂
.
#멘야호코리 #송파맛집 #잠실맛집 #가락동맛집 #마천시장맛집 #라멘 #돈코츠라멘 #쇼유라멘 #마제소바 #차슈덮밥 #일본라멘 #맛집 #강동구맛집 #치킨가라아게 #가라아게 #유애나 #유애나3기 #아이유 #이지금 #좋아요반사 #치킨난반 #지로계열 #농후돈코츠 #지로라멘 #라멘지로 #방이동맛집 #방이먹자골목맛집 #송파구청맛집 #돈이찌 #스테키동"
텐진라멘,https://www.instagram.com/explore/locations/342147936246794/,guilty.pleasure27,6월 6일,2021-06-06T05:44:26.000Z,2021년 6월 6일,"#문래동 #텐진라멘
-
갈 만한 라멘집 선택지가 많지 않은 동네인지라, 한정거장 거리에 위치한 본점 계속 노리고 있었는데 또 냉큼 문래동에 분점이 생겨버린 텐진라멘. 영등포구청, 선유도에 이은 세번째 가게인데 오밀조밀 다 멀지 않은 거리에 모여있다보니 매일 아침 제면기에서 뽑은 면 공유해서 쓰신다고. 문래점에서는 돈코츠 국물 진한 메인 텐진라멘 시작으로 쇼유와 냉라멘, 마제멘 등이 있고, 면 삶기도 선택 가능. 보통 보다는 꼬들하게로 주문하는게 자가제면 세면 식감 오롯이 잘 살아 훨 좋다. 챠슈와 멘마, 계란까지 올라간 풀토핑으로 주문하면 든든한 비주얼 라멘 등장. 역시 메인 메뉴 텐진라멘이 압도적으로 좋았는데, 일단 밸런스가 너무 좋은 듯. 12시간 직접 우려내신 진득한 뼛국물이 처음에는 그렇게 진한줄도 모르게 술술 넘어가는데 먹다보면 입 쩍쩍 달라붙는데서 그 농후함이 느껴진다. 이 스프가 꼬돌꼬돌 세면에 엉켜 딸려와 기분 좋게 맛있는 라멘. 또 생마늘이 테이블마다 놓여있어, 함께 준비된 기구로 바로 찧어 넣어보면 풍미가 확 살아나는 것도 재밌다. 쇼유와 마제멘은 텐진라멘 대비 임팩트가 좀 덜하긴 했지만 다른 지점에서 하시는 시오나 레몬라멘도 궁금하고 사이드구성도 좋아보이고. 무려 쿠팡이츠 배달도 된다는 것도 반가운데, 세심한 친절함까지 또 덤이라 앞으로 애용하게 될 것같은 라멘집. ★★★☆
-
🍜#텐진라멘 풀토핑 10500
🍜#쇼유라멘 풀토핑 9500
🍜#마제멘 9000
🥟#교자 3000
-
#돈코츠라멘 #라멘 #하카타라멘 #돈코츠 #야키교자 #먹스타그램 #맛스타그램 #문래맛집 #문래동맛집 #영등포구청맛집 #라멘맛집 #돈코츠라멘맛집 #foodstagram #instafood #foodporn #koreanfoodie #ramen #hakataramen #tonkotsu #gp문래동 #gp라멘"
신짱과후쿠마루,https://www.instagram.com/explore/locations/102742931657225/,isshoniramen,4일 전,2021-07-29T01:51:55.000Z,2021년 7월 29일,"안녕하세요 :) 오늘도 라멘 공부 다녀왔어요. 광명은 KTX타러 가는 곳이었는데.. 다른 목적으로 한번 방문해봤습니다. 하필 들어갈때 폰을 두고와서 … 친구에게 사진 받아서 깜박하다 이제 올리네요 ㅋㅋㅋ 사실 쇼유를 먹으러갔지만 다음에 먹으면 되는거져 정말 맛있게 잘 먹었고, 다음에 쇼유를 먹으러 다시 방문할라고 합니다 :) 정말 잘 먹었습니다.

#신짱과후쿠마루 #광명맛집 #신짱라멘 #맥주와함께

#부천라멘 #잇쇼니라멘 #잇쇼니 #부천맛집 #라멘 #라멘맛집 #위브맛집 #이되고싶은 #돈코츠전문점 #돈코츠라멘 #돈코츠 #bucheon #isshoni #isshoniramen #japanesefood #tonkotsu #tonkotsuramen #holeinthewall #ramen #Koreanjapanesecuisine #japaneseramen"
566라멘,https://www.instagram.com/explore/locations/103127544876679/566/,ramen.kr,6월 27일,2021-06-27T03:59:52.000Z,2021년 6월 27일,"연남 566라멘

니보시66라멘
멸치 폭탄 감칠맛 풍미 작렬하는 이벤트 라멘

채소 마늘 따로 양은 반만 요청
더욱 강력하고 짜릿하게 스프를 온전히 느낄 수 있는
스타일의 주문 방법이에요

매장을 가득 채운 멸치의 풍미에 한껏 기대를 품게되요
갈색빛의 스프는 한눈에 보기에도 묵직함이 느껴지는 농도!
아주 농후하면서 간간히 까끌한 질감이 느껴지는 스프는
멸치를 얼마나 때려 넣었을까 싶은 꾸덕함이 압권이에요
짙은 멸치향에 녹진하면서도 시원하고 개운한 풍미,
살짝의 쌉사름함이 혀가 저릿할 짭잘한 염도와 어우러져
진한 감칠맛이 폭발해요
여기에 몽글몽글 고소한 세아부라의 크리미함이 서로 뒤엉켜
입안을 꽉채우는 맛이 고지혈증으로 기절할 듯 짜릿하고
중독적인 식폭행이에요❤️

채소를 따로 요청 드리기 때문에 아무래도 염도가 더
올라가고 농도도 더욱 진해서 초보자 주문 주의

치아를 튕겨내는 아주 딴딴하고 두꺼운 면발의 치감이
탄탄 쫄낏 탱글 스트레스 팍팍 풀리는 식감이에요

강렬한 염도 덕분인지 양파와 숙주가 더욱 달큰하게
느껴지고 중간 중간 리프레셔 역할을 제데로 해줘요

따로나온 채소에 스프와 세아부라 넉넉히 둘러주고
테이블에 비치 된 라유와 후추 톡톡 뿌려서 반찬 처럼
집어 먹으면 라유와 세아부라 덕에 볶음 채소 느낌도
나면서 아주 별미인데 후반엔 라멘에 채소와 마늘 때려넣고
좀 더 지로스러운 방법으로 두가지 맛 즐길 수 있는 것도
참 매력적이에요

아주 두툼한 차슈가 더더욱 촉촉하고 부드러운 식감의
담백한 목살 수육 같은 느낌이라 짭조름한 스프와의
궁합도 아주 잘 어울렸어요

천지반환하여 스프가 벤 채소 먹는 스타일도 참 매력적이지만
좀 더 직관적이고 강력한 스프에 집중 할 수 있고 채소를
반찬처럼 즐길 수 있는 라멘코 스타일도 추천 드려봅니다

#니보시66라멘 #66라멘 10000
달걀추가 1000

맛있게 잘 먹었습니다

#566라멘 #연남라멘 #니보시라멘 #돈코츠라멘 #지로라멘 #지로계열 #쇼유라멘 #교카이라멘 #566라멘라멘코 #라멘코리아 #ramenkorea #찬찬히면개기"
경희대학교 Kyung Hee University,https://www.instagram.com/explore/locations/2007982142832637/kyung-hee-university/,khu_eatcyclopedia,5월 12일,2021-05-12T10:57:52.000Z,2021년 5월 12일,"_
#백마흔두번째 #info ¹⁴² @by_cado_oh
#경희대 #돈부리 #차슈동 #돈코츠라멘
_
라멘 특유의 짠 맛을 즐기지 않는 편이다.
자연스레 라멘을 자주 안 먹게 되는데
이곳의 라멘은 간이 적절했다.
너무 짜지도 않으면서 국물은 딥-한 게 아주 적절했다.
그리고 맵기를 조절할 수 있어
본인 입맛에 맞게 선택할 수 있다. (해.장.용)
_
#돈코츠라멘 (8,000)
딥한 느낌의 돼지 국물과 적당한 후추향이 아주 조화롭다.
아삭거리는 숙주와 아부리된 차슈, 거기에 면발을
둘둘 말아 올리면 이보다 좋을 수 없다.
#쿠로마유라멘 (9,000)
돈코츠는 후추향이 포인트였다면
쿠로마유는 마늘 향이 뽝하고 올라온다.
국물 전반적으로 퍼지는 마늘 맛에
살짝 맵게 먹는 것을 추천한다..
매움과 마늘의 조화가 장난 아니다.
#차슈동 (8,000)
두툼한 차슈와 밥 크게 한 숟갈,
생와사비를 살짝 떠 얹어 한 입, 한 아름 입에
가득 넣어 와구와구 먹으면 행복이 따로 없다.
적당히 짭짤한 간장과 돼지기름,
그리고 탄수화물의 조화가 최고다.
_
info.
서울특별시 동대문구 회기동 45-74
(경희대 삼거리 정류장 인근)
매일 11:00 ~ 22:00
02-960-1319
부쿠니동 8,500
차슈동 8,000
쿠로마유라멘 9,000
돈코츠라멘 8,000
_
#경희대맛집 #차슈동 #차슈라멘 #카도오
#경희식과사전 #식과사전_일식 #식과사전_차슈동
#식과사전_돈코츠라멘 #식과사전_덮밥
#경희식과사전_w"
돈이찌,https://www.instagram.com/explore/locations/111860357098523/,menyahokori_official,1일 전,2021-07-31T11:02:29.000Z,2021년 7월 31일,"호코리 마감합니다ㅠ
.
아이러니하게 오늘 최고매출 갱신했습니다요 ㅠ 감사감사합니다 ㅠ 날씨가 좀 풀리면 더 좋은 환경에서 드실 수 있을텐데,, 에어컨 두대가 풀가동이어도 답이 없네요 ㅠ 😭
.
잘 준비해서 내일 뵙겠습니다 🙏🥺
🔶사진은 @kyouretsu_ramen 의 츠케멘,, 아마 곧 판매하실 것 같은데 🥺 존맛이니 기대해주세요,,,
.
#멘야호코리 #송파맛집 #잠실맛집 #가락동맛집 #마천시장맛집 #라멘 #돈코츠라멘 #쇼유라멘 #마제소바 #차슈덮밥 #일본라멘 #맛집 #강동구맛집 #치킨가라아게 #가라아게 #유애나 #유애나3기 #아이유 #이지금 #좋아요반사 #치킨난반 #지로계열 #농후돈코츠 #지로라멘 #라멘지로 #방이동맛집 #방이먹자골목맛집 #송파구청맛집 #돈이찌 #스테키동"
종로5가,https://www.instagram.com/explore/locations/308190219264954/5/,shinwoong0318,28분 전,2021-08-02T07:01:59.000Z,2021년 8월 2일,"니지라멘

서울특별시 종로구 대학로 1길 34 지하1층
매일 11:30-22:00
재료소진 시 마감

작년에 점심때만 영업하던때 한번 가보고 1년만에 가본 니지라멘

작년에 처음 방문했을때만해도 가게의 이름처럼 오후 2시까지만 영업을 하던 곳이었는데 어느새 22시까지 영업하는곳이 되었습니다

내친김에 가볼까 하고 오랜만에 방문했고 가게가 크진 않은데 다행히도 가자마자 자리가 있었습니다 저번 방문땐 쇼유를 시켜봤기에 이번엔 돈코츠를 시켜봤습니다

아 그리고 월요일 점심때 한정으로 맥주가 1인당 1잔 무료이기에 라멘에 맥주를 먹어본적이 없기도 해서 맥주도 시켜봤습니다

우선 돈코츠는 엄청 진한 스타일은 아닌지라 첫끼에 무리없이 바로 잘 들어갔고 차슈도 잘 구워져서 맛있었습니다 그렇게 다 먹었습니다

그리고 맥주 서비스는 정말 감사했는데 먹어본 결과 역시 제 입맛엔 라멘에 맥주조합보다 라멘과 콜라조합이 더 좋습니다

위치는 1호선 종로 5가역 1번출구에서 걸어서 3분내지로 도착하는데 골목 사이에 있는지라 처음 가실땐 지도보고 가시다보면 나올겁니다 차는 끌고갔다간 들어갔다 나오기도 힘드니 대중교통을 추천드립니다

#라멘 #돈코츠라멘 #니지라멘 #종로5가맛집"
