location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,oksk3618,4일 전,2021-08-01T04:00:01.000Z,2021년 8월 1일,"#일상
정진우 오늘 라면이 먹고 싶다길래..
맨날 먹고 싶으면서 ㅋ
후다닥 볶음밥 있는걸로 김밥 한줄싸서😋
덕분에 나도 한끼 떼웠네 ㅋ

오늘은 쪼끔 시원한가봉가🤔
청소하고 세탁기 돌려놓고 에어컨좀 잠깐끄고
방마다 창문 활짝 열어놓고...
기분도 공기도 환기좀 시키자...
-
-
#라면 #김밥 #주말일상
#선팔하면맞팔 #소통좋아요
#야식 #야식메뉴 #야식추천
#백반 #한식 #집밥 #반찬 #홈쿡
#술상 #밥상 #먹팔 #맞팔
#육아 #소통 #안주 #혼밥 #혼영
#먹팔맞팔 #혼술 #혼술러 #좋반
#술스타그램 #먹스타그램 #맛스타그램"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,ddomukzzi,3일 전,2021-08-02T11:57:52.000Z,2021년 8월 2일,"< 동생이 사줌💛/ #라면추천 / #삼양식품 @samyangfoods / #불닭볶음면 >
지금 야식 먹으면서 습관적 먹스타?!로 찍은 사진이랔ㅋㅋ리얼 그 자체인 #불닭 이랄까요,,💛
라면 지쨔 안 먹는데!!!!오랜만에 불닭볶음면 먹으니까 마잇더라구요ㅎㅎ
✔️불닭볶음면
불닭볶음면은 불닭 특유의 그 매콤함이 정말 매력적인거 같아요💛(처음엔 안 맵다가 갑자기 확 들어오는 그 매콤함!!👍🏻)
갠적으로 불닭 시리즈 중에 불닭볶음탕면?이랑 까르보불닭 그리구 기본 져아해요ㅎㅎ💛
그나저나 저 옛날보다 매운거 더 못 먹나봐요ㅠㅠㅎㅎ지금 입술 엄청 붓고 난리낫어욬ㅋㅋㅠㅠ"
이태원동,https://www.instagram.com/explore/locations/484802459/,kim_kfood,3일 전,2021-08-02T10:00:39.000Z,2021년 8월 2일,"⠀

순두부 열라면을 요즘 많이 드시길래 만들어봤어요.🎈
레시피 별거 없더라구요.

✔️평소처럼 라면 끓이고 순두부 넣고 계란도 넣고 청양고추도 넣고 냉동실에 굴러다니는 해산물 넣어주면 더 좋구요 😁

👉순두부 열라면 레시피

재료
열라면, 순두부, 계란, 파, 청양고추, 해물(없으면 패스🙌)

1. 들어갈 재료부터 자르는데 1인분에 순두부 반정도가 적당하고 청양고추, 파도 송송 잘라둡니다.

2.끓는 물에 해산물 있으면 넣고 열라면도 넣어주세요.

3.칼칼하게 먹으려면 청양고추를 넣고 순두부에 빠지면 아쉬운 계란도 하나 톡 까서 넣어줍니다.

4.마지막으로 후추가루를 톡톡 뿌리고 파를 올려서 맛있게 호로록 🍜

👉 Recipe for soft tofu open noodles

Ingredients
Yeol Ramen, soft tofu, eggs, green onions, pepper(spicy one), seafood(you can pass it)

1. Cut the soft tofu in half for one serving and chop the pepper and green onion.

2. Put seafood in boiling water and ramyeon.

3. Add spicy pepper and an egg

4. Lastly , black pepper and green onion.
That’s it🙌

#kimkfood #koreanfood #kfood #soulfood #noodle #noodles🍜 #tofu #jmt #된장찌개 #요리 #레시피 #집밥 #집밥스타그램 #저녁식사 #라면 #순두부찌개 #순두부 #먹방스타그램"
사무실 뿅,https://www.instagram.com/explore/locations/125789690854999/,_______k1004,13시간 전,2021-08-05T00:47:02.000Z,2021년 8월 5일,#먹스타
,,zoldolre,2일 전,2021-08-03T09:58:39.000Z,2021년 8월 3일,"어릴 때, 배달앱이 없던 시절
저희 집 전용야식은 청양고추랑 김치를 듬뿍넣은 라면이었어요. 🍜🍜
.
맛은 둘째치고 엄청 매웠었거든요.
근데 그 매운 맛이 아주 가끔 생각나요.
(강렬했던, 어린 시절의 매운 맛)
.
여러분들 집의 전용 야식은 뭐였나요?
.
.
.
#돌레하우스 #야식 #라면"
,,mija_yummy,2일 전,2021-08-03T08:44:08.000Z,2021년 8월 3일,"뼈다귀해장국&라면사리🙈
.
날이 많이 더우니 밥상을 차리기보다
메인요리 하나 해서 먹게되는 것 같아요☺
어제 뼈다귀해장국에 간단하게 소주한잔 하면서
방콕 휴가(?) 마무리 했어요😁
.
요즘 푸른거탑 다시 보는데 썰이 하나 생각나서 풀어봐요~
저희집에는 막둥이 남동생이 있어요🧒
동생 어릴때부터 군대가는게 걱정됐던
언니들이 여군을 알아보기 시작하더라구요?
누나가 군대가면 남동생은 군대를 안가도 된다나?
정확한 정보도 없이 저를 군대 보내려고 했던 기억이 나네요🤣
지금 다시 생각해도 소름,,,
갈꺼면 본인들이 가지,,,
.
.
.
#뼈다귀해장국 #해장국 #감자탕 #라면 #ramen #ramyeon #저녁메뉴 #식단공유 #반찬"
,,porsc24,13시간 전,2021-08-05T01:17:07.000Z,2021년 8월 5일,"👉👉@lovely_syn 👈👈재밌는 짤/영상들이 팡팡!!!
.
.
.
.
.
.
.
.
.
.
.
.
#맛집#라면#라면레시피#유머#유머짤#유머스타그램#유머동영상#유머저장소#유머글#짤#짤방#카페추천#먹스타#먹부림#먹스타맞팔#소통환영#소통좋아요#육아소통#육아템#꿀템#꿀팁#필수템"
,,shin_stargram,1일 전,2021-08-04T10:54:20.000Z,2021년 8월 4일,"#첫줄
인님들 수요일
수고하셨어요🙂

오늘 저녁 배홍동 비빔면.
시원한 육수에 새콤달콤
비빔면 꿀맛🙂
지나가다가 많이봐서
드디어 오늘 구입후 두봉 말았어요😆
거부감 없는 친숙한맛👍
맛있네요❤️

굿밤송🎶
Damien Rice_
the blower’s daughter

이번주 다음주는 시간이
더딜듯. .

편안한 밤 보내세요🙂
안녕❤️"
먹고싶은페이지,https://www.instagram.com/explore/locations/1579530672333613/,eat_sujin.imddong,7월 28일,2021-07-28T04:43:22.000Z,2021년 7월 28일,"2021.07.28
#땡큐파머스 #협찬
짜파게티냐 비빔면이냐,, 이 고민만 3시간 하다가 결국 비빔면으로 ㅋㅋㅋㅋㅋㅋㅋ 선택장애 때문에 뭐든 고민만 기본 2시간 이상은 하는 것 같아요 ㅋㅋㅋㅋㅋㅋ🥲🥲
아무튼 이번 선택은? 매우 옳았다~~~
<마지막 사진엔 미어캣 한마리…?>
-
땡큐파머스 #차돌박이 도 어쩜 이리 맛있됴? 상태 좋고 맛고 좋고! 저는 여름이니까 시원한 비빔면이랑 같이 먹었어요! 얼음에 박박 씻어준 탱글탱글한 면발에 감칠맛 나는 양념 야무지게 비벼서 차돌박이랑 먹으면 잠시 더위는 잊고 천국에 갔다 올 수 있어요! 차돌박이 두세점 올려서 호로록 먹는 그 행복,, 같이 느끼자고요!! 여기 차돌박이 자체가 워낙 고소하고 부드러워서 그냥 고기만 먹어도 좋았어요! 저처럼 이렇게 면이랑 같이 먹어도 좋지만 차돌박이 숙주볶음 만들어서 맥주랑 먹어도 밥이랑 먹어도 좋아요! 같이 고소한 차돌박이 먹고 행복합시다!🥩🥩
-
구매는? @thankyoufarmers
-
-
#고기 #고기맛집 #라면 #비빔면 #팔도비빔면 #여름 #맛집 #존맛"
,,rakdrew,3분 전,2021-08-05T14:20:56.000Z,2021년 8월 5일,"경춘자?라면점빵? 1등은 삼숙이

#라면 #1등 #진짜 #기본에충실 #이거다"
