location_info,location_href,upload_id,date_text,date_time,date_title,main_text
학교가는길 역곡점,https://www.instagram.com/explore/locations/909915557/,superseouloink,5월 31일,2021-05-31T09:53:13.000Z,2021년 5월 31일,유명하다고해서 와봤는데 현민이가반기네👋 #학교가는길 #떡볶퀸 #수요미식회 #가톨릭대맛집 #역곡맛집 #떡볶이 #치즈라볶이 #라볶이
,,_agarifighter_,6월 8일,2021-06-08T00:38:26.000Z,2021년 6월 8일,"#방산시장맛집#동신스넥코너

가장 비싼 메뉴가 단돈 5000원인
방산시장에서 분식 메뉴로 많은 상인들의
배를 채워주는 동신스넥코너를 다녀왔습니다

콩국수 먹으러 갔다가 옆에서 면볶이라는 메뉴를
너무 맛있게 드셔서 1인 2 메뉴를 주문했다

라볶이라는 메뉴가 진짜 간단해 보이지만
면 넣는 타이밍과 간 맞추는 것도 상당히 까다로운데
사장님의 노하우로 만든 면볶이는 적당한 달달함에
코 박고 먹게 되는 매력이 있을 정도입니다

콩국수는 단돈 5000원이라는 가격에 판매를 하시는데
진한 맛보다는 깔끔하게 한그릇 먹을 수 있는 메뉴라
갈증나는 상인들에게 뭔가 미숫가루 느낌이 아닐까 싶다

김밥도 맛있어 보이던데 조만간 또 방문해
라면과 김밥으로 도전을 해보겠습니다🙏

#아가리을지로"
충청남도 당진군 합덕읍,https://www.instagram.com/explore/locations/171624403009295/,minjong1978,7월 19일,2021-07-19T13:33:58.000Z,2021년 7월 19일,"#사랑분식#당진맛집
#생활의달인#국물떡볶이
#라볶이#합덕읍맛집

당진 합덕으로 병원다녀오다가
맛집 검색후 찾아가본 떡볶이
생활의달인에 출연하셨다던데
평일이라 그런건지 한가함
국물맛이 좋아서 혼자갔는데
라볶이도 추가해봄"
흑석동 시장,https://www.instagram.com/explore/locations/2177813785766647/,jypark0428,7일 전,2021-07-26T06:01:18.000Z,2021년 7월 26일,"분식에 소주는 못 참지!
라볶이에 돈까스에 감자를 바로 갈아서 만들어 주시는 감자전까지!
카운터석에 앉아 아기새들처럼 안주 받아
소주를 들이키는 우리는 낮술주정뱅이!!🤣🤣🤣
#흑석동 #흑석역 #요리조리분식포차 #분식 #라볶이 #돈까스 #감자전 #참이슬 #아침에이술한잔 #문썬과함께 #흑석동투어 #요리조리분식포차오형 #파워인스타글래머"
,,from._.jiyeon,6월 16일,2021-06-16T11:48:37.000Z,2021년 6월 16일,"#라볶이 #군만두

떡볶이 해준댔더니
라볶이하래요 ㅋㅋㅋ
뭐가 다른거지 ..🙄🙄
떡 조금 넣음 라볶이죠 뭐...
여튼 이렇게 한끼해결했네요~^^
ㆍ
ㆍ
ㆍ
#한끼해결 #집메뉴 #푸드그램
#분식 #간단한끼 #세상귀찮 #일상소통 #먹그램 #음식소통"
,,colorfulsundays,6일 전,2021-07-28T02:41:44.000Z,2021년 7월 28일,"❛협찬 [#매운떡볶이 #미인떡볶이]
입속에 불지르고싶을때 제발 이거 드셔주세요
아 눈물나 🥲 매워서 발동동
근데 또 계속 먹게되요…🥺
⠀
🏷 쌀떡 더빨간맛
⠀
아니 떡이 얼마나 쫄깃한지..
(영상좀 봐주세여… )
젓가락에서 드릅게 안빠져요..ㅋㅋㅋㅋㅋ
쪼올깃~~쫘알깃~~ 이빨에 쩍쩍 달라붙음.. ㅋㅋ
⠀
매번 빨간맛(보통)만 먹다가
요즘 자꾸 매운게 땡겨서 더빨간맛을 먹어봤는데
오우.. 인중에 땀나고 콧물나곸ㅋㅋㅋㅋㅋ
양념 매워요 ㅋㅋㅋ
진짜 미니핫도그 없었으면 전 못먹었어요
⠀
새우튀김도 있었는데..
튀김옷이 완전 바삭바삭해서
안그래도 매운데 바삭한거 씹으니까 더 매워욬ㅋㅋ
매울땐 미니핫도그가 딱이에요 ㅠㅠ
⠀
사랑꾼은 맵다고 닭가슴살 돌리더니
혀에 붙여놓고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
저한테도 자꾸 권하는데
되게웃긴게 이게 매워도 맛있게 매운거라
닭가슴살로 입배리기시른거에요ㅋㅋㅋ
그냥 매운게남 ㅋㅋㅋㅋㅋㅋ
⠀
매운거 꽤나 드시는분들은 맛있게 드실것같아요!
쌀떡 보통맛도 완전 완전 맛있답니당 !! 👏🏼
떡볶이 배달시키면 25,000원은 그냥 넘잖아요…
요거 냉동실에 쟁여놓는거 진짜 필수에요-
⠀
미인떡볶이 쌀떡볶이는 꼭 드셔보세요! 💛
구매는 @welcome_miin
⠀
⠀
⠀
⠀
#쌀떡볶이 #치팅데이 #떡볶이맛집 #떡볶이 #먹부림
⠀
⠀
⠀"
서산 해미읍성 Haemi-Eup Wall,https://www.instagram.com/explore/locations/368815314/haemi-eup-wall/,golin_sangwoo_514,5월 3일,2021-05-03T13:10:56.000Z,2021년 5월 3일,"#맛스타그램 #먹스타그램 #맛집 #먹고싶다 #충남 #서산 #해미 #해미읍성 #한서대 #충남고속 #해미얄개분식 #얄개분식 #라볶이 #떡볶이는사랑입니다 #떡볶이 #계란 #어묵 #인천 #남부터미널 #당진 #태안 #홍성 #골프스타그램 #골프 #골린이 #골프사랑 #명랑골프 #골프치는남자 #골프치는ssg팬 #선팔하면맞팔가요
ᆞ
ᆞ
서산 해미 해미읍성 얄개분식
여기 라볶이가 맛있어요😊😊
울인님들 드시고싶으시죠????
여기 추천해드릴게요😊"
대학로 림스치킨,https://www.instagram.com/explore/locations/273416919/,mindoo_pig_,5일 전,2021-07-28T13:08:25.000Z,2021년 7월 28일,"394. 삼백구십사번째 #민두피그 🐷
-
#혜화 #림스치킨
-
치킨집이긴한데 쩰 유명한건 <김.치.쫄.면>
이게 뭐냐면 김치 들어간 쫄볶이라고 생각하심 되는데요!
가보면 알겠지만 이 김치쫄면 안 시킨 테이블이 없슴당.
진짜 열이면 열 다 먹고있음ㅋㅋㅋㅋㅋ
-
일단 둘이 가든, 셋이 가든 치킨 한마리에(반반 추천)
이 김치쫄면 시키고 쏘맥 쪼지면 되는데
조합 진짜 난리납니다,,
치+떡은 흔해도 치+쫄떡은 처음일텐데~~~~ㅇㅅㅇ?
괜히 이 집에서 이 놈을 파는게 아녜유,,, 대박임
-
약간 평범쓰한 떡볶이맛일수도 있는데
김치 들어간게 일단 신의한수고 라면이 아니라
쫄면 넣어준거, 쌀떡이 아니라 밀떡인것이 포인트
그리고 치킨 살 발라서 쫄면에 같이 돌돌 말아서 먹어주면
아~~~~ 평범ㄴㄴ 존맛! 순삭! !
-
치킨은 오리지날/간장 반반 추천이에용
어차피 양치소스 나오니까 그거 찍으먹으면 양념치킨 되고
총 3가지 치킨 먹는 너낌임 ❤️~
근데 츀은 그냥 동네호프집 옛날치킨맛 정도라는 점~~~~!
-
여긴 단골맛집이라 단골들로 자리가 꽉 차서
저녁에 가면 웨이팅 있을수도 있어효,,,
이 김치쫄면 먹자고 멀리서 찾아올 정도의 맛은 아니고
가까우면 맛나게 먹고 갈 수 있는 정도 ! 참고용 ~"
남해대교,https://www.instagram.com/explore/locations/271625396/,bak_unni,23시간 전,2021-08-02T04:54:37.000Z,2021년 8월 2일,"#삼겹살비빔면 #라볶이 #어묵탕
이번 하동여행에서 물놀이하면서 간단하게 먹은
음식과 술안주(?)모음입니다ㅋㅋㅋㅋㅋㅋㅋㅋ((̵̵́ ̆ͯ̑͟˚̨̨̩ ̆ͯ̑)̵̵̀) 🎉🎉

🥓🍝#삼겹살비빔면
여윽시 수영하고 먹는 음식은 언제나 존맛이예요 ｡ﾟ( ﾟஇ‸இﾟ)ﾟ｡
외갓집 앞마당에 풀장설치해서 아이들과 물놀이해쮸 - ෆෆෆ
비빔면 5개끓여서 얼음물샤워한 꼬돌꼬돌하게 비빈면에
노릇노릇하게 구운 삼겹살은 국룰아니겠숩니꺄ㅑㅑ?
(요조합 싫어하는 사람 못본듯😋😋)
수영하는애들 집어먹기 편하게 바베큐소세지 꼬챙이에 끼워구워주니까 엄청 좋아하더라구요 •’-‘•

비빔면+삼겹살은 그냥 사랑입니듀 ˗ˋˏ ♡ ˎˊ˗

🔥🍡#라볶이
#미미네국물떡볶이 가 그렇게 핫하다길래 구매해서 와봤지여ㅎㅎㅎ
떡느코 양념느코 어묵은 어묵탕하려고 사온거 때려넣고 보글보글 끓이기만 하면 끝❣️
처음은 좀 국물이 많은 심심한 느낌이었는데 먹다보니
국물도 쫄아지니까 딱 간이 괜찮더라구요👍🏻
달고 자극적이지않는 다들 좋아하는 호불호 없는맛이예요 ♡⃛ ♡⃛ ♡⃛

요런 궁물떡보끼엔 라면사리는 무적권이쥬 🍜💕
먹다보니까 딱 삶은달걀 넣어서 궁물에 으깨먹으면 진짜 맛있는 그런맛인거예요? ><
그런의미로 🥚삶은달걀🥚10개 삶은건 안비밀🤫
역시 놀러가서 여럿이서먹는 라뽀끼는 존맛탱⸝⸝ʚ̴̶̷̆ˬʚ̴̶̷̆⸝⸝💘

🍢#어묵탕 🍲🍢
삼겹살 구워먹고 술한잔 더 하기 딱 좋은 오뎅탕🤎🤎🤎
트레이더스에 갔더니 #고래사어묵 에서 나온
꼬챙이끼워져있는 어묵이 팔더라구요🍢🍢🍢
어묵탕국물 스프까지 동봉되어있어서 그냥 넣고 끓이기만 하면 끗✨

저렴이 어묵이 아니라 고래사에서 나온 어묵이라 그런지
쫄깃하고 통통하니 진짜 너어어어무 맛있더라구요👍🏻👍🏻
꼬챙이까지 끼워져있어서 캠핑 야외먹방 계곡이나
어디놀러가서 간편한 술안주나 간식으로 딱일것 같아요 ฅ(•ㅅ•❀)ฅ
대망의 하이라이트는 어묵에 조려진 찐한 궁물이 찐존맛! ㅇㅈ?
남해대교 보면서 먹는 소주는 세상존맛… (°◡°♡).:｡

이번 하동여행 2박3일간 정말 알차게 너어어어무 잘먹고왔어요 ꈍ◡ꈍ
불어난 몸이 걱정이되긴하지만 맛있었으니까 된거예요
ㅋㅋㅋㅋㅋㅋㅋ ◟( ˘ ³˘)◞💜💜💜

#먹스타그램 #푸드스타그램 #instafood #mukstagram
#야외먹방 #캠핑요리 #물놀이후먹방 #시골먹방 #koreanfood
#고래사어묵 #미미네국물떡볶이 #먹팔소통해요 #먹팔환영"
경상남도 김해시 진영읍,https://www.instagram.com/explore/locations/325603072/,byul.mi.dang,5분 전,2021-08-03T04:10:10.000Z,2021년 8월 3일,".
오픈중 입니다💁🏻‍♂️
떡볶이.튀김만두 드시러 오세요~^^

현재 1인 운영중 입니다.
한번에 3~4개정도 주문이 밀리면
조금 늦어질수도 있어
양해 부탁 드립니다🙇🏻‍♂️
더 신속히 나갈수 있도록 노력하겠습니다."
