location_info,location_href,upload_id,date_text,date_time,date_title,main_text
성북동 한스갤러리,https://www.instagram.com/explore/locations/285442451/,limelime_ddalkonge,3월 12일,2021-03-12T00:51:53.000Z,2021년 3월 12일,"#밀키트 계속 준비중이에요~😍📸🤤 피자는 이제 끝났어요ㅎㅎ
이제부턴 천천히 파스타,피자 테스트하고 피드백받고 시작할게요🤣😆

#피자 #pizza #margherita #마르게리타 #마르게리따"
,,jh_food_cooking,2020년 11월 26일,2020-11-26T10:42:21.000Z,2020년 11월 26일,"마르게리타 피자
모든 약속을 취소했다
더 우울해지기 전에 피자를 먹었다
.
.
#마르게리타피자 #마르게리따피자 #피자 #마르게리타 #마르게리따 #margherita #pizza #margheritapizza #이탈리아요리 #instafood #foodstagram #요리일기장 #요리일기 #foodie #데일리 #일상 #자취요리 #일상일기 #혼밥 #홈쿡 #자취생 #요리스타그램 #존맛탱 #간단요리 #나폴리 #이탈리아 #naples #napoli #italy #campania"
山岡ピザ,https://www.instagram.com/explore/locations/2481272/,hyang_dae,2020년 10월 11일,2020-10-11T11:41:20.000Z,2020년 10월 11일,"..
.
해피♡..happy 😳❤️
.
.
yamaoka pizza 山岡ピザ @ ikoma nara japan 🇯🇵
.
.
.
旨々💓
.
.
.
#tb #yamaokapizza #pizza #wine #cheese #view #food #foodporn #山岡ピザ #ピザ #奈良 #nara #japan #ワイン #먹스타그램 #맛스타그램 #맛집 #일상 #일상스타그램 #마르게리타 #피자 #와인 #꿀맛 #マルゲリータ #margherita #happy #withyou #throwback #いちじく #osaka"
Convertor,https://www.instagram.com/explore/locations/201958197096362/convertor/,pizzaram,2018년 10월 30일,2018-10-30T11:27:08.000Z,2018년 10월 30일,"밀라노에서 스폰티니 피짜 먹어본사람은 이맛 알꺼야😭
드디어 가로수길에 생겼어ㅠ도쿄 스폰티니보다 백배낫다
내가 한국에서 먹어본 피쨔중에 여기가 Best of Best Pizzzzzza"
,,kwang_6055,2020년 8월 27일,2020-08-27T10:52:47.000Z,2020년 8월 27일,".
피자파스타
멋진하늘🌆🌇
.
.
.
#올리코 #마르게리타 #피자 #파스타 #맛집 #먹스타그램
#먹스타맞팔 #하늘 #예쁘다"
바람이분다,https://www.instagram.com/explore/locations/1011283123/,ki_jung_eat,2020년 5월 29일,2020-05-29T09:58:20.000Z,2020년 5월 29일,"<바람이 분다>
동생이 여기 알리올올리오 맛있다고 하도 가보라고해서 간건데 파스타 빼고 피자 스테이크 샐러드 다 시킴....🤔
.
🥩안심스테이크_(국내산/160g)메뉴설명에 특별한 가니쉬를 올렸다해서 찾아봤더니 아스파라거스 있던데 왜 때문에 아스파라거스 없는거죠??
스테이크 나왔는데 약간 실망😒
고기는 부드럽고 맛있긴했다ㅋㅋㅋㅋㅋㅋ
.
🍕엑스트라마르게리따_모짜렐라와 토마토피자 화덕에 구워서 바삭거리고 반죽 많이 치대셨는지 쫄깃거리고 맛있다.
.
🥗살몬샐러드_만다린 드레싱이 다했다. 드레싱 상콤달콤해서 진짜 맛있음. 연어도 훈제연어인데 한 두점 올려져있는거 아니고 잔뜩 있어서 완전 좋음🥰
.
아참 피클은 내가 만든게 훨씬 맛있었다. 식초랑 설탕이 더 들어가야돼...
.
위치에 비해서 가격이 비싼 편이라 딱히 추천은 안하는데 어쩌다 한 번 갈만한 것 같음.
뭔가 구리에🔸️마이첼시🔸️레이지데이즈 등과 분위기나 느낌이 비슷한거 같기도ㅎㅎㅎ
.
.
.
#바람이분다 #바람이분다레스토랑 #구리바람이분다 #안심스테이크 #스테이크 #엑스트라마르게리따 #화덕피자 #피자맛집 #엑스트라마르게리따피자 #피자 #레스토랑 #마르게리타 #모짜렐라토마토 #살몬샐러드 #연어샐러드 #샐러드맛집 #구리맛집 #교문동맛집 #구리맛집추천 #먹스타그램 #맛스타그램 #리뷰스타그램 #2인3메뉴기본 #기정_구리"
,,sugartable1,2017년 7월 23일,2017-07-23T10:40:50.000Z,2017년 7월 23일,마르게리따피자🍕#마르게리타#마르게리따#마르게리따피자#피자#라그릴라#spc스퀘어 #강남역#분당#여수동#야탑#키즈베이킹#ピザ#マルゲリータ#イタリアンレストラン#pizza#margheritapizza#italianfood#dinner#kidsbaking
압구정 Apgujung,https://www.instagram.com/explore/locations/798963559/apgujung/,chokyoungeun,2019년 12월 2일,2019-12-01T23:27:58.000Z,2019년 12월 2일,"올해 첫 송년회🙆🏻‍♀️
대학교 친구들과 오랜만에 만나 맛있는 음식도 즐기고, 즐거운 시간 보냈어요. 곧 엄마가 되는 친구를 밤열시까지 붙잡고 있어서 이래도 되나 싶었지만ㅋㅋㅋ 넘 재밌고 2차로 간 #다로베청담 화덕피자가 진짜 너무맛있었어요. 남편 다음에 가자ㅋㅋㅋ 두판사쥬께👦🏻
.
. #화덕피자 #마르게리타 #피자엔와인 #루꼴라피자 #갓구운피자 #pizza #청담맛집 #피와 #margherita #pizzanwine #winelover #cheers #tripstagram #foodstagram #onthetable #pizzamood #온더테이블 #맛집스타그램"
恵比寿　アンティ力ピッツェリア・ダ・ミケーレ,https://www.instagram.com/explore/locations/567227456/,babu_gourmand,2019년 10월 30일,2019-10-29T17:07:19.000Z,2019년 10월 30일,"「ピザって10回言ってみて！」「ピザ、ピザ、ピザ…」「じゃあここは？」「蟻の門渡り！」というわけで、イタリア🇮🇹のナポリで150年近く愛される行列ピッツェリアの日本🇯🇵初上陸店に誘われたよん🤲といっても上陸したのは2006年のこと😅ラーメン屋🍜とカレー屋🍛以外は情報に疎いものですまぬ🙇‍♀️と謝りながら「アンティーカ ピッツェリア ダ ミケーレ」@恵比寿にDIVE💦なんと、ガーデンプレイスで働いていた時に倉庫にしてたマンションの真ん前にあるやん😳びくーり仰天ところてん😅
.
ピッツァの素材は現地の味をそのままに、チーズ・粉・トマト・オイルにピッツァ窯を輸送。 現地ナポリ本店で習得したピッツァイオーロ（ピザ職人）が伝統・技に支えられたミケーレの味を東京・恵比寿にて再現！って自分でハードル上げとるなぁ😤
．
ばぶジャッジ😋➡️➡️➡️まずは、「ダミケーレサラダ」（880円）しょっぱい😆お次の「キビナゴのビールフリット」（600円）は揚げたてサクサクで旨し😍そして、メインの「マルゲリータ」（2000円）🍕 登場！具はトマト・モッツァレッラ・バジル・オイル・チーズ🧀めちゃ美味いっす💯特にトマトとオイルの相性が👍もう一枚の「ビアンカ」（2000円）モッツァレッラ・バジル・オイル・チーズは大したインパクトもなく、端っこの具がのってないところが最後に残ってイマイチ😌やっぱ、この店ではマルゲリータを延々食べていたいな🍕あと、飲み物高いっす👎
.
#ピザ #ピザ好き #ピザ🍕 #ピザ部 #ピザ大好き #イタリアン #イタリアン好き #イタリアン🇮🇹 #イタリアン大好き #イタリアンレストラン #イタリアン料理 #イタリアンバール #イタリアンディナー #イタリアン恵比寿 #イタリアン東京 #ピッツア #피자 #이탈리안　#アンティーカピッツェリアダミケーレ #ダミケーレ恵比寿 #ダミケーレ #マルゲリータ #マルゲリータピザ #ビアンカ #마르게리타　#チーズ　#グルメ #ばぶイタリアン"
,,ommaya_o,42분 전,2021-07-31T09:51:14.000Z,2021년 7월 31일,"시저샐러드...취향저격🙈

#상주 #꼼바 #불고기버섯크림리조또 #베이컨새우오일파스타 #마르게리타 #시저샐러드 #사람많음 #예약필수 #일욜휴무"
