location_info,location_href,upload_id,date_text,date_time,date_title,main_text
하얼빈가정식,https://www.instagram.com/explore/locations/625630754592921/,fooding_ss,3월 23일,2021-03-23T01:42:46.000Z,2021년 3월 23일,"어향가지와 마파두부로 즐기는 하얼빈가정식 점심

가벼우면서도 자극적인 맛을 느끼고 싶을때 생각나는 마파두부.
메뉴 하나가 2인분이라 공기밥 2개가 포함되어있다(사진은 2명이서 4인분😅). 대부분의 테이블에선 어향가지튀김을 반찬삼아 식사중이다. 점심에도 먹을수있는 꽤 매력적인 메뉴들이 많다.

요리가 아닌 식사로 먹으니 상호대로 정말 하얼빈 가정식을 먹는 느낌. 마파두부에서 특이하게 마라맛이 나는데 간이 적당한게 기가 막히다. 갓 튀겨나와 씹었을때 채즙+기름이 배어나오는 어향가지튀김도 식감이 좋다. 역시 가지는 튀겼을때 맛이 극대화된다. 수제군만두가 맛있다고 하니 다음엔 마라탕과 수제군만두 찜!
.
.
🍮서울 강남구 삼성로95길 35
🍮매일 10:00~22:00
🍮마라두부세트(14,000), 어향가지튀김세트(16,000)
.
.
#하얼빈가정식#하얼빈가정식본점##서울맛집#선릉맛집#선릉역맛집#삼성역맛집#삼성동맛집#선정릉역맛집#마파두부#마라탕#중식#어향가지#어향가지튀김#두부#만두#먹스타그램#맛스타그램#푸드스타그램#푸딩쓰#푸딩쓰맛집#푸딩쓰선릉#푸딩쓰삼성"
,,subi_1218,5월 4일,2021-05-03T23:08:52.000Z,2021년 5월 4일,"no.563 도시락
.
.
☔☔☔
.
.
#오늘의도시락 #도시락 #마파두부 #계란후라이는덤 #돌나물 #오이무침 #파인애플🍍"
,,bm.ny_mom,3월 6일,2021-03-06T02:42:04.000Z,2021년 3월 6일,"⠀⠀⠀
⠀⠀⠀
👩🏻‍🍳오징어무국 마파두부&간장마파두부덮밥 연근강정
⠀⠀⠀
좋아하는 두부에 다진고기 숑숑
한그릇뚝딱 안할 이유가 업찌
연근강정은 리얼 간장치킨맛 굿쓰 !
#보민나윤밥상"
루지면관,https://www.instagram.com/explore/locations/105433601475240/,obambbi,4월 23일,2021-04-23T05:14:36.000Z,2021년 4월 23일,"210423
수원 이의동 '루지면관'
.
오늘도 아침부터
업무스트레스… 🤯
.
이걸 날려준 맛있는 요리가
뭘까? 하다 문득 떠오른
누들리님(@noodley____)님이 소개하셨던
루지면관(@luji_tantan)의
마파두부!
.
중국집 달달하기만한 마파두부를
싫어하는 나한테는
이곳은 오아시스였다~~
.
이름그대로 사천 진퉁 마파두부였다!
혀끝이 아리아리~해지는걸 느끼고
제대로구나! 라는 생각이 들었네용~👍🏻😋
.
밥도 넉넉히 주셔서 배 터질뻔~
ㅎㅎㅎ😅
.
잘 먹었습니다!!!
누들리님 좋은곳 소개해 주셔서 감사드려용 😄
/
#루지면관 #마파두부 #광교맛집 #광교맛집추천 #오밤삐루지면관 #麻婆豆腐 #ライス大盛り #韓国 #mapotofu #korea"
논현양꼬치,https://www.instagram.com/explore/locations/2550829/,semvly,7월 4일,2021-07-04T03:53:30.000Z,2021년 7월 4일,아…..💓
Sijie Sichuan Restaurant (湾仔),https://www.instagram.com/explore/locations/628195081013822/sijie-sichuan-restaurant/,nicolefromkorea,5월 27일,2021-05-27T01:48:18.000Z,2021년 5월 27일,"After a long day of working I always crave spicy food & what gives a more cathartic and satisfying experience than good ol’ mapo tofu? 🔥 Sijie is a Sichuan restaurant in Causeway Bay where you can enjoy extra zingy mapo tofu! Just thinking about that delicious numbness makes my mouth water 🤤🤤🤤 Their signature cold chili oil noodle is literally cold noodles drenched with chili oil, and the fact this is their signature dish shows how confident they are with their chili oil. Such a simple dish yet immensely flavourful. Both of them are a must order! 👍🔥#nicole_causewaybay
-
매운 맛이 주는 카타르시스때문인지 한국인 피는 못 속이는지 일이 고된 날은 어김없이 맵고 자극적인 음식이 땡기는 것. 한국에서는 맵찔이인데 여기 사천 음식은 대부분 나도 먹을 수 있을 정도의 매운 맛이다. 사천 음식점인 Sijie에 가서 마파두부만 먹으려다가 못 참고 결국 시그니처 칠리오일 누들까지 시켜먹었다. 🙈 혼자서 너무 싹싹 긁어먹어 조금 민망했지만... 생각만으로도 입에 침이 고이는 찡한 얼얼함과 감칠맛 있는 매운 맛이 환상적이었다! 🤤🤤 시그니처 누들은 차가운 면에 칠리 오일만 올려져 나오는건데 이 메뉴 하나로 이곳이 얼마나 칠리 오일에 자신 있는지 알 수 있음. 맛이 얼마나 풍부한지 한 접시 가득 올려진 면을 다 먹는데 아쉬움이 전혀 없었다! 두 요리 모두 강추! 👍
.
📍 Sijie Sichuan Restaurant (Causeway Bay)
10/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay"
파미에스테이션,https://www.instagram.com/explore/locations/487831924/,hoonyongk,6월 4일,2021-06-04T10:55:18.000Z,2021년 6월 4일,"4.8점
#차알#고터맛집#파미에스테이션맛집#반포맛집#마파두부#차알미엔"
감성다방,https://www.instagram.com/explore/locations/644914684/,unoscode,5월 18일,2021-05-18T09:37:53.000Z,2021년 5월 18일,"[건대] 시홍쓰

@ 마파두부 덮밥(9,000원)
@ 토마토계란 덮밥(7,500원)
@ 에비카츠(5,500원), 하얼빈(4,500원)

부드러운 두부에 민찌도 제법 들어가고
산초의 얼얼함까지 더한 마파두부
역시 고수와의 조합은 너무 좋다.

토마토 + 계란 볶음이 맛있는건 알았지만
여기는 불맛까지 살려서 개성있고 더 맛있었다.

맛이 강한 마파두부에도 밀리지 않는 맛

새우살을 다져서 만든 에비카츠
겉바속촉에 시원한 맥주 안주로 좋았다.

@xihongshi_tomato

#시홍쓰 #마파두부덮밥 #마파두부 #토마토계란덮밥 #토마토계란볶음 #마파두부맛집 #건대맛집 #세종대맛집 #화양동맛집 #건대밥집"
,,veganmonster_log,2일 전,2021-07-28T14:21:08.000Z,2021년 7월 28일,"😈#비건몬기록
2021-07-28 점심
언리미트 마파두부

재택근무를 맞이하여 마파두부를 한솥 크게 만들었습니다. 앞으로 두 끼는 더 먹을 수 있을 것 같아요😆 내일은 마파두부를 먹을 점심 시간을 기대하는 마음으로 출근길에 나서게 되겠네요!

매콤한 걸 좋아해서 고추기름과 청양고추를 잔뜩 넣었더니 속에서도 불이 났지만🔥맛도 엄청났어요!!! 재료만 있다면 만들기 정말 간단한 언리미트 마파두부의 틈새 레시피를 남겨요~!

🔎틈새 #비건레시피

파기름, 고추기름에 잘게 다진 마늘, 양파, 청양고추, 언리미트 민스 150g을 볶고 후추 살짝, 소금 살짝으로 간을 맞춥니다. 간장 1큰술, 주황 연두 1큰술, 설탕 1작은술, 그리고 두반장을 두 큰술 넣고, 재료가 잠길 만큼만 물을 부은 뒤 전분가루로 적당한 농도를 맞춰주세요. 한입 크기로 썬 두부를 넣어 자글자글 끓여주면 완성!

동물이 들어가지 않아도 “엄청나게 맛있는” 마파두부를 먹을 수 있어요! 언리미트 짱🧡 그리고 (거의 대부분의 비건들에게 사랑받는) 식재료 두부 최고!!!👍"
,,rchaan365,15분 전,2021-07-31T02:23:32.000Z,2021년 7월 31일,"알찬밥집 6호점 용산도서관

7월 31일 금요일 #알찬밥집 6호점 #용산도서관 가정식 #짜장 #가자미구이 #겉절이 #호박나물 #마파두부 #고구마대볶음 #숙주나물 #알찬밥상알뜰 5,900원 #용산구 #후암동 30-84 #두텁바우 #남산순환도로 #구내식당 #남산밥집 #남산식당 #점심밥 #집밥 #한식 #韩式 #餐馆 #韩国正统韩餐 #首尔 #龙山区 #厚岩洞 #南山 #두텁바위로 160 #여러분덕분에"
