location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,luv.k_4bns,6월 18일,2021-06-18T03:11:14.000Z,2021년 6월 18일,"210618

내가 만든 #돈가스
여봉이가 맛있다고 리필 주문함😘
내가 만들어놓고
나도 일케 맛있게 먹기 있긔없긔😋

#오늘점심
#카레돈가스
#매운카레돈가스"
,,amyeaji,2월 22일,2021-02-22T11:11:22.000Z,2021년 2월 22일,"지민이 D+148일!!
어제는 그래도 잘자고 일어났다! 오히려 내가 잘 못잤다 ㅠ 커피를 너무 많이 마셔서 잠이 안와서 늦게 자는 바람에 ㅠㅠ

오늘은 제주도 날씨가 거의 초여름 날씨였다! 그래서 지민이 낮잠1 자고 나서 준비해서 얼른 점심 먹으러 나갔다^^ 몇일째 피자, 파스타 먹어서 오늘은 돈까스랑 카레를 묵었다 ㅋ 그리고 제주도 오면 가보고 싶었던 스타벅스!! 제주도에만 있는 메뉴를 먹어 봤다! 크👍 맛났당 ㅋㅋ 왜 서울엔 안 팔지 ㅋㅋㅋ

얼른 집에 왔는데(겨울이가 졸려서 칭얼 대는 바람에😂) 지민이가 낮잠2를 자려고 하는 타이밍에 겨울이가 울어서 지민이도 깨버렸다 ㅠ 그때부터 한시간동안 지민이는 잠투정을 엄청나게 했다 ㅠㅠ 아기띠해서 겨우겨우 재우고 나도 옆에서 같이 잤다! 엄청 졸릴텐데 ㅠㅠ 조금씩 밖에 안자서 ㅠㅠ 에구 ㅠㅠ

담주부터 이유식 시작할까 했는데 더 빨리 해야되나 고민이 된다 ㅠ 이앓이 땜에 엄청 물고 빨고 침도 엄청 흘리고 ㅠ 아픈 것 때문에 잠들때가 제일 힘든 것 같다 ㅠㅠ 다행히 먹는 건 괜찮은 것 같다! 힘들어하는 지민이가 안쓰럽고 짠하면서도 나도 덩달아 힘들기도 하다 ㅠ 그래도 지민이가 조금씩 자기 이름을 인지하고 쳐다보는 모습이 신기하다^^ 조금씩 성장하는 하루하루🥰

#구럭키현지민#제주살이8일차#이제조금씩적응중#이앓이중😭#허리힘도생겨서기대는것도꽤함#제주돈가스#키친요디#매운카레돈가스#치즈돈가스#고다치즈#스타벅스#제주한정메뉴#서울도있었으면#너무맛남#주먹고기#겨울이도시작#셋째조카는그냥사랑😍#낮잠2겨우잠듬#한시간동안잠투정#너무힘들다😭#이름부르니쳐다봄#한층성장하는중#엄마목소리주의🔇#봄가을언니가좋은지민#보기만해도꺄르르☺️#공동육아는사랑입니다"
,,real_jung_jh,2020년 6월 18일,2020-06-18T11:09:50.000Z,2020년 6월 18일,"#6.18.목요일☔
#울집저녁#아들과둘이서
#매운카레돈가스
#버터구이감자에파마산치즈솔솔
아들이 어제남은 카레를 또먹겠다길래
돈가스 튀겨서 카레돈가스로
버터구이 감자도 노릇하게 구워
같이 먹으니 배빵빵👍👍
매운카레라 전혀 느끼하지않음~~
아들은 돈까스두장 난한장~~~ㅋ
아들은 오늘도👍👍
이맛에 맛난거 자꾸 해주고싶네😁
비오는날은 전땡기는데.....
아들먹고 싶은건 다해주고 싶으니까~~
낼은 전먹을수 있을까???
#비오는촉촉한밤입니다☔💙"
전주대학교,https://www.instagram.com/explore/locations/636015938/,hcwb0521,2019년 12월 19일,2019-12-19T03:41:56.000Z,2019년 12월 19일,"내가만든카레에
매운카레덮밥
&
청량고추

계란에비벼먹으면
매우면서
겁나맛있기없기?

#매운카레
#매운카레맛집
#매운카레덮밥
#전주대카레맛집
#전주맛집
#전주대맛집
#전주효자동맛집
#매운맛
#세상매운맛
#전주대에치와삐
#매운카레돈가스
#전주맘
#일상
#소통
#전주맛집공유"
"Busan, South Korea",https://www.instagram.com/explore/locations/287620626/busan-south-korea/,hg_10.9,2019년 5월 17일,2019-05-17T12:50:24.000Z,2019년 5월 17일,#일상#소통#먹방#낚시가기전#저녁밥#수제돈가스#매운카레돈가스#얻어먹으면더맛있지#낚시망함#다리아프다#노래방고고
,,azit01085415945,2019년 2월 28일,2019-02-28T13:24:52.000Z,2019년 2월 28일,"오늘 먹은 점심...
#매운카레돈가스
#진심 #맛없다 ㅜㅠ
고기가 너무 앒아 쩝"
,,h1.j2.t3,2019년 1월 30일,2019-01-30T08:18:54.000Z,2019년 1월 30일,"카레는 핵매운 지존맛카레지

#아비꼬? #매운맛 #매운카레돈가스 먹고..#불똥 ㅅㅅ"
,,saetteumbubu_cooking,2018년 10월 14일,2018-10-14T13:13:44.000Z,2018년 10월 14일,"돈가스 먹고 싶을 땐 요기닷! 어은동 하레:D 두툼두툼하고 바싹바싹하고 치즈도 가득가득 결국 다 못먹음 ;;; 매운카레돈가스도 맛나는데 카레에 밥 비벼 먹고 싶은데 배가 너무 불러서 감자만 몇개 먹고 포기 ㅎㅎ 요기 코스요리도 궁금궁금하당 ㅎㅎ

#하레 #어은동하레 #어은동맛집 #돈가스맛집 #깜순s맛집 #치킨돈가스 #매운카레돈가스 #맛스타그램 #먹스타그램 #촵촵촵 #주말끝"
,,seoyoo7113,2018년 10월 6일,2018-10-06T05:36:34.000Z,2018년 10월 6일,#혼밥 #매운카레돈가스 #잠실 #혼자도 #씩씩하게 #세미나 #안산 #반영구화장 #마이셀
오덕돈까스,https://www.instagram.com/explore/locations/745062840/,jongdeck_kim,2018년 6월 28일,2018-06-28T10:05:33.000Z,2018년 6월 28일,#장산#오덕돈까스 #매운카레돈가스 #치즈돈가스
