location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,koreafactory,8월 12일,2021-08-12T02:17:12.000Z,2021년 8월 12일,"(광고) 오늘처럼 무더운 날씨에 딱 맞는 여름별미국수 삼교리동치미막국수입니다.👍
제주산 무와 신안 소금으로만 맛을 낸 동치미💕
그 동치미 국물에 잘 삶아진 부드러운 면을 넣어 말아 먹으면 가슴속까지 시원해지는 맛❤️
무더위에 지치고 코로나로 힘든 요즘 가평에 위치한 삼교리동치미막국수 드시러 오세요.😆
시원한 막국수 드시고 힘내세요~~🍅

#가평맛집"
,,natuarium,7월 12일,2021-07-12T03:55:05.000Z,2021년 7월 12일,"오늘의 점심: 들기름 메밀면
•
베이글에 샌드위치 해먹으려고 했는데, 더워서 베이글 생각 고어웨이.. 갑자기 시원한 들기름 메밀면으로 메뉴 변경-

간장1/2, 연두2, 채수3, 설탕1/2, 들기름1, 김 and 깨 끄읕-! 잘 저어서 면 비비기🥢

날도 더운데, 시원한 들기름 메밀면 어떠세요-?"
인덕원 새벽집,https://www.instagram.com/explore/locations/220949258832242/,csqs,7월 15일,2021-07-15T07:17:10.000Z,2021년 7월 15일,"여름 특선 메뉴 닭고기 냉 메밀 소바 ❄️🧊🐔

닭 전문점인 만큼 특별 메뉴로 닭고기 까지 올려줍니다
다양한 식감과 고기로 몸보신하는 느낌도 받았어요

직접 달여낸 육수와 츠유는 면 전체를 푹 담궈먹을 수 있도록 간배합이 잘 되어있어요. 쉬지 않고 먹다보니 많은 양에도 금방 사라지네요 😹👾😹

메밀 소바는 다음주까지 진행한다고 합니다!

새벽집
메밀 소바 ₩ 8,000
경기 안양시 동안구 관양로 281-1"
프레쉬키친,https://www.instagram.com/explore/locations/1031216643/,freshyoung_kitchen,7월 23일,2021-07-23T09:37:36.000Z,2021년 7월 23일,"#오징어순대 #메밀소바
10분만에 뚝딱 만들 수 있는 #메밀국수
#오징어손질 이 조금 징그럽고 번거롭지만
속초의 맛을 집에서 느껴보아요 😚

#프레쉬키친 #프레쉬키친쿠킹클래스
#신선영의프레쉬키친
#대구쿠킹클래스 #대구요리클래스
#대구요리학원 #대구요리수업 #대구초보요리
#대구신부수업 #대구취미요리 #대구기초요리"
,,kimsaelyun,8월 12일,2021-08-12T04:51:43.000Z,2021년 8월 12일,#통영 #집밥#밥순이#집밥스타그램 #요리하는여자#홈쿡#요롱이표집밥#요롱이밥상#메밀국수#메밀소바#들기름막국수#면말기가르쳐주신#@muscatelove님께항상감사하며#나를위한혼밥메뉴#기록용#계속답글못해서🙏죄송합니다#방학은세끼돌밥이니양해해주세요
광주광역시,https://www.instagram.com/explore/locations/1271929946255637/,damyang_sobajip,3일 전,2021-08-18T01:05:40.000Z,2021년 8월 18일,"많은분들이 경험했던 접종후 몸의 변화를 저도 느끼고 있습니다.

팔의 통증이 심해서 영업이 불가할듯 하네요.

팔에 힘이 안들어 가네요.

가게가서 정리정돈 해두고 다시 집으로 와서 쉬어얄듯.

수고들 하세요🙇‍♂️
.
.
.
.
#소바집#담양소바집#담양소바#담양맛집#죽녹원#메타프로방스#관방제림#모밀국수#모밀맛집#모밀#메밀국수#냉모밀#막국수#담양#광주맘#소바맛집#담양국수거리#국수거리맛집#골목식당#담빛예술창고#담양카페#damyang#담양신상카페"
한라산아래첫마을,https://www.instagram.com/explore/locations/1563316557136530/,unoscode,6월 17일,2021-06-17T08:26:08.000Z,2021년 6월 17일,"[제주] 한라산아래첫마을

@ 제주메밀 비비작작면(10,000원)

주민들이 직접 재배한 메밀로 만드는 메밀면
한라산이 연상되는 듯한 비주얼도 훌륭하다.

제철나물들과 통들깨, 들기름 등이 들어가고
면은 얇고 메밀 함량이 높은지 툭툭 끊기는 스타일

통들깨의 톡톡 터지는 식감이 좋았고
들기름의 고소함과 메밀의 구수함이 뿜뿜 풍긴다.

올라가는 수육도 쫀득하니 맛나고
나물들의 다채로운 맛까지 더해져 꽤 만족스러웠음

식당 뒷편으로 메밀밭이 펼쳐져 있어
식사 후 간단한 산책과 포토타임도 가능한 곳

#한라산아래첫마을 #제주메밀비비작작면 #제주메밀밭 #제주도여행 #제주도맛집 #서귀포맛집 #막국수 #막국수맛집 #제주도가볼만한곳 #jeju #제주도막국수 #메밀국수 #제주메밀"
,,caansong,6월 5일,2021-06-05T12:53:22.000Z,2021년 6월 5일,"냉모밀❄️ #협찬
⠀
덥다 더워!-! 해장에도 좋고 더위에 지친 내 마음을
시워어언하게 얼려줄 냉모밀⭐️ 가쓰오부시의 진한
국물에 쫄깃한 생 메밀면이 5인분에 13900원이라
가성비 좋은 가격으로 가족 이서 냉모밀 파뤼♪( ´θ｀)
갈은 무 물기 쫙 빼서 올리고, 계란까지 추가 해주면
더 맛있게 먹을 수 있어요😋
⠀
⠀
⠀
구매문의는 👉 @100_bs
⠀
⠀
⠀
#백년밥상 #냉모밀 #냉모밀맛집 #메밀소바 #메밀국수 #먹스타그램 #국수 #국수스타그램 #먹부림 #밥상 #밥스타그램 #밥상스타그램 #홈쿡스타그램 #홈쿡 #먹스타 #먹스타맞팔 #먹팔 #foodporn #foodstagram"
수원우리집에서,https://www.instagram.com/explore/locations/159771921507368/,sejun1035,6월 27일,2021-06-27T01:15:06.000Z,2021년 6월 27일,"일요일 아침.. 콩국수😛😋

푸욱 자고 일어난 일요일 아침.. 면모닝😊 모닝면😋 어제 끝장으로 달리지는 않아서 속이 괜찮네ㅋㅋ 날씨가 정말 좋아서 메밀면 삶아서 콩국수 만들어 맛있게 한 끼 했다😍 내 입맛대로 취향대로 내 마음대로 레시피ㅋ

👉콩국수
1. 끓는 물에 메밀면 삶기
2. 4분 정도 삶다가 찬물에 헹궈서 대접에 담기
3. 믹서기에 콩가루, 미숫가루, 두부, 우유 투하 후 사정없이 갈아서 섞기
4. 대접에 담긴 메밀면에 믹서한 콩물 붓고 검정깨 뿌려 마무리

💥두부랑 우유를 넣고 만든 콩물이라 정말 맛있네😛😋 겉절이 얹어서 흡입 순삭ㅋ

#주말아침식사 #주말아침밥 #주말아침식사메뉴 #면요리 #면모닝 #해장국수 #모밀국수 #메밀국수 #메밀콩국수 #메밀면콩국수 #콩가루 #볶은콩가루 #메밀면 #겉절이 #꿀맛 #냠냠 #맛있다 #jmt #좋아요반사

#프로혼밥러 #혼밥메뉴 #혼밥레시피 #내마음대로레시피 #콩국수레시피 #간단한식사 #혼밥스타그램"
평촌,https://www.instagram.com/explore/locations/891545970/,n52b30,1시간 전,2021-08-21T16:43:43.000Z,2021년 8월 22일,"Zaru Soba
@genroku_29
#gourmet #soba #zarusoba #buckwheat #noodles #buckwheatnoodles #inarizushi #foodstagram #photography #seoul #korea #겐로쿠우동 #자루소바 #소바 #메밀 #메밀국수 #유부초밥 #먹스타그램 #일상 #식사 #사진 #グルメ #ざるそば #そば #麺 #いなり寿司 #日常 #食事 #写真 #韓国"
