location_info,location_href,upload_id,date_text,date_time,date_title,main_text
양재초밥,https://www.instagram.com/explore/locations/103331851442461/,_matdori_,3월 1일,2021-03-01T09:41:30.000Z,2021년 3월 1일,"#양재초밥 #모듬초밥
맛도리점수 : ⭐️⭐️⭐️⭐️
가격 : 22,000원

매봉역 근처에 위치한 양재초밥이다. 테이블이 몇 없는 작은 가게였는데 맛집이라 그런지 주방과 홀에 직원 및 사람들이 가득했다. 모듬초밥은 총 11피스가 나오고 종류는 광어, 참돔, 참치, 간장새우, 연어, 관자, 초새우, 계란, 계절생선이 나온다. 초밥이 나오기전 차완무시가 나오는데, 부드럽긴 하였으나 약간 달걀의 비릿한 향이 나서 아쉬웠다. 그 이후 초밥이 금방 나오는데, 쌀알이 가볍게 뭉쳐져 입안에서 금방 풀어지는 식감이었다. 초밥중에 가장 기억에 남는 초밥은 아부리한 청어 초밥이었다. 등푸른 생선 특유의 비릿함이 없어 먹기가 좋았고, 위에 올라간 초생강이 기름진 청어의 맛을 깔끔하게 잡아줘서 너무 맛있게 먹었다. 추가로 연어와 날치알이 올라가 있는 초밥을 서비스로 주시는데, 일반 초밥집과는 달리 서비스가 매우 좋은 느낌이어서 인상깊었다. 나중에 가면 특 모듬 초밥을 먹어봐야겠다!

📌매주 월요일, 첫째주 일요일은 휴무입니다!"
,,minsangpark,4월 24일,2021-04-24T09:08:48.000Z,2021년 4월 24일,"#20210424🐤
-
회가 좋은건지 모델이 좋은건지🤦🏻‍♂️
-
일단 먹어 봅시다🥰
-
#주말은
#달리라배웠지
-
#모듬회
#모듬초밥"
장흥자동차극장,https://www.instagram.com/explore/locations/328705085/,goeun_0703,2020년 12월 22일,2020-12-22T10:20:16.000Z,2020년 12월 22일,"🎞장흥자동차극장🍣
이마트트레이더스 초밥사서 자동차극장에서 도굴보기ㅎ
영화기다리면서 초밥은 나름 냉장(?)보관ㅋㅋㅋ

#장흥자동차극장 #장흥 #자동차극장 #양주자동차극장 #양주 #경기도자동차극장 #서울근교자동차극장 #서울근교 #이마트트레이더스초밥 #이마트트레이더스 #초밥 #모듬초밥 #연어초밥 #광어초밥 #문어초밥 #새우초밥 #장어초밥"
,,onlyingy,4월 12일,2021-04-11T15:30:21.000Z,2021년 4월 12일,"2021년 4월 11일 일요일
.
안녕하세요
아이다가라입니다
4월 11일 일요일을 끝으로 아이다가라
구월동 영업을 종료 하겠습니다,감사합니다
19년 11월에 오픈하여 21년 4월까지
17개월동안 많은 분들이 찾아 주시고 큰 관심을
주셔서 어깨춤추며 아주 재밌게 보냈습니다
하고 싶은 이야기가 너무 많지만 밀린 업무들이
너무 많고 3주간의 준비 기간동안 하나 하나
이야기 보따리를 풀어 보겠습니다!!!!!!들어주세요ㅋ
저는 부평 아이다가라 공사 마무리 준비하면서
4월 13일 화요일부터 일주일간 구월동 삼미당에서
홀서빙 및 설거지를 담당하기로 했습니다ㅋㅋㅋㅋㅋㅋ
많이들 오셔서 저랑 놀아주세요ㅋ제발요ㅋㅋㅋㅋㅋㅋㅋ
.

#인천 #구월동 에 위치한 거품끼
가득한 작은 술집 #아이다가라 는
부족한 실력이지만 찾아 주시는 분들께
“맛있는 한끼”와 “맛있는 한잔”으로
접객 하기 위해 부지런히 노력하겠습니다!!
.
#인천맛집 #구월동맛집 #인스타맛집 을
꿈꾸는 뚱뚱한 관종이 운영중입니다🙈
.
#인천술집 #구월동술집 #예술회관술집
#모듬사시미 #연어사시미 #모듬초밥
#연어초밥 #고등어봉초밥 #후토마끼
#중화소바 #마라짬뽕탕 #모츠나베
#창코나베 #멘치카츠 #한라토닉 #하이볼"
,,kkm4081,5월 29일,2021-05-29T02:08:51.000Z,2021년 5월 29일,"집근처 #초밥맛집 #초밥어선생 😘😘 #모듬초밥 🍣 먹었는데 맛있네~!!🤗🤗
#대전 #탄방동 #초밥 #대전맛집 #탄방동맛집 #대전초밥 #탄방동초밥 #연어초밥 #새우초밥 #활어초밥 #먹스타그램 #맛스타그램 #일상 #스시 #daily #데일리 #먹방 #먹방스타그램 #일상스타그램 #초밥스타그램 #일상기록 #소통 #선팔 #맞팔 #선팔하면맞팔 #팔로우 #좋아요"
미금역 이도스시,https://www.instagram.com/explore/locations/251321922096583/,ssul_you.u,2월 24일,2021-02-24T09:01:17.000Z,2021년 2월 24일,"#초밥맛집
.
.
.
미금역 맛집 ‘이도스시’
언제와도 #맛있는초밥집
저녁에 먹으면 왜 더 맛있는걸까여>_<
초밥에 맥주는 아주 꿀조합..❣️
.
.
.
#저녁메뉴 #저녁메뉴추천 #미금역맛집 #미금맛집 #초밥 #초밥집 #초밥먹방 #초밥스타그램 #초밥사랑 #초밥맛집추천 #광어초밥 #연어초밥 #모듬초밥 #오늘의초밥 #오늘의메뉴 #오늘뭐먹지 #스시 #스시맛집 #분당맛집 #분당맛집추천 #맛집추천 #맛집스타그램 #맛집인정 #맥주안주 #맥주한잔 #퇴근후한잔 #금곡동맛집 #이도스시"
돔베초밥,https://www.instagram.com/explore/locations/102791167913394/,jjuniheoni,2월 25일,2021-02-25T02:09:23.000Z,2021년 2월 25일,"애가 들어선 것도 아닌데
왜 이렇게 먹고 싶은게
많은건지...

가봤던 사람들이 대체적으로
괜찮았다고 해서 2차 술집으로
선택한 수송동 돔베초밥

친구들하고 매장에서
스페셜 초밥과 새우초밥
한접시씩 주문하고
집에 가는 길 제수씨들
입막음용으로 스페셜 두개를
추가 포장해서 들려줬더니
함박 웃음이다

여러 종류의 초밥 중
광어초밥은 잘 숙성되서
감칠맛이 입안 가득하게
스며들었는데 연어 군함말이는
네타 온도가 좀 더 시원했으면
하는 아쉬움이 남음

오마카세의 하이엔드급은
아니지만 대체적으로
기본기가 탄탄했던 맛

초밥 주문한 사람들에 한해
우동 1그릇 1천원
맛은 하이엔드급

일식집 형님 말씀으로는
xx의 xx초밥도 괜찮다던데
거기도 가보고 올려보죠 뭐

#군산초밥 #수송동 #돔베초밥 #군산수송동 #초밥맛집 #수송동맛집"
서충주신도시,https://www.instagram.com/explore/locations/273903633225904/,apple_unni_,5월 26일,2021-05-26T04:16:26.000Z,2021년 5월 26일,#🍣 잘 먹겠습니댜아💓
부산 사하구 괴정동,https://www.instagram.com/explore/locations/298310049/,kbs7867,2월 3일,2021-02-03T09:01:06.000Z,2021년 2월 3일,"봉구비어 3층 메이진😊
힘들수록 잘 먹고 오늘 하루도 다같이 힘내요~^-^

#메이진 #봉구비어3층 #괴정맛집 #괴정 #사하구맛집 #사하구 #괴정초밥맛집 #초밥맛집 #모듬초밥 #사하구배달맛집 #괴정배달횟집 #맛있다그램😋 #힘들수록 #잘먹고 #건강이최고 #오늘하루도 #다들 #화이팅하세요 #초심을잃지말자"
,,gimmingyu5455,2분 전,2021-08-02T04:16:59.000Z,2021년 8월 2일,"지난 20일 화요일에 일끝나고 먹은 고기와 초밥
#소주 #소주한잔 #저녁식사 #고기 #초밥 #박용석스시 #고기극찬 #배달음식 #목살 #삼겹살 #모듬초밥"
,,soo_jin_daily,49분 전,2021-08-02T03:30:35.000Z,2021년 8월 2일,"🍣

#연어드새우#연어사시미#모듬초밥#나가사키우동#포항연어드새우#연어"
서귀포.어촌식당,https://www.instagram.com/explore/locations/108176990767048/,seogwipo.eochon,8시간 전,2021-08-01T19:40:02.000Z,2021년 8월 2일,"오늘 첫 손님이 이른 시간 찾아오셨다가....그냥 가셨습니다
ㅎㅎㅎㅎ
가게 수족관 앞에 차 세우면
안되냐 하시길래~안된다고 말씀드리고~~공손하게
두 블럭 뒤에 공영 주차장이 있다고 안내해 드렸는데...
걸어오시기 멀다고....그냥 가셨어요😅
네.....걸어오시는 3~5분가량의 시간이 멀다고 하시면 어쩔 수 없죠~!!이럴 때마다 주차장 없는 서러움😭😭
그래도 금새 서러움을 날려주신 저희 손님분들😚😚
순식간에 몰린 손님분들로 정신없는 저녁시간을 보냈네요ㅎㅎ
회 사진도 다 찍고 싶었는데ㅜㅜ
다른거 하는 동안 부지런히 손님께 내어드린 쥔장과 울 알바🤣🤣🤣
그래...사진이야 못찍은들 어때?!
손님분들 기다리지 않으시게 얼른
내어드리는게 중하지 ㅋㅋㅋ
포장주문 하신다고 여러 손님들께서☎️ 전화주셨는데ㅜㅜ
너무 바빠 해드리지를 못했네요😭
@dajunghada.jeju
죄송해요🙏🙏🙏 꼭 해드리고 싶었는데...시간에 맞게 포장이 안될 상황인지라ㅜㅜ😢
다음에 서비스 많이 해드릴게용🙆‍♀️
우르르 오셨다가 우르르 가신 손님분들ㅋㅋㅋㅋㅋㅋㅋ
슬슬 일찍 마감이나 할까 했는데~
포장 주문들이 몇 개가 들어와준 덕분에 감사히 열심히 포장해드렸답니다 🙇🏻‍♀️🙇‍♂️🙇🏻‍♀️🙇‍♂️
아참!! 4일째 저희가게를 찾아오는 길냥이 새침이🐈
같은 시간에 나타나는거 보면 참
똑똑한거 같아요^^
어제는 조금 일찍 왔길래""지금은 아니야""했더니 돌아가더라고요ㅋ
배 채우고 나면 드러누워서 자다가
제 갈 길 가더라고요ㅋㅋㅋㅋ
오늘은 회도 먹고 츄르도 먹고 사료도 먹고~아주 입호강 하고
갔네요😆😆😆😆
내일은 쉬는 날인데...슬쩍 걱정이 됩니다..왔다가 허탈하게 돌아갈거 생각하니...😟😟
그 사이 정이 흠~~~뻑 들어버렸네요 ㅎㅎㅎ
뭐~~어쨌든 오늘도 마감은 완전 깨끗하게🧹🪣🧺🧼🧽🧴
어느새 시계는 5시를 향해 가는군요🙄🙄
얼른 자야겠어용ㅋㅋ 이러다 늦잠 자서 볼일도 못보러 가면 큰일‼️
한 주도 또 행복해지기 여러분❣❣ 안~~~~~녕👋👋
.
.
.
#서귀포어촌식당 #특수부위맛집 #특수부위장인맛집 #회맛집"
경상북도 경주 황성동,https://www.instagram.com/explore/locations/353485341719848/,chaebin010,13시간 전,2021-08-01T15:13:41.000Z,2021년 8월 2일,"2021. 08. 01

#일상 #저녁 #2021년 #8월의 #첫날

#든든하게 #고기로 #스타트 #💕

#스테이크정식 #화로구이정식 #모듬초밥 #JMT

#벌써 #하반기네 #힝 #시간빠르당"
어흥,https://www.instagram.com/explore/locations/109320884705491/,hwayeol_lee,14시간 전,2021-08-01T14:18:44.000Z,2021년 8월 1일,"#강동맛집 으로 소문이 나고 있는 #어흥
#점심메뉴 가 생겼다고 해서
먹으러 갔다

점심메뉴는
#모듬초밥
#청어우동
#계란김밥

모듬초밥 + 마끼을 함께 주었고
청어우동은 청어에서 살짝 숯불향이 나는게 맛이 특이하고 깔끔했다
계란김밥도 가운데 굵은계란말이 들어있고 생와사비소스를 찍어 먹어보는 별미였다.

종종 점심도 먹으러 가야겠다"
,,hye__sun.e,16시간 전,2021-08-01T12:17:00.000Z,2021년 8월 1일,"엄마하고 오랜만에
동네말고 외출했을때
초밥 먹구싶다해서 간곳
점심시간이어서 사람이많구
장소가 협소햇지만
맛이 괜찮았구 가성비도 좋았다
이것저것 서비스로 나왔구
엄마가 서비스초밥이 맛있다했다
아쉬운점은 식기나 책상을잘닦아줬으면

#오늘아님#성수역초밥#초밥먹으러#성수나들이#런치#모듬초밥#가성비좋음#호랑이초밥#런치코스#엄마랑데이트#엄마하고#즐거운데이트#서비스#선팔#맞팔#팔로우해요#댓글좋아요#좋아요그램"
우리집앞,https://www.instagram.com/explore/locations/314717371897000/,kawaihee,16시간 전,2021-08-01T11:34:01.000Z,2021년 8월 1일,"초밥을 찾아봤을 뿐인데..
#미친집이였네 #공유하지않을래
#나만알기 #울집앞 #단골예약 #👹
#사시미 #모듬초밥 #소바마끼 #숙성회 #🐟
#맛집 #단골 #먹스타그램 #🐷"
