location_info,location_href,upload_id,date_text,date_time,date_title,main_text
味羽也 미우야 miuya,https://www.instagram.com/explore/locations/247140132/miuya/,ki_jung_eat,2020년 8월 21일,2020-08-21T08:04:24.000Z,2020년 8월 21일,"<미우야>
(8월6일 방문)
마린->브라이언스커피->미우야 코스
.
양재천 근처에서 음식점 찾아보면 바로 1순위로 나오는 곳이다. 리뷰도 많고 별점도 높았는데 결과적으로 내 입맛에는 맞지 않았고 그래서 올리는 것을 보류하고 있었던 곳. 임팩트가 없었는지 2주 전에 방문한 곳인데 벌써 이름도 까먹음ㅠㅜ☹
.
미리 알아보고 갔던 곳이 아니라서 메뉴판 보고 놀랐다....고민하다가 그냥 냉모밀 하나 냉우동 하나로 결정. 튀김도 먹어보고 싶어서 텐모리소바로 시킴.
.
면 자체의 찰기가 엄청나다. 근데 그 찰기가 너무 심해서 면이 익은게 맞는건가?싶을 정도로 느껴졌음. 그나마 ⏩우동은 씹는 식감이 괜찮았음. 하지만 ⏩모밀은 씹으면 씹을 수록 특유의 향(?)이 느껴져서 별로였다ㅠㅠ
나올 때 보니까 웨이팅이 엄청 길어서 놀랐는데 내 입맛에는 맞지 않았다는거ㅠㅠ줄 서서 먹기엔 좀 아쉬울 듯.
.
제일 맛있었던 것은 ⏩튀김...!!😄
튀김은 손도 대기도 전에 머리카락이랑 같이 튀겨져있는거 발견해서 직원분한테 말했더니 새로 튀겨다주셨다. 사과도 하시고 새로 만들어주셔서 전혀 불쾌하지 않았고 오히려 따끈따끈하게 먹으니 너무 맛있었음👍ㅋㅋㅋ
.
우동,모밀 치고는 꽤 비싼 편이라서 재방문 의사가 없지만 꽤나 많은 분들이 찾는 곳이기도 하고 면 식감에 대한 개인취향이 있어서 여기만 방문하시는 분들도 있을 듯(?) 하다고 생각했음. 한 번쯤 경험해볼만한 곳.
.
.
.
#미우야 #味羽や #miuya #미우야양재점 #미우야선 #미우야소바 #미우야우동 #양재천 #우동소바 #냉우동 #냉소바 #텐모리소바 #메밀소바 #모리우동 #모리소바 #텐푸라 #튀김 #일식집 #양재동맛집 #양재천맛집 #양재시민의숲맛집 #양재시민의숲 #양재천로 #먹팔 #먹스타그램 #웨이팅맛집 #기정_서울강남"
면옥향천,https://www.instagram.com/explore/locations/2839146/,yohan_food,3월 27일,2021-03-27T07:11:35.000Z,2021년 3월 27일,"해운대 우동에서 유명한 #면옥향천

여름엔 #모리소바 추울땐 #가케소바

면이 푹 익혀 나오니 참고하심 좋을듯

#메밀소바
#전한번으로만족해요
#우2동맛집
#면옥향천
#해운대소바"
,,gongsil_hee,2019년 11월 21일,2019-11-21T12:15:25.000Z,2019년 11월 21일,".
찬블리랑 먹으려구 포장했었던
#면옥향천
낮 1시 30분 쯤 전화 예약 했는데
한정 수량 판매인 유부초밥은 1알 남았다고..
바로 킵 해 주시길 부탁 드림 😅
.
육수가 짜지 않아서 좋았던
#모리소바
튀김옷이 바삭바삭
#돈까스
은은한 카레 향과 함께 부드러웠던
#고로케
.
다음엔 따뜻한 메밀국수도 먹어봐야징"
,,k.lynzzang,2019년 5월 28일,2019-05-28T14:25:26.000Z,2019년 5월 28일,".
.
이틀 몰아서 피드 올리기

텐진이 야타이가 더 유명하지만 귀찮으니깐 가까운데 ㄱㄱ

#나카스포장마차 #나카스야타이 #오뎅 #우설구이 #캐비쌈

#고독한미식가후쿠오카 #미야케우동 #기본에충실한맛 #여윽시

#추천받은 #신슈소바무라타 #온소바 #모리소바 #굿

#이치란라멘본점 이니깐 한바리

#캐널시티 #프랑프랑 #토끼주걱 #아수쿠림수세미

#도넛수세미 #리본냄비홀더 #개미지옥

편의점 너무 가서 시간대로 직원 얼굴 외움

#복숭아워터 너무 맛있어서 도랏 맨날 사먹음

이번 일본 여행에서는 나마비루가 안 땡겼음

레몬사와가 어딜가도 너무 맛있는거임 레몬사와 ❤

#japan #fukuoka #후쿠오카여행 #후쿠오카맛집

#럽스타그램 #부부스타그램 #여행스타그램"
미우야善 서래마을,https://www.instagram.com/explore/locations/128911064521360/,by_mandm,2019년 7월 2일,2019-07-02T03:38:11.000Z,2019년 7월 2일,"#미우야선#서래마을
.
이렇게 더우면 반칙🙅🏻‍♀️냉소바로 열내리기❄️
미우야선 메밀70% 자가제면 #맛집
.
#소바스시 이건 꼭 먹어야해요 1인1주문 권하고 싶지만 4피스에 8천원이에요 줄서서 먹은김에 1주문합시다🤣밥대신 소바면이 채워졌고, 아보카도랑 새우튀김을 말아서 만든 스시🍙
#모리소바 메밀면 본연의 맛을 느낄 수 있는 미우야선 대표소바 특제소스에 담궈서 먹으면 되는데 좀 심심한 맛이에요
#붓가케에비소바 새우튀김과 김,무즙이 들어가구요 모리소바와 달리 우리가 평소 먹는 모밀맛에 가까워요 심심한거 싫어하면 요거 드셔야해요❗️"
味羽也 미우야 miuya,https://www.instagram.com/explore/locations/247140132/miuya/,drinker100,2019년 9월 16일,2019-09-16T02:18:05.000Z,2019년 9월 16일,"★
☆
★
#양재#양재천#미우야#모리소바#유부초밥#술없이#소바#초밥"
,,namkyu111,2월 19일,2021-02-19T03:25:53.000Z,2021년 2월 19일,"#면옥향천 #모리소바 #돈까스 #전복장조림 #굴튀김
언제와도 맛있다 ㅎ
밥도 먹고 좋은 조언도 듣고.. 어제와도 반겨주는 형^^

항상 감사합니다 ^^"
면옥향천,https://www.instagram.com/explore/locations/2839146/,js_kim0608,2019년 3월 30일,2019-03-30T07:22:15.000Z,2019년 3월 30일,"#해운대맛집 #해운대술집 #면옥향천 #모리소바 #카레고로케

아... 어제 마신 연태가
사람을 반송장으로 만들어놓네 ㅜㅡㅠ
면옥향천에서 늦은해장.
브레이크 타임 아슬아슬하게
걸쳐 도착했더니 사리추가가 안 된다.
유부도 솔드아웃.
맛있네. 오다가다 또 들려야지😳😳
.
.
.
.
.
.
.
.
#맛스타그램 #먹스타그램 #맛집 #맛있다그램 #푸드스타그램 #먹방 #푸드 #술 #부산술집 #부산맛집 #술스타그램 #먹스타 #맛스타 #부산여행 #일상 #데일리 #daily #food #foodie #yum #yummy #busan"
,,wook_nomusa,2020년 8월 20일,2020-08-20T13:58:55.000Z,2020년 8월 20일,"#익산맛집
#전주소바1987
#가케소바#모리소바
#카레고로케#감자고로케
#휴가시작
#맛집투어
#전국맛집탐방"
Jeju-do,https://www.instagram.com/explore/locations/572266130/jeju-do/,sunny_story_2,1일 전,2021-07-31T15:35:46.000Z,2021년 8월 1일,"#안도르카페
#예쁜케이크가득
.
.
동영상으로 찍어달라고 예쁘게 앉아있었구만...
손만 찍을꺼였쒀~ㅋㅋㅋ🤦‍♀️
.
.
직접뽑아서 만드는 #모리소바 #고기만두
배뽕뽕 먹구~~~

#안돌오름 +크림치즈 #앙버터크로와상 먹구~~~

마무리 #화사곱창 #모둠곱창 +볶음밥 #곱창전골 까지~!👏👏

알찬 하루였당~~~ㅎㅎㅎ"
