location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,pong_burgering,2월 12일,2021-02-12T12:47:14.000Z,2021년 2월 12일,"⠀
#버거킹 - 몬스터와퍼, 기네스와퍼 세트
⠀
설에도
빼먹지 않는다
⠀
명절음식 아침에 먹었으면
오후에는 햄버거다
⠀
버거킹 스테디셀러
몬스터와퍼와
씨꺼먼 기네스와퍼
(혼자 먹는거 아닙니다 그 정도로 돼지 아니에요)
⠀
어차피 명절음식 먹으면서
찔거
맛있는거 먹고 더 찝시다
⠀
새해 복 많이먹고
설 잘 보내세요 다들🤗
⠀
⠀
⠀
❗️기네스는 낫마스
⠀
⠀
지극히 주관적인 평점 : 🍔🍔🍔(3/5)
⠀
⠀
💵 몬스터와퍼 세트 + 너겟킹 - 11,200원
기네스와퍼 세트 - 9,500원
⠀
⠀
📌 버거킹 건대역점
(매일 10:00 ~ 23:00)
⠀
서울 광진구 아차산로 262 더샵스타시티
⠀
⠀
⠀
⠀"
버거킹,https://www.instagram.com/explore/locations/217011575717544/,muck_bullbull,3월 7일,2021-03-07T11:11:20.000Z,2021년 3월 7일,"#불불로그

#충주버거
#버거킹

📘 2021년 3월 1일 기록

🍔 기네스머쉬룸와퍼
🍔 몬스터와퍼
🍟 프렌치프라이 L
🍗 너겟킹 4조각

기네스와퍼팩1 : 21400원

숟가락 몇개?! ( 다섯개 만점 중 )
🥄🥄🥄

갓직히 프랜차이즈 버거 중에는
버거킹이 존맛이긴 함
특히 기네스와퍼팩 은 최애 세트 죠😘

기네스머쉬룸와퍼 는 맛이 좋고
몬스터와퍼는 와퍼가 부드러워서 좋고

각기 다른 맛이 있어서
취향에 따라 먹을 수 있는
버거킹 와퍼 🍔

1달에 1번은 먹어야 서운하지 않겠슴둥?!

3월달에는 먹었으니 4월달을 노려본다 😍

#충주 #충주먹스타
#눈요기하는불불이

#충주점심 #충주배달
#충주점심추천
#충주배달추천

#와퍼 #whopper
#burgerking #기네스와퍼팩
#기네스머쉬룸와퍼
#몬스터와퍼

👉 먹스타 계정
@bu11bu112
👉 부자습관 계정
@bu11bu11log
👉 일상, 아무거나 계정
@bu11bu1122"
Cheongju,https://www.instagram.com/explore/locations/249426447/cheongju/,y_wh._.k,2020년 10월 2일,2020-10-02T14:39:58.000Z,2020년 10월 2일,살 언제 뺘..🐷
,,j_kkkkkkkk,2018년 4월 16일,2018-04-16T03:26:37.000Z,2018년 4월 16일,"#180416
-
빅앤더블버거랑 가격은 똑같은데
푸짐함이 완전 다르다ㅋㅋㅋㄱ
-
치킨패티는 너겟과 통살을 반반 섞은 스타일이고,
디아블로소스는 어디선가 먹어본 매콤한 맛이었음🤔
-
빅앤더블 보다는 호불호가 덜 갈릴듯하다!!
나는 물론 극호~!!!!😍😍😍
-
#먹스타그램 #버거킹 #몬스터와퍼 #신메뉴
#와퍼 #burgerking #monsterwhopper #whopper
-"
충청북도 제천시,https://www.instagram.com/explore/locations/258508302/,jimmy__orion,4월 23일,2021-04-23T03:46:37.000Z,2021년 4월 23일,"오늘 즘심은 제천에 없는 벌거킹~
ㅇ ㅏ....그냥 치즈와퍼 시킬껄 🐧
맛점들 하셔요^^

#제천이자카야 #지미오리온 #불금 #원주버거킹 #몬스터와퍼 #그냥와퍼가내스탈 #오늘은등운동 #컨디션굿 #지미오리온에서만나요"
버거킹,https://www.instagram.com/explore/locations/317973600/,muk_pang_22,2020년 9월 15일,2020-09-15T11:15:21.000Z,2020년 9월 15일,"_
👑
🍔"
버거킹,https://www.instagram.com/explore/locations/955689894593305/,awsumpatio,2018년 6월 17일,2018-06-17T10:23:17.000Z,2018년 6월 17일,"#몬스터와퍼 드디어 먹었다!!!!!!
내일이 월요일인것만 빼면 참 햎피한 날🙃

#일상#먹스타그램"
,,sungtaee,2020년 9월 12일,2020-09-12T08:52:04.000Z,2020년 9월 12일,"오랜만에 버거KING
퀸은 오디갔지?ˀ"
,,daddy_parks_life,2020년 7월 21일,2020-07-21T12:59:34.000Z,2020년 7월 21일,"#햄버거#hamburger#맥도날드#mcdonalds#버거킹#burgerking#패티#patty#간편식의 결정판#한끼식사#든든한한끼#1955버거#빅맥#상하이버거#와퍼#몬스터와퍼#와퍼치즈버거#햄버거번(빵) 탄수화물, 패티 단백질, 양상추/토마토/양파 채소섬유질, 소스 지방/나트륨 등으로 구성되어 영양학적으로도 부족하지 않습니다. 단, 많이 먹지는 마세요. 배 나옵니다. 😄 #먹스타그램#푸드스타그램#밥상#밥상스타그램"
,,anny_jjang,18시간 전,2021-08-04T12:47:30.000Z,2021년 8월 4일,"🍔어떤 #햄버거 좋아하세요??

오늘은 퇴근 후 운동에 가기까지 시간이
너어어어어어어무 떠서⏰
병원에 남아서 햄버거를 주문해먹었는데용!

앤니피셜 👉🏻 햄버거는 #버거킹 🤎

뭐니뭐니 해도 저는 버거킹이 가장좋아요!
이유는 제가 좋아하는 양파가 가득가득
들어있기 때문이에용🧅🤎

생양파, 생마늘 이런절 정말 좋아하거든요☺️
쌈싸먹을땐 꼭 생마늘을 넣어먹는 스타일🤤
(하아아아 마늘냄새 공격!👊🏻👊🏻)

오늘 #앤니픽 은 #몬스터와퍼 ,
세트로 시켜서 #어니언링 으로 변경해서 주문했죵🤎

아직 #킹덤2 를 못봐서..
#넷플릭스 를 켜서 같이 보면서 먹었어용😆

좋아하는 햄버거는 어떤거에요?
궁금해용! 맛난 햄버거 공유해주세용🍔

#앤니리뷰"
,,hoons.lee,2일 전,2021-08-02T10:23:30.000Z,2021년 8월 2일,"버거킹 몬스터 ll 팩🍔

몬스터 ll (통새우)

몬스터와퍼

이쯤되면 버거킹 매니아 인증인가요😂

스태커 4 와퍼부터 새로운 버거나오면

꼭 먹어보구있죠 👍

맛있는걸 어떡하겠어요😋

먹기위해 운동하는 저.. 오늘도 뱃살 +1 예약 !!!

#버거킹 #몬스터ll #통새우와퍼 #몬스터와퍼 #매니아 #먹팔 #좋아요 #선팔하면맞팔 #선팔 #맞팔"
,,dakgom_1,3일 전,2021-08-01T11:34:47.000Z,2021년 8월 1일,"이번 주말은 어디를 갈까 고민하다가
가족탕이 있는 마금산온천으로~

물놀이 좋아하는 아드님이 신나게 놀 수 있을거 같아 갔더니 역시나 완전 좋아함 ㅋ

물놀이 끝나고 집에 햄버거 사와서 먹고 꿀잠~
.
.
.
.
.
#일상 #주말 #마금산온천 #가족탕 #포레스트701호텔 #버거킹 #냠냠 #몬스터와퍼 #콰트로치즈와퍼 #꿀잠"
버거킹,https://www.instagram.com/explore/locations/236925525/,im_hungry_jeongwan,4일 전,2021-07-31T13:09:38.000Z,2021년 7월 31일,🐥
