location_info,location_href,upload_id,date_text,date_time,date_title,main_text
멘야준: 麺屋 純,https://www.instagram.com/explore/locations/110340953905479/,gorapaduck_ramen,1월 30일,2021-01-30T04:21:31.000Z,2021년 1월 30일,"멘야준 미소라멘

사실 여기 오기전까지 다른 곳 갈려고 고민을 참 많이 했는데
갑자기 멘야준의 미소가 궁금해짐
저번에 와서 쇼유 먹었을때 너무 맛있어서 충격을 먹었는데
과연 미소라멘도 얼마나 맛있을까?

생강 향이 조금씩 올라오면서 미소의 아름다운 색상을 뽐내었다
묵직하고 염도가 있었던 스프를 한 입 먹자마자 와 소리가 절로 나왔다
달달한 맛과 텁텁함이 어우러져 환상의 밸런스
이걸 왜 빨리 안 먹었는지 내 자신을 후회했다
노랗고 꼬불꼬불한 면은 너무 쫄깃하고 맛있었다
치지레면이라고 부르던데 미소라멘에 아주 제격👍
스프 색깔과도 아주 잘 어울리는 면
두툼한 두덩이 차슈가 진짜 너무 부드러웠다
먹으면서 고개 들때마다 테이블 위에 차슈가 자꾸 눈에 보이던데 너무 탐났다🤤
면에 같이 올라오는 숙주의 아삭한 식감이 좋았고 멘마 또한 맛있었다
생강 향이 강하지는 않을까 걱정을 했는데
처음부터 먹을때는 거의 못 느끼다가
국물을 마시기 시작하고 물릴때 쯤 생강 향이 제역할을 해주었다

날씨가 엄청 추운 날 먹으면 그것 또한 정말 최고일것 같은데
오늘 처음으로 먹은 멘야준의 미소라멘도 최고였다
자꾸 '생강' 날 것 같다

#멘야준 #라멘 #미소라멘 #ラーメン #味噌ラーメン"
,,gorapaduck_ramen,1월 10일,2021-01-10T09:59:36.000Z,2021년 1월 10일,"복동이네오지상 미소라멘

새로운 메뉴! 진한니보시쇼유를 먹을려 했는데
사장님이 미소가 된다고 하셔서 잠깐 고민하다가 미소를 먹기로 했다
사실 얼마 전 공지로 봤는데 메뉴판에는 없길래 아직 안하시는줄 알았다
메뉴판은 나중에 새로 만드신다고 하신다
비주얼은 니보시 4가지 맛의 라멘이랑 같다
이 미소라멘에도 스프는 담백했다
달달한 맛의 미소지만 엄청 달지는 않았고 괜찮았다
간이 안 맞으면 요청시 사장님께서 더 내어 주시지만
나는 적당해서 내 입맛에는 아주 딱이였다
더 쎈 맛을 원한다면 더 달라고 하셔도,,,??
처음에는 니보시 같이 쌉싸름함이 좀 느껴져서 조금 섞였나 했는데
계속 떠 먹다보니 미소의 맛이 올라오면서 먹을수록 맛이 더 증폭되었다
면은 바리카타로 꼬들한게 오늘따라 더 맛있었다
메인메뉴가 된다고 하시니 한번쯤 먹어보시면 괜찮을것 같다
잘 먹었습니다

여기다가 징징 댄다고 뭐가 달라지지는 않겠지
헛탕 쳐본 사람은 그 기분이 어떨지 잘 알거 같다
2일전이면 일요일인 오늘이 영업이 어떻게 되가는지
짧게나마 올려주면 좋았을텐데
내 소중한 점심......하아😔

#복동이네오지상 #라멘 #미소라멘 #ラーメン #味噌ラーメン"
본라멘,https://www.instagram.com/explore/locations/105437417536572/,endorphinramen,2020년 8월 22일,2020-08-22T13:58:14.000Z,2020년 8월 22일,"합정 본라멘- 미소 츠케맨
⠀
본라멘의 소식이 들려왔다. 한정 미소 츠케맨.
다행스럽게 점심 저녁 따로 하셔서 저녁을 노렸는데
오늘 쉬는 날이여서 쏜살처럼 달려갔다.
⠀
다른 다찌 좌석에서 다들 츠케맨 드시길래 걱정 했으나
무사히 주문 할 수 있었고, 비쥬얼 진짜 최고다!
여러 차슈 종류들과 버섯,이번에 넣게 된 영콘까지.
⠀
그리고 대망의 지루는, 약간 고기 간 것 같은 느낌의 질감과
라유와 비슷한 향미유를 입혀 완성 된 느낌이었다. 역시 미소 전문점 답게 미소향이 기가 막힌다. 이게 미소 츠케맨이지!
⠀
지루가 하도 진하고 맛있으니 뭘 찍어 먹어도 맛있다!
난 지루에 안찍어 먹는 것도 좋아하는 사람이라 그냥 먹었을 땐 좀 심심함이 있었고 후추가 있으면 좋을 것 같았다.
⠀
최근에 청탕 츠케맨만 좀 먹다가 이런 진득한 걸 먹으니
가끔은 진득하게 빠져버려도 되겠구나 싶었다.
⠀
여튼 이번에 정말 운 좋게 기회를 잘 타서 먹은 한정판인듯 ㅠ평소엔 먹으러 갈 시간도 없는데,, 정말 잘 먹었습니다👍

맛있으면 먹고 보는 홍식이도 잘 먹었다고,,
실제로 그런건진 모르겠지만 면 양이 별로 없었어요
너무 쿰척 먹어서 ㅋㅋ.

@dmsgur9122 담에,, 제대로 뵙겠습니다!🤗"
멘야준: 麺屋 純,https://www.instagram.com/explore/locations/110340953905479/,my_life_for_ramen,2020년 10월 6일,2020-10-06T04:10:16.000Z,2020년 10월 6일,"멘야준 방문!

미소라멘주문!

츠케멘에 이은 두번째 한정메뉴.

투박한 비쥬얼에 맞는 돼지육수와미소의 묵직한 맛에 어울리는 숙주와 치지레멘. 거기에 강할줄알았던 생강이 은은하게 오면서 상쾌함까지 준다. 차슈는 두터우면서도 부드럽기까지하니 뭣하나 흠잡을데가 없는 맛있는 라멘.

이런 미소라멘에 밥까지 말아먹으면 퍼펙.. 고기밥으로 플렉스 못한건 아쉽..

잘 먹었습니다."
평택국제중앙시장 Hello Market,https://www.instagram.com/explore/locations/253858106/hello-market/,ramenboy84,2020년 11월 22일,2020-11-22T12:04:59.000Z,2020년 11월 22일,"이번 한주도 감사했습니다.

열심히 해서 마무리했습니다!

그나저나 또 빡센 하루하루가

되겠네요..코로나 2단계 격상...

아마 준비량을 당분간 또 줄여야할듯해요.

덕분에 우선 주말 이벤트식으로 슬슬

출시해볼까 했던 기어1(시오)은 빠이빠이.

다같이 외쳐주세요. ㅆㅂ 코로나"
합정 어딘가,https://www.instagram.com/explore/locations/597943801/,whoz_kidz,4월 23일,2021-04-23T14:18:21.000Z,2021년 4월 23일,".
어제 수란잔 기울이다가 기절하고.. 오늘 5시에 정신차렸는데 소박한이야기가 너무 끌리더라...
그래서 강남 약속을 합정으로 급 바꿨다. 해장템으로 매운미소라멘(항정, 타마고 추가)을 시키고, 해장술로 저번에 못 했던
진로이즈백을 시켰다.
매운미소라멘은 진짜 술안주로 너무나도 갓벽했다. 얼큰한 스프에 한잔, 항정살과 유자청후추에 한잔, 그리고 스지+스프에 한잔. 그리고 밥까지 말아 계란을 으깨서 먹었는데 정말 소박하지 않은... 맛이었다.
먹다가 사장님께서 교자도 맛보라고 주셨는데, 안에 육즙이
살아 있고 이 교자를 또 유자청후추랑 먹으니 색다르고 맛있더라...
맥주를 시키니 안주로 수비드항정+명란+마요를 주셨는데 이
또한 너무 대박적이었다. 배부른데도 계속 들어감😂
나중에 10시 제한이 풀리면, 라멘에 이어 술집도 생각중이라고 하시는데, 이 곳 라멘, 타마고, 차슈들 등 생각하면 얼마나 재밌고 맛난 안주들이 나올지 기대된다.
이름만 소박한 곳...
너무너무 잘 먹었습니다!😄
#합정 #상수 #소박한이야기
#라멘 #미소라멘 #매운미소라멘"
은지네 소박한 밥집,https://www.instagram.com/explore/locations/1551050261858981/,ryuchelin.guide,4월 4일,2021-04-04T06:23:07.000Z,2021년 4월 4일,"[합정]소박한 이야기🐡🐡
▶️매운미소라멘 ₩10000

새로생긴 라멘집. 이름이 귀엽다! 소박한 이야기
비도오고 숙취가 있어 매운미소라멘을 주문했다

얼큰하고 찐한 국물이 맛있고 해장에도 좋다
항정차슈랑 스지도 부드럽고 맛있었다!
차슈를 유자꼬추소스에 찍어먹는데 그것도 좋았다!

다만 어제도 고기를 실컷 먹어서 조금은 물렸다 ㅋㅋ
국물은 약간 탄탄멘느낌이 났고
추가할 수 있게 후추와 산초도 구비되어있다

다음에 간다면 오리지날 미소라멘을 먹어봐야지
잘먹었습니다~~!
-
🙎🏽‍♂️🙎🏼‍♂️🙎🏼‍♂️"
,,especially00,2020년 10월 25일,2020-10-24T23:50:26.000Z,2020년 10월 25일,"송스방 아침상 🤩

오늘 아침은 돈코츠 미소라멘을 끓임
어제 돼지고기 손질을 망치다시피 했다
가운데 대빵큰 뼈가...... 😭😭😭
도저히 힘으로 자를수가 없어서 고기는
다 지뜯은거 마냥 되고 .. 속상한데
뼈도 아깝고 해서 뼈로 육수 오래오래
내어서 만든 돈코츠미소라멘
생강넣고 닭고기 좀 넣고 통후추 마늘
등등 넣어 푹 고운 육수에 미소된장풀고
숙주없어서 콩나물 넣고 목이버섯넣고
해서 야매로 만들어봤다 😅
처음 만들었는데 여보가 진짜 너무 맛있다고
라멘전문점온거 같다고 극찬극찬 🤣
어젯밤 손질해준 고기로 술한잔 먹고
주무시더니 속이 확 풀리시나보군 😌

#아침 #아침밥 #아침밥상 #주말밥상 #신랑밥상 #남달리밥상 #남달리레시피 #라멘 #라멘끓이기 #돈코츠라멘 #미소라멘 #돈코츠미소라멘 #일식 #홈쿡 #쿡스타그램 #먹스타그램 #럽스타그램 #뽀시래기부부 #연상연하부부 #네살차이 #신혼부부"
광명사거리역,https://www.instagram.com/explore/locations/404726525/,my_life_for_ramen,4월 27일,2021-04-27T00:51:18.000Z,2021년 4월 27일,"신짱과 후쿠마루 방문!

포뇨라멘 주문!

이번 신짱의 이벤트메뉴인 포뇨라멘이다. 나는 저애니를 본적은 없지만, 캡쳐할때마다 많이 봐서 익숙한 애니이다. 여튼 사장님께서 이 애니를 오마쥬해서 만드신 라멘인데, 입맛에 맞게 미소청탕으로 만드셨다.

사진만봐도 애니안에 있는 라멘같은 비쥬얼 처럼 거의 비슷하게 만들어졌다는게 보였다. 라멘을 받을때 사장님께서 스프간이 약하고 차슈는 간이 세니 간이 안맞을때는 차슈와 같이 조금씩 드시라고 알려주신다.

스프 한입 먹어보니 된장 특유의 꼬릿한 향을 베이스로 깔고가는데, 청탕답게 끝마무리는 깔끔했다. 포뇨라멘의 메인은 두터운 햄차슈인데 씹을때 세상 부드러운게 짭잘한맛, 훈연향과 육향이 화악 올라오는게 그냥 먹어도 맛있고, 스프에 충분히 적셔 먹어도 너무 맛있었다. 갠적으로 신짱차슈를 좋아하는데, 안그래도 맛있는고기로 차슈를 쓰시는데, 훈연향을 입히니 더더욱 맛있었다.
이번에는 스프와 멘마 특유의향이 미소의 꼬릿한맛하고 잘 어울려서 좋았다.
미소에는 마무리로 밥까지 쓰윽 말아서 깔끔히 마무리!

잘 먹었습니다."
멘지 Menji,https://www.instagram.com/explore/locations/336173487084216/menji/,ramen.zip,28분 전,2021-08-02T05:26:00.000Z,2021년 8월 2일,"#멘지 #에비츠케멘 L #망원
서울특별시 마포구 월드컵로11길 8
ㅤㅤ ㅤㅤ ㅤㅤ
멘지의 연중행사 에비츠케멘. 그렇다면 벌써 지금 3년차인가?? 시간 엄청 빠르다.
멘지에서 에비츠케멘을 이벤트로 판매한다는 소식이 들려오면 언제나 꼭 먹었던 것 같다. 사실 새우도 별로 안좋아했던 내가 지금은 새우없으면 죽는 몸이라니 신기해.
ㅤㅤ ㅤㅤ ㅤㅤ
라지사이즈로, 양이 꽤나 많은면을 쌉싸름한 츠케지루에 푹푹 찍어먹으면 이게 행복이랄까! 사실 농도가 엄청 되직하지도, 염도가 높지도 않았지만, 멘지스럽고 멘지스러운 분위기로 부담없이 맛있기 먹을 수 있었다.
들리는 이야기로는 새우풍미를 조금 더 강하게 하셨다는 것 같은데 나는 바로 전시즌 에비츠케멘이 조금 더 강했던 것 같음.
새우죽같은 느낌보단 새우가 함께한 뽀얀 사골스프 느낌.
면이 좀 괜찮았는데, 분명 단단하지만 잘 씹어지며 씹을수록 빵맛이 난다. 스프랑 너무 잘 어울렸음. 근데 군데군데 덜 삶아진 부분이 있었는데 모지,, 분명 면익힘은 딱이었는데 덜익은 부분이 몇군데있었다.
뭐 면이 더 익고 덜익고 다 떠나서 그냥 유즈코쇼+새우스프+고소한면 조합이면 반칙아니겠나,,,
ㅤㅤ ㅤㅤ ㅤㅤ
마지막으로 뭔가 다들 지나쳤을 것 같은 부분에 나는 완전히 꽂혀버렸다.
차슈가 진짜 개맛있다. 먹다가 ""어 뭐지??"" 싶어서 따로 먹어보았는데 진짜 너무 맛있었음. 잠봉맛 난다ㅋㅋㅋ 분명 다들 찍어먹었을 것 같은데, 이건 따로 먹어야 대박이란걸,,,
버터 두껍게 썰어서 빵에 넣어 먹고싶은 맛! 혹시나 방문 예정이신 분들은 따로 드셔보시길!!
ㅤㅤ ㅤㅤ ㅤㅤ
그나저나 멘지 티 바뀐거 개이쁘다 증말,,
@gosimperson @ssmadangdesign #상상마당 #남기지마챌린지"
