location_info,location_href,upload_id,date_text,date_time,date_title,main_text
신성루,https://www.instagram.com/explore/locations/411954003/,semvly,2019년 12월 3일,2019-12-03T02:47:04.000Z,2019년 12월 3일,"🍜
요리에 강합니다
#자춘걸
#사천짜장
#요청드린짬뽕국물은진한오징어탕수준👍🏻"
,,subini_food,2020년 6월 10일,2020-06-10T03:27:54.000Z,2020년 6월 10일,"해물쟁반짜장
.
해산물이 짱많다~
사천인데 안맵..
고춧가루 아주 팍팍쳐먹음~😂
짜장면 쪼아😆
.
.
#먹스타그램#먹방#맛스타그램#푸드스타그램#맛있는음식#food#instafood#koreanfood#jjajangmyeon#먹스타맞팔#먹팔#맛집탐방#해물쟁반짜장#사천짜장#자장면#야식#점심#배달음식#직장인#매운짜장#맞팔#좋아요#선팔하면맞팔#좋테#좋반#소통좋아요#좋아요반사#맞팔좋아요#팔로우#팔로미"
,,our_noodles,2020년 4월 3일,2020-04-03T12:51:45.000Z,2020년 4월 3일,"이거 분명 짜장라면인데..
보정하니까 고추기름에 볶은것처럼 편집됐다 ㄷㄷ
(청양고추를 넣어서 먹었지만은..)
#짜장면 #짜장라면 #오뚜기짜장면 #짜장 #청양고추 #사천짜장 #jjajangmyeon"
,,lee_seongwoo2020,2020년 9월 22일,2020-09-22T11:45:16.000Z,2020년 9월 22일,"갑자기 자장면이 땡겨서~
#역대급 집짜장이다 ㅎㅎ
아들 양파까지 먹음 ㅎㅎ

#파기름 #감자 #애호박 #돼지고기
#양파 #간장 2T #굴소스 1T #올리고당 2T
#사천짜장 #가루
#짜장면
#snowpeak 멀리하기
#zanearts"
차이나타운,https://www.instagram.com/explore/locations/426512971064007/,papasun90,5월 18일,2021-05-18T12:35:28.000Z,2021년 5월 18일,"Chinatown in Korea. Definitely better than Vancouver’s Chinatown 😁
.
.
.
#chinatown #dayoff #familytime #jjajangmyun #tangsooyook #food #foodporn #sogood #tasty #incheon #korea #with #wifey #son #차이나타운 #배터지게 #중식 #존맛 #사천짜장 #탕수육 #밴쿠버차이나타운 #저리가라 #너무 #즐거운 #하루 #쉬는날 #가족이랑 #내사랑들 #인천 #한국"
신흥관,https://www.instagram.com/explore/locations/19711477/,bad.potato,2019년 6월 14일,2019-06-14T03:26:31.000Z,2019년 6월 14일,"........
사천요리가 주특기라니..
ㆍ
그럼 사천짜장으로
ㆍ
#부산 #부산출장 #해운대
#중국집 #중화요리 #신흥관 #사천요리 #사천짜장
ㆍ
중국식 스파게티 먹는기분.???"
부산연산동우리집,https://www.instagram.com/explore/locations/1008098232/,5eshi,2020년 12월 6일,2020-12-06T03:22:53.000Z,2020년 12월 6일,"사천짜장 모르는사람 은근많구나,,,
스토리 올리니까 뭐냐고 묻는사람이 많네요!
개인적으로 그냥짜장, 간짜장보다는 사천이 맛있음!
대신 사천짜장은 좀 매워야 맛있는데 안매우면 니맛내맛도아님,,,
여기 짬뽕은 별로네 좀😒 원래시키던곳 시킬걸🤦‍♂️"
,,ha._.0e,2020년 10월 22일,2020-10-22T11:28:57.000Z,2020년 10월 22일,":
신진주역 근처로 확장 이전한 '고량진미'

청년몰에 있을 때 이전한다고 짜장면 쿠폰 주셔서 왔당ㅎ
실수로 깜빡하고 52 빼달라고 말 안해서.. 직접 뺐다..ᵕ᷄≀ ̠˘᷅
그래도 역시 맛있음 ^__^ !
사천해물쟁반짜장인가? 이것도 맛있더랑 살짝 맵싹함❗

@goryangjinmi_jinju_official
.
.
.
#20201022
#진주 #경상대 #진주역 #일상 #소통 #돼일리 #돼지런
#먹스타그램 #맛스타그램 #진주맛집 #경상대맛집 #진주역맛집
#고량진미 #짜장면 #사천해물쟁반짜장 #사천짜장 #중식 #JMT
#선팔 #맞팔 #팔로우 #먹팔 #follow #f4f #follow4follow
#하영먹스타_진주 #하영먹스타_경상대 #하영먹스타_진주역"
"부산 광안리해수욕장 - 廣安里海水浴場 GwangalliBeach, Busan, South Korea",https://www.instagram.com/explore/locations/889874678/-gwangallibeach-busan-south-korea/,mozzzzi_lee,2020년 10월 7일,2020-10-07T07:17:23.000Z,2020년 10월 7일,"남천동 <홍콩면가>
남천동, 광안리 바닷가 근처에 위치한
중국식 만두 전문점 딤섬집🥟
.
남천동에 사는 친구의 강력추천으로 오게 된 곳.
.
육즙 가득 샤오롱바오 넘 맛있🙊
뚝뚝 흐르는 육즙이 또 생각난다.
홍콩에서 먹은 딤섬 기억도 새록새록
.
딤섬은 물론 칠리새우도 맛있고,
사천 짜장도 깔끔, 담백하고 맛있었다.
.
게다가 가격이 착해...
또 가고싶은 곳😽
.
#광안리맛집 #남천동맛집 #부산맛집 #부산딤섬 #광안리 #소롱포 #하가우 #칠리새우 #사천짜장 #먹팔 #맞팔 #일상 #먹스타 #모찌의머먹찌 #머먹찌_남천동 #머먹찌_딤섬"
,,jw_ryan_lee,15분 전,2021-07-31T01:25:27.000Z,2021년 7월 31일,"자.

새우와 각종 냉동주꾸미와 야채를넣고 고추장 반스푼 물조금 넣고 저어주세요!!

그담에 고춧고춧가루와 올리브유를 넣습니다!
불은 중불정도~

시간이좀 걸려요!

야채들이 힘들어할때
지원군이 오네요!
밥을 보급해줍니다!

솎깟꼮깟

임펙트

오뚜기 짜장드가세요

요럼 사천짜장

내가한건 10% 오뚜기짜장이90%...

#음식.#요리#토요일#사천짜장#밥#식사#운동
#운동스타그램#먹스타그램#선팔맞팔#운동맞팔#맞팔환영#정자동#정자역#정자동pt#정자역pt#헤라짐피티필라테스 #헤라짐#트레이너"
,,dayodayo_official,14시간 전,2021-07-30T11:13:11.000Z,2021년 7월 30일,"𝗡𝗜𝗖𝗘 𝗧𝗢 𝗠𝗘𝗘𝗧 𝗬𝗢𝗨!
🚚오고 있다!
🍽 다요다요 라인업 공개

탱글쫀득 곤약떡으로
가볍게 맛있는 #옛날떡볶이 맛
매콤달콤 곤약떡볶이🌶
&
쫄깃쫄깃 곤약면으로
가볍고 특별한 #사천짜장 맛
매콤고소 곤약짜장면🥢

매콤까르보나라와 맵단짠 비빔면까지!
제일 기대되는 제품을 말해주세요🍽
#comingsoon

📍
𝗥𝗘𝗦𝗧 𝗔𝗦𝗦𝗨𝗥𝗘𝗗!
다요다요는 HACCP인증을 받은
믿을 수 있는 시설에서 생산하며,
정기적인 자체 품질 검사를 통해
위생을 점검합니다.

#다요다요 #곤약떡볶이 #곤약짜장면"
,,d_diru,17시간 전,2021-07-30T07:47:42.000Z,2021년 7월 30일,"210730
⠀
#바르닭 사천짜장맛 하 이거 뭐지 진심 죤맛탱 ,,,, 🤎
어릴때 중국집 가면 메뉴판 보지도 않고 무조건 짜장밥! 파 였는데 여기서 그 맛을 느꼈어요 ✨
그냥 달달한 짜장 소스가 아니라 매콤해서 물리지도 않는데 닭다리살마냥 윤기나고 매끈매끈(?) ㅋㅋㅋㅋ
소스가 생각보다 많아서 맵찔이는 탄산수의 힘을 빌리고 ^^ 밥이랑 비벼먹으면 딱 알맞더라구요 ! #곤약현미밥 에 계란까지 볶아서 먹었더니 여기가 중국집이지 뭐야 ~~
⠀"
Miryang,https://www.instagram.com/explore/locations/238540248/miryang/,coslte6054,21시간 전,2021-07-30T03:58:28.000Z,2021년 7월 30일,#점심 #사천짜장 #기억보듬마을 #노가다 #맨홀 #케이블 #지중 #임천리 #삼랑진읍 #밀양 #경상남도 #koreanfood
Home :),https://www.instagram.com/explore/locations/146719048683532/home/,vallatto_dasung,22시간 전,2021-07-30T03:15:10.000Z,2021년 7월 30일,"자취요리로 만들어 본 짜장찜닭👩‍🍳
당면과 마늘 후레이크가 신의 한 수🌟
.
.
.
#짜장 #사천 #사천짜장 #오뚜기 #당면 #찜닭 #닭요리 #감자 #양파 #마늘 #마늘후레이크 #요리 #요리스타그램 #자취 #자취요리"
,,kaitlynnnnn_p,1일 전,2021-07-29T12:13:43.000Z,2021년 7월 29일,"오늘은 짜장밥🍛

오빠미안🤭🤭💕
내가 좀 양아치같았지????

아니 근데 내가 적당히 볶고 적당히 데워서 맛있는거라니깐.....🙄🙄 #짜루짜루진짜루

feat. 대기업의 맛 최고🤟🤟🤟🤟🤟🤟

#양아치스타그램 #오늘뭐먹지 #쿡스타그램 #홈쿡 #짜장밥 #볶음밥 #청정원 #옛날짜장 #사천짜장 #호밍스볶음밥 #닭가슴살볶음밥 #36살남편이유식 #맛스타그램 #먹스타맞팔 #먹스타그램 #좋반 #좋아요반사 #계란후라이가젤맛있찌??그렇다구해🙃"
Seoul,https://www.instagram.com/explore/locations/103179741437964/seoul/,magicdice,2일 전,2021-07-28T11:48:17.000Z,2021년 7월 28일,"오늘 저녁.
옆 아파트 장날 치킨까스가 열일.
계란 후라이 튀기다 실패.

#치킨까스 #닭안심 #사천짜파게티 #사천짜장 #짜파게티 #진미채볶음 #김치 #chickentenders #friedeggs #집밥 #대만맥주 #台灣啤酒 #beer #heineken #terra #테라 #seoul"
,,i_eat_play_love,2일 전,2021-07-28T10:54:06.000Z,2021년 7월 28일,"중국집 중독인가 ㅋㅋ
짬뽕 아주 푸짐해서 배터질정도..

#목포맛집 #남악맛집 #중국집맛집 #남악중국집 #남악중국집추천 #학동반점 #남악학동반점 #학동짬뽕 #사천짜장 #군만두"
,,y1227s_,2일 전,2021-07-28T06:41:35.000Z,2021년 7월 28일,짜파게티와 낮술🍺 #여름엔맥주지 #사천짜장#요린이
