location_info,location_href,upload_id,date_text,date_time,date_title,main_text
가봉루,https://www.instagram.com/explore/locations/925011141028187/,moonchelin.chef,2020년 7월 11일,2020-07-11T07:38:38.000Z,2020년 7월 11일,"_
#문슐랭 - 아빠생파
수십년 단골집인 광화문 가봉루에서 생파
#가봉루
#유산슬 #깐쇼새우 #탕수육 #가지튀김 #난자완스 #볶음밥 #삼선짜장 #삼선짬뽕
_
_
_
#맛스타그램 #먹스타그램 #먹방 #먹스타 #맛스타 #일상 #음식 #맛집 #집밥 #먹부림 #food #foodporn #foodstagram #chef #instafood #오늘뭐먹지 #밥상 #한국인의밥상 #먹팔 #맞팔"
홍구원,https://www.instagram.com/explore/locations/397394035/,jung_woosung,2019년 12월 3일,2019-12-03T10:18:54.000Z,2019년 12월 3일,"📍#홍구원 (Hongguwon)
✔️#콥슐랭 (#Kopchelin) : 4.2/5
(Suseong-gu, Daegu, South Korea 🇰🇷)
- This Chinese restaurant has the best Chinese chicken salad! 👍
- 대구광역시 수성구 황금동에 위치한 중화요리 전문점 홍구원입니다. 대구에서는 꽤 유명한 곳인데 이 집 유린기를 좋아해서 생각날 때마다 가끔 찾네요.

여태 이 집에서 많은 종류의 요리를 먹어봤지만, 역시 유린기가 단연 최고인 것 같습니다. 얇은 튀김옷 때문에 부드러움이 배가 되는 닭고기와 새콤달콤한 드레싱, 아삭한 양상추와 매콤한 청홍고추의 조화가 너무 좋았네요.

삼선짜장은 맛은 그대로였지만 예전보다 해물 양이 너무 줄어든 것 같아서 아쉬웠네요.

유린기 좋아하시는 분들은 꼭 한번 가보세요!

#콥슐랭_대구
#KopchelinGuide #콥슐랭가이드"
,,ss.unni_table,7월 5일,2021-07-05T04:02:53.000Z,2021년 7월 5일,"짜장면은 언제먹어두 맛있음!
저만 그르나요?🥲
그래두 하루에 두그릇 먹어본적은 음슴..
오늘 점심은 짜장 어때요오?😙

#짜장면"
,,cooljb,2019년 9월 4일,2019-09-04T03:59:28.000Z,2019년 9월 4일,".
수요일 점심 삼선간짜장 😋😋😋
.
비오니까 배달전화 불나는 중국집 ☎️⚡️
.
#삼선간짜장 #삼선 #간짜장 #삼선짜장 #해물 #짜장 #짜장면 #호로록 #중식 #중국음식 #음식 #푸드 #사진 #먹스타그램 #맛스타그램 #푸드스타그램 #인스타푸드 #수요일 #점심 #맛점 #먹방 #일상 #daily #wednesday #lunch #chinese #food #chinesefood #instafood #foodie"
"Seoul, South Korea - 서울",https://www.instagram.com/explore/locations/626328896/seoul-south-korea-/,grandmas_pleasure,2020년 10월 8일,2020-10-08T04:50:31.000Z,2020년 10월 8일,"🍄🍄🍄
Mushroom side dish🍄
(After boiling it with seasoning, it's fried!)
Happy to eat with rice!😙
...
#표고버섯요리 🍄
#한국의먹거리
...
Korean popular food-
#한정식 #국요리 #찌개요리 #불낙전골
#볶음요리 #콩나물밥 #볶음밥 #비빔밥
#물국수 #콩국수 #비빔국수 #보쌈 #떡
#피자 #호떡 #만두 #부침개 #전종류
#순대요리 #떡볶이 #김밥 #꼬치
#양념통닭 #삼선짜장 #삼선짬뽕
#총각김치 #포기김치 #깍뚜기"
,,lee_bom_huw,2020년 11월 1일,2020-11-01T09:02:58.000Z,2020년 11월 1일,"#아름약국
오랜많에 아버님뵙고 식사하구
약도 많이 챙겨왓어요 😍😍
.
#주말#가족식사#장인어른#레노마골프웨어
#레노마골프 #레노마역삼점#일상#비#레노마우산#인친#팔로우#선팔#골프#골프레슨
#나이키골프#나이키골프화#삼선짜장
#아메리카노#먹방#운동#웨이트#운동하는남자
#레로마스타일첼린지 #나는레노마를입는다"
,,riya_yoo,2018년 11월 19일,2018-11-19T04:44:18.000Z,2018년 11월 19일,"🍲
#외식스타그램🍴
.
나는야 #중식러버
암데서나 먹을 수 없쥬~
맛있구나😝
.
.
.
#아서원 #삼선짜장 #짬뽕 #마파두부 #맛있다그램
#제주맛집 #제주중식당 #제주맘 #아들맘 #맘스타그램👩
#글래드호텔 #글래드프렌즈 #글래드여의도 #글래드마포 #글래드강남코엑스센터 #글래드강남 #메종글래드제주 #서울호텔추천 #제주호텔추천👍"
화청궁,https://www.instagram.com/explore/locations/300816303/,lovelyjtk,2020년 8월 20일,2020-08-20T14:38:45.000Z,2020년 8월 20일,"#대구#지산동#지산동맛집#화청궁#탕수육#삼선짜장#짬뽕
난 여기 그냥 전가복이랑 탕슉이 최고! 👍🏻 울 아부지 중국집에서 기도중...... 류겨이 얌전히 까까먹고 기다려줬어❣️"
금홍,https://www.instagram.com/explore/locations/386819765/,_y_m_a_88,2017년 11월 19일,2017-11-19T10:51:11.000Z,2017년 11월 19일,"수요미식회에
나왓던 그곳
금홍!!! 나도왓쥐롱
와 ㅋㅋㅋㅋ 유린기 이거 실화야?
왜케맛잇쭁 ㅋㅋㅋㅋㅋ
.
.
.
#수요미식회 #금홍 #유린기 #차돌짬뽕 #삼선짜장 #동부이촌동맛집 #중식맛집 #맛스타그램 #먹스타그램 #맛방 #먹방"
,,ssong0311,2시간 전,2021-08-23T14:56:14.000Z,2021년 8월 23일,퇴근하고 #가장맛잇는족발 #가족 에서 #보불세트 #보쌈 #직화불족발 #참이슬 을 먹고 #일번지통닭 에가서 #통닭 #감자튀김 세트에 #생맥주 를 먹고 다음날 #가평 #장미펜션 #계곡 #수영장 에서 놀다가 #바베큐파티 를 하고 또 다음날 #뚝배기짬뽕패밀리 #뚝배기짬뽕 #삼선짜장 #파쌈탕수육 #존맛탱 그리고 남양주 와서 #오남저수지 #카페실버팟 #바질크로플 #프렌치토스트 #아인슈페너 먹고 #롯데시네마 #싱크홀 보고 #수비드밤 에서 #수비드떡볶이 #참이슬 근대도아쉬운건뭐지 #더놀고싶어
