location_info,location_href,upload_id,date_text,date_time,date_title,main_text
서울과학기술대학교,https://www.instagram.com/explore/locations/252582739/,euromagic7,7월 17일,2021-07-17T11:17:30.000Z,2021년 7월 17일,#맥도날드 #상하이어니언버거 오랜만에 상하이 먹는데 매콤한 맛이 줄어서 아쉽다.
,,hititler_hamburger,7월 15일,2021-07-15T04:02:12.000Z,2021년 7월 15일,"맥도날드 신메뉴 '상하이 어니언버거'
McDonalds New 'Shanghai Onion Burger'
.
- 반년만에 출시한 맥도날드의 재탕 아닌 신메뉴 버거.
상하이 버거를 기본으로 해서 슈니언버거에 들어가는 양파튀김과 소스를 조합해서 만들었는데..
넘 허접하다.
버거 자체도 그냥 상하이버거랑 큰 차이가 없는데, 상하이버거도 옛날의 그 버거가 아니다.
맥날은 이제 맥카페 빼고는 포기해야하나 보다.
.
.
👉 '상하이 어니언버거' 후기 → https://hititler.tistory.com/m/3265
.
.
#햄버거 #패스트푸드 #맥도날드 #맥도날드신메뉴 #상하이어니언버거 #hamburger #fastfood #mcdonalds #mcdonaldskorea #ShanghaiOnionBurger #햄버거블로거 #히티틀러 #2021맥도날드"
,,afa_foodstyle,7월 21일,2021-07-21T08:55:39.000Z,2021년 7월 21일,"슈니언 & 상하이 어니언 버거 촬영 현장 🧅
#mcdonalds
#맥도날드
#상하이어니언버거
#상하이버거
#슈니언버거
-
-
-

#푸드스타일리스트 #푸드스타일리스트정태경 #푸드스타일링 #푸드스타일 #음식촬영 #이미지촬영 #바이럴촬영 #지면촬영 #패키지촬영 #광고촬영 #cf촬영 #cf #사진# #이미지 #AFA #에이에프에이 #food #foodstyle #foodstylist #foodcoordinator #foodstyling"
,,sooa224,7월 22일,2021-07-22T03:27:01.000Z,2021년 7월 22일,"오늘 점심은 맥드라이브🚗
콜라 얼음이 녹기전에 빨리 집으로 가자
누나없을때 햄버거 먹기 ㅋㅋ

#점심메뉴 #맥도날드 #상하이어니언버거 #맛은그닥 #어니언이 #넘조금이야 #맥드라이브 #후딱사옴 #먹는것도순삭"
SU Plus Architecture,https://www.instagram.com/explore/locations/1016336209/su-plus-architecture/,suplus_ceo_park,7월 21일,2021-07-21T08:45:58.000Z,2021년 7월 21일,".
오늘 #중복 #점심 #맥도날드 #상하이어니언버거

.

.

#Suplus #수플러스건축 #수플러스 #건축설계 #전원주택설계 #홈인테리어 #홈디자인 #인테리어디자인 #인테리어설계 #인테리어현장감리 #아파트인테리어 #주거공간인테리어 #사무실인테리어 #오피스인테리어 #오피스텔인테리어 #상업공간인테리어 #가구디자인 #가구설계 #제작가구 #조명설계 #조명디자인 #조명인테리어 #제작조명
."
햄사모 - 햄버거를 사랑하는 모임,https://www.instagram.com/explore/locations/1840563909570980/-/,mukkssal,6일 전,2021-07-27T13:06:03.000Z,2021년 7월 27일,📍맥도날드 상하이어니언버거 / 바미와 함께 🐶🐾 맥날 상하이 버엌어는 최고쥬..🍔 상하이어니언버거 어니언맛이 강하게 느껴지진 않지만 그래서 더 좋았는듯 ㅋㅋ 믿고먹는 맥날이야 Ⓜ️ 바미랑 함께여서 행복했던 하루 💛
,,s.infp,7월 18일,2021-07-18T09:31:02.000Z,2021년 7월 18일,"ᆢ맥날 신메뉴 상하이어니언~ 맛있긴 한데 다른 신메뉴들이 안 사라져서 메뉴 포화 상태ㅜ,,
ᆢ
#😋 #🍔 #저녁 #버거 #맥도날드 #신메뉴 #상하이어니언버거 #알바생 #먹스타그램 #먹팔 #맞팔 #dinner #burger #mcdonalds #chickenburger #yummy #eatstagram #food #foodie #foodphotography #晚餐 #漢堡 #麥當勞 #美食 #吃貨
ᆢ"
,,talkativeezs,7월 15일,2021-07-15T14:41:33.000Z,2021년 7월 15일,"운동 후 칼로리 보충 #맥도날드 #드라이브쓰루 #상하이어니언버거 #한라봉칠러 칠러 맛나넹ㅋ
주중 운동 미션 클리어 가볍게 몸풀기 굿"
,,4_ever_up,7일 전,2021-07-27T06:43:56.000Z,2021년 7월 27일,"#해장엔햄버거
새로 나온 #상하이어니언버거
튀긴 거 위에 튀긴 거
맛난 거 위에 맛난 거
#일상 #데일리 #힐링 #소통 #선팔 #맞팔 #맛있다그램 #맛스타그램 #먹스타그램 #버거스타그램"
South Korea,https://www.instagram.com/explore/locations/215622513/south-korea/,unamerican_activities,1시간 전,2021-08-03T06:08:51.000Z,2021년 8월 3일,"🧅🍔🇰🇷 Shanghai onion burger @mcdonalds_kr #unamericanactivities #mcdonaldskorea
・・・
소리부터 맛있는 🍔상하이 어니언 버거🍔

한 입 베어 무는 순간,
입 안 가득 터지는 풍미의 빅뱅☄💥💫🪐

맥런치로도 즐겨봐!

#맥도날드 #상하이어니언버거"
,,gomtangtaxi,2시간 전,2021-08-03T05:06:42.000Z,2021년 8월 3일,"🍔맥도날드 서울시흥DT점🥤
.
이곳에 배달어플 콜이와서 도착후
픽업하려고 했는데 고객이 취소했어요.😵
#두번째#노쇼#싸펑피펑#디지고싶냐 👿
.
🛵이왕 온김에 첫끼로 신제품사먹어봤어요.
🍟#맥도날드#상하이어니언버거
#콜라#웨지후라이#스위트앤사워소스
#첫끼식사#우리가아는맛
.
#쿠팡이츠#맥도날드서울시흥dt점#서울금천구
.
.
."
,,unasentertainment,3시간 전,2021-08-03T04:39:44.000Z,2021년 8월 3일,"[맥도날드 - NEW 상하이 어니언 버거!]💜🍔
⠀
NEW 상하이 어니언 버거🍔🍔🍔
⠀
#맥도날드 #한국맥도날드 #맥날 #상하이어니언버거 #어니언버거 #햄버거 #유나스엔터테인먼트 #유나스타그램 #광고 #모델에이전시 #일반모델 #캐스팅 #팔로우 #일상 #맞팔 #소통 #model #agency #casting #cf #follow #daily #mcdonalds"
,,0_.free,3시간 전,2021-08-03T04:23:04.000Z,2021년 8월 3일,"Tuesday, august 3

#점심 #메뉴 #맥도날드
#1955버거 + 신상 #상하이어니언버거 = 🤗
#맛있게잘먹었습니다 👍🏽👍🏽
적당히먹어야하는데... 계속계속 배고프넹😅

#goodchoices #nicefood #happy #goodluck"
,,iamimmm,4시간 전,2021-08-03T03:08:14.000Z,2021년 8월 3일,#맥도날드 #상하이어니언버거 내서타일🍔🍟
인천 청라국제도시,https://www.instagram.com/explore/locations/593755927/,adjective_k,16시간 전,2021-08-02T15:19:59.000Z,2021년 8월 3일,108th
,,story_1970,1일 전,2021-08-02T07:41:14.000Z,2021년 8월 2일,".
알바하는 #우리딸
마중 갔다가 오는 길에
#맥도날드에서 #드라이브스루 🚘
.
#도쿄올림픽 #야구 ⚾️ 응원하며 옴뇸뇸 😋
이기는 경기를 보니 더 #꿀맛 이라는 🤗🎶
.
#2021 #여름
#우리집 🏡 #함께라좋아요 #소소한행복
#방학이다 #딸마중 #점심배달 #엄마일상
#점심메뉴 #맥도날드 🍔🍟🥤
#1955버거 #상하이어니언버거
#베이컨토마토디럭스 #하나더 #세트메뉴
#콜라대신커피 #맥카페 #아메리카노 ☕
#사진은추억이다 📸📲
."
,,2_sister80,1일 전,2021-08-02T04:10:43.000Z,2021년 8월 2일,"#상하이어니언버거
너! 오늘부터 내 #최애 #버거 하자.

#신상버거 #맥도날드 #맥런치 #신상
맛~있~쪄!"
,,_yc94_,1일 전,2021-08-02T03:48:38.000Z,2021년 8월 2일,"휴가 마지막날 햄버거로
오랜만에 맥날이라니~~
근데 휴가 벌써 끝이네ㅠㅠ
.
.
.
#집 #집돌이 #휴가 #마지막날 #배달 #햄버거 #맥날 #맥도날드 #상하이버거 #상하이어니언버거 #슈니언버거 #쿼터파운드치즈버거 #더블쿼터파운더치즈 #감자튀김 #치즈스틱 #웨지감자 #맥너겟 #코카콜라 #제로콜라 #먹방 #먹스타그램 #맞팔 #선팔 #일상 #데일리 #daily #소통"
,,mootal_v_mumu,1일 전,2021-08-01T15:33:31.000Z,2021년 8월 2일,"#맥도날드#상하이어니언버거
5,200원 주고 사 먹음.
예쁘게 잘라보려했으나 뜻대로 안되는구만......"
,,kaylee.diary,1일 전,2021-08-01T15:23:30.000Z,2021년 8월 2일,"#잡동사니마니아_점심
.
🍔🍟🥤+🍦🐻
#맥런치 #상하이어니언버거 + #아이스크림콘
👉🏻 #맥바셋 다시 도전! 브라운과 함께~ 😁💕
또는 #맥포가또 (#아아 + #아이스크림🍦🥤)
.
#McLunch #ShanghaiOnionBurger + #Icecream
👉🏻#McBasset with Brown
or #Mcfogatto (#IceAmericano + #icecream)
.
맥바셋은 차에 들고오는 동안 아이스크림이 녹아서
찐 #아이스크림라떼🍦☕️ 가 되어버림 😅
.
#오늘아님 #최근일상 #RecentDaily"
,,shinhappi,1일 전,2021-08-01T11:59:43.000Z,2021년 8월 1일,"[맥도날드]
맥날 신메뉴라는 상하이 어니언 버거 먹어봤다!
기존 상하이 버거에 양파 튀김이 들어간 건데, 생각외로 이 양파가 되게 맛있었다.
따로 사이드 메뉴로 팔아줬으면 좋겠는 맛?😋
그나저나 상하이 패티 원래 이랬나여?
쫄깃하게 찢어지는 느낌 1도 없이 치킨 너겟처럼 딱딱 끊기는 맛 ㅠ ㅠ
버거 맛있긴 했지만, 머랄까 계속 찾을지는 잘 모르겠던?!🤔
그래도 맛있게 잘 먹었습니다🤍"
,,heojin90318,1일 전,2021-08-01T09:18:20.000Z,2021년 8월 1일,"#저녁엔

#맥도날드 #딜리버리

#상하이어니언버거

#트리플치즈버거🧀🍔

#사이다는필수

#양산맘😊 #석산맘 #먹방 #먹방스타그램"
