location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,eunewow,6월 14일,2021-06-14T10:48:18.000Z,2021년 6월 14일,"🌟🌟🌟🌟🌟
#서면 #서면햄버거
#로위버거
#통새우버거
.
그 유명한 로위버거의 #새우버거
궁금했는데 이제서야 먹어봤당
진짜...새우버거의 원탑인듯;;
#별이다섯개_으뉴
.
한입 먹기도 벅찬 엄청난 사이즈🦐
새우 통살을 큼직큼직하게 다져서
그대로 뭉쳐서 튀겨낸 새우패티당
진짜 여기를 뛰어넘을 곳이 있을까..
빵도 폭신폭신 패티랑 잘 어울리고
아삭한 양파도 들어가서 덜 느끼함
다만 사이드로 시킨 #로위닭 은
좀 느끼하고 누린내가 살짝나서 아숩😢
.
통새우버거 ₩9,200
.
#서면_으뉴
.
#서면맛집#서면버거#서면수제버거#부산맛집"
Top Burger,https://www.instagram.com/explore/locations/101862711966382/top-burger/,sokchogirl,6월 14일,2021-06-13T15:03:07.000Z,2021년 6월 14일,"고성 바닷가 놀러나갈때 휘뚜루마뚜루 포장해서 먹기 딱 좋은 탑버거🍔 지나다니면서 많이 보긴 했는데 오늘 처음 먹어봤다. 인스타에서 자주 보여서 인기있는건 알았지만서두 웨이팅이 30분 이상 걸린다고 하셔서 깜짝 놀랐다. 주변 좀 걷다가 테이블에 앉아서 놀다보니 그래도 금방 나왔는데 라이더분들도 먹고 가고 포장하시는 분들도 많은 걸 보니 요즘 아주 힙한 푸드트럭이었나보다. #수제버거맛집 ❤️‍🔥 종류별로 두개씩 포장해왔지만 나는 #새우버거 를 먹었는데 소스가 매콤해서 느끼함을 싹 잡아주었고 양상추도 싱싱해서 아작아작거렸다. 패티는 불맛은 크게 나지 않았는데 씹는 맛이 좋았다. 새우는 서너마리정도 들어있었던 것 같다🦐 대신 꽤 통통한 편. 포장은 이중포장이어서 안정감 있었고 반으로 잘라주셔서 맛별로 나눠먹기 좋았다. 포장이 든든한 탓에 열어보면 햄버거가 생각보다 앙증맞아 보이는데 먹다보니 반개만 먹어도 은근 배불렀다. (그래도 남기지 않고 다 먹었습니다🤤) 담에는 세트로도 먹어보고 싶다🍟 위치는 봉포해변 근처 광장이고 옆에 바로 주차장도 있어서 굳이 포장해가지 않아도 주변에 마련되어있는 야외테이블에서 바다를 보면서 식사를 할 수 있다🏖
•
•
#탑버거 : 7000원🍔
#새우탑 : 7500원🍤
•
•
#고성맛집 #탑버거 #topburger #🚛"
Playground Brewery 플레이그라운드 브루어리,https://www.instagram.com/explore/locations/1022807279/playground-brewery/,365_happy_day_lee,6월 2일,2021-06-02T11:50:39.000Z,2021년 6월 2일,"낮 기온29도.☀️
실제 체감 기온은 30도가 웃도는 느낌..🥵

이틀 쉬고 라이딩 해서일까 봉크나기 직전까지 갔어요.

아이스 아메리카노와 콜라로 더위를 바텼네요.🥤

#헤이리라이딩 #헤이리마을
#헤이리카페 #커피공장103
#플레이그라운드브루어리 #새우버거
#먹방라이딩 #먹방나들이
#겨우62km🤭"
Gimpo,https://www.instagram.com/explore/locations/265433381/gimpo/,incellderm_sooy__h,3월 16일,2021-03-16T08:05:54.000Z,2021년 3월 16일,"코드가 잘 맞는 우리🤣
맛난것도 사랑하는 사람과 함께해야 제 맛👍

도브 후 🍔
한창 예쁜 얼굴 만들고 계신👍

새우버거 먹기로 한 날💗
간식까지 사다주셔서 이런 감사를😭
열심히 더 예쁘게 발라드림💗
아마 정성 1000% 쏟아서 더 예뻐졌을거예여🙏

사랑합니다 행복합니다💕

인셀덤 쓰고 안예뻐지면 기적
예뻐졌는데 돈을 못 벌면 더 기적

#인셀덤서울본부#인셀덤리치리치
#인셀덤모녀사업가#인셀덤황수연"
제스티살룬 Zesty Saloon,https://www.instagram.com/explore/locations/2205824242794765/zesty-saloon/,2nrrrrr_muk,4월 14일,2021-04-14T11:33:32.000Z,2021년 4월 14일,"영자언니 티비서 먹는거 보고 찜해놧던
#제스티살룬
⠀
방송타자마자 엄청난 웨이팅으로 먹기 힘든걸
알기에 한발 늦게왓찌이😘
⠀
⠀
⠀
⠀
⠀
패티는 기본적으로 새우살 넘나 탱글탱글하며...
통새우가 군데군데 큼직하게 들어있음‼️
⠀
(칼로 썰었더니 패티 단면이 밋밋해보인당ㅠㅠ
베어먹은 단면이 훨 맛나보였을텐데 아쉽💦)
⠀
⠀
⠀
소스가 와사비 마요라 다소 느끼할수 있을 맛을
최상으로 이끌어쥼👍
⠀
⠀
⠀
⠀
⠀
⠀
⠀
정말 눈물나는맛이었당..
담엔 다른 메뉴도 골고루 시켜봐야징💕
⠀
재방문 10000000%임
⠀
⠀
#먹스타그램 #먹방 #먹깨비 #나래먹방 #나래맛집 #성수동맛집 #성동구맛집 #서울숲맛집 #제스티살룬 #새우버거 #햄버거맛집 #존맛탱 #jmt #나래먹방_성수
⠀"
바스버거 후암점,https://www.instagram.com/explore/locations/180075462655287/,dmc_enter_khfs_ceo,5시간 전,2021-08-08T08:14:27.000Z,2021년 8월 8일,"ㆍ

어제 섭씨 32도가 넘는 방에서 선풍기 한대로 2시간을 넘게 버티며 유튜브 라이브 방송 끝내고 호텔로 더위를 피해 피서 짧은 호캉스 후 바스버거 와사비 마요 새우버거세트로 점심 해결

역시 남이 해준 음식은 정말 맛있다.

#유튜브 #라이브 #방송 #호텔 #호캉스 #피서 #바스버거 #basburger #와사비마요
#새우버거 #점심 #음식 #오스카쉐프"
90브로스,https://www.instagram.com/explore/locations/102250345083762/90/,90bros_gimhae,2월 21일,2021-02-21T05:17:06.000Z,2021년 2월 21일,"오늘 날씨가 너무 좋네요😊

낮에는 이쁜 카페들 가시구 오늘 저녁은
나인티브로스에서 햄버거 어떠세요??😄"
,,hoya__90,3월 1일,2021-03-01T01:25:11.000Z,2021년 3월 1일,"식전 웜업 버거 🍔
.
#창원맛집 #프랜차이즈맛집 #롯데리아
#버거 #햄버거 #버거 #새우버거 #불고기버거"
환상의 섬 Jeju Island,https://www.instagram.com/explore/locations/238592883/jeju-island/,golin_sangwoo_514,5월 2일,2021-05-02T09:42:15.000Z,2021년 5월 2일,"#맛스타그램 #먹스타그램 #맛집 #맛저하세요 #맛저녁😋 #맛저 #제주도 #제주시 #오라동 #탐나버거 #수제버거 #새우수제버거 #새우버거 #최고👍 #골프스타그램⛳ #골프스타그램 #골프 #골린이⛳ #제주골프 #오라cc #골프는사랑입니다 #명랑골프 #골프치는ssg팬 #선팔하면맞팔가요
ᆞ
ᆞ
오늘 저녁은 새우수제버거😊😊😊
새우가 탱글탱글해요😊
울인님들 저녁 뭐 드실건가요??
맛저하세용😊😊"
랍스터빈_jeju,https://www.instagram.com/explore/locations/209046173223884/_jeju/,_plutonx,1시간 전,2021-08-08T11:49:44.000Z,2021년 8월 8일,"제주 초보의 저녁 😋😵‍💫
#짐짐샤도네이 #랍스터라면 #새우버거"
