location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,jun.eunhee.3,4월 11일,2021-04-11T03:27:29.000Z,2021년 4월 11일,"#새우볶음밥 🍤
⠀
#부추 니가 한몫했다#👍🏻
#주말 #집밥 #점심메뉴 #볶음밥"
,,onyoo0.0,7일 전,2021-07-27T12:40:49.000Z,2021년 7월 27일,"+ 1532 ❤
⠀⠀⠀
⠀⠀⠀
집에 감자가 많아서 ~~~
오랜만에 새우감자볶음밥 🦐 !!!!
⠀⠀⠀
서현이가 ""엄마 나 이 밥 맨날 먹고싶어 !"" 라고
말하는 초간단 맛있는 볶음밥이에요 ~~ 🧡
⠀⠀⠀
⠀⠀⠀
요즘 가정보육하면서 일하느라 정신이 하나도 없네요.
그 와중에 삼시세끼도 챙겨야하는데 ~~~~
오늘은 너무 바빠서 점심은 사골에 후루룩 말아서 먹이고
저녁은 국수로 떼웠네요 ㅜ.ㅜ 🤣
내일은 맛있는 반찬 좀 만들어줘야겠어요 ~~~
⠀⠀⠀
⠀⠀⠀"
환상의 섬 Jeju Island,https://www.instagram.com/explore/locations/238592883/jeju-island/,golin_sangwoo_514,5월 3일,2021-05-03T03:34:03.000Z,2021년 5월 3일,"#맛스타그램 #먹스타그램 #맛집 #맛점하세요😋 #맛점하세요 #맛점😋 #점심 #제주도 #제주시 #제주시청 #제주팍차이나시청점 #팍차이나 #새우볶음밥 #탕수육 #찹쌀탕수육 #최고👍 #골프스타그램⛳ #골프 #골린이⛳ #골프사랑 #명랑골프 #연습만이살길 #빈스윙연습 #선팔하면맞팔가요
ᆞ
ᆞ
골프 빈스윙 연습하고와서 점심은
시청에서 탕수육이랑 볶음밥
울인님들 점심 뭐 드실건가요???
맛점하세요😊😊😊"
,,sera._.lee,5월 17일,2021-05-16T23:07:18.000Z,2021년 5월 17일,".

오랜만에 우주선볶음밥 해줬더니 우와~하는 삼형제😉🙂

오늘도 든든하게 먹고 즐거운 하루 시작하자🙌

#아침#아침메뉴#한그릇밥#한그릇요리#아침식사
#아침밥#아침식탁#삼형제아침#삼형제아침밥상#홈쿡
#우주선볶음밥#볶음밥#새우볶음밥#베이컨볶음밥
#ufo볶음밥#먹스타그램#맛스타그램#삼형제아침밥
#집밥#집밥스타그램#한식#한식밥상#한그릇뚝딱
#로얄코펜하겐#royalcopenhagen#온더테이블
#삼형제맘#삼형제가사는집#seraleelife"
MSTATE Building,https://www.instagram.com/explore/locations/1771277659661474/mstate-building/,sejun1035,7월 23일,2021-07-23T03:34:58.000Z,2021년 7월 23일,"금요일 점심.. 새우볶음밥+순후추라면🥰

날씨는 더운데 해장은 절실하고 지하식당가 사람은 넘쳐나고.. 그냥 편의점에서 순후추라면 매운맛 하나 사고, 탕비실 냉동볶음밥 데워서 간단하게 한 끼 했다😍
코스트코에서 사다가 탕비실 냉장고에 꾸역꾸역 처박아 넣고 방치한 냉동 볶음밥이 드디어 마지막이다ㅋ💕

👉순후추라면
사골곰탕맛을 먹고 실망했었는데 매운맛이 아주 깔끔하고 맛있다는 후기가 많아서 샀더니 맛있네ㅋ🤩 후추스프가 별첨으로 있어서 첨가했더니 후추향 가득한 것이 냄새 굳😛 후추 특유의 매운맛이 뒷골을 찌릿찌릿하게 하는데 아주 매력있네..jmt😋

👉통새우볶음밥
역시 냉동볶음밥은 한우물 브랜드가 맛있군🥰 통새우가 아주 실하게 여러 마리 들어 있고, 전자레인지에 조리했지만 떡진 느낌도 없이 꼬슬꼬슬한 것이 아주 굳💕

오늘을 마지막으로 정들었던 문정동은 안녕이다~😂 이제 좀 편하게 일하면서 정상적으로 살고 싶다ㅋ

#점심식사 #점심밥 #점심식사메뉴 #점심밥만들기 #회사식사 #마지막식사 #간단한식사 #전자레인지요리 #냉동볶음밥 #새우볶음밥 #코스트코볶음밥 #컵라면 #편의점라면 #편의점신상 #순후추라면 #꿀맛 #냠냠 #맛있다 #jmt #좋아요반사

#혼밥 #혼밥메뉴 #혼밥레시피 #내맘대로레시피 #간편식품 #간편식사 #간편식추천 #혼밥스타그램"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,sua_ssi,7월 12일,2021-07-12T10:02:44.000Z,2021년 7월 12일,"어푸어푸는 화학처리 없는 최상급 생새우살만 판매합니다. 사실 어푸어푸가 판매하는 새우는 온라인용도 마트용도 아니에요, 호텔 중식당에서도 사용하는 고급 새우랍니다. 저는 그냥 제가 당당하게 판매할 수 있는 최상급 해산물만을 소개하는게 목표라서요. 그래서 새우 요리 많이 해보신 분, 새우 많이 드셔보시는 분들은 직접 드셔보시고 차이를 확 아실꺼에요.
화학처리 없는 새우가 어떻게 다르냐면요, 일단 양식 새우는 하얗지 않습니다. 제가 예전에도 단새우 판매할때 화학처리 없어 머리따인 부분이 노랗다고 상세페이지에 적어놨는데요. 흰다리새우가 하얗다는건 그만큼 화학처리가 많다는거에요. 어떤 고객분이 왜 새우가 초록, 파랑, 검은색이냐고 물어보시더라구요 예전엔 안그랬다고. 사실 가장 신선한 흰다리 새우는 초록,파랑, 검은색이 납니다. 그걸 하얗게 만드는게 인산염 등 화학처리등이고, 그래서 어푸어푸 새우는 하얗지 않아요. 주로 새우가 하얗다는건 그만큼 화학처리가 되어있다는 겁니다.
그리고 일반 새우 사이즈 보면 26-30, 71-90, 91-110 뭐 이렇게 봉투에 써있어요. 그게 진짜 새우 사이즈거든요, 근데 마트 가시면 사실꺼에요 71이나 91인데 오동통해요. 그건 얼음코팅같은게 두껍다는거고, 해동시 물이 빠진다는 거고 그만큼 물맛이 나기때문에 조리후에 새우 맛이 없다는 거죠. 어푸어푸 새우는 해동하고 조리해도 크기 변화 크게 없어요, 물론 단백질이 열에 가해짐에 따라 약간 작아지겠지만 용량이나 크기 늘리려고 장난치지 않습니다. 그래서 저는 꼬리가 살아있는 칵테일 쉬림프보다는 생새우살을 택했어요. 그냥 간단 해동후 바로 조리해도 발라먹을 게 없을만큼 새우맛을 느꼈으면 했거든요
네, 저 새우에도 진심이에요. 그래서 어푸어푸 새우 드셔보신 분들은 다른거 못드신다고 많이 하구요, 그래서 대용량도 준비했습니다. 사이즈는 300g 소팩용 그리고 1kg 대용량으로 나뉘어져있고 26은 아주 큰 사이즈 91은 작은 사이즈입니다
이번에 새로 입고된 91사이즈는 71과 사이즈가 크게 다르지 않은데 더 퀄리티도 좋고 맛도 좋습니다. 역시 노케미컬 처리되어 있고요, 믿고 주문 주셔도됩니다. 전 항상 제 아이와 함께 먹을 수 있는 가장 건강하고 믿을 수 있는 상품만 판매합니다.
/
새우 팩트 폭격기 어푸어푸 입니다🤗🦐
전 최상급 아니면 취급을 안합니다"
,,eundongmeal,7월 22일,2021-07-22T02:53:59.000Z,2021년 7월 22일,"🍤

#새우볶음밥 #김치볶음 #나인웨어 #한그릇요리 #오늘뭐먹지 #자취밥상 #자취요리 #신혼밥상 #신혼요리 #냉털 #집콕밥상 #푸드스타그램 #반주스타그램 #집밥 #일상기록 #살림기록 #식단기록 #내돈내산 #먹부림 #밥스타그램 #먹스타그램 #맛스타그램 #일상 #오늘의메뉴 #소통 #먹팔 #맞팔 #먹스타맞팔 #은동밀 #홈쿡🍳"
,,cheajayeon,7월 27일,2021-07-27T04:22:41.000Z,2021년 7월 27일,"-
얼려뒀던 새우 왕창넣고
#새우볶음밥
.
.
.
#채자연밥상"
,,sio_yo,5월 19일,2021-05-18T19:56:13.000Z,2021년 5월 19일,참치김치찌개라면과 새우볶음밥
,,jigyeong.gweon,10분 전,2021-08-04T07:03:34.000Z,2021년 8월 4일,"아점으로 한끼 건너뛰기

#휴가후 #귀차니즘
#낚지볶음밥 #새우볶음밥 #냉동볶음밥 #찬스
#피클 #단무지 #패스
#김치 #열무김치 #좋아요"
