location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,bbo.log,1일 전,2021-08-07T02:12:03.000Z,2021년 8월 7일,"#광고 * 포장/배달 가능 매장
■하남 샐러바웃 ( @salabout.hanam )
광주 광산구 단전2길 7
영업시간 10:00 - 21:00Last order 20:00
단체주문, 예약문의 (062 . 714 . 3997)
#뽀로그 #뽀로그하남"
,,j___love___cook,8시간 전,2021-08-08T03:41:44.000Z,2021년 8월 8일,"-
아침부터 오마이가쉬 입니다
어제 새벽 늦게까지 술을 마셨는데
배구 보려고 8시에 일어 났어요
연하남이랑 카톡 하는데 왜이렇게 일찍 일어났냐길래
배구 봐얀다 하니까 열두시라고 더 자라고 깨워준다는 거예요
근데 몸은 피곤한데 잠은 안와서
인스타 댓글도 달고 청소도 하고
그러다 티비를 틀었는데 싸한 이 기분
검색 해보니까 이미 경기 종료
와 애를 어쩌면 좋죠 이거 보고있지 헤어지자
화가 나지만 밥은 먹습니다

제이식당 오늘의메뉴 문어참나물파스타 입니다
전에도 올린 똑같은 메뉴인데 양념을 조금 다르게 했어요

참나물- 고등어액젓 올리브오일 식초
파스타- 면수 고등어액젓 소금

고등어액젓 삼양수산 제품 입니다

문어다리 삶은거 찹찹 해줘서 마지막에 같이 넣고 볶아 줬어요

빡이가 치지만 파스타는 맛있고
파스타는 맛있지만 빡이가 칩니다
배구는 하이라이트로 봐야겠어요😭

맛있는 식사 챙겨 드시고 즐거운 일요일 보내세요💜

#문어참나물파스타
#문어파스타
#제이표파스타

_"
고기리막국수,https://www.instagram.com/explore/locations/1782321632006782/,yjkim228,1일 전,2021-08-07T09:23:27.000Z,2021년 8월 7일,"제 몫의 에그마요샐러드에요. 마카로니, 감자사라다, 양배추샐러드 이런 건 메인 음식과 전혀 상관없이 식탁에 놓여있기만 해도 행복합니다. 데이트 하실 때 마요네즈 '사라다' 나오면 여성분 쪽으로 슥 밀어주세요. 칭찬 받으실 거에요!
#마요네즈 #사라다 #에그마요샐러드 #칭찬 #고기리막국수 #에그마요사라다 #샐러드 #마카로니샐러드 #감자사라다 #양배추사라다 #행복 #마요네즈그램"
아이파크몰,https://www.instagram.com/explore/locations/245642822125405/,masisdda,7시간 전,2021-08-08T04:05:52.000Z,2021년 8월 8일,"#협찬 [크리스피프레시 용산아이파크몰점]

수경재배 채소 청미채를 사용해서
무농약으로 깨끗하고 건강한 샐러드를 먹을 수 있는 곳 !
건강한 맛 = 맛없다 라고 생각하면 안됨 🙅🏻‍♀️
건강한 맛이지만 맛도 좋고 현미는 씹을수록 중독된다..
콜드파스타에 시금치가 넘 잘 어울리고
누들볼 완전 매력적임 ❤️‍🔥 여름에 정말 딱 !
양도 많고 배도 부르고 소화도 잘되고 매력터짐 😍
용산 아이파크몰 안에 있어서 동선도 너무 좋다.
협찬이지만 너무 맛있었음 ,,, 재방문 의사 100% 있어요.
파미에스테이션점에도 신규오픈했다고 함.
오픈프로모션 하고있다니까 거기도 가봐야겠다 😏
 
✰ @crispyfreshsalad
-
✰ 비프플레이트 14,500원
✰ 쉬림프누들볼 12,500원
✰ 베이컨시금치파스타 6,000원
✰ 당근주스 5,800원
✰ 산펠레그리노 레드오렌지 3,800원
-
✰ 매일 11:00 - 21:00 연중무휴
-
✰ 서울 용산구 한강대로23길 55 용산아이파크몰 4층
✰ 용산역 1번 출구에서 83m
✰ 0507-1342-0452
ㅤ
ㅤ
#마시따_용산
#마시따_크리스피프레시
-
#크리스피프레시 #crispyfresh #크리스피프레시용산 #샐러드 #샐러드맛집 #샐러드카페 #서울맛집 #용산 #용산맛집 #용산샐러드 #용산아이파크몰 #용산데이트 #다이어트맛집 #비프플레이트 #쉬림프누들볼 #베이컨시금치파스타 #당근주스
ㅤ"
꽁티드툴레아 도산점,https://www.instagram.com/explore/locations/354983225198315/,jjiin_nyy,5일 전,2021-08-02T14:05:39.000Z,2021년 8월 2일,"@contedetulear
날씨가 선선해지면 야외테이블에 걸터앉아
시원한 아아와 초코무스를 조질거야."
,,food_gwangjus,1일 전,2021-08-07T06:55:49.000Z,2021년 8월 7일,"광주 최초로 생긴 포케전문점❗❗
#수완지구 #보울레시피
내맘대로 만들어먹는 샐러드🥗
포토존에 주차장까지 있어서 편리하게 이용하자구!
한볼에 350~450칼로리밖에 안한대🤭
여름인데 샐러드로 다이어트는 어때?
우리 다이어트도 맛있게 해보자구!
@@다이어트 하는 친구 태그ㄱㄱ
.
✅수완지구 보울레시피
✅광주광역시 광산구 수완로11번길 42 1층

#일보_광산구 #일보_카페 #광주샐러드 #광주샐러드맛집 #광주포케샐러드 #포케샐러드 #다이어트 #신상맛집 #수완지구샐러드 #수완지구데이트 #보울레시피수완점 #다이어트식단 #저칼로리음식 #광주핫플 #광주최초 #수완지구핫플 #광주가볼만한곳 #광주 #광주맛집 #광주카페 #광주카페추천 #샐러드 #샐러드맛집 #샐러드맛집투어 #내맘대로샐러드"
충청남도 홍성군 광천읍,https://www.instagram.com/explore/locations/270847631/,jeong2nong,2일 전,2021-08-06T10:08:59.000Z,2021년 8월 6일,"많은분들이 기다리셨던
모듬채소 다시 오픈했습니다❕
-
#정직한이웃농부 #정이농 #청년농부들의커머스 #청년농부 #모듬쌈채소 #모듬샐러드 #라라라채소밭 #샐러드"
ACRES.,https://www.instagram.com/explore/locations/340264383465123/acres/,tang_ni_0920,3일 전,2021-08-04T15:24:21.000Z,2021년 8월 5일,"분위기 합격.
잘생김 합격.
샐러드 합격.
현미곤약떡볶이 합격.
커피맛 합격.
가격은 음....
#5합격#1불합격#가로수길#에이커스"
Paju,https://www.instagram.com/explore/locations/237923723/paju/,rimzooo,4일 전,2021-08-04T09:52:59.000Z,2021년 8월 4일,"내일부터 사흘 목금토 가오픈!
야당동 주택가의 구석진 뒷골목
아주 작은 공간에서 사부작사부작
악어식당을 시작합니다. 🙂

식당이지만 식당이 아닌
음악 언어 음식이 있는 공간 이에요.
테이블은 하나 😬
재미난 일들 하나씩 만들어가겠습니당🌱

올리브오일에 담긴 반건조토마토, 파르미지아노레지아노, 페코리노 치즈와 가평잣으로 만든 바질페스토, 후무스, 샌드위치와 샐러드 가져가실 수 있게 준비해둘게요.

오가닉와인과 내추럴와인도 소량 입고 예정입니다.
놀러오실 분들 연락 주세요!! 😆

악어식당델리숍 계정 @cocodeli.kr 에 틈틈이 소식 전할게요!"
,,shy____dd,3분 전,2021-08-08T12:03:36.000Z,2021년 8월 8일,"🥗8월 8일 식단기록🥗
운동 전(9:30am)
➡️딸기우유, 에너지바
-
운동 후(2:30pm)
➡️초밥12p
-
저녁(8:00pm)
➡️컵라면 작은컵, 도넛 2개
-
-
-
-
회전초밥 혼자 열접시는 먹을수 있을줄 알았는데🥲
#다이어트 #다이어터 #식단 #식단일기 #식단기록 #샐러드 #닭가슴살 #달걀 #애플워치 #고구마 #에너지바 #단백질 #유산소운동 #운동 #운동하는여자 #회전초밥 #노티드도넛"
