location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,anjae_sikdang,5월 10일,2021-05-09T15:09:03.000Z,2021년 5월 10일,"안재식당마감일기.

오늘은 오랫만에 썬돈가스에 가서 점심을 먹었다. 정훈씨와 일할땐 정말 일주일에 한두번은 꼭 썬돈가스에 가서 식사를 했었던것 같은데 주중 식사를 따로 챙겨먹게 되면서 발걸음이 좀 뜸해 졌던 곳이다.

이렇게 오랫만에 늘 가던 곳에서 식사를 하게 되면 세삼 더 맛있다는걸 깨닫게 된다.

처음 삼전동(실제로는 잠실본동이지만)에 자리 잡게 되면서 정말 안재식당 근처의 식당이란 식당은 다 가보았던것 같다. 그러다 내 입맛에 맞는 몇곳들을 주로 가게 되었는데 썬돈가스도 그중 한곳이다.

오늘 썬돈가스에서 사람들에게 사랑받는 식당은 어떤곳일까 다시한번 생각하게 되었다.

썬돈가스는 내기준에선 참 맛있는 식당이다. 돈가스 함박스테이크 생선가스 및 소스는 물론이며 스프와 김치까지 직접 만드신다. 본인음식에 자부심이 강하신 사장님은 결코 허투로 음식을 하지 않으시는데 여지껏 수십번 넘게 어쩌면 백번가까이 이집 돈가스를 먹으며 큰 편차를 느낀적이 없었으니 정말 대단히 부지런하시고 진실하게 식당을 하신다 생각되고 또 존경스럽다.

하지만 가끔 사장님과 이야기를 나누어보면 손님이 많이 줄어 운영이 어렵다고 하셨다. 이제 횟수로는 6년차에 접어든 가게인데 맛이 확실하니 손님의 범위가 꽤나 넓을터! 이제는 재방문이 훨씬 더 많은 단골 위주의 식당이 되었지만 코로나의 여파도 있고 손님의 수가 확줄고 더 늘어나질 않으신다는것이였다.

썬돈가스가 내가 예전에 일하던 포스코 사거리 혹은 송리단길에 있었다면 경쟁력이 없었을까 라고 질문해 본다면 나는 그렇지 않다고 생각한다. 물론 사람마다 입맛이 다르고 내 입맛의 기준이 옳다고 할수는 없겠지만 함박스테이크도 훌륭하고 생선가스도 이렇게 직접 만드시는곳 흔치 않다. 조금 특이하다면 특이한 일식 돈가스 같은 돈가스가 어울리지 않는다 말할수는 있어도 맛에선 결코 다른 돈가스 집들에 떨어지지 않는다. 물론 앞서말한 상권들에서 장사를 하신다면 지금의 가격보단 더 많이 받으셔야 타산이 맞으시겠지만 그걸 감안해 본다고 해도 경쟁력이 있다고 생각된다. 그렇다면 왜 유동인구가 적은 이곳에선 생존의 위협마저 받으시는걸까?

진심은 통한다는 나의 희망이 어리석은 꿈 같은 나쁜 생각이 잠시 들어 맛있게 먹고 나오는 길에 괜히 마음은 씁쓸해졌다.

#안재식당 #안재식당마감일기 #단골집 #썬돈가스 #돈가스 #함박스테이크 #생선가스 #스프 #동네맛집 #생존위협 #유동인구 #진심 #꿈"
서천 마량포구,https://www.instagram.com/explore/locations/224149934371398/,leeminjoo5088,2020년 12월 27일,2020-12-27T02:56:32.000Z,2020년 12월 27일,#자연산 #생선가스 #진공포장까지완료😊 #주문하신분들 #내일모두발송됩니다 #맛있게드세요💕
,,dumbo80,2017년 11월 4일,2017-11-04T00:21:22.000Z,2017년 11월 4일,"오늘 도시락💕

토욜이지만 출근하는 김냄푠
이번주도 수고했네💕
.
.
.

#남편도시락#도시락#매일도시락
#락앤락#락앤락도시락#집밥#맛점
#foodstagram#lunch#덤보도시락
#생선가스#고추장멸치볶음
#두부부침#소세지"
,,ayoung_daily,2020년 4월 1일,2020-04-01T11:24:25.000Z,2020년 4월 1일,"👯‍♂️👯‍♀️🌶
돈가스.생선가스
송주불냉면.샐러드
매워죽는다 우악

#그릇스타그램 #요리스타그램
#카사피나포럼 #카사피나
#송주불냉면 #불맛 #매운맛
#돈가스 #생선가스 #돈까스
#생선까스 #샐러드 #아영빠
#꼬르드메사 #장듀보 #커트러리
#플레이팅 #매운냉면 #밥상
#집밥 #홈쿡 #토마토 #오이"
,,inha_fossil,2020년 8월 19일,2020-08-19T05:38:58.000Z,2020년 8월 19일,"#탄포포 #탄포포정식 #히레가스 #생선가스
인하대 후문 전통의 돈가스집
.
예전에는 많이 갔었는데
워낙 돈가스집이 많이 생겨서
뜸했다가
이번에 미식가님 피드를 보고 가봤는데
역시 맛있다
.
자주 가야겠다
.
#인하대후문맛집 #인하대 #인하대학교 #인하대맛집 #인하대후문 #인하대돈가스"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,ahnchihoon.no.1,6월 17일,2021-06-17T13:03:38.000Z,2021년 6월 17일,"최후의 만찬.
내일이면 황대장도 안선수도 양구로...
고기부터 소스, 샐러드까지 모두 수제로
만든 황대장표 돈가스 정식.
황대장 망치질로 잘 다져진
돈가스 고기와 수제 소스에
조화가 좋았고 대구살이 없어 동태살로 만든 생선가스 역시 생선가스 소스가
대구살 동태살 할것없이 혀를 녹인다.
다만... 돼지고기와 소고기의 황금비율 함박스테이크에 계란후라이 반숙을
올리지 않은건 아쉬웠어.
허나 역시 당신 샐러드는 쌍따봉이다.
내일 지방대회 준비하려면 정신없을텐데
가기 전에 저녁 맛있게 준비해줘서
고맙다.
황총무님!
약속의 땅 양구 가서
23명의 아들들 세심하게 챙겨서
모두 건강히 즐거운 야구
마음껏 즐길수있게 해주세요.
#화곡초등학교 #야구부 #28번안태욱
#운동선수 #영양식
#엘리트스포츠 #엘리트야구
#돈가스 #돈까스
#돈가스맛집 #돈까스맛집
#생선까스 #생선가스
#함박스테이크
#함박스테이크맛집
#반숙 #계란후라이
#최후의만찬
#자유다"
,,yoriyori_misoro,2월 13일,2021-02-13T00:26:38.000Z,2021년 2월 13일,"마요네즈에 삶은달걀, 양파를 다져넣은 타르타르소스에 찍어 먹는 생선가스🍤 간만에 먹으니 맛이 좋군.
생선전 부치는김에 튀기는 생선가스까지🐟🐠🐡
대식가 식구들땜시 만들어 놓기가 무섭게 싸악 해치움😷😘😍
오늘은 또 뭐 만들거냐며 ㅎㅎ
뭐하지?

#요리스타그램
#생선가스
#타르타르소스
#homecook
#onthetable
#집밥
#미소로쿠킹
#미소로의만지작만지작
#명절연휴

일단 바깥바람을 좀 쐬어보자💗"
,,chef.heesookim,4월 16일,2021-04-16T03:59:25.000Z,2021년 4월 16일,#함바그스테이크 #생선가스#모듬가스#미니버거🍔 #화요일일품🥦🥕🌶
Jeju,https://www.instagram.com/explore/locations/236917762/jeju/,kirrory,2020년 8월 28일,2020-08-28T06:47:35.000Z,2020년 8월 28일,"서황카츠... 숙소근처 돈가스집 찾다가 알고보니 효리네 민박 맛집이네요. 제철생선으로 튀긴 생선가스가 일품
.
.
.
.
.
.
#먹은거안올리려다가#1시간웨이팅#힘들게노력으로먹은돈가스#생선가스#서황가츠#돈가스#돈가스성지#돈까스#돈까스맛집#효리네민박#몰라봤다#원래는웨이팅없는곳만가는데#오늘만간다#제주도#제주#jeju#jejuisland#맛집#맛스타그램#맛집추천#맛집투어#맛스타#소통#소통해요#여행#떠나요#생선가스강추#다른곳이랑틀림"
,,phm3716,2시간 전,2021-07-31T07:14:37.000Z,2021년 7월 31일,"#수지롯데몰
#남산돈가스
#생선가스
#냉모밀"
,,dlagasjumbbang.official,19시간 전,2021-07-30T14:27:37.000Z,2021년 7월 30일,"오늘도 #고기입고
다음주 택배 주문건 작업 중~~^^
내일도 모레도 계속 해야할듯요 ㅎㅎ
주문 주신 분들 모두 모두 감사합니다♡♡
맛있게 만들어 드릴게요!!

#달까스점빵
#폴라리스아이비티어학원 #감사합니다"
,,_yuni_homecook_,22시간 전,2021-07-30T11:24:07.000Z,2021년 7월 30일,"오늘의 메인은 간장돼지등갈비찜 😋 다음엔 빨간양념으로 해먹어봐야징

#돼지등갈비찜 #생선가스 #감자에그샐러드 #된장찌개"
