location_info,location_href,upload_id,date_text,date_time,date_title,main_text
쉐이크쉑 코엑스,https://www.instagram.com/explore/locations/100666132257265/,cheeseburgerlike,21시간 전,2021-07-30T08:54:33.000Z,2021년 7월 30일,"#콜라보
📍한일관 불고기 X SHAKE SHACK📍
📍지평 막걸리 X SHAKE SHACK📍

이제서야 먹어본 쉐이크쉑 신메뉴😎
햄버거도 햄버거인데 쉐이크도 역시..
역시 쉑쉑은 번이 너무 맛있어요..ㅠㅠ😋
근데 가격이 좀 비싸서 아쉽😂

📌결론 : 존나 맛있다, 내 스타일이다."
롯데월드몰,https://www.instagram.com/explore/locations/398307852/,eateverydayhappy,7월 8일,2021-07-08T11:54:01.000Z,2021년 7월 8일,"브루클린 더 버거 조인트🍔

첫 입 베어 무는 순간 소름 돋으면서 눈이 번쩍 뜨이는 느낌이었어요
기름진 육즙이 쫘악 혈관에 들어오는데
만약 당신이 사형수라면
마지막 식사로 이거 드셔야 합니다.
그러기 싫다면
착하게 삽시다!!!

📍브루클린더버거조인트 롯데월드몰
서울특별시 송파구 잠실6동 올림픽로 300 3층

#브루클린더버거조인트 #잠실맛집 #수제버거"
버거보이 신용산점,https://www.instagram.com/explore/locations/111658444344836/,yongq108,1일 전,2021-07-30T03:42:04.000Z,2021년 7월 30일,"⠀
Good boy"
평촌 중앙공원,https://www.instagram.com/explore/locations/1810179/,nojunkslumdunk,5일 전,2021-07-25T10:57:06.000Z,2021년 7월 25일,"현시간 소고기패티 5 치킨패티 5 개 남았습니다!!! 조기마감 예상해봅니다 ~~~
혹시나 포장주문하실분 가게로 바로 예약 전화 주세여!!!😝"
신정지웰,https://www.instagram.com/explore/locations/302085120561164/,eat.easymean,4일 전,2021-07-26T22:29:15.000Z,2021년 7월 27일,"울산 신정동 #더꾸버

요즘 울산에 수제버거집
많-이 생겨서 기분이 조크든요ㅎ

드시는 음식 스펙트럼도 넓고
경험도 많으신 분께서
신상맛집 오픈 소식을 늘 공유해주시는데
여기도 감사하게 알려주셔서 바로 방문했당.
추천해주시면서 하시는 말씀이
울산에서 빵 사이에 뭐 끼워파는 집 중에
제일 맛있다고 ㅋㅋㅋ

스테이크 샌드위치 한 입 먹자마자 완전 공감!
빵도 부드럽고 고기도 잡내 없고
맵단짠한 소스까지🌭
햄버거는 워낙에 부피가 큰 스타일이라
모든 재료를 한 번에 먹는 걸 선호하는
내 취향과는 거리가 있었지만
야채도 신선하고
패티 자체의 간도 익힘도 좋고...
넘 맛있었당🍔

먹는 걸 좋아하는 사람으로서
계ㅡ속 선택지가 늘어가니 행복하네요😊

#이지민울산남구 #이지민신정동 #이지민더꾸버"
Travel cafe & Pub,https://www.instagram.com/explore/locations/158980354989700/travel-cafe-pub/,travel_pub_cafe,12시간 전,2021-07-30T18:13:44.000Z,2021년 7월 31일,"✈트래블✈ 🤣리얼 찐 로제떡볶이와 스파게티면 꿀~조합🤣

😁모두 즐거운 주말들 보내세요~마스크 필수!

❗코로나~모두모두 화이팅! 힘내세요~♥️

#TRAVEL #흑임자밀크티라떼 #밀크티맛집 #트래블 #유천택지 #유천맛집 #로제떡볶이 #땡초까르보떡볶이 #꼬기떡볶이 #배달의민족 #배달의민족분식 #강릉 #강릉맛집
#배달의민족패스트푸드 #강릉 #강릉유천택지 #강릉홍제동
#강릉수제버거 #수제버거 #강릉수제버거맛집"
"헤이로라 Hey, Laura",https://www.instagram.com/explore/locations/107030511592351/hey-laura/,hey_laura_myluv,22시간 전,2021-07-30T08:29:54.000Z,2021년 7월 30일,"Holy moly😱
Mouthwatering gooooood!
#올드패션드#헤이로라#수제버거#햄버거"
,,magoo_wagoo,7월 19일,2021-07-19T12:26:00.000Z,2021년 7월 19일,"심장보다 혈관이 먼저 뛰는 버거리 ,,!!! ❤️
홍대 메인거리에 떡하니 자리잡고있는 신상버거 맛집 <버거리> 에서 혈중버거농도 잔뜩 올리고왔자나요?? 패티퀄미쳐따리 😖

트리플클래식치즈버거 랑 비프앤쉬림프버거랑 치즈포테이토까지 냠 ! 묵직한 체다치즈 소스에 육즙팡 미쳐벌인 고기패티 3장 에 할라피뇨까지들어가서 느끼함도 싹 잡아주는 미쳐벌인 조합 👏

저 여기 새우패티 먹고 감탄해짜나요..?? 탱글함이 저 세상 탱글함이고 새우 알갱이들 씹히는데 알싸달달한 소스조합도 체고 신상 버거맛집으로 인정합니다 ✨

부뉘기까지 레드레드 귀염뽀짝해서 버거 한도끝도 없이 들어가는 집 .. 혈관이 선덕 거리는 버거리 라구용 다들 버거충전 하러가세용 💕

#막왁_연남#버거리#홍대맛집 #홍대입구맛집 #걷고싶은거리맛집 #홍입맛집 #마포맛집 #마포구맛집#버거맛집#수제버거#수제버거맛집#햄버거맛집#햄버거🍔#새우버거#소고기버거#홍대데이트#서울데이트#홍대핫플#먹스타맞팔"
레이지버거클럽 원흥점,https://www.instagram.com/explore/locations/102593941875760/,jeoncco,6일 전,2021-07-24T09:00:26.000Z,2021년 7월 24일,"#20210724 #일산 #일산맛집 #레이지버거클럽 #lazyburgerclub #수제버거
.
나는 지금 LA 🇺🇸
수제버거 존맛탱구리"
,,newnyp,6분 전,2021-07-31T06:29:09.000Z,2021년 7월 31일,"#아빠쉬는날은외출하는날

#아빠쉬는날은놀러가는날

#며칠전부터먹고싶었던

#frankbuger

#프랭크버거🍔

#프랭크버거세트

#베이컨치즈버거세트

#프랜치프라이

#사이다

#아메리카노☕️ (신랑꺼)

#치킨순한맛 #윙봉 #내스타일❤️

#우리딸 #이제는

#버거빵 #프렌치프라이

#잘먹어요👍

#이뻐죽겠네❤️

#버거맛집 #목동버거

#버거 #수제버거 #수제버거맛집"
