location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,min_bymin,6월 15일,2021-06-15T07:45:26.000Z,2021년 6월 15일,".
오늘 아침, 비가와서 동생이랑
#감자전 + #수제비 🧡

저 스트라이프는 절까요, 동생일까요?
👧🏻

#미니민테이블 🍽"
,,yamyam_teacher,6월 12일,2021-06-12T14:37:55.000Z,2021년 6월 12일,"매주 금요일은 김치 담그는 날 🥬
기존에 했던 파프리카 깍두기 양념
그대로 넣어 추가로 알배기 배추
소금에 절이고 무와 같이 버무렸어요

자세한 레시피는
#냠냠티처유아식판식 👩🏻‍🍳❤️

#냠냠티쳐#냠냠티처#냠냠선생#냠냠티처유아식판식#오늘의요리#오늘의식단#홈쿡#집밥#밥상#한식#반찬만들기#가정식#밑반찬#식판식#식단기록#유아식단#유아간식#유아반찬#유아식판식
#어린이집식단#어린이집급식"
별미손칼국수,https://www.instagram.com/explore/locations/246842199121838/,jarong2002,4일 전,2021-07-31T01:48:49.000Z,2021년 7월 31일,"20210529 명일동 별미손칼국수

아주머니들께서 반죽을 직접 치대는 진짜 손칼국수

맛있는 맛과 저렴한 가격으로
강동구민들에게 널리 사랑받는 칼국수집입니다
실제로 어르신들이 많이 방문하시더군요
명일역 바로앞에 있어 접근성도 좋습니다

#강동구재영 #강동구맛집
#명일동재영 #명일동맛집
#칼국수재영 #칼국수맛집
#별미손칼국수재영 #별미손칼국수
#콩국수재영 #콩국수맛집
#수제비재영 #수제비맛집
#칼국수 #수제비 #콩국수

#wine #酒 #日本酒 #맛스타그램 #먹스타그램 #술스타그램 #instafood #foodie #food #foodstagram #와인 #ワイン"
연동시장,https://www.instagram.com/explore/locations/403994414/,ag_ekim,7월 25일,2021-07-24T21:45:17.000Z,2021년 7월 25일,"⠀
⠀
면 맛있다는데 여기저기 가보고
내린 결론 난 굵은면을 좋아하지 않음 🥲
⠀
앞으로 남은생은 굵은면으로
소중한 한끼 낭비하지말아야지 했지만
인생이 내 의지대로 굴러가는게 아니잖음
⠀
그래서 칼국수집가면 나의 타협점은
콩칼국수 들깨칼국수인데
손큰칼국수의 들깨칼국수는
직접 맹그신 들깨라 꼬숩꼬숩 😍❤️
수제비는 얄푸리해서 호롤롤로 잘넘어간다😋
⠀

#얇은면이좋아
#손큰칼국수
#들깨칼국수
#수제비
#연동시장"
,,marozzangmarket,3일 전,2021-07-31T14:34:33.000Z,2021년 7월 31일,"힝~이 집 수제비 넘 맛있어😭👍

#털레기수제비 #수제비 #수제비맛집 #맛있다 #오늘뭐먹지 #먹방 #냠냠 #된장수제비 #시래기털레기"
,,matdori_young,7월 11일,2021-07-11T13:53:03.000Z,2021년 7월 11일,"#소문난손칼국수 #냄비우동 #수제비

국물먹을때마다 크 쿄 캬 안멈춰져서 그냥 계속 크쿄캬 했다"
해운대 마린시티,https://www.instagram.com/explore/locations/214836212/,simplyk_hyemi,6월 28일,2021-06-28T12:01:30.000Z,2021년 6월 28일,".
#수제비반죽 해서..
하룻밤 숙성 해 두고-
담날 정성방이
현란한 손동작으로
#수제비 뜨는 중😅
-
매우 쫀득쫀득,
아주 맛있음! ㅎㅎ
.
.
.
.
.
.
#탄수화물중독
#감자요리
#한식
#반죽놀이
#먹방 #먹스타그램
#우리집밥상
#집밥 #레시피
#부산맛집 #해운대맛집
#맛집추천
#koreanfood
#noodles
#韓国グルメ
#韓国料理
#おうちご飯"
,,yeji_t2022,7월 5일,2021-07-05T13:21:24.000Z,2021년 7월 5일,"오늘 비가 와서 수제비 드디어 해먹었어요,, 히히
손이 큰 저는 반죽을 많이 해서 내일 점심은 김치수제비에요 하하
그래두 쫀득쫀득 맛있게 먹었어용💕
비오는날도 긍정적으로 보내는 방법 = 맛있는거 먹기
.
#비오는날 #비 #수제비 #쫀득 #쫀득쫀득 #맛있다 #먹방 #좋반 #좋아요반사 #좋아요 #팔로우 #고시생 #힐링 #먹스타그램"
,,i_am_ninigo,1일 전,2021-08-02T11:46:20.000Z,2021년 8월 2일,"🥔꼬소한 감자 넣은 수제비🥔
같은 동에 사는 시호 친구네가 놀러왔어요~
저번에 강원도 감자 왕창 주셨는데
감자샐러드도 해먹고 남은걸로 감자 넣고 수제비해서
점심이랑 저녁에 두 번 먹었어요ㅋㅋㅋㅋㅋ
제가 원래 뭐 하나에 꽂히면 질릴때까지 먹거든요
이번엔 수제비에 꽂혔어요😅
아침에 시호 일어났을때 후다닥 반죽 해놓고
시호 낮잠 자는 시간에 저희 집에 놀러왔는데
냉장고에서 숙성해놔서 그런지 오늘 반죽 쫭👍🏼
⠀ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀ ⠀ ⠀⠀
간만에 먹고싶었던 수제비라 그런지
제가 먹어도 너무 잘된거있죠 뿌듯😉
⠀ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀ ⠀⠀
오늘 비도 오락가락하고 수제비 딱이었어요~
내일은 엄마 오시는데 비가 오락가락하면
파전이랑 수제비랑ㅋㅋ해먹으려고 하는데
뭐가 나을까요ㅋㅋㅋ수제비킬러같네요ㅋㅋㅋ
⠀ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀ ⠀⠀
#수제비#수제수제비#감자수제비
#점심#저녁#수제비로통일#오늘#날씨에#딱
#비나#와장창#쏟아져라..#파전먹게#🤣"
,,eunyou_hunimoms2,3분 전,2021-08-04T06:18:17.000Z,2021년 8월 4일,"2021.08.04
이 더운날 나는 왜 수제비가 하고싶었을까
저녁에는 꼭 냉면시켜먹을테다!ㅋㅋㅋ
#7살5살_훈후형제 #점심식사 #유아식 #유아반찬 #어린이반찬 #어린이메뉴
#역시수제비는손반죽_쫄깃작렬 #수제비"
