location_info,location_href,upload_id,date_text,date_time,date_title,main_text
성신여대 어딘가에서,https://www.instagram.com/explore/locations/402845792/,food_writer_jw,5일 전,2021-07-30T15:23:15.000Z,2021년 7월 31일,".
선화슈퍼가맥
치즈 계란말이 5,000원
찰 순대 3,000원

가맥은 [가게 맥주]의 줄임말로
낮에는 동네 슈퍼,
밤에는 맥주집으로 변한다.
1980년대 전라북도에서 시작된
독특한 문화로 서울에도 몇 군데 가맥집이 자리 잡고 있다.

선화슈퍼는 슈퍼 가판대를 한쪽으로 몰아두고 은쟁반 같은 옛날 테이블을 깔아둔다.
한쪽 주방에서는 재빠르게 낼 수 있는
분식 메뉴들이 바쁘게 준비되고 있다.

물론 가판대의 물품들도 계산만 하면 가져다 먹을 수 있다.

🔅찰순대
정말 별거 아닌 평범한 순대지만,
꼭 시켜 먹게 된다.
당면순대에 돼지 부속, 다진 청양고추를 얹어서 내어주시는데
예상보다 젓가락이 많이 향하는 메뉴이다.

보통 순대는 포장으로 먹는 경우가 많은데
막 썰어낸 따뜻하고 촉촉한 순대라 그런지
훨씬 더 맛있게 느껴진다.

🔅치즈 계란말이
술집 메뉴에 치즈 계란말이가 있는 걸 보고서 그냥 지나친 적이 한번도 없다. 그야말로 완벽한 단백질과 지방의 조합.
고열량, 고영양 식품으로 체육인들의 필수 메뉴이다.

크기는 뚱뚱한 김밥 사이즈 정도 되며 이 또한 따뜻할 때 먹어야 그 진가를 제대로 발휘한다.

🔅짜파게티
짜파게티에 청양고추, 고춧가루, 트러플 오일을 뿌려주시는 나름 호화 짜파게티.

탄단지를 맞추기 위해 삶은 계란 3개를 시켰으나, 삶은 계란이 없다며 프라이 3개를 해서 올려주셨다.

트러플 오일은 서빙하시면서 직접 눈앞에서 뿌려주는데,
사실 맛보다는 기분 좋은 퍼포먼스 정도로 생각하면 된다.

선화가맥, 한 번도 안가본 사람은 있어도, 한 번 가본 사람은 없는 매력적인 가맥집!
옛날 감성과 저렴한 가격으로 누구나 만족스럽게 먹고 나올 수 있는 바로 그 집.
주머니 가벼운 대학생들에게 강력하게 추천한다."
울산,https://www.instagram.com/explore/locations/335485870/,nanheemang,7월 22일,2021-07-21T15:19:21.000Z,2021년 7월 22일,"울산에서 순대를 먹은 만화🧂

지역마다 찍어 먹는 소스가 다르다고 하더라고요. 초장..! 간장..!🧐대박!!

저는 소금이랑 쌈장이 잘 맞는 것 같은데 여러분은 어떠세용?~~

#울산 #출장끝 #순대 #울산젊음의거리 #혼밥 #울산중구 #인스타툰 #난희만화"
농가순대국,https://www.instagram.com/explore/locations/284457394994871/,mukgiyoyo,7월 25일,2021-07-25T04:26:04.000Z,2021년 7월 25일,"🌸농가순대국
☘️모듬순대(23.)
☘️순대국(7.)

나랑 입맛이 비슷하신 것 같은 비터팬사마(@bitterpan_i )의 피드에 올라온 을지로 순대집! 참을 수 없어서 득달같이 방문해따🥰

을지로 타케리아 스탠 옆에 조그맣게 자리한 농가순대국! 모듬순대 소자에 소맥 당연히 주문💕💕 사진처럼 정말 다양한 부위가 골고루 나온다. 온도감이 조금 낮아서 함께 내어 주시는 얼큰한 국물에 살짝 담궈먹으면 조음👍 잡내 하나 없이 부드럽게 잘 삶아진 머릿고기며 허파 간이 넘 취저🧡 일행은 간이 진짜 맛있다고 했는데 부드럽고 녹진하고 달큰한 게 남의 간은 왜 맛있는지 멀라... 전생에 구미호였나😏😏

술쟁이는 순대국이 정말 좋았는데, 팔팔 끓어 나오는 진하디 진한 국물이 한입 딱 뜨자마자 뭐지 순대국인데 술안주다?🤣🤣 한입에 한잔... 국물이 정말 진하고 건더기도 실한데다가 간도 딱 맞춰 나와서 나무랄 게 없는 순대국이었다🤭 담에는 아예 식사로 순대국만 가볍게(?) 조져도 될 것 같은 기분!

바로 옆에 타케리아스탠이 있어서 멕시코풍 돼지고기로 1차 하고 농가순대국에서 코리안 돼지고기로 2차에 만취각😵‍💫😵‍💫"
산수갑산,https://www.instagram.com/explore/locations/1018993224/,coemija73,1일 전,2021-08-03T12:02:35.000Z,2021년 8월 3일,"네임드 을지로 순대 노포, #산수갑산 🐖

#명동 #을지로 #명동맛집 #을지로맛집 #순대 #순대국밥 #대창순대 #맛집탐방 #맛집스타그램 #먹스타그램 #먹스타그램맞팔 #먹팔 #먹팔환영 #먹팔맞팔 #선팔 #선팔하면맞팔 #맞팔해요 #맞팔해요우리 #소통 #일상 #소통스타그램 #맛집추천"
반포역 3번출구 30년전통 즉석 떡볶이 미소의집,https://www.instagram.com/explore/locations/259410071/3-30/,summerlytaste,2일 전,2021-08-02T13:23:03.000Z,2021년 8월 2일,"순대튀김에 하트뿅뿅해서 넘나 가고 싶었던 곳 드디어 갔다! 걸쭉하게 졸아든 국물에 퐁퐁 찍어먹으니 세상 행복. 생각지 못한 서프라이즈는 볶음밥. 볶음밥이 약간 미쳤. 밥알이 살아있더라. 😘 떡볶이는 보이는 것보다 매우 덜 자극적임.

또 먹고 싶은데… 나 여름에 또 먹을 자신 있을까. 불 앞에서 끓여야되는데 에어콘 없음 😇😇 너무 더워서, 국물 먹고 볶는 밥 사랑하는 내가 볶음밥 먹지 말고 갈까라는 고민까지 할 정도였으니. 여름이 끝나기전에 또 가고싶어지면 전 포장하렵니다. #이미또먹고싶긴해 #미소의집"
,,seckjun_2,7월 9일,2021-07-09T07:22:17.000Z,2021년 7월 9일,간만에 순대 냐미냐미
범일분식,https://www.instagram.com/explore/locations/151478110/,mukboeun,2일 전,2021-08-02T12:13:36.000Z,2021년 8월 2일,"분식집으로 위장한 제주도 순대국집이예요
들깨 가득 들어가서 걸쭉하고 꼬소한게 해장으로 제격입니다 ! !

서귀포📍#범일분식

평소 분식집에서 자주 먹었던 순대랑은 조금 다른 곳이예요
당면보다 피가 더 가득 들어가서 꾸덕꾸덕하고 찐한맛이예요
들깨맛이 찐하고 꼬소합니당~~거기다 얼큰해서 해장으로 딱👏🏻

궁금해서 막창 순대도 먹었눈데 요것도 넘 마싯어요ㅜ
막창안에 순대를 넣은거라 식감이 아쥬 쫄깃쫄깃해요🐷

여기는 진쨔 해장으로 방문하기 좋은거같아요
전날 과음한 저에게 한줄기의 축복,,,이었다고 해야하나🥺

📍위치 제주 서귀포시 남원읍 태위로 658 (주차가능)
⏰영업시간 오전 9시부터 17시까지!!
💵가격 순대백반_7,000원 순대한접시_10,000원

#보은_제주도
#제주도 #제주맛집 #제주도맛집 #제주도여행
#서귀포맛집 #순대 #순대국밥 #해장국 #노포맛집 #노포
#먹스타그램 #애월맛집 #우도맛집 #들깨순대국
#국밥맛집 #야식 #서귀포시맛집 #제주시맛집
#koreanfood #koreanfoodlover"
건대입구역,https://www.instagram.com/explore/locations/262329219/,0seoneun0,7일 전,2021-07-28T08:40:42.000Z,2021년 7월 28일,"21. 7.28  수 #뚱스맛집 _건대 🎈광고
#우리할매떡볶이 #건대떡볶이맛집
ㆍ
뚱하~ 🙃
더워도 너무 덥네요.
이 더위 뚫고  ▶️입짧은햇님이 인생떡볶이◀️라고 네이버실검 1위 찍었던 우리할매떡볶이 포장해왔어요.
(사진 찍고 포장해왔어요)
ㆍ
🌶요즘 찾아볼수 없는 옛날 떡볶이
🌶가성비 좋은 학교앞 추억의 떡볶이
ㆍ
옛날 학교앞 할머니가 해주시던 쫜득한 식감과 매콤한 떡볶이 기억하세요? 우리할매떡볶이는 옛날떡볶이 전문점으로 ▪️통가래떡의 쫄깃함과 ▪️중독되는 매콤한 그시절 그맛이예요.
ㆍ
떡볶이도 맛있지만 🦑통오징어튀김 요거 요물이예요~~ 
오징어 한마리를 통째로 튀겨주는데 완존 맥주땡겨요~
ㆍ
오늘밤 옛날 추억과 함께 매콤한 떡볶이에 맥주한잔 어떠세요?
ㆍ
▪️가래떡세트 12.0
▪️통오징어튀김 7.0
▪️핫도그 1.0
ㆍ
🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️
🚩우리할매떡볶이_건대
▪️서울 광진구 아차산로 29길 28 1층
▪️02 499 2055
▪️11:00~21:00
▪️포장ㆍ배달
🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️🔸️

ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
#건대떡볶이#건대맛집#건대입구역맛집#건대입구맛집#쌀떡볶이#가래떡떡볶이#떡볶이추천#떡볶이맛집#떡볶이#순대#오징어튀김#야식추천#간식#저녁밥상#인스타푸드#맛집스타그램#오늘뭐먹지#서울맛집#전농동맛집#성신여대맛집#집밥스타그램#푸드스타그램#분식맛집#홈쿡스타그램#야식스타그램#요리스타그램#분식스타그램"
,,spring_kbm,7월 20일,2021-07-20T02:35:37.000Z,2021년 7월 20일,"오늘은 보호 당하고 싶은 날.
오늘은 꽃받고 싶은 날.
그럼 머하노 ... 분식집 멜라닌그릇각.
오늘 더 #잘생쁨
뇸뇸뇸.🍕🍕.

#ootd#selfie#selca#fashion#daily#dailylook#거울샷#잘생쁨#나날이발전중#직장인코디#원피스코디#여름원피스#여름#출근길#멜라닌그릇룩#배고팡"
,,soondae_pick,3분 전,2021-08-05T03:48:04.000Z,2021년 8월 5일,"조리; 선인장이 맛있다옹?

조리랑 순대랑 예방접종맞고 카페가서 선인장 씹어드심;; 아...집사가 아까는 인장이들을 순대고 조리고 다 씹어드시네요;; 엄빠의 다급한 목소리는 저만 듣는걸로 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ엄빠한테 연행됨 ㅋㅋㅋㅋ

#조리냐옹#순대냐옹#어쩌다집사#순대#미묘#코숏#코숏고등어#코숏고등어태비#오늘도순대순대해#니가좋으면나도좋아"
