location_info,location_href,upload_id,date_text,date_time,date_title,main_text
부산의중심 서면,https://www.instagram.com/explore/locations/236865906/,hee.ya_____,6월 22일,2021-06-22T09:31:32.000Z,2021년 6월 22일,"⠀
⠀
오늘따라 고기가 많은 느낌👍🏻
⠀
다이어트중이라
⠀
공기밥 한개 더는 참고,,
사리 한개만 추가해서 싹~비우기!!
⠀
국밥은 최애다 증말💚
⠀
⠀
⠀
#점심식사
#이열치열
#입천장데일정도로
#뜨거운거좋아
#고기가득내장가득
#모듬국밥
#집근처
#장모돼지국밥"
농가순대국,https://www.instagram.com/explore/locations/284457394994871/,jytour,5월 8일,2021-05-08T00:38:15.000Z,2021년 5월 8일,"충무로/을지로에서 꼭 가봐야 하는 순대국집!
명보극장 뒷골목에 보석처럼 숨어있는 순대 맛집!!
농가순대국 을 소개합니다!

1.우리집은 머릿고기 전문이야! ☺️
사장님께서 자신있게 말씀하실 정도로, 고소한맛과 쫀득한 맛이 매우 수준급인 머릿고기 들어간 모듬순대는 꼭 맛봐야 할 메뉴!!

2.우리집 국물이 참 좋지? 😎
국물 좋아하는 소주인들에게
#과음주의
꼭 기억하고 주문해야 하는 메뉴!!
“모듬전골” 마성의 진한 감자탕 국물같은 매력에 나도 모르게 소주잔 부딪히게 되는 매력!!

심지어 국물은 리필도 해주시니, 맘 놓고 소주병 세우라고 하시는 사장님의 배려와 사랑이 그득한 메뉴!!

아참! 마지막에 꼭 라면사리 추가! 잊지 마세요!! 🤗🤗🤗

산수갑산 너무 좋지만, 웨이팅과 맑은 국물이 아쉬운 분이시라면..
을지로/충무로에서는 탑클라스 순대집 중 한곳이니!
꼭 방문 해 보시길 추천 드립니다!

#농가순대국
주소: 중구 충무로4길 5
소주잔:🥃🥃 2개

#jytour #jy투어 #충무로소주잔가이드 #순대국밥"
,,cheez__z,7월 12일,2021-07-12T08:25:40.000Z,2021년 7월 12일,"대전에서 순대 국밥맛집을
물어보신다면 누구나 이 집을 외칠 거 같은 오문창순대국밥✔️
⠀
특으로 주문해도 6500원으로 저렴한 금액인데 건더기가 푸짐
해도 이렇게 푸짐한 곳은 처음 봅니다?
양념 아무것도 추가 안한 국물은 찐하면서 깔끔한 스타일이라
그냥 먹어도 맛있는 편인데 이 집의 시그니처 양념이라고 할 수
있는 대파 무침을 추가해주면 감칠맛이 더 확- 사는 너낌⭐️
내장들이 다 쫄깃한 편이고 어떠한 내장을 먹어도 잡내가 1도
안나서 좋더라구여∠( ᐛ 」∠)＿ 말아져 나오는 국밥보다 따로
국밥을 좋아하는 편인데도 먹는 내내 만족쓰.

모둠순대도 10,000원에 순대부터 간, 허파, 염통, 오소리감투
등 양 제대로 푸짐한 게 가성비 좔좔🌊흐르는 메뉴네요?
5분 정도 찐 후 먹는 거라 더 따뜻하게 먹을 수 있어서 좋았고
순대도 통통하고, 내장들도 다 맛있어서 아침부터 소주랑 순삭
해버렸네여٩( ᐛ )و♥️
⠀
가격도 저렴하고 맛도 좋은 게 다음에는 국밥만큼 인기 많아 보
이던 미니족발을 꼭 먹어볼 예정😉
.
.
.
#순대국밥
#오문창순대국밥 #대전맛집 #치즈_대전"
,,skpeter27,1일 전,2021-08-04T10:01:30.000Z,2021년 8월 4일,
,,foodie.mmm,7월 8일,2021-07-08T02:21:23.000Z,2021년 7월 8일,#맛집#청와옥#순대국밥#순대국#먹스타그램#맛스타그램#푸드스타그램#먹방#맛방#존맛#JMT#먹부림#미식#미식가
황성집,https://www.instagram.com/explore/locations/1860358130843747/,sehyeokspeare,7월 5일,2021-07-05T11:10:00.000Z,2021년 7월 5일,"휴가 후 피부재생엔 남의 오장육부 만한 것도 없다 라떼는 탈피도 하고 그랬다
#황성집 #모듬순대 #순대국밥 #파충류"
화목 순대국,https://www.instagram.com/explore/locations/2005932/,hojun1000,7월 3일,2021-07-03T14:13:03.000Z,2021년 7월 3일,"제가 순대와 머리고기를 참 좋아하는데요. 개인적으로는 돈코츠 국물 스타일의 진하고 뽀얀 국물의 순대국밥을 좋아합니다. 순대국빕을 먹을때는 항상 머리고기만 넣어 먹습니다. 약간의 부산의 돼지국밥 스타일이죠. 광화문에서 알바(?)를 시작하면서 해장할 곳을 엄청 찾아다녔는데 드디어 마음에 드는 곳을 찾았습니다. 4시즌호텔 뒤에 위치한 화목순대국입니다. 빨간(벌건)국물에 기름 둥둥 떠 있는 비호감 비주얼의 국물입니다. 마늘 고추 콤보 대신 대파 고추 콤보를 사이드로 주고 깍두기만 줍니다. 밥은 토렴해서 나오고 따로도 주문 가능합니다. 같이 일하는 알바생들 따라 오기는 했는데 처음 비주얼은 진짜 별로였어요. 기름 둥둥 떠 있는 국물 한 숟가락 떠 먹는 순간 완전 매력에 빠져 버렸어요. 이 기름에 짬뽕 불맛 같은 복합적인 맛이 배여 있습니다. 마치 고추기름인데 한층 업그레이드된 고추기름 느낌이에요. 감탄사를 수십번 날리고 정신없이 먹다보니 완탕해버렸어요. 오늘같이 비오는날 빨간뚜껑은 거들기만 했습니다.
#비또라이 #비또라이맛집 #해장술 #순대국밥 #해장하러가서꽐라되는곳 #해장하러가서술더먹고오는집 #광화문해장국 #해장국맛집"
,,colorfulsundays,7월 17일,2021-07-17T06:23:34.000Z,2021년 7월 17일,"❛협찬[#정짓간 #돼지국밥 #순대국밥]
여긴 낸시택배맛집 2탄에 들어갈거에요 (스포잼)
저번에 먹고 너무맛있어가꼬 갬동 잔뜩받고
🤗두팔벌려 재협찬 받았습니다ㅋㅋ
⠀
돼지국밥에 들어있는 고기양이 말이죠
진심 다른집의 최소 3배는 되는거같아요 👀
근데 가격은 7,000원......👏🏼
고기도 너무 부드럽고 맛있어요!
⠀
순대국에는 #토종순대 한줄로 모자라
고기도 ㅋㅋㅋㅋ 여기도 또 많이도 들어있어요
다른집 돼지국밥에 들어있는 고기양보다도 많은듯?
순대국 가격은 7,500원…..❤️‍🔥
⠀
국내산 통사골로 48시간 고아 낸 보양국물이에요
국물이 정말 뽀얗고 진하고 맛있어요! 👍🏼
국물양도 원래는 많은데
사진찍느라 국물은 많이 덜어놓은 상태에요!
⠀
이건 진짜 1인분이라고 할수 없는 양! 👏🏼👏🏼
양만 푸짐한게 아니라
국물도 진하고
고기도 정말 연하고 맛있구요 !
순대도 탱탱하니 맛있구
서비스로 주시는 왕만두까지 완전 완전 실해요
⠀
⠀
냉동실에 쟁여놓으면 한끼떼우기 정말 편해요!!!
날도 덥고 기운도 없는데
간편하지만 맛있고 든든한 한끼로
정짓간 돼지국밥 & 순대국밥 추천합니다!
✅ 구매는 @gukbap_busan
⠀
이제 #배달의민족 어플 속
#배민전국별미 에서도 판매중이시네요 😉
⠀
⠀
⠀
#부산맛집 #택배맛집 #순대국맛집 #돼지국밥맛집 #부산돼지국밥
⠀
⠀
⠀"
합천국밥집,https://www.instagram.com/explore/locations/5266650/,___jinho__,5월 14일,2021-05-14T09:00:23.000Z,2021년 5월 14일,"#합천국밥집
부산에서 맑은 돼지국밥하면 여기다.
육수가 맑디 맑지만, 생각보다 깊은 국물이 인상적이다😌
머릿고기, 내장, 순대가 든든하게 들어있어 한끼에 그만이다☺️
반찬도 하나하나 손이 다가고, 국물과 궁합이 좋다.
곧 허영만의 백반기행에 나올 예정이라 더더욱 웨이팅이 많아질듯하다.
무튼 이 집 참 잘해😎
.
.
.
.
.
.
#부산 #용호동 #이기대 #부산맛집 #용호동맛집 #허영만백반기행 #돼지국밥 #돼지국밥맛집 #순대국밥 #수백 #돼지곰탕 #부산여행 #소주 #반주 #해장 #온더테이블 #백반 #점심메뉴 #저녁메뉴"
옛날식당,https://www.instagram.com/explore/locations/1692619377702542/,notes_of_xx,5분 전,2021-08-05T11:10:15.000Z,2021년 8월 5일,"2021.06.12
#순대국
#순대국밥
#생선구이
#아바이순대마을
#아바이순대마을맛집
#속초아바이순대맛집
#속초생선구이
#속초생선구이맛집
#아바이옛날식당
#속초옛날식당
#속초맛집"
