location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,violet_myung.jm,6월 23일,2021-06-23T14:25:59.000Z,2021년 6월 23일,"#협찬 #광고 #바이올렛키친💕

내장러버 다 모여라👻
오늘은 퇴근하고 저녁대신 야식으로 문현한우내장볶음이에요😀
밥먹을 시간이 없어서 저녁을 못먹었드아😭

하지만 집에와서 간편하게 휘리릭
불행중 다행?!이죠...🤩

기름에 내장볶볶하다가 양념 야채 순대 다 넣고 또 볶볶
당면넣고 쉐킷쉐킷~~
마지막 깻잎 토핑으로 뿌리기😉

저는 조금매움으로 선택했는데도 상당히 매웠어요🤭
신라면보다 조금 매운정도?!
하지만 맛있게 맵다는 거...❤️

덕분에 맛있게 간편하게 야식 잘 먹었습니다😋

✅6월 30일까지 29% 할인하여
11,900원에 구매하실 수 있는 이벤트 중이라고하니
저렴한 가격에 만나보세요😆

구매문의➡️ @gobchang_munhyun

#문현한우내장볶음 #내장러버 #내장볶음 #한우내장볶음 #순대볶음 #야식 #야식스타그램 #간식 #간식스타그램"
,,claire_go_go,6월 12일,2021-06-12T06:05:56.000Z,2021년 6월 12일,"#클레어테이블 #협찬
#주말메뉴

큰맘할매 순대국의 6번째 리뷰
주말이라 할매순대볶음, 수육국밥 먹어봤어요

학창시절 신림동 순대타운에서
친구들과 먹는 순대볶음은
지금도 생각 날 만큼 참 좋아하지요

큰맘할매 메뉴에 순대볶음이 있어
어찌나 반갑던지 ㅎ 바로 주문
뜨끈하게 국물도 먹고 싶어
수육국밥 함께 주문했어요 😊

철판에 매콤한 양념과
야채, 당면, 순대 볶아
들깨가루 듬뿍 뿌리니
옛날 생각나네요 ㅎ

수육국밥은 건더기가 듬뿍
국물은 맑은 갈비탕과 뽀얀 순대국 중간 정도로
깔끔하고 넘 개운해요

술을 부르는 메뉴들
주말메뉴로 끝장이예요 ㅎ


🛒 @bigheart__official


🎉 6월 배달앱프로모션
☑️요기요 주문시
👉매일매일 전메뉴 2,000원 할인

☑️배달의민족 주문시
👉목,금,토,일 3,000원 할인







#큰맘할매순대국 #큰맘서포터즈 #순대국맛집 #배달맛집추천 #순대국배달 #큰맘할매순대볶음 #할매순대볶음 #순대볶음 #큰맘할매수육국밥 #수육국밥 #배달음식 #배달메뉴추천 #국밥도시락 #순대국추천"
Jeju,https://www.instagram.com/explore/locations/236917762/jeju/,zzangyeo,6월 3일,2021-06-03T13:02:54.000Z,2021년 6월 3일,"⭐️제주순대맛집 남주식품 밀키트⭐️
아니 내 지인이 파는거긴한데 진짜 너무 맛있음
재료 자체가 신선하고 마늘민족만큼 마늘도 짱짱하게들어갔고
들깨 많이 들어가서 집에서도 순대볶음집 맛 그대로 재현 가능합니다
.
물론 저는 너무 맛있어서 밥까지 볶아가지고 볶음밥도 야무지게 먹었어요
증말 추천하니까 다들 남주식품 문의 ㄱ @nj_soondae
#남주식품 #밀키트 #순대볶음 #제주엔 #들깨순대볶음 #제주순대맛집"
신림동순대타운,https://www.instagram.com/explore/locations/787960/,curious_mouth,6월 18일,2021-06-18T01:58:15.000Z,2021년 6월 18일,"😝이제서야 맛본 나 자신 신, 반성해😝

몇 달 전부터, 친구의 추천으로
함께 가게 된 신림 백순대타운
빨간순대볶음만 먹어봐서
과연 맛이 있을까 반신반의 했는데
와... 빨간 순대곱창볶음보다 더 맛있다😭

친구의 표현을 빌어 설명하자면
“토마토 파스타만 먹다가 처음 오일 파스타를
먹었을 때의 충격적인 맛있음!” 이다💜
이래서 사람들이 백순대 백순대 하는거구나..

위치는 양지순대타운 204호 ‘호남’집
마늘기름이 코팅 된 백순대 맛이 아주 기냥 죽여준다👍
-

✔어디?👉 양지순대타운 204호 호남
✔주소?👉 서울 관악구 신림로59길 12 204호
✔무엇?👉 원조백순대 2인분
✔얼마?👉 16,000원(1인)

#궁금쓰_신림
#궁금쓰_한식
#궁금쓰_⭐️⭐️⭐️⭐️⭐️

-

#신림맛집 #신림동맛집 #신림맛집 #많관부#맫몬 #백순대 #신림백순대 #양지순대타운 #순대타운 #백순대볶음 #백순대맛집 #순대볶음 #백순대맛집 #순대볶음맛집 #신림맛집 #노포감성 #먹스타그램 #소통 #신림동 #찐맛집 #노포 #신림 #신림역 #배달맛집 #노포맛집 #일상"
,,with_eat_,6월 9일,2021-06-09T13:05:46.000Z,2021년 6월 9일,"#순대 #순대볶음 #집밥 #집밥스타그램 #홈쿡

자주 업로드 안한탓에 오늘은 게시글 2개를 올려봐요..🤍 (속닥)
이시간때쯤 딱 배가 고파지죠 ㅎㅎ
#야식 에 최고인 순대보끔 사진 투척하고 갑니다.. 총총🍀❤️"
,,hawhaw7,6월 3일,2021-06-03T08:23:34.000Z,2021년 6월 3일,"비오는 날은 방구석에 앉아서 배달음식 시켜 먹는게 짱 편하징🛵ㅋㅋ
배달웹 평도 좋고 무배라 혹시나 하는 맘에 시켜봤는데 어우!! 순대곱창 좋아하는 분들은 드셔봐욤.
백순대랑 양념순대곱 시켰는데 각각 9,900원! 근데 양이 디따 많아!!👍 둘이서 1개만 시켜도 충분히 먹겠어요‼️
혹시 모자를 까봐 제육볶음, 곤드레나물밥 같이 먹으려구 준비했는데 순대곱창 먹느라 제육볶음은 뒷전ㅎㅎ
글고 여기 간 싱싱한지 잡내가 하나뚜 안나요. 뻑뻑해서 평소 간 잘 안먹는데 여기껀 살살 녹드라구요. 서로 먹겠다고 난리였을 정도^^
양념순대는 살짝 기름기가 많아서 쫌 그랬지만.. 뭐 원래 그런거니ㅎ 의외로 빽순대가 넘 괜찮아서 추천!!❣️식으면 후라팬에 당면 빠삭하게 굽굽함 더 맛있엉😍
점바점 차이는 모르지만 울동네는 완존 호!
체인이던데 근처 사시는 분들은 드셔보세요

.
.
.
.
#양념순대곱창볶음#백순대곱창볶음#양혜자👍#순대싸롱#쿠팡이츠#백순대#양념곱창볶음#비오는날은배달음식이지🏍
#내가먹어보고맛있어서추천"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,cooooool_life,6월 28일,2021-06-28T10:38:25.000Z,2021년 6월 28일,"협찬. ⭕️문현한우내장볶음⭕️ 역시 믿고 먹는 문현 시리즈🧡 순대 내장 볶음도 굿‼️😋💕👍

🔴 문현한우내장볶음 🔴

▫️지금 문현한우내장볶음 29%할인해서 11,900원이라고 해요😍💛💛

▫️순대와 내장을 볶고 싱싱한 채소를 볶아주면 식감도 좋고 쫄깃한 순대와 내장을 즐길 수 있어요❤️❤️💛😋

▫️저는 맵찔이라 기본맛을 먹는데 양념이 볶음에 착착 감겨서 너무 맛이 있었어요😛🧡🧡

❤️ 역시 믿먹 문현 시리즈 주기적으로 수혈하고 있어요😛‼️

@gobchang_munhyun

#문현한우내장볶음 #순대볶음 #내장볶음 #순대 #내장 #밀키트 #혼술 #홈쿡 #먹팔 #먹스타맞팔 #소주안주 #안주추천"
,,_agarifighter_,5월 7일,2021-05-07T02:00:03.000Z,2021년 5월 7일,"#성북동맛집#이바돈

매주 목요일마다 성북1 치안센터 건너편에서
순대곱창 만드는 냄새에 사람들 발길 멈추게 하는
왕십리곱창트럭을 오랜만에 다녀왔습니다

13000원에 혜자스럽게 주시는 순대곱창은
솔직히 이 동네 곱창집들보다 가성비 좋고
맛도 있어서 한번씩 생각나는 집입니다

곱창도 손질 잘해서 잡내 전혀 없고
순대도 정말 양껏 넣어주시기 때문에
순대 러버에게는 야식으로 최고네요

곱창 보다는 순대와 야채에 양념이 배어 있어서
곱창은 야채랑 함께 드시는걸 추천드립니다

목요일 야식으로 일주일에 한번씩 오는
곱창 트럭에서 순대곱창 포장하셔서
한잔하시면 딱일거 같네요🙏

주소: 서울특별시 성북구 성북로8길 3

#아가리성북동"
,,hellossom,5월 29일,2021-05-29T09:36:00.000Z,2021년 5월 29일,"여보덕에 나 숟가락도 못들어😊
.
.
.
#내남자급발진
#노빠꾸직진남
#낚시가서뭘먹고온건지
#놀이방이동#쇼파옮기기
#매트재배치#걸레질오만번
#하이고행복해라😀
#순대볶음
#옴뇸뇸
#오늘뭐먹지
#먹방
#JMT
#먹스타
#푸드
#음식
#foodie
#밥스타그램
#집밥
#홈쿡
#instaeats
#instafood
#먹스타그램
#다이어트
#일상
#육아
#소통
#foodporn
#foodfi"
,,chwa2ny_,3분 전,2021-08-05T13:33:25.000Z,2021년 8월 5일,"#210805 #촨니식단 D+97
[공복유지:17시간정도]
1. 아점- 다이어트도시락+아보카도1/2+단호박스프+셀렉스200ml
2. 간식- 얼린사과즙 1개
3. 점저- 아빠표 순대볶음+두부1/3+깻잎
4. 간식- 얼린사과즙 1개
5. 간식- 밀크티 1잔(18시 이후)

💧물 3L이상 마시기 ⭕️
⌛️18시 이후 금식 ❌

🍽오랜만에 동생이 시킨 닭가슴살이 다이어트도시락으로 잘 못 와서 ㅋㅋㅋㅋㅋ 회수는 안된다고 하여, 대신 잘 먹고 있음! 오늘 처음 먹어봤는데 맛있어서 아보카도랑 어제 내가 만든 단호박스프도 같이 먹음💙 아빠가 처음으로 만든 #순대볶음 ! 제가 진짜- 진짜진짜 순대를 좋아하거든여.....? 넘 오랜만에 먹어서 눈물😭 양념이 좀 쎈 것 같아서 두부랑 깻잎 더 곁드려서 먹었! 으~~ 존맛탱🤎 넘 더워서 오늘 얼린사과즙을 두개나 먹고,, 18시 이후로 카페에서 잠깐 카페에서 만난 친구와는 디카페인을 팔지않아서 밀크티를 시켜버린,, 아쉽게 18시 이후 금식 실패한 오늘,,,, 이어따,, !

#운심이1기_촨니 #운심이챌린지 🏋🏻‍♀️
#지타촌 #배지타 #다이어트챌린지 #홈트 #운동하는여자 @bae_jita"
