location_info,location_href,upload_id,date_text,date_time,date_title,main_text
몬드리안호텔,https://www.instagram.com/explore/locations/115935733522833/,dragonsik81,6월 8일,2021-06-07T15:14:05.000Z,2021년 6월 8일,"몬드리안 "" TAKA""
아주 만족스럽게~~훌륭한 요리를!!👍👍👍
TAKA의 스키야끼는~~최고다~!👍👍👍

#스키야끼 #몬드리안호텔 #TAKA
#엄지척 #먹스타그램 #맨뚜 #잠수부대"
Kuroya,https://www.instagram.com/explore/locations/1017820857/kuroya/,claiire_lee,2020년 10월 20일,2020-10-20T12:54:59.000Z,2020년 10월 20일,"⭐️일본 요리, japanese food⭐️

가고시마산 와규 스키야끼, 와 녹는다 😭 진심 최고 💜👏
Sukiyaki with kagoshima wagyu, omg super super delicious! Happpyyyyyyyy 😍"
잠실새내역,https://www.instagram.com/explore/locations/399935192/,ms_sikdang,1월 24일,2021-01-24T07:27:06.000Z,2021년 1월 24일,휴무일 오늘은 가족들과 함께 집에서 스키야끼 #집콕스타그램
소길역,https://www.instagram.com/explore/locations/1771454906459473/,ganziwon__,2020년 6월 4일,2020-06-04T13:28:09.000Z,2020년 6월 4일,"6/3 ""제주도 소길 소길역""
아침에 제주도도착해서 이것저것 많이맛보고다니다 하루의마지막을 소길역 이라는 스키야끼 전문점에서 마무리를 했어요
높은언덕에 위치해있고 밤이되니 이가게만 불이켜져있고 좀 음침한게 무섭기도하지만 신기하게도 발걸음이 가게문으로 향하고있더라구요 ㅎㅎ😄
,
문을열고 들어가자마자 다찌에는 사람들이 붐비고있었고 이모님은 여행객인걸 알고있는듯 진짜 동네찐이모들처럼 말씀을낮추시며 ""어 왔어? 여기앉아"" 라며 기분좋게 맞이해주시네요 ㅎㅎ
,
주문을하기전 이모님은 어디서왔냐며 편안한자리를 만들어주셨고 혼자 운영하시는데 손님들과 소통을 너무잘하시더라구요 이모 저는 스키야끼 하나주세요🤭🤭
,
스키야끼구성은 표고버섯 소고기 쑥갓
두부 배추 우동사리 등등 여러가지가들어가있는데 직접만드신 타래 오랜시간끓인육수 긴조하나노유메 사케를 쓰시는거같더라구요???!! 🤤🤤
,
음식이 나오기전 이런저런 이야기를 많이했는데 이모님께선 일본에서 30년정도 사셨다고 얘기를하셨어요 스끼야끼는 많은방법이있는데 일본에서 먹어본 스키야끼중 지금 하고있는 방법이 제일 맛있어서 이비법을 사용하고있다 하시네요 ㅎㅎ
,
🥩스키야끼셋팅이다끝나구 먹으라고하기점까지 건들지말라고 하시며 계란노른자를주시는데 노른자는 200번이상 저어서 먹어야 맛있다네요 ㅎㅎㅎ 야들야들한 소고기에 노른자 푸욱찍어서 한입먹으니 아 진짜맛있더라구요 쑥갓에 고기도싸먹어보고 저두 이런저런 방법 다생각하며 쌈싸먹듯이먹었네요 ㅎㅎ 표고버섯을 굉장히 좋아하는데 많지않은소스에 계속 조리니까 양념이 푹 배어서 너무맛있더라구여
많은 조언 감사드리구 잘먹었습니다🙏
#소길역 #스키야끼 #제주맛집 #간지원제주도"
몬드리안호텔,https://www.instagram.com/explore/locations/115935733522833/,p.super,2020년 8월 27일,2020-08-27T08:30:43.000Z,2020년 8월 27일,"8월의 스키야끼

덜 자극적인 관동풍의 스키야끼

개성있는 관서풍의 키겐도 좋았지만
좀 더 담백하게 즐기고 싶다면 타카다

오마카세의 유행으로 이제 스키야끼를 먹으러가도
차완무시와 츠마미가 나오기 시작했다

분위기와 템포를 맞춰가며, 메인에 도달하게 하는 코스요리가 어떨땐 참 좋은데.. 이렇게 메인이 두드러지는 요리에는 조금 지루한 감이 있다. 입맛을 돋궈서 메인을 살려주고 코스에 스토리를 입히려는 목적이 아니라면, 혹은 그걸 잘 해내지 못할 경우 메인의 감동이 오히려 떨어지기 때문이다

타카는 분명 뭐하나 빠짐없이 맛있고 정성스런 곳이었지만, 스키야끼를 먹고싶을때는 체급차이에도 불구하고 오히려 한남동의 한냄비가 더 먼저 떠오를것 같다

물론 기본기가 탄탄한 곳이니 앞으로 어떻게 코스를 발전시켜 갈지는 기대감이 크다

#이태원 #보광동 #몬드리안호텔 #스키야끼 #타카"
온천집,https://www.instagram.com/explore/locations/101215984722155/,sseeul__,2020년 2월 25일,2020-02-24T23:53:35.000Z,2020년 2월 25일,밥집이 왜 이리 예쁜거야
심야식당텐조,https://www.instagram.com/explore/locations/292270428096616/,j___inho2,4월 12일,2021-04-12T14:10:54.000Z,2021년 4월 12일,"여자친구와 이자카야♥️
.
.
.
#럽스타그램 #먹스타그램 #맛스타그램 #증산 #증산맛집 #심야식당텐조 #이자카야 #마제소바 #마제소바맛집 #스키야키 #스키야끼 #존맛 #존맛탱 #먹스타 #먹스타맞팔 #선팔 #맞팔 #팔로우 #술 #술스타그램 #술집 #술안주 #데이트 #데이트코스 #데이트추천 #맛집 #맛집추천 #맛집스타그램 #북가좌동맛집"
유우,https://www.instagram.com/explore/locations/217741905783464/,cree8associates,2020년 2월 20일,2020-02-19T16:47:22.000Z,2020년 2월 20일,조촐한.. 한잔.. #와규 #스키야끼 #샤브샤브 #와규꽃초밥 #게살크림고로케 #오징어회 #먹방 #먹스타그램 #맛스타그램 #맛집 #이자카야 #유우 #홍대 #연남 #크리에잇
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,sim_____________,2020년 12월 3일,2020-12-03T02:46:47.000Z,2020년 12월 3일,".
#준마카세
-
-
디저트까지 이게 무슨 일....🤭👍🏻
-
그래두 해냈다 마지막까지 완주!!!!!🤗
(소갈비찜에 밥 볶아먹었어야했는데... 하)
-
-
-
배 따땃하고 마음도 따땃하게 만들어준 @univertri
그리고 좋은 멤버들 모두 감사해용👨🏻‍🍳🥂

-
-
#몇번을먹어도 #홈쿡이란게 #키야👍🏻 #즐거웠던날 #좋은사람들과좋은시간"
,,kyungin.cho73,13시간 전,2021-08-23T13:31:01.000Z,2021년 8월 23일,#중국#쑤저우#머선129#갑분폭우#우릴막을수없당#소주중심#STARMALL#SOREKARA-NEO#스키야끼#세이로무시#연어날치알롤#메밀소바#퇴근후일상#사케한잔#냠냠#촵촵#쭉쭉
