location_info,location_href,upload_id,date_text,date_time,date_title,main_text
길목식당,https://www.instagram.com/explore/locations/366549097177289/,hwangh_j,2일 전,2021-08-19T05:00:44.000Z,2021년 8월 19일,"-

조진웅맛집❤
틀림없지👍👍
개운하고 깔끔한매운맛😋
고니추가필수🤙

#길목식당#대연동맛집#대구뽈찜#뽈찜#아구찜#고니#먹방#맛스타그램#먹스타그램#푸드스타그램#인스타푸드#밥도둑#술도둑#부산맛집#맛집투어#조진웅맛집#일상#소통#데일리#푸드#해장#food#instafood#foodstagram#daily"
미사강변신도시,https://www.instagram.com/explore/locations/1024563342/,oijuice,22시간 전,2021-08-21T00:09:54.000Z,2021년 8월 21일,".
룽지애비랑 @roongzinyang
페페애비랑 @beans_yb
아부지 된 건 축하한다만 어쩜 무성생식이니 얘듀라…🥲
낮부터 밤까지 이어지는 끊임없는 수다로 몇년만의 회포를 풀었던 날.

#미미곱창
소기름에 튀겨먹는데 맛이 없을리가..

#해신
손님 박터지는데 맛은 soso

#김미자당진아구찜
룽지애비피셜 외쳐! 갓미자!
여 좀 하네ㅋ

#임뚱보_하남
#임뚱보_미사"
,,weonjong252,2일 전,2021-08-19T09:03:14.000Z,2021년 8월 19일,"#아구찜 해물찜 볶는 남자
#해물찜#아구찜
#맛있는녀석들 #맛집그램
#맛팔선팔환영🙋🙆🙆🙈🙉🙊💕
#장평동맛집
#장평3로7길 33-1 635 4755
#거제맛집100 #맛집인정#맛이쪙
#인스타친구 #선팔환영
#맛팔 #선팔
#선팔맞팔 #선팔은곧맞팔
#맛스타그램 #맛집탐방 #아구찜 해물찜 볶는 남자
#해물찜#아구찜
#맛있는녀석들 #맛집그램
#맛팔선팔환영🙋🙆🙆🙈🙉🙊💕
#장평동맛집
#장평3로7길 33-1 635 4755
#거제맛집100 #맛집인정#맛이쪙
#인스타친구 #선팔환영
#맛팔 #선팔
#선팔맞팔 #선팔은곧맞팔
#맛스타그램 #맛집탐방"
Yeongju,https://www.instagram.com/explore/locations/317228640/yeongju/,jun.eunhee.3,8월 4일,2021-08-04T04:45:12.000Z,2021년 8월 4일,"#아구찜 🐟

어제 재료소진으로 못먹었으니
오늘은 일찌감치 가서 #두공기뚝딱
언제 먹어도 맛있는 #맛집

#우리동네 #맛집 #복돼지아구찜
#만족스러운한끼 하며 #여름휴가중"
부평구청역,https://www.instagram.com/explore/locations/2213149415634032/,waa.wangg,7월 3일,2021-07-03T05:42:29.000Z,2021년 7월 3일,"존맛탱 #부평아구찜맛집 👍

📌#아구199부평구청점
📍부평구청역 7번출구에서 3분거리
📍11:00-00:00

🔥아구찜 중자 19,900원(2-3인분)
🔥쭈꾸미튀김 8,000원
🔥볶음밥 3,000원

부평구청역 주변에 #아구찜맛집 찾으신다면 여기 강추드립다😎 아구찜이라고 하면 너무 비싸다고만 생각이 드는데 저렴한 가격에 배터지게 #아구찜 먹을 수 있어요ㅠㅠ 오동통한 살점을 숙주랑 한입에 😳

쭈꾸미튀김은 무조건무조건 드시길 츄쳔드립니다....⭐️(안먹으면 바보)

남은 양념에 볶음밥해서 먹는거 국룰인거 아시죠? 츄베릎 간만에 배터지게 먹었어요 ㅠㅜ

사장님도 너무 친절하시고 여신지 얼마 안된곳이라 식당도 너무 쾌적합니다🙏🤗

배달도 하신다고 하니 배달의 민족에 [아구199부평구청점]검색⭐️"
오복이해물찜,https://www.instagram.com/explore/locations/101182480/,muk_mungmong,2일 전,2021-08-19T05:53:58.000Z,2021년 8월 19일,"[오복이해물찜]

너무 먹고싶었던 아구찜 드디어 먹었습니다아🥰❤️

요기는 해물찜도 유명한데 이번엔 아구찜으로 ᴘɪᴄᴋ❗️
가격은 조곰 있었지만 이렇게 양이 많은 아구찜은 첨봐여,,,
먹어도 먹어도 줄지 않다니....!

매콤한 소스와 버무러진 콩나물 한움큼에 아구,곤이,떡과 함께 먹으면 환상적🤩💛
아구살 고기부분도 살이 꽉 차서 넘 맛있었어요🤭😭😭

원래 볶음밥까지 마지막에 먹어줘야하는 센스까지 발휘했어야하는데,,,너무 배불러서 먹지 못했다는 슬픈 이야기,,,,,🥺
다음번에 다시 가서 해물찜과 볶음밥 리뷰 꼭 써오겠습니다❤️‍🔥❤️‍🔥

✔️ 아구찜(중) 49,000"
복잡할땐 볶음밥 복잡터지는 머리속,https://www.instagram.com/explore/locations/365901442/,jungsun83,7월 19일,2021-07-19T03:46:25.000Z,2021년 7월 19일,"#경원해물찜
-
볶음밥이 다했네👏👏
역시 마무리는 탄수화물 촵촵😋
-
#부산맛집#창원맛집#양산맛집#맛집#맛집추천#맛집투어#해물찜#아구찜#볶음밥#볶음밥맛집#먹방#먹부림#먹스타그램#맛스타그램#푸드#푸드파이터#푸드스타그램#인스타푸드#일상#데일리#소통#좋아요#daily#food#foodstagram#instafoodinstadaily#istagood#instalike#likesforlike"
일광아구찜,https://www.instagram.com/explore/locations/133580173915577/,5eshi,6월 23일,2021-06-23T02:43:07.000Z,2021년 6월 23일,"요즘 추천받은 아구찜맛집들 다니는데
여기 진짜 찐이네;;;;; 양, 맛 전부 만족‼️
일단 양보고 놀란다 소짜 시켰는데 셋이서 배터져버림
아구가 큼지막한게 살이 많아서 좋았고
양념이 푸짐~해서 좋았음🙆‍♂️
밥이랑도 먹고 감자사리 2개나 비볐는데도 양념이 남을정도임
결과는 대흡족 방아랑 산초 듬뿍 넣었더니 향이 찐한게 좋았다
방아, 산초, 맵기 정할수있으니 취향대로 주문가능
가격도 35,000원이면 괜찮은편🙂
식사시간 피해서 갔는데도 웨이팅했다
주차공간이 턱없이 부족했던점이 살짝 아쉬웠음
기장-일광아구찜"
광안리 수변공원,https://www.instagram.com/explore/locations/268868540/,issue_archive,8월 3일,2021-08-03T03:49:35.000Z,2021년 8월 3일,"어느장단에 맞추라는거야..

출처 : 온라인 커뮤니티

follow please 🙏
----------------
@issue_archive
@zzal_archive
@k_commu_archive
----------------

#배민리뷰 #진상 #진상손님 #아구찜
#콩나물 #악의적 #별점테러 #와이라노
#어느장단 #자진모리장단 #휘모리장단
#자영업이이렇게힘듭니다"
,,cl_papa,11분 전,2021-08-21T22:21:28.000Z,2021년 8월 22일,"#맛집자객 #정관 #배달 #아구찜
갑자기 아삭한것이 당겨서 집근처 아구찜집을 찾다가 발견함
순살/뼈 맵기조절가능 최소가격2만원초반
-싸다아구찜
🌕🌕🌕🌕🌗(4.5/5.0)"
