location_info,location_href,upload_id,date_text,date_time,date_title,main_text
Yongin,https://www.instagram.com/explore/locations/254497398/yongin/,julie_if__,6월 17일,2021-06-16T17:30:30.000Z,2021년 6월 17일,"파스타
.
.
파스타를 밖에서 먹으면 그냥 맛있게 먹는게 아니고
자꾸 뭐 넣었는지 왜인지 뭐인지 꼼꼼하게 보고 먹고
한다🙌
간만에 간 #닐리 칭찬해😘백종원선생님 브랜드가 다 핫플이고 맛집이 되는 이유는 수천가지가 있겠지만👍
일단 맛있음!!😉
TMI
분당에 (분당동? )있는 닐리가 기억에 참 좋았는데
보라동 닐리는 참 별로 였다. 해서 안갔고, 누가 간대두 말렸는데..
오늘 먹은 알리오올리오는 참 맛있었다!
마늘도 많고, 오일소스도 좋았고, 면에 간도 잘 베였고, 식었을땐 좀 짯지만
대중적인 맛이면서 감칠맛도 있는!! 진짜 맛있었다!
역시 음식은 누구랑 먹냐!가 넘나 중요한거😍
#용인맛집#기흥맛집#보라동맛집#보라동핫플#알리오올리오#pasta #pastalover #먹팔#맞팔#소통#먹스타그램#맛스타#일상#용인데이트#파스타맛집#운동중독#근육녀 #취미부자#협찬환영#헬린이#바프#맛집투어#먹으려고운동하는여자#shotoniphone #존맛탱#goodday #면사랑#foodstagram #followforfollowback
.
.
@nilli_bora
맛있어요!
식전빵 맛있어요
피클 맛있어요💛"
,,shinjjang_g1,5월 31일,2021-05-31T03:25:15.000Z,2021년 5월 31일,"#신짱키친 @so_delicious__ __
🦐쉬림프 오일파스타

파스타는 언제 먹어도 맛있쥬~?
올리브유는 엑스트라버진 올리타리아꺼
사용했는데,, 데체코도 좋아요~
면은 데체코 링귀니가 최고인듯!
(화유는 안넣는게 더 맛있습니다..)

✍🏻만드는법
1. 마늘을 편으로 썰어준다
2. 다진마늘도 함께 넣어주면 더 향이 좋다
3. 엑스트라 버진 올리브유를 넣고 마늘을 익힌다
4. 매운고추, 새우, 이태리 파슬리를 넣고 볶는다
5. 치킨스톡을 넣은 면수를 2~3국자 넣는다
6. 면은 알단테로 익혀서 넣어준다
7. 면이 익을때 까지 계속해서 면수를 넣어준다
8. 그릇에 파마산치즈를 갈아서 넣고 파스타를 담아준다
9. 호로러럭 맛있게 먹는다
.
.
#오일파스타 #알리오올리오 #새우오일파스타
#간단한요리 #요리하는남자 #자취음식
#플레이팅 #이쁜그릇 #파마산치즈 #oilpasta
#pastalovers #alioolio #파스타만들기
#파스타그램 #요리영상 #cookingvideos"
,,lovlyvelymily,5월 14일,2021-05-14T03:29:40.000Z,2021년 5월 14일,"바쁜 남편과
오랜만에 도란도란🥂🍽"
,,_mimi_table_,5월 11일,2021-05-11T04:15:56.000Z,2021년 5월 11일,"5월11일 화요일 점심 👩‍🍳
어제에 이어 냉파요리로 해결했어요~
페퍼론치노가 없어서 홍고추와 청양고추 넣었는데 그럭저럭 괜찮네요 😊
#파스타 #오일파스타 #알리오올리오 #부라타치즈샐러드 #부라타치즈 #칵테일토마토 #방울토마토 #가든샐러드 #브런치 #홈브런치 #홈레스토랑"
스위트홈,https://www.instagram.com/explore/locations/1025505619/,814_kryystal,7월 10일,2021-07-10T04:17:19.000Z,2021년 7월 10일,#주말먹방 #알리오올리오 #도미노 #블록버스터4
,,botz___,6월 12일,2021-06-12T12:49:10.000Z,2021년 6월 12일,"#파스타그릇선물받고인증
.
우리큰형의 @itsmiraclej 뜻밖의 파스타그릇 선물에 음식해서 같이먹을 술까지 사오고 여러모로 신났던 주말
.
#오늘은치딩데이
#술은삿는데잔이없어서
#위스키잔에진토닉해먹기
.
.
.
#꿀주말 #플랙스 #알리오올리오 #핸드릭스진 #진토닉 #파스타 #치딩데이 #요린이"
,,__hat______,7월 5일,2021-07-05T12:24:41.000Z,2021년 7월 5일,".
나는 요리젬병,
너는 요리알바 10개월 능력자.
#밥잘해주는착한동생"
온고제,https://www.instagram.com/explore/locations/980914649/,femme_fatale_a,6월 7일,2021-06-07T02:42:24.000Z,2021년 6월 7일,"<한옥에서 pizza 온고재>

열두시 갓 넘은 시간에
대기 번호 37번 ㅎㄷㄷ 😱

웨이팅때문에
식사시간 1시간 30분 제한 당함 🤣

올만에 모여 신나게 수다 떠느라
시간 가는 줄 모르다 퇴장 😆

#한옥에서pizza온고재 #콰트로포르마지오피자 #알리오올리오 #페스카토레 #파스타 #피자 #남양주맛집 #팔당맛집 #맛스타그램 #먹스타그램 #드라이브 #날씨가다했다"
기러기둥지 - Nest of Goose,https://www.instagram.com/explore/locations/147568292569546/-nest-of-goose/,m.sik,4월 2일,2021-04-02T09:49:57.000Z,2021년 4월 2일,"🥂🍾✨
""어디야?"" ""나퇴근중"" ""빨리와 한 잔 하자""

#금요일밤
#친구들과함께"
,,choux10_cherry12,3분 전,2021-07-31T05:44:10.000Z,2021년 7월 31일,"2021.07.08

#파스타 🍝 #시금치파스타 🌱#알리오올리오 #리본파스타

한가지로 통일하자고🤪
슈는 #알리오올리오
채롱이는 #로제파스타

일주일 내내 스캐쥴이 있어서
쉬고 싶었지만,
먹고싶다는건 해줘야지 어떠카겠엉🤪

#12세#10세#남매#아들그램#딸그램#초3#초5#엄마그램
#육아그램#홈카페#홈쿡#집밥#취미#간식#육아휴직"
,,zzung911,19분 전,2021-07-31T05:28:28.000Z,2021년 7월 31일,"아침엔 떡만둣국(사진없넹🌝)
점심엔 알리올리오+고메 미트볼=마시쒕
많이 먹구 대청소해야지☺️
.
#많이먹기 #먹는즐거움 #식도락가 #시멘트도맛있게먹을수이쒀 #입맛돈다 #입터졌다 #언제나 #즐거워 #헤헤헹 #치킨스톡 #알리오올리오 #집밥장슨생 #집밥 #요리는못하지만 #정성밥상 #요리는즐거워"
,,im.1211,20분 전,2021-07-31T05:27:08.000Z,2021년 7월 31일,"ㅡ
알리오올리오 파스타
냉동실에 새우도 추가
맛있는데..
사진찍는 기술이 똥손ㅋㅋㅋ
ㅡ
#주말 #점심 #입심심 #파스타
#알리오올리오
#먹방 #먹스타그램 #맛스타그램
#좋반 #좋아요반사 #좋아요폭탄 #좋아요테러"
,,syjang0326,27분 전,2021-07-31T05:20:12.000Z,2021년 7월 31일,"#닥터로빈 #알리오올리오 매운맛 🌶 #늦은점심
오전에 알차게 힐링하고 출근길에 포장해온 #파스타 🍝
학교안에 있어서 종종 먹었는데
코로나로 못먹다가 포장!
포장은 처음 해봤는데 괜찮은듯 ㅎ

마늘과 올리브 🫒 가 듬뿍 들어 있어 #맛있다 😀

#닥터로빈알리오올리오 매운맛
#먹스타그램 #맛스타그램 #파스타맛집 #닥터로빈이대"
,,hwanginhee_002,29분 전,2021-07-31T05:19:13.000Z,2021년 7월 31일,"2021.07.31

큰애와 막내 먼저 점심 먹이고
회사에 일이 있어서 다녀온 애들아빠
닭개장 데워주고 다 치우고 설거지하고
배수구크리너 뿌리고 따뜻할 물 붓고
마무리~~👏👏👏

쇼파에 앉는 순간
둘째 들어 오면서 점심 안먹었다고...
부랴부랴 좋아하는 파스타 만들어 주었다
오늘 점심만 세번차렸네~~🥰🥰🥰

배수구크리너 망했으~~🤣🤣🤣
한두시간 후 물 내렸어야 했는데 우리 둘째 점심이
더 중요하니까 괜찮아~~😘😘😘

#알리오올리오 #파스타 #오늘점심
#집밥 #홈쿡 #세번째점심
#쿡스타그램 #먹스타그램
#주부스타그램 #요리스타그램
#일상스타그램 #밥상스타그램
#집밥스타그램"
모다아울렛 인천점,https://www.instagram.com/explore/locations/2055528614695589/,daldal_sunju0225,35분 전,2021-07-31T05:12:47.000Z,2021년 7월 31일,".
인천 청라 이태리요리맛집 아마레쿠치나♡

샘킴이 레시피 훔쳐간 파스타집

알리오올리오 마늘식감과 오일의 완벽조합
만조크림파스타 먹자마자 스테이크도 시킬걸 후회
마르게리따피자는 화덕에서 바삭바삭 굽굽
연어아보카도샐러드는 양이 혜자인데
아보카도퓨레와 파프리카드레싱 조합이👍.
.
인천청라맛집 맛집추천해달라고 하면
아묻따 아마레쿠치나로❤.
.
담에 갈땐 안심스테이크 시켜야지😘.
.
#청라맛집#청라파스타#모다아울렛맛집#인천파스타#인천맛집#서구맛집#청라데이트#분위기맛집#인스타감성#파스타맛집#청라와인#청라레스토랑#아마레쿠치나"
,,jjjjiniiio_o,1시간 전,2021-07-31T04:43:38.000Z,2021년 7월 31일,쪄니랑 데이트 💛✨ #광주 #수완지구 #주다 #파스타 #커틀렛 #알리오올리오 #치즈커틀렛 #맛있는점심식사
