location_info,location_href,upload_id,date_text,date_time,date_title,main_text
사직야구장,https://www.instagram.com/explore/locations/243600953/,mokujine,7월 19일,2021-07-19T06:47:44.000Z,2021년 7월 19일,"2021 .07.18 ( #모쿠진 )

안녕하세요 모쿠진 대표 리우진
입니다.

세상살이 빡빡하시죠
제가 맛난 음식 준비중이니

기분 풀다 가십시요
아직 오픈기간은 10여일 정도
남았는데

중간중간 들려 쉬원한 물한잔들
하고 가십시요

그누구도 괜찮습니다

요리 만드는중이면 맛도
보고가셔요

혼자 요리를 만들고 하기에 심심합니다

커피는 아.아 좋아하는데
마다하지 않겠습니다
.
.
.
.
.
.

#사직동술집 #술집 #부산술집 #부산맛집 #사직동맛집 #사직야구장
#야끼소바 #오꼬노미야끼 #철판요리
#스테이크 #라면 #계란말이 #맞팔 #패션 #요리사 #청년창업 #패션 #ootd
#하이볼"
홍대입구역,https://www.instagram.com/explore/locations/242033926/,yunf_ood,1월 4일,2021-01-04T07:31:38.000Z,2021년 1월 4일,"⭐️홍대 우와
해산물 클래식 야끼소바(₩14,500)
우와는 오코노미야끼와 야끼소바 전문점이다.
분위기부터 일단 성공🥰
우와에서 만드는 오코노미야끼는 밀가루 사용 을 안하구 “100% 마” 를 사용하며 3가지의 소스로 맛을낸다고 한다!
야끼소바는 생면을 사용해서 만드는데 정말 안에 재료도 실하구 노른자를 톡 터트려서 면과함께 호로록먹으면 굿굿
하이볼과 궁합도 최고다!!🤤
여기가 한국인지 일본인지😭
일본여행온기분 너무좋다!
일본여행이 그리울때 꼭한번 방문해보길 추천해용❗️
#홍대 #우와"
가로수길 우와 雨蛙,https://www.instagram.com/explore/locations/1870358359942765/,foody.bears,1월 10일,2021-01-10T10:50:28.000Z,2021년 1월 10일,".
신사동 가로수길 오코노미야끼 야끼소바 맛집
우와에 다녀왔어요! 여기 느낌 진짜 굿이에요!
현지 로컬느낌 제대로 납니다! 일식당느낌요!
토마토소스 오코노미야끼와 야끼소바 오더했어요!
일단 철판에서 지글지글 소리가 끝내줍니다. 맛도 굿!
밀가루를 안써서 담백하고 속도 편하게 느껴져서 굿!
하이볼도 느낌주기 위해서 한잔했네요! 맛있는 밤!

📍070-8833-7336
📍서울 강남구 강남대로158길 17
📍매일 12:00-22:00
📍금요일,토요일 12:00-24:00
📍브레이크타임 14:30-17:00

#오코노미야끼 #야끼소바 #가로수길맛집
#가로수길우와 #가로수길이자카야 #오코노미야끼맛집
#야끼소바맛집 #가로수길데이트 #가로수길핫플레이스"
니주마루,https://www.instagram.com/explore/locations/102104431682513/,seungwoo__han,3월 20일,2021-03-20T06:56:01.000Z,2021년 3월 20일,".
—
송파동 니주마루 소금 야끼소바.
사스가.. 레게노.👍🏻
생활의 달인 방영 후 찾아오는 사람이 더욱 많아진 듯.
축하드려요~
예~ 오늘도 맛있게 잘먹었습니다~!😋
—
#송파동맛집 #야끼소바 #니주마루 #존맛탱
#생활의달인 #맛집 #흡입"
"Shibuya, Tokyo",https://www.instagram.com/explore/locations/212984894/shibuya-tokyo/,tiny_lp,2020년 9월 19일,2020-09-19T08:45:23.000Z,2020년 9월 19일,"🍚Tiny LP's Kitchen🍴
今日の#メニュー
#焼きそばパン 🌭
Today’s #menu #yakisobapan
.
.
.
#tiny_lp#tinylp#tinylpkitchen#homemade#japanesefood"
,,magoo_wagoo,3일 전,2021-08-20T13:22:34.000Z,2021년 8월 20일,"일본에서 머근 오꼬노미야끼보다 마싯다;;❤️
-막왁따라 뽀셔야하는 찐텐맛집 #막킷리스트🐷

웨이팅을 세상에서 제일 시러한다는 막왁도 한시간 가까이 웨이팅해서 먹는다는 (주말6시기준) 신촌 타코몽 🔥 대기하는동안 코를 찌르는 미친 JMT향기가 위로해준다구요

오꼬노미야끼(믹스)+타코야끼10개에 2마넌세트랑 야끼우동 요러케 시켜서 생맥쥬 크 🍺 은근 양도 푸짐쓰,,!!

오꼬 촉촉달달고소한 양배추 잔뜩에 믹스로시켜서 속도 알차고 소스의 짭쪼롬한맛이랑 마요맛 여기 조합 어케하길래 일케맛나징 미간뚫고 몸부림까지 치게되는맛 치즈까지 쭉늘어나서ㅠㅠ 👏👏 제 최애여써용 !

야끼우동 우동탱글 짭쪼롬하니 맥주안주로 딱이었지만 오코노미야끼가 제 입맛에 너무너무 맞아서 약간 갬덩은 덜했던 ㅠ 근데야끼우동은 어디든 다 비슷한거같은것은 제 착각인가여 야끼우동 찐맛집 아시는분 댓글 🧚‍♀️

쭈워먹기 조은 타코야끼 문어가 글케크지않고 그냥 쏘쏘한 맛 ~ 그래도 타코야끼가 주는 아니었으니까여? 무튼 오코>야끼>타코 이순으로 맛있었고 재방문의사 완전 있지만 위치가 애매하다는 단점 ? 과 웨이팅감수 해야한다는점 😂

가게가 넘 좁지만 뽀짝하고 나무테이블 무드있도 소품들도 커여웠어영 !! 만석일시 추가주문 안되지만 웨이팅하면서 미리 주문을 받아서 빨리나와서 금방 먹을수있어 좋았답니당

씌ㅡ원한 맥주에 마싯는 오코노미야끼 땡길때 신촌 타코몽 추천 💕

#막왁_신촌#타코몽#신촌술집#신촌맛집#신촌데이트#신촌데이트코스#홍대술집#홍대맛집#신촌역술집#신촌핫플#오코노미야끼#오코노미야키#오코노미야끼맛집#야끼소바#야끼우동#타코야끼맛집#이자카야추천#맥주스타그탬#맥주안주"
中国料理 梅林,https://www.instagram.com/explore/locations/208566/,tokyo_nemo,2020년 10월 30일,2020-10-29T22:31:50.000Z,2020년 10월 30일,".
'일본인이 좋아하는 면요리' 하면 라멘, 소바(메밀소바), 우동,,, 이것들은 물론 인기가 많은데 '야키소바(焼きそば)'도 정말 많은 사랑을 받는 면요리입니다. 야키소바는 '소바'라는 이름인데 메밀국수가 아니라 '중화 볶음면'을 말합니다. 일본 마트에서는 집에서 간단하게 만들 수 있는 야키소바 면을 꼭 팔고(피드 마지막 사진 참조), 편의점 컵라면 코너에서는 컵야키소바(페양그, 잇페이짱, UFO 등)도 많이 진열되어 있어요. 일본 '오마츠리(축제)'가 열릴 때 야키소바는, 타코야키나 오코노미야키와 함께 노점에서 잘 팔리는 길거리 기본 음식이기도 합니다.
야키소바는 몇개 종류가 있는데 '소스야키소바(ソース焼きそば)'라는 게 가장 일반적인 종류입니다. 그런데 그 '소스'가 무슨 소스인지 혹시 아시나요? 일본에는 '소스 맛'이라는 맛의 종류가 있고, 쇼유 맛(간장 맛), 시오 맛(소금 맛), 미소 맛(된장 맛), 카레 맛처럼, 소스 맛도 일식의 주요한 맛의 종류라고 할 수 있습니다. 일본에서의 '소스 맛'은 우스터소스 베이스의 맛을 의미합니다. 돈카츠 소스, 타코야키 소스, 오코노미야키 소스도 우스터소스를 기본으로 한 맛이죠(각각 '농도'나 들어있는 재료에 약간의 차이는 있지만요). 오사카를 비롯한 간사이 음식 중에는 '소스'를 뿌려 먹는 게 많은데 일본 전국적으로 봐도 '소스 맛'을 좋아하는 사람들이 많은 것 같아요. '소스야키소바'는 야키소바 종류 중에서 가장 서민적이고 사람들이 먹는 기회가 많은 편인 것 같습니다.
소스야키소바는 '가게에서 먹는 야키소바'라기 보다 집이나 노점에서 먹는 이미지가 강한 것 같은데요, 이번엔 도쿄에서 귀중한 '맛있는 소스야키소바를 먹을 수 있는 맛집'을 소개해드리겠습니다.

도쿄 고탄다에 있는 동네 중국집 '메이린(梅林)'. 일본에서 '梅林'이라는 한자는 옥호로 쓸 때 '바이린'이라고 읽을 경우가 많지만, 여기는 '메이린'이에요. 외관은 평범한 동네 중국집이지만 야키소바 메뉴 종류가 많은 맛집으로 유명합니다. 야키소바는 16 가지 메뉴가 있어요. 보통 일본 중국집에서는 앙카케야키소바(흐물흐물 걸쭉한 소스가 얹어 있는 야키소바)나 고모쿠야키소바(고기, 해산물, 채소가 골고루 들어 있는 야키소바)가 주요 메뉴인 경우가 많은데, 여기는 소스야키소바가 맛있습니다.
제가 주문한 메뉴는 '니쿠 소스야키소바(고기 소스야키소바)'. 고소한 소스, 고기와 양배추가 푸짐하게 들어 있는 야키소바입니다. 역시 맛집에서 먹는 야키소바는 집에서 해먹는 것이나 길거리에서 먹는 것과는 수준이 좀 다르네요. 참고로 이곳은 '데카모리(デカ盛り, 양이 엄청나게 많다는 뜻)'로도 유명한 집이고, 그냥 보통 양을 주문해도 양이 충분히 많습니다. 곱빼기는 1kg 가까이의 양이 있을 것 같습니다^^; 소스야키소바는 맛은 있는데요, 양이 많고 맛이 단조롭기도 하니 먹다가 중간에 질릴 수도 있어요. 여기는 야키소바를 주문해도 반찬도 국물도 안 나오니(정말 단무지 하나도 안 나오는데, 이건 일본 중국집에서는 그냥 있는 일이기도 합니다) 야키소바만 오직 먹어야 합니다. 한국 분에게 너무 불편할 수도 있겠는데, 혹시 걱정되면 사이드메뉴로 교자(군만두)라도 시키시는 게 좋을 듯해요. 일본 중국집에서는 군만두는 공짜로 나오지는 않으니 따로 주문해야 합니다.

여담이지만 이곳의 '아오나 카라시 야키소바'는 아라시(嵐, 일본 쟈니스 아이돌)의 방송 프로그램에서 소개되었습니다. 아오나 카라시 야키소바는, 푸성귀가 들어 있는 된장 앙카케 야키소바입니다. 비주얼이 한국 짜장면이랑 좀 닮았네요. 이건 특징적인 메뉴인데 개인적으로는 소스야키소바가 제 스타일입니다.
소스야키소바는 '소스야키소바(플레인 800엔)', '니쿠 소스야키소바(고기 토핑 900엔)', 에비 소스야키소바(새우 토핑 1,000엔)', '고모쿠 소스야키소바(고기, 해산물, 채소 골고루 토핑 1,000엔)'로 나눠져 있고, 저는 니쿠 소스야키소바를 추천해드립니다.
작은 가게인데 2층에도 자리가 있어요. JR고탄다역 동쪽 출구에서 도보 5분.

■상호: 메이린 (梅林)
■유형: 동네 중국집
■저의 주문 메뉴: 니쿠 소스야키소바(고기 토핑) ¥900
■가격대: ¥1,000 정도
■영업시간: 월~토요일 11:00~22:00, 일본 공휴일 11:00~21:00
■휴무 일요일
■위치 고탄다 (五反田)
■교통: JR고탄다역 동쪽 출구에서 도보 5분
■주소: 東京都品川区東五反田1-24-1
■웨이팅 지수: 4 (5단계중)"
타코몽,https://www.instagram.com/explore/locations/562045/,holic_in_seoul,6월 28일,2021-06-28T06:02:17.000Z,2021년 6월 28일,"일본 갬성 뿜뿜나는 오코노미야끼 맛집💛
신촌과 홍대 사이에 있으며 웨이팅은 필수,,
오코노미야끼+타코야끼 10개 2마넌 세트메뉴는
가성비도 좋아서 인기메뉴라구😍😍
생맥주 한잔과 함께 먹으면 지상낙원 구경가능😍
.
.
.
#타코몽 #신촌맛집 #신촌역맛집 #홍대맛집 #신촌맛집추천 #신촌술집 #신촌데이트 #신촌데이트코스 #홍대술집 #신촌역술집 #신촌핫플 #홍대핫플 #오코노미야끼 #타코야끼 #오코노미야키 #오코노미야끼맛집 #타코야끼맛집 #야끼소바 #야끼우동 #이자카야추천 #맥주스타그램 #맥주안주 #먹스타그램 #맛스타그램 #술스타그램 #맛스타맞팔 #안주스타그램 #홀릭인서울"
고래가주,https://www.instagram.com/explore/locations/374533683269797/,eat_drink_drunken,4월 29일,2021-04-29T01:05:22.000Z,2021년 4월 29일,"신림 동네 심야식당 고래가주!!
오늘 4월 29일!! 목요일 하루!!
코로나 시국에 화이팅 해준
직원들과 함께
단합의 시간을 가지려 합니다🕺🏻
하루 재충전하고 30일 금요일에
힘차게 인사드리겠습니다🙏🏻
감사합니다☺️
=======================
고래가주
서울시 관악구 신림동길 23-1, 2층
저녁6시 ~ 새벽 4시
=======================
.
.
.
.
.
#신림혼술#신림술집#신림맛집#고래가주#패션문화의거리맛집#야끼소바#존슨탕#스지조림#새우완탕#2층술집#선술집#심야식당#신림이자카야#다찌#술스타그램#맛스타그램"
,,qumz2yo,6시간 전,2021-08-23T19:46:19.000Z,2021년 8월 24일,"주말,,, 언제 다시와ㅠㅠ
.
.
.
.
.
,
.
.
.
.
.
#주말 #언제와 #아직 #화요일 #새벽 #회사 #출근 #피곤 #오늘도 #화이팅 #홍대 #오꼬노미야끼 #야끼소바 #소고기 #다먹음😋"
