location_info,location_href,upload_id,date_text,date_time,date_title,main_text
야키토리묵,https://www.instagram.com/explore/locations/2307299692857488/,songchelin_guide,3월 31일,2021-03-31T08:15:09.000Z,2021년 3월 31일,"야키토리묵
-
닭고기 전성시대, 어찌보면 국내에서 닭고기만으로 미슐랭에 등재된 곳이라 궁금증을 갖고 방문을 했다.
#야키토리묵
#야키토리
#오마카세
#송슐랭망원
#송슐랭마포
#송슐랭가이드"
,,dduziny_chelin,5월 2일,2021-05-02T01:22:01.000Z,2021년 5월 2일,"야키토리도토리

꼬치 오마카세 19800원 해진뒤에 이어 망원동의 축복 2탄
야키토리도토리 더대박은
☝🏻1인 노미호다이(90분동안 술무제한) 역시 19.8
저같은 술쟁이들은 감사할따름이죠🙇‍♀️

4만원 내고도 400원 거슬러받음 으로 술은 무한으로 먹을수있다니 천국이 따로없쥬👼🏻
저희가 다녀가고 노미호다이 없어지질 않는다고 약속해주심

닭구이코스
닭목살-허벅지살-안심-염통-치즈삼겹 샐러드 외 총 5종정도(수급따라변경될수있음)

추가주문 계란말이구이 명란구이 시샤모 카와 감자

이미 가격에 신나고 술무제한에 감동하는 천국같은곳
예약이 허락하는 전제하!😏
망원동해진뒤1차 도토리2차
완벽한코스 추천드립니다👏👏

#술슐랭가이드
#뚜슐랭가이드_망원"
야키토리도토리,https://www.instagram.com/explore/locations/309109073323189/,min_cook_,5월 17일,2021-05-17T09:27:38.000Z,2021년 5월 17일,"#야키토리도토리

망원동에서 일할때
일끝나고 갔던!
올만에 야키토리
특수부위들이 많았던 코스
다음엔 주류 무제한으로 간다🔥
#맛집 #맛집추천 #야키토리 #망원동맛집 #망원동"
아타리,https://www.instagram.com/explore/locations/106561121528826/,jarong2002,7월 22일,2021-07-22T01:57:13.000Z,2021년 7월 22일,"20210515 성수동 아타리

최근 야키토리야가 매우 핫한데요
그 와중에 핫한 성수동에 자리잡은 야키토리야 아타리입니다

야키토리묵 출신의 멋진 오너셰프님이
닭과 관련된 요리를 하며, 토종닭을 애지중지하십니다
1부 2.0, 2부 3.5의 저렴한 가격으로
토종닭 야키토리 오마카세를 즐길 수 있어요

탁 트인 오픈형 주방에서 열심히 집도하시는 퍼포먼스도 좋고
잘 구워진 야키토리와 각종 닭요리들이 술안주하기 제격이네요

정말 예약하기 힘든 곳인데
아토짱 @atozzang_g 님의 도움으로 방문하게 되었어요
이 자리를 빌려 다시한번 감사드립니다

요즘 성수 핫한거 아시죠? 주변에 갈 곳도 많아요
무조건 예약잡아서 가시길 추천드려요

#성동구재영 #성동구맛집
#성수동재영 #성수동맛집
#아타리재영 #아타리
#야키토리재영 #야키토리맛집 #야키토리
#성수맛집 #야키토리아타리

#wine #酒 #日本酒 #맛스타그램 #먹스타그램 #술스타그램
#instafood #foodie #food #foodstagram #와인 #ワイン"
연남동,https://www.instagram.com/explore/locations/1014538376/,danspick,7월 20일,2021-07-20T10:07:13.000Z,2021년 7월 20일,"밝고 정돈된 느낌. 친절한 접객에 가격도 좋은 편인데 뭔가 한 방이 부족함.

이 곳만의 색깔이 좀 더 두드러졌으면 훨씬 좋았겠다는 생각. 특히 요즘처럼 야키토리야가 쏟아지는 시기라면.

근처 들렀다 가볍게 식사할 목적이라면 나쁘지 않음.

@missik_seoul
#야키토리미식 #야키토리"
야키토리도토리,https://www.instagram.com/explore/locations/309109073323189/,muk._.kyo,5월 12일,2021-05-12T02:49:51.000Z,2021년 5월 12일,"🍡 망원동 노미호다이 술 무제한 #야키토리도토리

비장탄에 신선한 재료와 정성스러운 마음으로 맛깔나게 구워주시는 야키토리 오마카세에 90분 술 무제한 #노미호다이 로 맛깔나게 행복 충전완료 •̀ᴗ•̀

시그니처 샐러드에 트러플오일 허벅지살, 쿠로시치미 닭날개, 목살, 안심, 내사랑 하츠 등 수급에 따른 6종과 친절한 서비스로 알차게 구성되어 있습니다

우롱 하이볼에 도쿠리, 그리고 마지막엔 한라산으로 무제한 달려달려!!!ㅋㅋㅋ 90분 순식간이네요 🥲 꼬치도 맛있고 먹고싶은게 많아서 계란말이에 명란구이, 모찌, 시샤모까지 추가

외국에 온듯한 분위기에 사장님 손가락도 예쁘고(...?) 불쇼 눈앞에서 보면서 좋은 사람들과 함께 하니 너무 좋군요... 망원동 해진뒤 -> 야키토리도토리 코스 저도 찬성합니다 👏🏻👏🏻👏🏻
_
ⓚ 야키토리도토리 #먹교_망원
ⓚ 서울 마포구 망원동 377-12
ⓚ @yakitori_dotori
ⓚ 문의 010-4928-4668
_
#망원동맛집 #망원역맛집 #망원역 #야키토리 #꼬치맛집 #꼬치맛집추천 #망원동맛집추천 #합정맛집 #합정맛집추천 #합정술집 #망원술집 #오마카세"
,,ori0815,5월 3일,2021-05-03T05:07:35.000Z,2021년 5월 3일,".
.
코로나 때 문에 밖에 술 집에서 지금 술 못 먹겠다니까 집에서 파티 ㅋ
여키토리 사랑해 ㅋㅋㅋ
.
.
お外では飲めないので…
お家焼き鳥パーティー🐓
リケンのノンオイルがあたりましたー😍😍うれぴー♡
リケンシリーズ好き！
紫蘇は愛用してますが、うま塩、うま辛は初めまして🥰
焼き鳥は全部塩にして、こちらをつけダレにして食べてみた🙌
味変にコレはあり♡
ドレッシングだからサッパリしてて飽きない😍
明日は蒸し茄子をこれで和えてみような♡
.
.
#リケンのノンオイル#リケンのたべトレ#サンプル百貨店#おうち焼き鳥#おうちごはん#ごはん記録#おうち居酒屋#ホムパ#ふたりごはん#ふたり暮らし#アンティーク#キャンドルウィック#韓国語#yakitori#homecooking#cookingram#japanese#japanesefood#タベリー#요리스타그램#요리그램#야키토리#집에서#집밥#밥스타그램#먹스타그램#ori🍳飯"
도리,https://www.instagram.com/explore/locations/2002376553355799/,minacibaba,5월 17일,2021-05-17T07:38:58.000Z,2021년 5월 17일,"오늘만! 월요일! 가게 사정상 합정 도리 휴무 입니다;ㅁ; 죄송해요....... 대신 상암 도리에서 김남매 같이 일합니다 💓
상암도리로 놀러오세요 하투하투 나 오늘 상암 도리 서빙인간이다 호호"
,,laputaaa,3월 25일,2021-03-25T05:13:14.000Z,2021년 3월 25일,"#야키토리
야키토리집의 대표 메뉴 중에 하나인 <네기마 ねぎま>
.
닭과 닭 사이에 파를 넣고 구운 것이 바로 ""네기마""이다...
네기마에서 ""ねぎ(네기)""는 ""파""인데, ""ま(마)""는 무엇일까?
원래 네기마의 ""ま(마)""는 바로 마구로(マグロ)의 ""마""이다...
.
에도 시대에 인기 있었던 나베 요리로서 ""네기마 나베(葱鮪鍋)""라는 것이 있었다...
네기와 마구로를 함께 넣고 끓인 나베이다...
네기마 나베의 간단 버전으로 탄생한 것이 네기와 마구로를 꽂아서 구운 ""네기마""이다...
하지만, 마구로는 이내 비싼 식재료가 되어버려서 야타이(포장마차)에서 훨씬 저렴한 버전으로 마구로 대신에 닭을 꽂아서 만든 것이 바로 현재의 ""네기마(ねぎま)""이다...
원재료는 바뀌었지만 그 명칭은 그대로 유지되고 있다...
.
네기마에 사용되는 닭의 부위는 딱히 정해진 것은 없다...
각 야키토리집에서 각자의 특색으로 모모(다리 부위), 무네(가슴살) 등을 사용하고 내장류를 사용하는 집도 있다...
야키토리집에서 네기마는 무조건 주문하는 메뉴... ^^
。
#네기마 #ねぎま #ネギマ #葱鮪 #葱鮪鍋 #야키도리 #야끼토리 #야끼도리 #焼鳥 #やきとり #네기 #마구로 #ねぎ #葱 #マグロ #鮪"
,,kinggodmeal,45분 전,2021-08-05T14:16:27.000Z,2021년 8월 5일,#데일리맛집 #데일리술상 #데일리술집 #데일리푸드 #홍대 #망리단길 #야키토리 #이자카야 #매실방울토마토절임 #매실하이볼 #꼬치6종세트 #새우로제떡볶이 #소주 #존맛 #함냐함냐함
