location_info,location_href,upload_id,date_text,date_time,date_title,main_text
잠실새내역,https://www.instagram.com/explore/locations/399935192/,dangdanghadang,7월 5일,2021-07-05T07:16:15.000Z,2021년 7월 5일,"아까 만든 연어스테이크샐러드 2개 나가기전 사진찍어봄🫒🤗
오늘은 오픈부터 연어가 많이나가서 오늘연어는 소진되었어요
곁들이로 가지 표고버섯 호두볶음을 발사믹식초에 조린거랑
줄기콩등 야채볶음, 아보카도도 함께 나갔어요😛
요즘 주2~3회 브레이크타임을 이용해서 가게근처 통증의학과를 다녀오는데 손가락하나 손끝 감각이 좀 안좋아서 요즘 전기침이나 충격치료등을 받고있어요
치료가 조금 지체될때면 저녁오픈이 10~30분쯤 늦어질 수도 있는데 양해해주세요 🙏 매일그런건 아니예요;

모두 하루 마무리 잘하시고 약간의 산책이라도 잊지마세요~

#저탄수화물 #당뇨식단 #당질제한식 #연어샐러드 #연어스테이크 #송파샐러드 #삼성역샐러드 #새마을시장맛집 #잠실동맛집 #지중해식식단 #탄단지 #건강식 #쉬림프샐러드 #잠실새내역맛집 #배부른샐러드 #잠실대공원 #잠실샐러드 #샐러드맛집 #늘보리밥 #흑미밥 #당당하당 #diabetesrecipes #ketogenicdiet
#diabetestype2 #lowcarb #nosugaradded #sugarfree
#diabetes
#koreandiabetes"
Daejeon,https://www.instagram.com/explore/locations/359178997/daejeon/,hae_oniii,8월 8일,2021-08-08T13:01:56.000Z,2021년 8월 8일,"2021.08.08 D-21

오늘 서울 가서 배드블러드 매장에 다녀왔는데요
미르스띤 실물로 보니까 다 너무 예쁜거있죠
돈만 많으면 다 쓸어담았을텐데( ˃̣̣̥᷄⌓˂̣̣̥᷅ )

근데 필요한 바프 의상은 못 건지고
사복으로 입을 옷만 사왔지뭐에요ㅋㅎㅋㅎ

인터넷에 사이즈 없는 애들도 매장에는 있는거같으니까
#바프의상 준비하시는분들 꼭 가보셔요ෆ˃̵͈̑ᴗ˂̵͈̑ෆ
.

이건 저번주에 골골거릴때 기력 보충하려고 먹은 #연어샐러드 인데
#남만샐 제가 하나하나 젓가락으로 다시 플레이팅했어요^,^
탄수가 없길래 고구마 직접 으깨서 무스처럼 올려줬지용

근데 같이 온 소스는 칼로리가 높아보여서
4칼로리에 당 0g인 #라이블링옐로우클렌즈 를 대신 뿌려먹었는데
걍 시판소스랑 맛 똑같아요ㅠㅠㅠ 완전 상콤한 레몬에이드맛🍋

저처럼 샐러드에 뿌려먹어도 좋고
탄산수나 물에 희석시켜서 먹어도 맛있더라구요

8/9일 바로 내일까지 와디즈에서 최대 65% 할인 혜택으로 펀딩 진행중이라니
평소에 #클렌즈 관심있으신분들은 참고하시면 좋을거같아요✨
.

내일부터 새로운 한주가 또 시작인데 다들 화이팅합시당୧(๑•̀⌄•́๑)૭✧❤️

#라이블링챌린지 #키토식단 #키토제닉"
리얼프레쉬,https://www.instagram.com/explore/locations/105293131643916/,jenny_zzing,5일 전,2021-08-17T14:39:11.000Z,2021년 8월 17일,"샐러드맛집🥦
안락동 충렬초 바로 옆에 샐러드맛집 #리얼프레쉬
여기 채소들 하나하나 다 신선하고
양 진짜진짜 많아요!!
성인 남자도 배부를 수 있는 충분한 양이에요💚
부라타치즈 샐러드에 부라타치즈는 우유맛이 많이 나고 옴총 부드러워요🤍
배민으로도 이용 가능하니 안락동 인근에 사시는 분들은 배달로 이용하셔도 개꿀입니당💕
.
#RealFresh #동래샐러드 #동래샐러드맛집 #부산샐러드맛집 #동래맛집 #동래카페 #안락동맛집 #안락동카페 #부산맛집 #제니찡_맛집 #부라타치즈샐러드 #연어샐러드 #샐러드맛집"
진주시평거동우리집내방내책상,https://www.instagram.com/explore/locations/418480014861251/,cheon_wy,1일 전,2021-08-21T06:39:56.000Z,2021년 8월 21일,"자가격리 4일차 🏡🙍‍♂️🌧
츤데레 친구가 샐러드랑 커피를 보내줬다 😎
(방구석 혼자신남, 면도안함, 노마스크)
.
.
.
.
.
#instagram #instagood #instadaily #instafood #instalike #daily #diet #selfie #진주 #평거동 #진주카페 #진주맛집 #달리는커피 #연어샐러드 #데일리 #일상 #셀카 #다이어트 #음식스타그램 #헬스타그램 #자가격리 #근손실"
청담스케쥴,https://www.instagram.com/explore/locations/101935231232809/,5nammaemam_,6월 14일,2021-06-14T12:28:09.000Z,2021년 6월 14일,"청담스케쥴에서 연어샐러드 먹었어요 🥗

퀸님들에게 👑💞
식스팩만들기 선언해서 😭😭😭

오남매맘은 미팅을 해도
다욧식단으로 먹는답니다.
저 약속 잘 지키죠?🤣🤣🤣

바디프로필 도전 중 이시라면
미팅, 회식, 치팅 때도
음식 잘 선택 하셔야해요🤗👌

방심하면 지금까지의 노력이
말짱 도루묵 😭😭😭

퀸님들👑💞
응원하고 사랑합니다.
우리 함께 참아보아요😱😱😱

#오남매맘#다이어트식단#유지어터#바프준비
#식스팩도전#예쁜몸만들기#다둥이맘#청담맛집
#청담스케쥴#핫플#연어샐러드#청담핫플"
,,tastynco,6월 14일,2021-06-14T01:11:51.000Z,2021년 6월 14일,":)

지난 주말에도 엘틈에는 많은 분들이 찾아주셨습니다. 너무 바쁘고 정신없어서 서비스가 매끄럽지 못한 부분도 있었어서 마음이 무겁기도 하지만, 아무쪼록 모두 좋은 주말 후 더 좋은 한 주 시작하셨기를 바랍니다.
아마도 즐주말 동안 과식하신 분들도 많으실텐데요(저 또한^^;;), 내일은 엘틈에서 훈제연어와 채소 가득한 샐러드로 가볍고도 건강한 런치 어떠세요?
엘틈은 오늘 푹 쉬고 내일 반갑게 여러분을 맞이하겠습니다 😎

#eltmcornermarket
#엘틈코너마켓#엘코마
#골목길로컬마켓프로젝트

#연어샐러드#훈제연어#연어
#salad#salmonsalad"
우리집,https://www.instagram.com/explore/locations/795705598/,n__lyn,8월 1일,2021-08-01T05:32:07.000Z,2021년 8월 1일,"비트 연어샐러드 🌱❤️
#내만샐 #샐러드레시피

행복한 일욜 점심이에요✿˘◡˘✿
여러분 혹시 비트 드셔보신적 있으세요?
저도 최근에 먹기 시작했는데, 생각보다 넘 맛잇어요 ㅎㅎ 약간 의외의 맛이랄까

그리구 비트에는 베타인이라는 붉은 색소가 있어서 세포손상을 억제하고 토마토의 8배나 되는 항산화효과가 있다구해요!! 뇌에도 좋구 항암효과도 있다구 하니 강츄드립니다 🥰

오메가3풍부한 연어랑 함께먹으면 더 몸에 좋겟죠?
ㅎㅎ 원랜 남만샐도 좋아하지만 내만샐로 맛있네요.
혹시 여러분만의 내만샐 레시피가 있나요?? 🥺(궁금궁금)"
,,chobitable,8월 2일,2021-08-02T10:21:51.000Z,2021년 8월 2일,"연어 샐러드 🐟 Salmon Salad 🥗

수란, 아보카도를 올린 연어 샐러드. 케이퍼와 홀스래디쉬 소스. 후추는 덤.

샐러드로 한끼 채우면 어딘가 똑바로 산거 같고 뿌듯한거 저뿐인가요? 😂

Salmon salad with a poached egg, avocados, caper berries and horseradish sauce. Pepper for an extra savor!

Having a bowl of salad for a meal gives me the feeling of refreshing and something just tells me I've done great 😂"
,,yeo_nioi,7월 11일,2021-07-11T06:35:23.000Z,2021년 7월 11일,"이여니가 만든 연어샐러드❤👍️😘!!!!!! 쩡말 맛있어!!!

영양만점 식단!!솔직히 항상 양이 많아서 줄여야겠다고 생각중이다.

연어랑 소고기 조합은 항상 옳다...

@silvertrade.co.kr
요기 인님들이 맛있다고 하셔서 구매해봤는데!
연어신선하고 JMT!!!!
아빠고등어 구워드리려고 샀는데 포장, 안전배송👍👍👍👍소스도 같이옴!!!
사장님께 보관방법, 보관일 궁금해서 DM보냈는데 완전 친절하시기까지!! 그래서 시킴!!
잘 먹고있어요 사장님 마니파셔용!❤️

#식단 #식단일기 #운동하는여자 #재활하는여자 #운동 #헬린이 #요리스타그램 #요리취미생활 #샐러드 #샐러드만들기🥗 #헬스 #헬스타그램 #연어샐러드 #맛있다그램 #연어 #요리하는여자 #다이어트 #다이어트식단 #연어소고기 #헬린이의일상 #일상 #일상스타그램 #뿌듯"
문래 에이스하이테크시티,https://www.instagram.com/explore/locations/71379/,greengreet.kr,28분 전,2021-08-23T05:53:23.000Z,2021년 8월 23일,그린그릿의 샐러드는 다양하고 신선한 재료들이 함께합니다🌈
