location_info,location_href,upload_id,date_text,date_time,date_title,main_text
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,happeesabrina,5월 29일,2021-05-29T01:24:17.000Z,2021년 5월 29일,"점심 머 해먹을지 고민하며 오늘도 연습장으로 향하는 나지요🍋
.
.
.
.
.
#saumonmariné #연어요리 #cookstagram #홈쿠킹 #nottoday #salmonsteak #연어스테이크 #weekendvibes"
,,ssukddak__22,7월 18일,2021-07-18T11:46:54.000Z,2021년 7월 18일,"#쑥딱 그린빈 연어 스테이크

껍질 콩 왜 이렇게 맛있나요💚💚
세상 껍데기는 다 맛있는 거 같아요
삼겹살 먹을 때도 껍데기 빠지면 서운하고
삼계탕도 닭 껍질 먹는 맛에 먹는! 껍데기 사랑
그래도 사람은 겉보다 속을 좋아한답니다ㅎㅎ🤥
-
#연어스테이크 Recipe🍽 _450kcal (2인분)
연어 구이용 200g - 올리브오일 , 소금 , 후추 밑간 - 그린빈 - 레몬 - 마늘 - 토마토 - 파슬리가루"
,,cooking_by_gymrat,7월 7일,2021-07-07T10:25:17.000Z,2021년 7월 7일,"이제 다음주되면 조금이나마 먹던 탄수화물도 못먹겠네요🥲

어데 장보러가서 도무지 지방을 뭘로 먹어야할지 몰라서 손떨면서 #아보카도 를 집어왔습니다🥑 그래서 오늘은 #새싹샐러드 에 #아보카도 얹어먹고 같이 샀던 연어로 #연어스테이크 만들고 #새우야채볶음 이랑 #버섯구이 해서 잘 먹었습니다!

다행이 이유는 모르지만 린매스업이 되고있어서 기분은 좋네요😎"
,,leeze_story,7월 7일,2021-07-07T02:35:46.000Z,2021년 7월 7일,"이렇게 먹으면서 운동없이 식단조절없이
30일 만에 5.1키로 감량중ㅋ

(참고로 아이스크림도 ,빵도 먹음✌🏻)"
,,violet_myung.jm,3월 29일,2021-03-29T06:14:52.000Z,2021년 3월 29일,"#일상

친구 노냉이가 만들어준 연어파피요트💕
요리가 좋다는 내 친구우우😋
냉이부추전에 샐러드 세팅까지 완벽🌸

넘 맛나서 점심부터 과식했다잉😉
즐거운 시간😍😆🧚🏻‍♀️

#연어파피요트 #연어빠삐요뜨 #연어 #연어요리 #연어스테이크 #홈스토랑 #홈카페"
,,sseong_nh,7월 11일,2021-07-11T03:57:16.000Z,2021년 7월 11일,"Today's lunch : 연어 파이, 연어 웰링턴 (salmon wellington)

안녕하세요 인친님들 요번주의 마지막요리가 되겠네요.
오늘준비한 요리는 연어파이입니다. 🐟 연어웰링턴의 레시피와 동일한 레시피이며 단순히 빵틀에 넣어 익힌것에 차별점을 두어봤어요.

안심을 사용하는 비프웰링턴과달리 연어 웰링턴은 모양을 잡기가 상당히 어렵답니다. 그래서 빵틀이용해서 만들었어요.

곁드린 소스는 산미가 있는 케이퍼 크림소스를 곁드렸습니다 그럼 레시피 가보실까요?

재료 : 연어, 시금치, 양파, 마늘, 크림치즈, 딜, 파마산치즈, 레몬즙, 케이퍼, 우유, 크림 빵가루, 퍼프페이스트리, 이탈리안파슬리, 소금, 후추, 치킨스톡, 올리브유,

1. 팬에 올리브유를 두르고 다진 마늘과 양파를 볶아줍이다.

2. 시금치를 다져 같이 볶아줍니다. 시금치의 숨이 죽으면 크림치즈와 파마산치즈, 빵가루를 넣고 농도를 만들어줍니다.

불을끄고 딜과 이탈리안 파슬리를 넣어 향을 올려줍니다.

3. 퍼프페이스트리를 빵틀에 들어갈수있도록 넉넉하게 밀어주고, 2.의 볶은 시금치를 맨 밑에 깔아줍니다. 연어를 올리고 다시 시금치를깔고 연어를깔고 시금치를 다시깔아서 연어를 감싸줍니다.

마지막으로 퍼프페이스트리를 이용해 뚜껑을 덮듯이 덮어줍니다.

오븐에 넣고 180도 20분을 익혀줍니다.

4. 웰링턴이 익는동안 소스를 만들어줍니다. 2.번의 시금치를 볶았던 팬에 우유와 크림을 넣어줍니다. 약간의 치킨스톡 케이퍼, 레몬즙, 다진양파를 넣고 크림소스를 만들어줍니다.

5. 크림소스를깔고 연어파이를 올려 맛있게 먹습니다~!

#연어
#연어요리 #연어파이 #연어웰링턴 #웰링턴 #salmonwellington #연어스테이크 #연어레시피"
로옹 ro:ong,https://www.instagram.com/explore/locations/242702376590726/roong/,food_logg,6월 27일,2021-06-27T09:49:01.000Z,2021년 6월 27일,"#연어스테이크 #크렘뷔륄레

오늘은 부산에서 시간을 보내고 있어요!! 🌊
바다도 보고 힐링하구 가려구용

크렘뷔륄레는 디저트로 먹었는데
깨먹는 재미 아시죠♥️

남은 하루도 좋은시간 보내세요!!💐"
,,u._.cook,5월 17일,2021-05-17T12:51:35.000Z,2021년 5월 17일,"고오급지게 연어구워먹기🤗
.
.
#연어스테이크 #연어
#자취 #자취생 #자취요리 #요리스타그램 #요리 #음식 #음식스타그램 #대학생 #일상 #일상스타그램 #일상기록 #밥상 #식단 #식단일기 #집밥스타그램 #맛스타그램 #기록 #먹팔 #먹스타그램 #푸드스타그램 #푸드스타일링 #daily #food #foodie #cooking #steak"
타타타,https://www.instagram.com/explore/locations/909233781/,co_o_e,5월 27일,2021-05-27T09:28:08.000Z,2021년 5월 27일,"예원이랑 힐링타임🪕
어제 아프기도 했고 내일 위내시경이라 하루라도 클린한 척 하기 위해 샐러드로 먹자 싶었고! 둘 다 먹킷이었던 타타타로 슝 새벽부터 비가 많이 와서 걱정했는데 딱 저희가 만나는 시간에는 맑아지더라구요..? 날씨도 도와주는 오늘 하루🤍 (시얌이는 담주에 보자 알지알지)
타타타는 비니님 피드 보고 알았는데 신논현역에서 가까워요!! 먹자골목 속 감각적인 집인데? 하고 보니까 타타타 가게도 엄청 넓고 깨끗해요 다만 오늘 날씨 때문인지 엄청 추워서 덜덜ㅋㅋㅋㅋ 밖이 더 따뜻했다는.. 그리고 얼음물을 주시니까 얼음 빼고 주세요 해야할 것 같아요!!
하 제발 누가 저 토핑 추가 못하게 좀 막아주세요.. 돈도 없으면서 제일 비싼 연어스테이크에 고기 추가🥩 히히 이번주 알바도 화이팅.. 그리고 고구마 많이 달라고 말씀드렸는데 예원이꺼랑 차이 보이세요..? 왕고구마 세 덩어리 주셨는데 감동🤦🏻‍♀️ 고구마몬스터 눈물 흘렸답니다!!! 근데 고구마 한 조각 나오고 고기 추가 안했으면 양으로 봤을때 서운했을 것 같아요 물론 대왕위를 가진 쿠이 기준^.^
연어스테이크+고기추가
잎채소,새송이버섯,적채,적양파,할라피뇨,병아리콩,방토,블루베리,달걀,고구마,단호박,현미와 귀리,연어스테이크(고기 추가) 고 소스는 두 개 무료 선택할 수 있어서 이탈리안 소스를 제외하고 스리라차마요,오리엔탈,발사믹,참깨드레싱 둘이 선택했어요⭐️
알라보랑 정말 비슷한 구성이죠!! 가격도 비슷하고 양도 비슷한 것 같아요 아마 알라보로 배부르셨던 분들은 배 채우기 좋을 정도고~ 저같은 대식가분들은 가벼운 에피타이저 정도☺️ 아무래도 고구마 왕창 주신건 정말 사랑이고 감사합니다🤍
놀랐던 건 연어스테이크 퀄리티🐟 샐러드집이 아니라 연어스테이크 전문점 같았어요!! 완전 따끈뜨끈하니 겉은 완전 바삭바쟉하고 안은 촉촉부들꼬소해서 연어 덕후 저격하는 맛과 식감🧡 두께가 잘 안보이는데 두께도 두툼해서 만족스럽고 비린맛 전혀 없이 끝까지 겉바속촉촉이라 굿초이스!! 소고기가 안땡기시는 분들은 연어스테이크 또는 둘 다 드셔도 될 것 같아요 단백질은 살 안 쪄ㅎ
새송이버섯이 알라보에도 있는데 저는 알라보 버섯이 너무 짜서 먹기 힘들었거든요?! 타타타 버섯은 알라보보다 덜 짠 간장버섯조림 맛이라 좋았어요😉 샐러드 간을 맞춰주는 정도라 부담도 적고 몰캉한 식감이야 말모~
소고기도 깍뚝모양인데 모든 조각이 하나도 안질기고 부드럽더라구여?! 야들야들하니 씹는 말도 느껴지는데 전혀 질김은 없는✨ 여기는 굽기를 잘하는 집 같아요 불을 잘 쓰는 집😍 고기 500g씩 먹는 저한테는 살짝 부족했지만 이건 제 기준인거 아시죠? 일반 분들은 딱 좋을 것 같고 다른 샐러드집에 비해 양이 많은건 확실해요!!!
병아리콩 제 사랑이고 양파랑 방토도 제 사랑~
아보카도 후숙 완벽🥑 진짜 제 치아 자국 보이시나요? 완전 숲속의 버터 그 자체 뭉근하고 보드라우면서 꼬숩고 살살 녹아요... 후숙 완벽한 아보카도는 그저 사랑인데 반 개가 들어가니 더 좋죠?!
고구마는 제가 너무 사랑해요 너무너무너무 사랑하는 고구마가 크게 세 덩어리 있으니 얼마나 행복한지🍠
밤고구마를 오븐에 구워서 겉은 마른듯 하지만 적당한 퍽퍽함에 안은 촉촉하고 에프굽 했을 때의 달큰함이 느껴져서 먹기 좋았어요 아 그냥 고구마는 사랑🤎 양 많은 고구마는 더더욱!!! 많이 드시는 분들 다들 고구마 많이 달라고 슬쩍 말씀해보세요..
단호박은 밤호박보다 촉촉달달함이 더 많이 느껴지는 단호박이었어요! 달달하니 꿀단호박 먹는 느낌?! 저는 상한 구황작물만 아니면 다 먹는 사람이라 맛있게 먹었지만 밤호박파 분들은 달게 느껴지실 것 같다는 점! 하지만 구황작물 최고야-
밥은 오독꼬독하니 찰기 있는 밥보다는 톡톡 씹는 식감이 좋은 현미귀리밥🤍 보울룸은 찰지고촉촉한 흑미밥이라면 여기는 포케에 들어가는 밥 느낌인데 꼬숩하니 꼬들한 식감이 좋아서 냠냠굿! 저는 밥 양이 많다고 생각 안했는데 다른 분들은 많다고 느끼시는 것 같아요 참고☺️
소스는 제가 소스를 안먹어서 잘 모르겠지만 스리라차마요는 은근 스리라차 맛이 강하고 나머지는 딱 아시는 그 맛 그대로였어요!! 그래도 두 개를 무료로 맛 볼 수 있다는건 소스 러버 분들에게 좋은 옵션인 것 같아요
예원이랑 거의 2시간 동안 싹싹 긁어먹고 후식은 김밥 맞죠? 역시 한식이 최고다 헤헤
예원이가 김초코도 줬다요? 빈손으로 오란 말야... 햇살시루 너무 먹고 싶었는데 감동의 눈물 좔좔💧 진짜 예원이 덕분에 힐링이다💟"
,,ssinbest,34분 전,2021-08-02T04:24:12.000Z,2021년 8월 2일,"#피그인더가든
#여의도맛집
#연어스테이크
#salmon steak"
