location_info,location_href,upload_id,date_text,date_time,date_title,main_text
사직야구장,https://www.instagram.com/explore/locations/243600953/,mokujine,7월 19일,2021-07-19T06:47:44.000Z,2021년 7월 19일,"2021 .07.18 ( #모쿠진 )

안녕하세요 모쿠진 대표 리우진
입니다.

세상살이 빡빡하시죠
제가 맛난 음식 준비중이니

기분 풀다 가십시요
아직 오픈기간은 10여일 정도
남았는데

중간중간 들려 쉬원한 물한잔들
하고 가십시요

그누구도 괜찮습니다

요리 만드는중이면 맛도
보고가셔요

혼자 요리를 만들고 하기에 심심합니다

커피는 아.아 좋아하는데
마다하지 않겠습니다
.
.
.
.
.
.

#사직동술집 #술집 #부산술집 #부산맛집 #사직동맛집 #사직야구장
#야끼소바 #오꼬노미야끼 #철판요리
#스테이크 #라면 #계란말이 #맞팔 #패션 #요리사 #청년창업 #패션 #ootd
#하이볼"
Cheongju,https://www.instagram.com/explore/locations/249426447/cheongju/,96_.cha,1월 23일,2021-01-23T05:41:25.000Z,2021년 1월 23일,"주말 근무 끝나고 맨날 너랑 데이트
집도 안가고 밥부터 먹기 바쁜 돼지2명ㅋㅋ
이제 나도 연애하게 해주라 🥲

#청주 #충대 #충대맛집 #멘야마쯔리충북대점 #오꼬노미야끼 #오꼬노미야끼맛집 #라멘 #라멘맛집"
美津の,https://www.instagram.com/explore/locations/766207/,y_bar_chef,5월 9일,2021-05-09T12:27:03.000Z,2021년 5월 9일,"<#오사카 #미즈노 #오코노미야키 >
보통 1시간 정도의 웨이팅을 감수해야만 먹을 수 있는 #오코노미야끼 로 #미슐랭가이드 에 매년 이름을 올리는 #미즈노오코노미야키!
1945년 #도톤보리 골목에 철판 하나로 시작하여 3대째 이어오고 있는 오래된 노포! 꾸준히 사랑받고 있는 판매순위 1위 메뉴는, #산마야끼 (1650엔) 밀가루를 하나도 쓰지 않고 곱겐 감 산마로 #오꼬노미야끼 를 구워줍니다. 잇몸만으로도 맛있게 먹을 수 있을 정도의 부드러운 식감에 자극적이지 않은 특제 소스, 그리고 각종 해산물, 돼지고기의 풍미가 더해지니 맥주가 절로 생각납니다. ㅠ
.
워낙 유명해서 가보신 분들도 많을거고, 가게 앞 줄행랑을 보시고 간판이 눈에 익은 분들도 계시겠어요:) 저장해뒀다가 #오사카여행 때 줄서 보시길 :)
.
#롯폰기윤과장 #윤셰프_오사카 #오사카맛집 #난바맛집 #도톤보리맛집 #오꼬노미야끼맛집 #大阪グルメ #大阪ランチ #大阪観光 #大阪お好み焼き#お好み焼き#お好み焼き屋 #お好み焼き好きな人と繋がりたい #難波グルメ #難波グルメ #難波ランチ #難波ディナー #道頓堀 #道頓堀グルメ #道頓堀お好み焼き #道頓堀食べ歩き"
Suwon,https://www.instagram.com/explore/locations/235481745/suwon/,beennnnnnnnn_,7월 4일,2021-07-04T05:23:13.000Z,2021년 7월 4일,"오늘의 점심 🍲
냉장고 털이 오꼬노미야끼, 고추잡채, 오이두부볶음"
부산대역,https://www.instagram.com/explore/locations/603736464/,imcookie_28,3일 전,2021-08-19T06:06:08.000Z,2021년 8월 19일,"집오니깐 흰옷 사망 ^^
흘리지 맙시다 앞치마 필수템
#부산대 #오꼬노미야끼 #문어빵 #다코야끼 #오이시 #부산대뿌수기 #부대뿌수기"
소점,https://www.instagram.com/explore/locations/145379492703465/,mat.spoon,4월 14일,2021-04-14T09:01:35.000Z,2021년 4월 14일,"#💁🏻‍♂️🥄🥄🥄🥄🥄🥄
#소점 #연남맛집 #연남리얼맛집

👉🏻맛수저톡톡
이름처럼 가게 내부는 작고 아담하지만 맛과 서비스는 이름과 반대로 누구에게나 인생오꼬노미야끼집이 될만한 연남동 조용한 골목안에 위치하고있는 오꼬노미야끼&타코야끼 전문 소점...

연트럴파크 옆 일반 가정주택 사이에 위치해있으며 내부는 2인씩 4팀정도 들어갈수있는 아담한 크기이고 일본현지느낌이나는 인테리어와 매우매우친절한 서비스는 마치 일본에 온듯한 느낌을 준다...

메뉴는 일본 각 지방식의 오꼬노미야끼와 타코야끼 주류는 생맥주와&하이볼을 판매한다...

주문즉시 조리해주며 취향에맞게 재료를 빼거나 추가할수있다... 소스또한 기호에맞춰 뿌려먹을수있어서 매운맛을 좋아하는 나는 한입한입 매운소스를 뿌려먹었다... 추천하는 먹는방법...

재료하나하나의 식감이 다 느껴지며 맛이 없을수가없는 신선한 재료 + 달달한 소스의 조합이기때문에 이만한 맥주안주가 있을까 싶을정도로 술과 같이 먹기 좋다...

웨이팅이 매우길어 가게에서 식사를하실 예정이면 오픈시간 15분전에 가서 드시는 걸 추천드리며 그게아니라면 포장을 추천한다... 식어도 맛있다...

오꼬노미야끼에 하이볼한잔 미치는 조합이다... 앞으로 더 핫해질 예정이니 어서들 다녀오시길...

👉🏻 맛수저 점수: 🥄🥄🥄🥄🥄🥄

✨ 서울 마포구 성미산로17길 99
✨ 월~토 17:00 - 01:00 일요일은 ""포장""만 가능
✨ 0507-1435-7739

#연남동맛집 #연트럴파크 #오꼬노미야끼맛집 #오꼬노미야끼 #맛집탐방 #맛집추천 #맛수저 #맛집스타그램 #맛스타그램 #먹스타그램 #맛수저연남 #맛수저마포구 #맛수저오꼬노미야끼 #팔로우 #선맞팔 #선팔하면맞팔 #먹팔 #먹팔맞팔 #맞팔 #맞팔환영 #소통 #좋아요 #좋아요반사 #좋반 #먹방 #맛집"
가로수길 우와 雨蛙,https://www.instagram.com/explore/locations/1870358359942765/,2_yoonji,2020년 11월 7일,2020-11-07T05:20:08.000Z,2020년 11월 7일,"해외 못나가니까 대리만족하려고 왔는데 세상 맛있,,💚"
명동 쯔루하시 후게츠,https://www.instagram.com/explore/locations/223839976/,jjinkong_foodie,7월 6일,2021-07-06T12:25:58.000Z,2021년 7월 6일,"명동갔는데 이거안먹으면 섭해요….
철판에서 즉석으로 만들어주고 따듯하게 끝까지먹을수있는게 을매나좋게요?
먹다가 야끼소바랑 오코노미야끼 반섞어서 먹는것도 별미라구여!!! 으으으으 존맛탱탱
.
.
.
🤎쯔루하시 후게츠
🙋‍♀️ 서울 중구 명동8길 21-5 해암빌딩 2층
🍽후게츠 오꼬노미야끼(15500)
🍽대파마요 시오소바(11500)
#일상 #저녁 #먹스타그램 #맛스타그램 #먹방 #먹방투어 #먹스타그램 #먹부림 #서울 #중구 #명동 #쯔루하시후게츠 #일본오코노미야끼 #오꼬노미야끼 #야끼소바 #대파마요야끼소바 #멜론소다 #마요 #진콩푸디 #진콩푸디중구 #선팔 #맞팔 #소통 #좋아요 #먹스타맞팔 #먹팔 #선팔하면맞팔 #먹팔환영 #먹스타꿈나무"
신촌 야바이,https://www.instagram.com/explore/locations/303744210/,grandnim_foodie,2020년 8월 25일,2020-08-25T06:59:15.000Z,2020년 8월 25일,"#찐맛집
#신촌맛집 #신촌야바이 탐방!
-
생생정보, VJ특공대, 식신로드
모닝와이드, 맛있는녀석들 등등
TV맛집방송 6번이나 인증받은
레전드급 #오꼬노미야끼맛집
-
베이컨 오징어 쉬림프 등등
땅과 바다의 모듬 고기고기와
쫄깃한치즈&단짠한 오꼬소스
한~가득 올린 #오꼬노미야끼
-
철판에 지글지글 야끼소바와
부드러운 계란말이 돈치야끼는
하이볼과 풀세트로 달려야해😍
-
-
-
-
#신촌핫플 #철판요리 #신촌술집
#신촌데이트 #연세대맛집 #야바이
#신촌맛집추천 #ad_ #연대맛집
#신촌핫플레이스 #신촌역맛집"
박스퀘어,https://www.instagram.com/explore/locations/240081180002920/,sinchon_boxquare,20분 전,2021-08-23T01:27:44.000Z,2021년 8월 23일,"⠀
신촌에서 점심 뭐 먹을지 고민인 사람들 🙋‍♀️🙋‍♂️
서대문구청 유튜브에 올라온 박스퀘어 ASMR 눈으로 보고 가세요
(๑˃̵ᴗ˂̵)و ♡(๑˃̵ᴗ˂̵)و ♡
지글지글 철판에 굽는 소리부터 노릇노릇 튀겨지는 튀김 소리까지 지나칠 수 없는 ""신촌 박스퀘어"" 식당들의 ASMR🔈
⠀
배고픈 사람들 모두 박스퀘어에서 만나요😂
⠀
🔔유튜브에 나온 박스퀘어 매장정보
✔오사카 해물오꼬노미야끼 (1층 13호)
✔이대 깻잎떡볶이 (1층 21호)
✔88쌈닭 닭강정 (1층 07호)
⠀
💛유트브 영상 주소
https://youtu.be/WZsblfqLajc
⠀
💜신촌박스퀘어 위치
서울 서대문구 신촌역로 22-5
22-5, Sinchonnyeok-ro, Seodaemun-gu, Seoul, Republic of Korea"
,,_mat_nam_,10시간 전,2021-08-22T15:22:21.000Z,2021년 8월 23일,"#구리맛집 #남양주맛집 #구리남양주맛집
1. #잉꼬칼국수
칼국수 면이 두껍고 쫄깃해요. 부추 들어간 감자국 같은 맛! 무엇보다 양이 어마어마하고 김치가 엄~청 매운데 맛있어요.
2. #메리네 #들깨크림파스타
파스타도 꾸덕하고 고소하니 정말 맛있고 식전 단호박 스프가 대박입니다.
3. #어왕 #마라샹궈
여기서 거의 모든 메뉴를 먹어봤는데 왠만하면 다 맛있어요. 가장 추천할 메뉴는 마라샹궈와 #꿔바로우 진짜 중국말 쓰시는 사장님부부가 운영하십니다.
4. #이자카야 #향 #오꼬노미야끼
예전의 명성만큼은 아니지만 여전히 가성비 술집인 #이자카야향 오꼬모미야끼 부침이 굉장히 두꺼워서 자칫 안익었다는 느낌이 들 수 있어요. 소스를 듬뿍 부려주셔서 술이 술술 넘어가게 하는 메뉴입니다.
5. #88선수촌 #더블업치즈껍데기
먹어본 #껍데기 중 가장 맛있었어요. 부드럽고 쫄깃한 껍데기 좋아하시는 분들께 강추합니다. 마지막 #볶음밥 까지 필수!
6. #유박사곱창
구리하면 #곱창 을 빼 놓을 수 없죠. 곱창골목에서 가장 맛있다 생각해요.
7. #골목안채 #낙지볶음
항상 사람이 많아요. 매운데 숟가락으로 퍼 먹게 되는 마성의 낙지볶음입니다 ㅎㅎ칼국수도 팔아서 같이 먹으면 매운 맛이 중화돼서 낙지볶음->칼국수 무한 반복하게 되는 곳ㅋㅋㅋ

#다산맛집 #맛집스타그램 #낙지볶음맛집 #칼국수맛집 #마라샹궈맛집 #곱창맛집"
,,__y___sun,10시간 전,2021-08-22T14:55:28.000Z,2021년 8월 22일,#방구석 #집들이음식 #오꼬노미야끼 #야끼소바 #에그샌드위치🍳🍞 #룸메최고💕
