location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,scelomania,7월 25일,2021-07-25T11:25:05.000Z,2021년 7월 25일,"지이이이 폰이 울렸다 얼마쯤 걸리는데? 라길래 어 금방 가는데 음.. 5분?? 하고 걸음을 빨리했다 전화를 끊고 가게 앞을 기웃거리는데 보인다 ㅋㅋㅋㅋ 알차게 담아주마 하고 찰칵찰칵 찍다가 입장

어묵집 스테인리스 바테이블 위에
어묵국물이 담긴 컵과 물떡이 꽂혀 있었다
올 시간을 물어보고 미리 물떡을 불려 놓는게 이런게 사랑 같은거 아닐까 친구 라며 피식거리길래

어어 덕분에 오늘밤도 인류애가 꽃을 피우네 하고 물러터진 물떡을 씹었다
친구 근데 난 좀 덜퍼진거 좋아해
눈이 반짝거려서 이말 한번밖에 안했어 ㅋㅋㅋ
취향 알았으니 다음엔 내가 담궈둠 ㅋㅋ

아 맞다 이날 이친구 왜 가방은 옷이 될 수 없는데!
하고 앞치마 입고 옴 ㅋㅋㅋㅋ 가게 갈 때마다 어디서 오셨어요 소릴 그날만 몇번씩 들었다고 함 ㅋㅋㅋㅋㅋ
#아무말대잔치

#연산동맛집 #미소오뎅
#어묵 #오뎅 #물떡"
호호,https://www.instagram.com/explore/locations/104311305044167/,rjsehddl,4월 8일,2021-04-08T03:24:16.000Z,2021년 4월 8일,"호호호호호호호호호호호
😀😃😄😁😆😊🙂"
마라톤집,https://www.instagram.com/explore/locations/174784713441555/,summerlytaste,5월 30일,2021-05-30T14:57:34.000Z,2021년 5월 30일,"“억수로” 내리는 빗소리. 지금 날씨에 딱일 듯. #마라톤#비오는날 컵라면 육개장을 끓여내주는 곳. 끊임없이 줄 서고, 끊임없이 사람이 들어온다.

Perfect for a rainy day."
Songdo International Business District,https://www.instagram.com/explore/locations/4199826/songdo-international-business-district/,semvly,6일 전,2021-07-30T02:53:48.000Z,2021년 7월 30일,후추+고추=🤤
,,cooking_hyeon_,5시간 전,2021-08-05T01:07:15.000Z,2021년 8월 5일,떡볶이🥘
명성횟집,https://www.instagram.com/explore/locations/121123248775300/,jytour,6월 6일,2021-06-06T02:37:44.000Z,2021년 6월 6일,"부산에서 가성비 좋은 노포 오뎅백반집! 🤗🤗🤗
횟집인데, 오뎅백반을 잘하는집!
부산역에서도 택시로 10분, 지하철 2정거장 거리에 위치한! 로컬 백반 맛집!
전날의 숙취로 해장이 필요할때, 부산역으로 가기전에 해장하면 좋은곳!
“명성횟집”을 소개 합니다!! 😎😎😎

메뉴 추천! 혼자라면 오뎅백반(8천원)에 정종 한잔! 둘이라면 오뎅백반+회백반(만3천원) 1개씩!!

밑반찬들과 서더리탕까지 구성 알찬 횟밥! 무로 시원하게 육수낸 내공이 느껴지는 옛날식 부산 오뎅탕!

해장하다가 다시 소주잔 들게 만드는 국물들과 반찬 안주들을 다찌에 앉아서 스웩 넘치게 붓싼 스타일 체험할수 있는 “명성횟집” 꼭 들러 보셔요~!

#명성횟집
주소: 부산 동구 수정동 207-20
(일요일휴무)
소주잔:🥃➕1개반

뻔한 부산의 여행객용 맛집말고…
풍류를 즐기는분들 취향저격용
멋있고 맛있는 부산여행 찐맛집 정보는 @jytour_busan

#jytour
#jy투어
#jy투어_부산
#jytour_busan
#jy투어부산
#jy부산_초량
#jy부산_명성횟집
#jy부산_코스a

*메뉴판가격과 내부 사진은 코로나전에 촬영한 사진이니, 가격은 변했을수 있을것 같으니 참고 부탁 드려요"
,,songchelin_guide,3월 1일,2021-03-01T10:43:31.000Z,2021년 3월 1일,"신세계오뎅
-
비 오는 날 오뎅에 소주 한잔이면 힘들었던 일들이 많이 씻겨 내려가는 위안을 받는다.
-
걷는 것에 취미를 붙인 요즘 송리단길 부근을 답사차 걷는 도중 발견한 이곳은 한식과 일식의 정확히 중간의 어묵(오뎅)을 내는데 즉석으로 만들어 내는 어묵의 맛이 상당하다.
-
아마도 자주 가게될 곳이 송파에 생겨 너무 반갑다.
-
같이 가실 파티원 구합니다.
#신세계오뎅
#오뎅바
#오뎅
#오뎅맛집
#송리단길맛집
#송리단길맞은편
#송슐랭송파
#송슐랭가이드
#송파동맛집
#송파나루맛집"
상수기치조지,https://www.instagram.com/explore/locations/138845100093670/,sangsu_kichijoji,7일 전,2021-07-28T13:51:02.000Z,2021년 7월 28일,"오늘 오셔서 케이크도 주시고 선물도 주시고 노래도 불러주시고 ㅎㅎㅎ

매년 이렇게 생일 챙겨주시는 모든 분들께 항상감사합니다^^

#기치조지 #키치조지 #상수술집 #상수카페골목 #상수동술집 #상수역술집#당인동 #오뎅 #사케 #오뎅바 #사케바 #홍대술집 #상수동 #상수역#상수동맛집#당인동맛집#상수기치조지#합정동#합정술집#혼술#상수동기치조지#상수맛집#합정맛집#홍대맛집"
연신내역,https://www.instagram.com/explore/locations/270437566/,drinkingvillain_kwan,7월 20일,2021-07-20T07:34:56.000Z,2021년 7월 20일,"꼬치구이에 소주한잔은 집앞에서 가볍게 즐길때 더욱더 그 진가를 발휘한다고 생각합니다.
.
#노군꼬치
.
꼬치구이나 오뎅을 세트나 단품으로 다 즐길수 있어서
더 좋은곳이라고 생각해요.
.
다 구어서 주시지만 작은 화로도 같이주셔서 데워 먹을수있게 배려도 해주시고.
.
친구와 가볍게 소주한잔 할수있는 그런곳이라고 생각해요.
.
.
.
.
.
#연신내#노군꼬치#야키토리#꼬치구이#오뎅#하이볼#연신내맛집#연신내술집#음주빌런#연신내음주빌런"
,,yummysmell,12분 전,2021-08-05T06:02:03.000Z,2021년 8월 5일,"#오마뎅공구중#오마뎅공구#오마뎅#광고#협찬
.
✅오마뎅 추가 물량 공구 극소량 남았습니다.✅
.
❤️구매하실 분들 얼른 서둘러 주세요.❤️
.
휴가라고 친구가 놀러 와서
점심 겸 영업할 겸ㅋㅋㅋ🤣
.
오마뎅 떡볶이 해주기!😂😂😂
.
친구 먹어보더니 오뎅, 떡볶이, 핫도그
다 맛있다고 앉은 자리에서
시원하게 10만원 결제!!😳
.
역쉬역쉬 소쿨이다.👍🏻👍🏻👍🏻
.
구매링크 열리자마자
재주문 하시는 분들도 많고
신규로 구매하시는 분들 또한 엄청나서
수량 그렇게 많지 않아요.🔥🔥🔥
.
구매 얼른 서둘러주세요.❤️
.
🌈오마뎅 떡볶이
국내산 쌀이 99% 함유된 쌀떡볶이와
연육이 82% 이상 함유된 프리미엄 부산 어묵!
오리지널 & 짜장맛 2가지!
.
🌈오마뎅 어묵세트
국내산 쌀가루로 반죽하고
고급 생선살 함유 연육 80%이상의 부산 어묵!
밀가루 반죽으로 만든 그 시중에 판매되는 어묵 아닙니다.
.
🌈오마뎅 핫도그
겉은 밀가루가 아닌 국내산 찹쌀가루, 카스테라 반죽과
무항생제 계란 사용!
국내산 한우 51% 이상 함유된 프리미엄 소세지!
.
🌈맛간장 & 비법 육수
볶음요리나 반찬, 찌개 국, 어묵탕 등에
다양하게 활용!
비법 육수로 어묵탕 끓이면 굿굿굿!!!!!
.
❌오마뎅은 밀가루, 화학 조미료, 색소 사용하지 않습니다❌
.
✅✅✅(오전 10시 이전 주문 건 당일 발송!!!!)✅✅✅
.
.
#오마뎅떡볶이#떡볶이공구#오뎅공구#맛간장#공동구매#비법육수#떡볶이#먹스타그램#먹방#오뎅#홈쿡#요리스타그램#집밥#홈메이드#쿡스타그램#간식#먹부림#어묵#맛스타#먹스타#야식#맛스타그램#먹방#요리#떡볶이#분식"
,,jeonjaekyun,1시간 전,2021-08-05T04:56:34.000Z,2021년 8월 5일,"요즘 시장에도 재밌는게 참 많아~
.
.
.
#시장 #음식 #음식스타그램 #가족 #먹방 #파전 #떡볶이 #동동주 #막걸리 #순대 #가족스타그램 #마눌님 #처남 #먹스타그램 #광장시장 #평화시장 #맛있다 #빈대떡 #음스타그램 #먹방스타그램 #찹살순대 #어묵 #오뎅"
,,tosil.__.tosil,1시간 전,2021-08-05T04:55:36.000Z,2021년 8월 5일,"#범일동#올리고떡볶이
.
.
.
오느른 분식으로 점심 뿌셔뿌셔"
,,beomfreeca_mansu,1시간 전,2021-08-05T04:46:22.000Z,2021년 8월 5일,"☎️ 032 716 9592
오늘도 범프리카 인생치킨 만수점과
함께해요 🤤🤤

#범프리카인생치킨 #범프리카
#치맥 #만수동치킨 #간석동치킨
#구월동치킨 #치킨맛집 #치킨맛집추천👍
#치맥추천 #떡볶이 #닭떡볶이 #오뎅
#만수동맛집 #만수동 #구월동 #맥주안주
#떡볶이맛집 #떡볶이추천 #좋아요
#팔로우 #맞팔 #맞팔해요🙌 #매콤한음식
#맥주 #소주 #간석동맛집 #간석동 #구월동
#인천맛집 #인천 #만수점"
