location_info,location_href,upload_id,date_text,date_time,date_title,main_text
동래어딘가,https://www.instagram.com/explore/locations/668260125/,byeongmin.jang,6월 27일,2021-06-27T03:01:48.000Z,2021년 6월 27일,"-210627
#행복찾기😘
얼마만에 낮술인가!!
동래-젠닌"
,,datecourse123,2일 전,2021-07-30T09:00:58.000Z,2021년 7월 30일,"[물에 젖은 솜? 떡? 아니죠 납 우동 면발입니다🍜]

비주얼만 특이하고 맛은 없는 거 아니냐고?
일본인도 엄지척했다는 맛집 ‘우동이요이요’👍🏼

이요이요 스시에서 작년에 오픈한 우동 맛집으로
직접 만든 납작 면위에 살얼음을 올려 그릇이 바닥을 보일 때까지 쫄깃쫄깃함을 유지한다고.

납작 우동과 꼭!! 안심 카츠를 함께 주문해서 먹어보기🥩

🔖#우동이요이요
📍주소 서울 마포구 토정로35길 29
📍영업시간 화요일~토요일 11:30~20:30 일, 월요일 휴무
📍가격 이요이요 납작우동 10,000원
🍯 TIP
1)브레이크 타임 15:00~17:30
2)주차는 염리 공영주차장 이용
3)마포역 2번 출구 도보 3분
.
.
.
@@자기야 우리 이번 주말에 납작우동 먹으러 갈까?!🤩

#마포맛집 #마포 #마포역맛집 #맛집
#맛집추천 #납작우동 #우동 #우동맛집"
"Mapo, Seoul, Korea",https://www.instagram.com/explore/locations/230094983/mapo-seoul-korea/,ayaka_omakase,7월 23일,2021-07-22T22:28:47.000Z,2021년 7월 23일,"너무 맛있는 마포에 위치한 우동집🍜 두번째 방문!✨
#일본인이인정한맛집
#한국거주일본인이소개하는맛집

지난번 방문해서 너무 맛있게 먹은 '우동 이요이요'에 또 다녀왔다! ✨이요이요 스시에서 작년에 낸 집이고, 직접 면을 만드시는데 이 집 우동 정말 너무 맛있네요! ☺️💓 내 스타일!☺️ 이번에는 기본인 붓가케 우동을 주문! 붓가케 우동은 수란도 같이 제공된다😍그리고 사이드로 고로케도 하나 주문했다.

우동은 인당 하나 주문하면 면 추가가 가능한 점도 아주 좋다😂 둘이 가서 우동 하나, 돈카츠 하나 그리고 우동을 리필하는 경우도 많은 것 같다. 리필 가능한 것을 고려하면 가격이 나쁘지 않은 것 같다! 여긴 앞으로도 자주 갈 듯!! #재방문의사100

우동 이요이요
☆Tel.: 010-3900-5675
☆주소: 서울 마포구 토정로35길 29
☆화~토 11:30~20:00 (B.T. 15:00~17:30) / 일요일, 월요일 휴무
☆붓가케 우동 9,000원, 고로케 1개 2,000원

#우동이요이요 #이요이요스시 #공덕맛집 #마포역맛집 #마포맛집 #아야카세공덕 #아야카세마포 #우동 #우동맛집 #일식 #일식맛집 #일식집 #일식집추천 #면 #면맛집 #ソウル #ソウル旅行 #ソウルグルメ #うどん #うどん屋 #うどん好き #붓가케우동 #ぶっかけうどん #혼밥 #혼밥맛집 #혼밥스타그램"
Gumi,https://www.instagram.com/explore/locations/244424588/gumi/,s.song2,2일 전,2021-07-30T10:46:22.000Z,2021년 7월 30일,"⠀
어묵 고명으로 하려다 꽃아버렸,,🍢
이번주 내내 식수가 떨어져서 휴가 가셨나 했눈데
금요일인데 갑자기 평일보다 더 마니,,,? ( ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ )
⠀
내가 먹구싶다 했던 #비비빅 들어와땨 >>ㅑ~~
#돈까스#우동#마카로니콘샐러드#미숫가루
꿀 주말 보내구 8월에도 화이링 해야디 !
⠀
#풀무원푸드앤컬처#7월#요즘은이런식
#취향존중#구내식당#집밖음식#산업체영양사
#영양사그램#단체급식#급식스타그램#산업체급식"
,,scelomania,7월 12일,2021-07-12T00:16:52.000Z,2021년 7월 12일,"안과 갔는데 의사선생님이 아침에 눈이 뻑뻑하면 뭘 해야 하냐길래
안약을...넣나요...? 했는데 틀렸다는거임

정답은 '반성한다'래

스마트폰을 하다 잠든 지난밤을 반성해야 한다고ㅠㅠㅠ
알아들으셨습니까 휴먼?
#네제얘깁니다ㅜ
#아무말대잔치"
쿠카이야,https://www.instagram.com/explore/locations/181731572260875/,ddomuk_rin,7월 21일,2021-07-21T02:47:35.000Z,2021년 7월 21일,"#부산대맛집 #쿠카이야

저녁에만 하루 10그릇‼️
납작우동을 판다고 해서
궁금함에 맛보러 갔다 왔어요😆
완전 쫄깃쫄깃 식감 제대로에요👍
가라아게도 너무 맛있으니
꼭 같이 드세요😁

#부산맛집 #납작우동 #냉우동
#우동맛집 #새우튀김냉우동
#가라아게맛집 #우동"
,,frau.heo,7월 13일,2021-07-13T10:17:01.000Z,2021년 7월 13일,"집에 쯔유 있으면 우동사리 사 오셔요...
레시피 최화정 님 쯔유국수랑 다를 게 없음.

우리의 식탁 #붓카케우동 레시피에서
귀찮은 거, 없는 거 다 쳐내고 만들었는데 맛있어요!ㅎㅎ

🫕레시피🫕
- 쯔유랑 냉수 섞어 냉동실에 1시간 이상 넣어 줌
(냉수 500ml에 일단 쯔유 50ml 정도? )
(이것도 저는 싱거웠는데, 개취에 따라 추가하길 추천)
- 우동사리 끓는 물에 1분 데쳐 건진 후, 냉수에 넣어 줍니다.

- 살짝 얼린 쯔유 국물 꺼내 그릇에 붓고 면 넣고
- 다진 쪽파 한두 스푼, 청양고추 조금 넣었음
(청양은 반개 정도 어떨까요 ?ㅎㅎ많이 넣었다 매웠어요..)
- 조미김 가위로 착착 잘라 넣으면 끝!

*저는 레몬이랑 볶은 만가닥 버섯도 넣어 줬어요
*우리 집 쯔유는 엔간히 넣어도 간이 안 맞아
남편이랑 양조간장 좀 넣었는데 괜찮았음!

오늘 날씨 진짜 더워서
급 메뉴 변경했는데 맛있네요 ㅠㅠ
다들 더위 조심!

#이제고마..
#일본음식도해뿌네
#하산해라프라우허!
#저녁하면서
#맨날혼자#하산해라외치는중..
#지하까지들어가것어
#요리#우동#살림#살림팁"
,,nongshim,7월 22일,2021-07-22T01:10:15.000Z,2021년 7월 22일,"【#튀김우동큰사발】
어제 TV 보다가 나온 그 레시피!

""튀김우동에 참치캔 살코기를 넣어라!""

배홍동비빔면의 모델이자 유퀴즈 MC가
침을 꼴깍 삼키며 추천한 레시피!

맛이 두 배 더 깊어집니다

⚠레시피 제작자인 1박2일 당시 김종'면' 님에게도 감사드려요
#튀김우동 #우동 #참치 #참치캔 #유재석 #유퀴즈 #농심 #nongshim"
本格手打ちうどん もり,https://www.instagram.com/explore/locations/578722305960080/,udon_freakier,1일 전,2021-07-31T08:41:01.000Z,2021년 7월 31일,"【強目のぷるるん麺】
〜Jiggly Udon noodles〜
.
香川県三豊市高瀬町下麻にあります、本格手打ちうどんもりさん。
高瀬川が流れるのどかな場所にお店を構えられております。まさにリバーサイドです。
.
観音寺市の「うまじ家」さんでご修行されていたこちらの大将。お店の名の通り、うどんは完全手打ち製法。独特な食感が特徴的なうどん屋さんです。
.
相変わらず「240分営業中」のインパクト強目な看板に招き入れられ入店。メニューを見ながら、何にしようか迷います。
.
せっかくなので食べたことの無いメニューを。しかもシンプルな”アレ”を頼んだことが無かったので。
ということで「おろししょうゆ冷」をチョイス。
.
しばらくすると着うどん。
つややかなうどんの様相を前に、これはもはや生き物だと確信しました。
.
まずは麺のみをすすります。
ぷるるんと弾けるような麺肌、つい見惚れてしまう官能的な装いです。麺の外側はみずみずしさとぷるぷる感、芯側にかけて確かな弾力も味わえる唯一無二な食感です。
この独特な食感はやはり手打ちならではでしょうか。完全に悩殺されてしまいました。
.
続いて醤油を適量回しかけて麺をとぅるとぅる。
なめらかな麺肌に醤油をまとわせるとさらになめらかさとつるつる感がUP。口元、喉元をいとも簡単にすり抜けていきます。
もうそれは「うどんは飲み物」とでも言えるでしょう。
.
途中で大根おろし、しょうが、ねぎ、ごま、そしてレモンを搾って味変です。さっぱりとした清涼感が加わってこれまた良き。
.
終始その独特で官能的な麺にトリコになり、気がつけば器は空っぽに。
.
のどかな高瀬川リバーサイドで官能悩殺ぷるぷる麺が味わえるもりさん。
強目にオススメ出来る西讃の実力派うどん屋さんです。
.
Sexy and glorious Udon noodles✨✨
You must be addicted to an unique texture like jiggly and chewy🤤
.
#うどん
#生醤油うどん
#讃岐うどん
#香川ランチ
#うどんはおやつ
#脳内ずっとうどん
#udon
#udonnoodles
#烏龍麵
#우동

▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼

「皆さんの脳をうどん脳に（Udon Know）」
をモットーに、僕が実際に食べてきたうどんを定期配信致しております。
フォローして頂ければ、皆さんも立派なうどん脳に🧠

▶︎▶︎ @udon_freakier

U don know superb Udon world?🌎
In this IG account, I post all kinds of Udon that I have been eating till now!
Plz feel free to follow me if you like it😋"
,,ran__nutrition,2분 전,2021-08-02T05:04:20.000Z,2021년 8월 2일,"👩🏻‍🍳 <니모우동>

#니모우동 #유부우동 #우동 #영양사 #영양사그램 #병원급식 #단체급식"
