location_info,location_href,upload_id,date_text,date_time,date_title,main_text
이바구길,https://www.instagram.com/explore/locations/283124593/,take_cho,6월 2일,2021-06-02T05:53:24.000Z,2021년 6월 2일,"오른쪽 눈이 팅팅 부어서 병원갔다가
약 먹으려고 점심 먹으러 급 들린 신복성반점

배달만 먹다 매장은 처음 가봤는데
의외로 풍경도 좋고 옛날에 동네에 있던
중국집 분위기가 나는듯해 정겨웠음
오랜만에 울면 먹었는데 특유의 걸죽함과
후추, 참기름 맛 때문에 죽 먹는 너낌

찾아가서 먹는 맛집까지는 아니지만
이바구길에 와서 밥집 고민될때
한번쯤 들러보면 괜찮을듯
사천짜장이 1인분부터 되는것 같아
다음에 도전!!

#조긍정의점심밥 #조긍정초량 #조긍정중식 #이바구길 #168계단 #신복성반점 #중식 #울면 #울면안돼 #여긴돼 #뷰도좋고 #옛날중국집느낌 #テイクの昼食 #釜山グルメ #チョリャングルメ #イバグギル #168階段 #中華料理 #シンボクソンバンジョム #ウルミョン #うまい #どろどろ系"
대학로/혜화,https://www.instagram.com/explore/locations/329699551/,iam_hoondong,2019년 3월 5일,2019-03-05T00:31:48.000Z,2019년 3월 5일,맞추지도 않았는데 둘 다 노랭쓰를 입고 만났구요 연극보기전에 선녕이가 자기는 잘 안 웃는 편이라고 하면서 연극 시작하고 보니 리얼 나만 웃고있네? 한참 웃고 옆에 봤는데.. 왜 박물관 온 듯한 눈빛으로 보고있어 ㅜㅠ #같이 #슬픈 #영화 #보면 #안되겠다 #내가 #울면 #놀림각 😧
영발장,https://www.instagram.com/explore/locations/202930413536859/,istand4u,2020년 5월 15일,2020-05-15T02:33:50.000Z,2020년 5월 15일,"#울면

#영발장

#daegu #대구 #중구 #봉산동

#대구초등
#구대구학원

#봉산문화회관
#noodle"
"Daegu, South Korea",https://www.instagram.com/explore/locations/102159636493202/daegu-south-korea/,mussima7,2020년 4월 25일,2020-04-25T07:12:02.000Z,2020년 4월 25일,"#천안문
.
울면 안돼~~
울면 안돼~~
산타할배는 우는 아이 한테는...
.
울면 주신데...
.
맛있당...
ㅋㅋㅋ
.
#대구 #우리집 #배달의민족 #중국집 #중화요리 #짬뽕 #짜장면 #야끼우동 #울면 #탕수육 #팔보채 #점심 #밥스타구램 #먹스타그램 #맛스타그램 #인스타푸드 #묵돌이 #먹스타 #머시마봉기리"
사해방중국집,https://www.instagram.com/explore/locations/1369603616426044/,mayomayo_1016,2018년 8월 16일,2018-08-15T16:26:46.000Z,2018년 8월 16일,"아는 사람들만 간다는 덕천 사해방🍜
따자하오😋
탕수육 빠싹 튀겨주세용😋
.
.
.
#덕천 #덕천맛집 #중국요리 #중화요리 #사해방 #짬뽕 #간짜장 #울면 #탕수육 #훌륭한 #맛 #맛있다 #내공넘침 #내리는남자 #먹방투어 #먹고먹고또먹고 #위대한 #🍜 #😂"
,,eeaattingg,2019년 2월 19일,2019-02-19T13:35:32.000Z,2019년 2월 19일,".
비오는 날은~ 배달 음식으로~😆
낮에 넘 날씨가 나빠서 힘들었어요..
몸에 기력이 쇠하여 배달을 시킨다는 좋은 핑계🤣🤣
.
#울면#배달스타그램#비오는날#먹스타그램#맛스타그램#맛있다그램#일상#일상스타그램#먹스타#맛스타#중국음식"
,,k.eunhye_,2016년 11월 20일,2016-11-20T05:22:54.000Z,2016년 11월 20일,"-
#불짬뽕🔥
#울면

먹고나니 속이더안조아졌어😰

#서안반점 #반점그램 #중화요리
#포항여자 #데일리 #일상그램
#푸드 #먹방 #맛스타 #먹스타
#소통 #선팔 #맞팔 #좋아요"
Chungju,https://www.instagram.com/explore/locations/263565965/chungju/,choi_bang89,2월 6일,2021-02-06T10:58:16.000Z,2021년 2월 6일,#울면 안돼
너무나도 따뜻한 내 침대 이불속(나가기 실음),https://www.instagram.com/explore/locations/1021351599/,dakkom_ii,2020년 11월 29일,2020-11-29T05:38:03.000Z,2020년 11월 29일,"📌명장동 기라성📌
.
주말은 밥하는거아이다아입니까(˃̵͈̑‿˂̵͈̑)
내내 배달로 조지는중
이러다 진짜 만삭때 뿌라스 30키로찍는거 아잉가ㅋㅋ
.
기라성 탕수육은 역시 마시따마시따
.
오늘따라 볶음밥 양 디게 앙증맞고 난리
.
나는 소싯적최애해장템 울면 땡겨서 첨시켜봤는데
내가 먹어본 울면 베3안에 드는거같음ㅋㅋ
이집 울면 잘하네👍🏻
.
집밖풍경 따위 궁금하지도않은 집콕러는👻
청소기만 돌리고 딩굴딩굴할래유
울아파트 바로옆 학교 확진자나와서 무서워용ㅠㅠ
격렬히 안나가야지(̵̵́◉ᴥ◉)̵̵̀
.
이따 피드구경가께용🥰
.
.
#다꼼맛집 #배달맛집 #명장동맛집 #기라성
#다꼼_명장동 #다꼼_기라성
.
#맛스타그램 #먹스타그램 #맛집스타그램
#짜장면 #볶음밥 #탕수육 #울면"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,everyday.eatandeat,10시간 전,2021-08-23T13:32:34.000Z,2021년 8월 23일,찹쌀 찹쌀 탕 슉!
