location_info,location_href,upload_id,date_text,date_time,date_title,main_text
"맛있는부산 - 부산맛집, 부산여행, 술집, 데이트",https://www.instagram.com/explore/locations/518404958295988/-/,june1012,7월 21일,2021-07-21T07:14:03.000Z,2021년 7월 21일,"연산동 서가원국수
좋은 재료에 주인장의 정성이 담긴 국수 한 그릇. 남해 통영산 멸치로 끓인 구수한 국물은 요즘 최애 해장템이다. 면은 구포국수, 소금은 신안 천일염. 대구의 국숫집들처럼 아삭고추, 청양고추도 함께 곁들일 수 있어 너무 좋다.
파주 장단콩을 사용한 고소한 콩국수 역시 최애 메뉴. 가격도 착하고 맛도 좋고. 가까이에 있어 너무 좋은 집이다.😋👍
날도 더우니 시원한 얼음국수라도 한 그릇 하면 좋겠다.
.
잔치국수 : 4,000원
콩국수 : 6,500원
.
#쥰_최애
.
#맛있는부산 #식도락가 #쥰맛지도
#맛부_서가원국수 #서가원국수쥰
#맛부_국수 #국수쥰
#맛부_연산동 #연산동쥰"
오잉...?,https://www.instagram.com/explore/locations/281913770/,jjini_2016,2일 전,2021-07-27T08:11:44.000Z,2021년 7월 27일,".
조금만 주세요~~해야 걸어 나올수 있는곳ㅋㅋ

시원하게 냉국수 먹으러 뿅➿

이집은 따신 국수가 마싯는데
숨쉬기 힘든 날씨라 냉국수로ㅋ

김밥은 밖에서 사와야된다~
김밥이랑 깍두기는 💯💯

풀떼기도 마이 넣어주고
양이 진짜 느므 느므 많다👍👍

여기가 실내가 아니라스 시원할때까진
잠깐만 헤어지야겟다ㅋㅋ🥵

.

.

#국수#잔치국수#냉국수#냉잔치국수
#물국수#김밥#깍두기#칼국수골목#국수맛집

,"
,,maison_de_yul,1일 전,2021-07-28T05:26:41.000Z,2021년 7월 28일,"#maison_de_yul #메종드율
열심히 일하고 먹는 새참 #잔치국수
엄마표 열무김치 곁들이니 오늘따라 더 맛있네요~
육수는요~~멸치,무,파 넣고 끓이다
#우마이쯔유 넣고 간 맞춘 후 건더기 건져요~(감칠맛👍🏻)

✍🏻양념장만들기
우마이쯔유1:국간장1 비율로 섞은 후
대파,청양고추,마늘,참기름,고춧가루,깨소금 넣고 섞어요!

채썬 신김치 듬뿍! 애호박볶음,계란지단 듬뿍!
#우마이쯔유_휘뚜루마뚜루🙌🏻

📍 내일까지 #쯔유데이 이벤트💗
#우마이쯔유 단품 구매시 #미니소스 (100ml) 서비스!
우마이쯔유 단품 구매 갯수만큼 미니소스 드려요😘

✔️메종드율 사이트
maisondeyul.net (인스타 프로필에 링크)
✔️메종드율 블로그
네이버 검색창에 “메종드율” 검색
.
#메종드율쿠킹스튜디오"
"Jinhae, Kyŏngsang-Namdo, Korea",https://www.instagram.com/explore/locations/246200891/jinhae-kyongsang-namdo-korea/,vv_bbk,6월 8일,2021-06-08T03:39:35.000Z,2021년 6월 8일,"옛날촌국수집

너무 더워서 시원한 콩국수 먹으러
왔는데 옆에 어르신이 잔치국수를
너무 맛있게 드시길래 나도 잔치국수 초이스,,😂
#잔치국수"
경의선숲길 효창공원역,https://www.instagram.com/explore/locations/198545104140688/,seo.muk,6월 26일,2021-06-26T12:14:48.000Z,2021년 6월 26일,"#국수집
⠀
✔️가격 : 잔치국수 ₩4,000, 비빔국수 ₩4,000
✔️위치 : 서울 용산구 백범로 275 용산kcc스위첸 상가동
✔️시간 : 매일 11:00 - 22:00 일요일만 휴무
⠀
효창공원역 근처에서 유명한 국수집에 갔다왔어요!
여기가 이사를 2번했는데
저는 여기서 국수먹은지 6-7년 된 것 같아요
제가 여기 비빔국수를 정말 좋아하거든용👍
⠀
정말 한 1년만에 갔는데
깔끔해지고 좋더라구요
근데 사장님이 마스크를 잘 안쓰시고 음식을
만드셔서 좀 찝찝했습니다😭
위생 신경쓰시는 분들에게는 비추천드려요..
⠀
여기는 곱배기를 시켜도 추가금액이 없어요
완전 가성비 넘치죠!❤️
⠀
저는 진짜 너무 먹고싶었던 비빔국수를
시켰어요!
근데 이 날이 저랑 이 국수집이랑 안맞는 날
이었을까요...
비빔국수에 나오는 국물에서 벌레가 나오고
바로 바꿔주시긴 하셨지만 아쉬운 부분이었습니다😭
⠀
그리고 비빔국수가 옛날 그 맛이
안나서 더 슬펐던 것 같아요
진짜 비빔국수 너어어어무 좋아했었는데...
⠀
잔치국수는 그래도 그대로 맛있었습니다!
저는 계란지단이 너무 고소하고 좋더라구요!
⠀
오랜만에 가서 추억의 맛을 느끼고싶었는데
조금은 아쉬웠던 한끼였습니다🥲
⠀
✔️재방문의사는 이제는 안갈것같아요..
이러고 생각나면 정말 2년에 한번정도 갈 듯합니다...🙃
⠀
#효창공원국수집 #효창공원맛집 #효창공원역맛집 #국수 #잔치국수 #비빔국수 #맛집 #서울 #서울맛집 #먹팔 #먹팔해요 #먹스타맞팔 #먹스타그램 #맞팔 #맞팔해요 #맞팔환영 #맞팔선팔환영 #선팔 #선팔하면맞팔 #선팔하면맞팔가요 #선팔환영 #좋아요반사 #좋반 #좋아요 #선팔댓글"
,,scelomania,7월 19일,2021-07-19T09:15:44.000Z,2021년 7월 19일,"바람이 불었다 휴지가 날렸다 잡았다 젓가락이 굴렀다 움켜 잡았다 깍두기 그릇이 드륵 밀리고 있다 저건 놓치면 나가린데
간신히 텔레파시로 동료에게 신호를 줬다
잡았다 테이블 옆으로 비닐 봉다리 구겨진 신문지가 날아다닌다 바람이 더 거세졌다 똑똑똑 누군가 노크를 했다 아뿔사 빗방울이었다 망했다리 내 숟가락질이 빠를지 빗방울이 더 거세질지가 관건이다 하지만 걱정마라 손은 눈보다 빠르니까.. 그치만 입은 그렇지 않았다 목이 메인다

조금전 상황이 떠오른다
만둣국 양을 본 실장님
공기밥 하나 더 주실 수 있나요?
사장님 : 걱정마세요 양 안적을꺼에요

그랬다 먹어도 먹어도 줄지 않는 떡만둣국
숨이 차오른다
비는 거세진다
어느새 먼저 먹고 나온 동료들이 웃으며 빗속에 걸신 들린 모습을 찍어댄다
이 기분으론 집 앞에 내둔 먹다 남은 짜장면도 먹을 수 있을 것 같았다 그런 점심이었다
#아무말대잔치
#중동맛집 #사우디맛집
#오별난멸치국수"
,,clarainterior,7월 5일,2021-07-05T05:33:24.000Z,2021년 7월 5일,"#첫줄
.
.
시원하고 깔끔한 육수의 잔치국수가 땡기는 계절이 왔습니다
물론 저는 식단중이니까 올한해 못먹고 지나가겠지만
국수러버분들을 위해 맛집 한번 다같이 공유해봐주시면 어떨까요
저는 일단
1.울엄마표 잔치국수
2.지산동 소문난 손국시
.
.
#국수맛집#대구국수맛집#잔치국수#일상#먹스타그램"
,,homec0.0k,6월 5일,2021-06-05T10:14:07.000Z,2021년 6월 5일,"간단하게 국수 한그릇 호로록😗
⠀
*양념장레시피
간장 4
고춧가루 / 매실액 / 참기름 / 깨 / 다진파 1
다진마늘 0.5
⠀
양념장 맛있었으니까 메모📝"
별미국수,https://www.instagram.com/explore/locations/257019331640052/,daegudelicious,2일 전,2021-07-27T05:33:38.000Z,2021년 7월 27일,"비빔국수에 잔치국수
더운 여름 최고 국수
비빔 새콤달콤에 매력
수성구 범어천로 41
별미국수
-

#별미국수
#비빔국수
#잔치국수
#범어동#범어동맛집
#맛집#대구맛집#맛따라길따라
#daegudelicious#윤이아빠"
장수마을,https://www.instagram.com/explore/locations/577086852371394/,juyeon0828,18분 전,2021-07-30T00:36:43.000Z,2021년 7월 30일,"엄마 백신맞고 아프시다해서
꼬이사드리기 😭😭😭😭😭
맛나게 뿌시고와서 아가들은 카레후다다닥해주기🥰

#역곡맛집#장수마을#차돌박이#김치는구워먹어야제맛#콩나물#부추무침#다때려넣고#깻잎에싸서#존맛#찐맛#마무리는#잔치국수#잔치국수맛집#존맛#찐맛#카레여왕#야채많이#맛스타그램#먹스타그램#삼남매맘#줌마그램#맞팔환영#홈쿡#집쿡#아줌니일상"
