location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,make_lovestory,6월 19일,2021-06-19T05:24:32.000Z,2021년 6월 19일,"🍜잡채
.
.
부추부침개 만들고 남은 부추가 있어서
부추잡채 만들었어요!
재료를 따로 볶으면 손이 많이 가니까
한번에 편하게 볶아서 만들었어요!
.
.
▶️잡채 만들기!
1. 고기 양념=>간장 3스푼+설탕 1스푼+다진마늘 1스푼+후추+참기름
2. 기름을 두른 팬에 고기를 넣고 볶다가 고기가 익을쯤 준비한 재료와 식용류+소금을 약간 넣어 볶는다.
3. 불린 당면을 7분 정도 삶는다.
4. 당면 300g 식용류 5스푼, 진간장 8스푼, 설탕 2.5스푼을 넣고 당면을 볶는다.
5. 불을 끄고 볶아진 당면에 볶아진 야채와 양념을 넣고 섞는다.
(제 영상처럼 저렇게 불 끄고 볶듯이 섞어도 되구~
면장갑이랑 위생장갑 끼고 버무려도 돼요!
식으면 어차피 또 데워 먹으니~ 약불에 볶진 않았어요!)
양념=>간장 4스푼, 설탕 1스푼, 다진마늘 1스푼, 참기름,깨,후추,소금 약간(소금은 싱거우면)
🗣 부추는 오래 볶으면 질겨지니까 재료 섞을때 넣거나 마지막에 넣으세요!
모자란 간은 소금이나 간장!
단맛이 부족하면 설탕!
.
.
중고등 학생때 신촌에 가면 신촌 뒷골목에
떡볶이 집이 쪼로록 있었는데
자주 가던집에서 부추만 넣은 잡채
한접시에 1,000원인가 1,500원인가 2,000원인가 팔았는데
맛있어서 갈때마다 시켜 먹은 기억이 나네요!
다른 재료가 안들어가니까 후추랑 마늘을 많이 넣었던것 같아요!
재료 없으면 부추만 넣어도 간단하게 먹을만 해요!
.
.
저는 포도 데리고 실밥 뽑으러 가요!
모두 행복한 주말 보내세요!
.
.
#악질여사동영상 #악질여사레시피모아보기
#악질여사_잡채 #잡채 #부추잡채 #잡채만들기"
,,maison_de_yul,7월 9일,2021-07-09T10:12:10.000Z,2021년 7월 9일,"#maison_de_yul #메종드율
4단계…2주간 집콕모드로 집밥 더 열심히 하게생겼네요~
오랜만에 #잡채 🙌🏻 목이버섯 듬뿍듬뿍!!!
믿고 먹는 레시피니까 꼭 해드세요😘

윤기 좌르르르 찰지고 맛난 잡채~
✍🏻잡채양념 (당면 200g분량)
#우마이쯔유 2T+양조간장3T+설탕1T반(한큰술반)
이비율 진짜 찰떡이에요☺️
많이 만들어놓고 양에 따라 넣으면 되요^^

✍🏻잡채용 소고기200g 밑간하기!
우마이쯔유4T+마늘2T+설탕1T+참기름1T+후추약간

고기볶고,집에있는 채소 살짝만 볶아서
삶은당면+고기+채소+잡채양념+참기름+순후추 넣어섞기!
마지막엔 통깨 솔솔😊
✍🏻여기서 팁)
한김 식을때까지 잡채를 한번씩 뒤적뒤적 해주면
당면이 서로 붙지않아요!
#우마이쯔유_휘뚜루마뚜루🙌🏻

✔️메종드율 사이트
maisondeyul.net (인스타 프로필에 링크)
✔️메종드율 블로그
네이버 검색창에 “메종드율” 검색
.
#메종드율쿠킹스튜디오"
,,_panda__bear__,6월 20일,2021-06-20T01:02:56.000Z,2021년 6월 20일,".
#공구마지막날
#하나만사도무료배송
#특가라서쿠폰사용은안돼요
.

무지 신경쓰는 일 진행중이라🙈
주말 공구 영상을 많이 못 보여드렸어요;
.
그래도 품질믿고 구매 많이 해주셔서
정말 감사드려요🤗🤗
볼미니웍 구매해주신 분들이 주물냄비도
같이 주문해주시니 그만큼 믿어주시는 마음,
넘 감사드리고 기대에 꼭 부응!하는
제품만 보여드리도록 애쓸게요 ㅎㅎㅎ
.
.
.
영상은 #말랭이여사 @avec_sssung 네
#잡채키트 로 만드는 라면보다 쉬운 #잡채
고기만 넣고 휘리릭 볶아먹음 진짜 최고예요!
.
.
뒤의 영상들과 이전 피드 설명등
꼼꼼히 체크하셔서
필요하셨다면 마지막날 꼭 놓치지 말고
멋진 주물냄비와 에코라이트 시리즈-
꼭 겟하시길 바라요~!!
.
.
오전부터 나른해요🥺🥺
모쪼록 다들 힘나는 일요일 되세요!!
.
.
#판다공구 #홈쿡 #집밥 #homecook
#홈메이드 #cookingvideo #foodvideo"
충북혁신도시,https://www.instagram.com/explore/locations/1211823685588589/,yunmi.heo,7월 6일,2021-07-06T10:03:47.000Z,2021년 7월 6일,"칼퇴후 저녁은 잡채🍚
.
대충 라면이나 끓여먹으려고했는데🥲
윤씨들이 잡채가너~~무먹고싶대서
당면사다가 호다닥 잡채👩‍🍳
.
실컷먹고 질리라고 잔뜩~~했어요
다신안찾게🤫
즐거운 저녁시간되세요👋
.
.
.
#잡채
#잡채밥
#저녁밥상
#저녁밥
#집밥
#홈쿡
#먹스타그램
#온더테이블
#충북혁신도시"
답십리동,https://www.instagram.com/explore/locations/311524342/,0seoneun0,7월 22일,2021-07-22T00:34:47.000Z,2021년 7월 22일,"21. 7.22  목🎈뚱스집밥  #밑반찬
#잡채#호박볶음#가지볶음#감자샐러드 🎥포함리뷰
ㆍ
뚱모닝~~🙃
오늘도 아침부터 덥네요~ 
ㆍ
어제 만든 반찬이예요~~ 
인친님이신 나라집밥님이 @narayeon_sso_hyun_ 주신 유기농 가지와 수미감자로 가지볶음과 감자샐러드하고 냉장고속 호박 볶고 자투리야채 이용해서 잡채도 했어요.
ㆍ
호박에는 보리새우 넣어 볶고, 가지는 물컹한 느낌 안좋아해서 에프에 돌려서 수분날린후 굴소스로 볶으면 맛있더라구요~  어차피 애들은 안먹을거라 고추기름 넣고 매콤하게 볶았어요~^^
ㆍ
감자샐러드에 밤호박 남아있던거랑 아몬드 슬라이스 섞었더니 더 맛있네요👍 밤호박 넘 좋아유~~~♡♡
ㆍ
설레는 목욜이예요~
울님들 오늘도 화이팅 💕
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
#밑반찬만들기#도시락반찬#반찬#반찬만들기#반찬스타그램#반찬데이#홈메이드#요리스타그램#인스타푸드#집밥스타그램#엄마밥상#밥상#가정식#홈쿡#아이밥상#한식#푸드스타그램#홈쿡스타그램#오늘뭐먹지#집밥#도시락#집밥#요리하는여자#냠냠"
Pyeongtaek-si,https://www.instagram.com/explore/locations/899110480127000/pyeongtaek-si/,minkyung0110,6월 16일,2021-06-16T02:49:01.000Z,2021년 6월 16일,"📍가벼움앤 공구는 오늘마감📍
#공구중 #가벼움앤 #디톡스 #디톡스다이어트 #디톡스 #숙변제거 #다이어트 #평생숙제
#구매는프로필링크✔
👉🏻 @minkyung0110

📢정가대비 76%할인중인 가벼움앤은 내일 오전 10시까지 주문건만 받고 마감합니다~~
저도 평일에 이렇게 잘먹고 주말에 좀 비울꺼에요🤣🤣🤣
드셔보신 분들 리얼후기 저에게 알려주세요 ㅋㅋㅋ

🔸오늘도 검식을 식사처럼🔸
🥢오이냉국 (동치미 얼음 동동 )
🥢버섯어묵잡채
🥢도토리묵무침
🥢가지무침
🥢열무김치"
,,kimsaelyun,7월 21일,2021-07-21T10:52:34.000Z,2021년 7월 21일,#통영 #집밥#밥순이#집밥스타그램 #요리하는여자#홈쿡#요롱이표집밥#요롱이밥상#근사한요리없는#생일상#반찬끌어낸상에#기본생일템만얹어서#여보생일축하해#보리굴비살#소불고기#잡채#미역국#육전#동그랑땡#굴비구이#여보손떨지마#본인생일에체할거같음🤣#운동뺀마누라부담스러운#담생에도내남편이어야해#난다른거바라는거없다#생일축하해#늘고맙고미안한#존경하는내남편
,,1053yony.table,7월 22일,2021-07-22T07:05:13.000Z,2021년 7월 22일,"#알텐바흐스텐밧드 (공구마감)
스텐밧드 공동구매 마감되었습니다.

오늘 오전에 재공구 문의를 많이 주셔서 연장하기로 했어요
뜨거운 성원에 감사드려요!!! ♥‿♥

✔️알텐바흐 스텐밧드는 구매는 제 프로필 링크에서
구매가능하세요. 👉🏻 @1053yony.table
✔️공구는 오늘(7/22)까지입니다.
✔️구매이벤트도 있으니 오픈피드에 남겨주세요.

알텐바흐스텐밧드는 요리준비에서 완성까지 함께하는
요리템이에요^^
- 모든 구성에 뚜껑,와이드채망 포함
- 독일 알텐바흐의 기술력으로 국내생산 304스테인리스
- 오븐,에어프라이어,식기세척기 사용가능(뚜껑제외)
- 소형,중형,대형(쿠진아트에어프라이어오븐 사용가능)
-소형(디디오랩에어프라이어 사용가능)

점심으로 콩나물잡채 한 그릇 만들어 뚝딱했어요.
있는게 콩나물과 남은 부추뿐이라 양파만 추가해서
간단하게 만들었어요.
콩나물을 듬뿍 넣으니 매콤 아삭아삭해요.
한 그릇 금방 비웠네요 ㅎㅎㅎ

- 레시피는요.
콩나물 한봉지,부추,양파,당면100g을 불려서
준비해요(사진속 밧드는 생선용사이즈예요)
물1컵(200ml) 간장3T 굴소스1T 다진마늘1T 고추가루2T 설탕1T 물엿1T 포도씨유2T 를 넣고 끓기 시작하면
불린 당면을 넣어요.
당면이 부드러워 지면 콩나물을 넣고 같이 볶아주세요.
콩나물이 익으면 양파,부추를 넣고 볶다가 불을 끄고
참기름,통깨를 뿌려주세요.
기호에 따라 후추를 조금 넣어 주셔도 되세요.

.
.
.
#잡채#콩나물잡채#요리
#스텐밧드#주방용품#요니테이블"
,,maison_de_yul,7월 14일,2021-07-14T12:17:26.000Z,2021년 7월 14일,"#maison_de_yul #메종드율
또 잡채 해달라고 해서 후딱 했네요^^
#잡채 한접시에 맥주 한캔~~샤워하고 한잔 하니 속이 뻥😆

✍🏻잡채양념 (당면 200g분량)
#우마이쯔유 2T+양조간장3T+설탕1T반(한큰술반)
이비율 진짜 찰떡이에요☺️
많이 만들어놓고 양에 따라 넣으면 되요^^

✍🏻잡채용 소고기200g 밑간하기!
우마이쯔유4T+마늘2T+설탕1T+참기름1T+후추약간

고기볶고,집에있는 채소 살짝만 볶아서
삶은당면+고기+채소+잡채양념+참기름+순후추 넣어섞기!
마지막엔 통깨 솔솔😊
✍🏻여기서 팁)
한김 식을때까지 잡채를 한번씩 뒤적뒤적 해주면
당면이 서로 붙지않아요!
#우마이쯔유_휘뚜루마뚜루🙌🏻

👉🏻내일까지 사이트에서 #무료배송이벤트 중 입니다🙌🏻
#2만원이상 구매 시 #무료배송

✔️메종드율 사이트
maisondeyul.net (인스타 프로필에 링크)
✔️메종드율 블로그
네이버 검색창에 “메종드율” 검색
.
#메종드율쿠킹스튜디오"
행복한우리집,https://www.instagram.com/explore/locations/470052696357532/,phj_phj_phj_phj,5분 전,2021-07-31T01:35:15.000Z,2021년 7월 31일,"🥳🎉🎂🎊🎁🎈
7.29
펜션예약 취소되고..집에서한 생일빠뤼~~^^
잡채는단골반찬집에서.
불고기는단골식육점에서재워둔거.
부추전은엇니랑점심먹고남은거싸온걸로.
멱국만 내손으로😝😝😝
그래도 용돈 많이 넣었오.여보ㅋ
생일축하해💜❤️💜❤️💜❤️
잘해주께아라찌😘
.
.
.
#남편생일
#집밥
#주부코스프레
#사랑해
#생일축하해"
