location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,hyun2_hyun2_s,6월 30일,2021-06-30T06:11:54.000Z,2021년 6월 30일,"ㆍ
어제는 음력생일
오늘은 양력생일 😁

젊었을땐
일년에 생파 두번씩 꼭 챙겨서 했는데
이제 제생일은 반갑지가 않네요~😂

나이 먹는것도 싫고ㅋㅋㅋ
ㆍ
ㆍ
조용히 아무것도 안하고싶었는데

부모님께서 밥사주신다고
나오라고 하셔서ᆢ

그냥 집으로 모셨어요~

급하게 신랑이랑 장 보고..

투덜대니 아무것도 하지말고
국만 끓이고 시켜먹자고~~
ㆍ
ㆍ
전복버터구이 해준다고 사와서는
손질만 해주고ㅋㅋㅋ

설거지해준다는데ᆢ
저도 못시켜요.. 못믿어서ㅋㅋㅋ
안시킬줄 알고 해준다는거 같아요~

ㆍ
ㆍ
대구뽈찜 도착 한지 30분
지나서 엄마오시고..
아버지는 못오시고😭
ㆍ
ㆍ
그래도 맛있게 잘 먹었던 날 이네요~
ㆍ
ㆍ
생일 추카해주셔서
감사합니다💛

선물도 너무 감사해요❤

#내생일
#생파
#완도전복 #전복버터구이
#대구뽈찜 #가마로강정 #닭강정
#미역국
#조각케이크
#배달음식

#덜어먹는습관

#시켜먹어도설거지한가득
#내일하고일찍쉬라는고정멘트ㅋ"
Gangnam District,https://www.instagram.com/explore/locations/228341267/gangnam-district/,sun_ny78_bobsang,5월 20일,2021-05-20T13:44:14.000Z,2021년 5월 20일,"#감사한선물🎁 #협찬 #이벤트당첨 @mothertree_01

팔 인대 물리치료로 기운도 없고 인님들 피드에서 전복보면서 군침만 흘리던 요린이가 #마더트리 에서 전복을 선물받았어요!!
무야호🎶🎶~~~

인님들처럼 맛있게 먹어볼께요😋😋~~

🦪 전복 실속형 25~30미 1kg

✔️완도하면 전복, 전복하면 완도
✔️패류의 황제인 전복은 함황 아미노산이 풍부해 면연력과 기력회복! 피로해소에도 도움!
✔️타우린이 풍부하게 함유되어 있어서 담석을 녹이거나 간장 해독 기능을 강화에 도움!
✔️콜레스테롤 저하 및 심장 기능 향상과 시력회복에도 도움!
✔️전복의 아르기닌 성분은 성장발육에도 뛰어나게 도움!
요놈요놈 요물이네요!!!🌟
어른도 아이에게도 좋은 바다의 보약 전복입니다💚~
✔️산지직송이라 전복이 엄청 싱싱하고 포장도 꼼꼼!! 아이스팩 디자인도 넘 예뻐요😘
또하나 전복 세척솔도 함께 보내주신 센스에 완전 찐 감동이욤😍~
✔️전복으로 전복버터구이, 브라운치즈솔솔뿌린 전복버터구이, 전복볶음밥, 요즘 피드에 많이 보여 김밥 먹고 싶어서 전복김밥을 해봤어요!!
요린이 팔과 어깨로 병원 다녀서😰😰 전복 세척 고민이 컸는데 아침에 남편이 깨끗히 세척해 놓은거 보는 순간..완전 찐사랑이예요😘😘
✔️전복버터구이에 브라운치즈 솔솔 뿌려 먹었는데, 완전 찐맛이예여!!드셔보세요!!👍

완도의 신선하고 건강한 먹거리, 엄마의 마음을 담은 다양한 특산물을 우리와 함께하는 #마더트리 💙
완전 감사히 잘 먹었습니다!!😋
힘이 불끈 나욤💪💪

📌 구입처 👉 @mothertree_01
네이버에서 ‘마더트리’ 검색하시면 뿅나와요!!😍

#마더트리 #전복 #완도전복 #완도특산물 #전복추천 #산지직송 #요린이오늘 #전복플렉스🎶🎶 #전복버터구이 #브라운치즈솔솔 #전복김밥🍙 #오징어무침대신 #무말랭이김치곁드려서 #제주보리김치랑시원하게 #냠냠😋😋 #믿먹백종원쌤레시피 #전복볶음밥 #솥밥안좋아하는짝꿍위해패스🤣🤣 #시어머니완전흡입하시며행복해하셔서행뽁💙 #건강한밥상 #집밥 #슬기로운주방생활 #dinner #meal #h_soban #화소반 #sun_ny78bobsang"
밥뭐먹나,https://www.instagram.com/explore/locations/100348801782536/,cakewalk_x,6월 10일,2021-06-10T08:57:08.000Z,2021년 6월 10일,"#고래맛집

제주도 가서 전복돌솥밥 안먹고 오면 서운하쥬😌
전복 양 보소? 전복 반 내장반,,달큰하면서 고소해요
버터 따로 주시는데 넣어서 비벼먹으면 고소함이 배가 되는🤤

전복뚝배기엔 전복 3개 들어있구 시원하고 얼큰한 전형적 해장국물!!
고등어는 말해 뭐하겠어요🤷‍♂️
_
#전복돌솥밥#전복뚝배기
#큰물살아있는해물탕"
,,osj870114,7월 26일,2021-07-26T13:03:53.000Z,2021년 7월 26일,"늦은 퇴근하고 와보니 오빠가 해준 #전복버터구이 #전복내장밥 😁 너무 더워서 기운이 하나도 없다
이럴땐 해외여행 한번 다녀와서 리프레쉬 해야하는데 😭 망할 코로나 😩 #집밥스타그램"
,,kimseoul1988,5월 27일,2021-05-27T11:54:01.000Z,2021년 5월 27일,"어제 아버님 생신이셨는데
남편 근무 때문에 찾아뵙질 못했어요.

식당가는 것도 쉽지 않아
오늘 집으로 모셨답니다:-D

전복닦기, 쪽파까기, 뒷정리 등등
직접해보니 알겠다고
명절이고 생일이고 남자도 움직여야 한다는 나의 주방보조
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱ

여보 다음달은 울아부지 생신 ❤ 캬

#생신상 #생일상차림 #생일상 #온더테이블 #쌈무말이 #스테이크 #모듬전 #전복버터구이 #스팸두부김치 #베이컨아스파라거스말이 #시금치무침 #콩나물무침 #멸치볶음 #콩나물김치국 #회 #먹스타그램 #맛스타그램 #며느리그램"
,,camping.room,6월 8일,2021-06-08T08:15:11.000Z,2021년 6월 8일,"🦪고소한 맛이 일품! 전복버터구이🧈

------------------------------------------------
❤ @yjeong._ 님!
소중한 추억을 공유해주셔서 감사합니다 :)
------------------------------------------------

캠핑장에서 #전복버터구이 는 못 참지😫

마늘 & 버터의 풍미가 살아있는 전복버터구이🦪🧈
쫄깃한 식감과 고소한 맛이 특징인 요리랍니다!
먹다보면 어느새 순삭하게 되는 보양메뉴라 할 수 있져😋

특별히 #백선생님 10분컷 특급 레시피를 들고 왔으니
맛 보장은 이미 백프로쥬? 언능 확인해봅시다🙌

✅ 재료
전복, 오일, 마늘, 버터

✅ 레시피
1⃣ 전복을 손질해준다 (이물질 없애기, 껍질 분리, 내장&이빨 제거)
2⃣ 팬에 기름을 두르고 통마늘을 익혀준 후, 전복을 넣고 같이 굽는다
3⃣ 전복 겉면이 반 이상 익으면 기름을 제거한다
4⃣ 고소한 풍미를 더해줄 버터를 넣고 마무리로 볶아준다

𝑻𝒊𝒑.
✅ 전복에 칼집을 넣어주면 버터 향이 골고루 배어요✨

_
캠핑에 대한 모든 것, 캠핑룸과 함께 하세요❤"
,,lime_jxx,7월 14일,2021-07-14T12:59:56.000Z,2021년 7월 14일,"요며칠 경황이 없어서
초복도 못 찾아 먹었어요ㅠ
날이 점점 더워지니 기운도 없고
축축 쳐지는 지요😔
입맛도 없어서 반찬 몇가지랑 삼계탕 끓여 봤어요 이 더위에 기력보충 하겠다며
주방에서 땀 범벅 다 젖고😥
기절 하는줄요 느므느므 더버요~🥵
만들다 몇번은 나가서 먹을껄 후회 했잖아요~~
휴우😮‍💨🙈

삼계탕에 찹쌀죽 끓이고
중탕계란찜,꽈리고추찜,우엉조림,아삭이고추무침,전복버터구이,콩자반,백김치,열무김치 곁들였고
남은 실비 파김치 먹으니 역시 꿀맛 이에요~😋

무더위 수분보충 잘 하시고
건강 잘 챙기시길 바랄게요~❀ ❛◡❛
.
.
.
.
.
.
.
.
.
✎✎✎✎✎✎✎✎✎✎✎✎✎✎✎
#삼계탕 #초복 #복날 #찹쌀죽 #보양식 #건강식 #집밥 #오늘뭐먹지 #맛팔#맛있다그램#반찬데이
#먹팔 #집스타그램 #요리하는여자#전복버터구이
#백김치#실비파김치 #중탕계란찜
#홈메이드 #온더테이블 #플레이팅
#homemade #onethetable
#homecook #homefood
#food #foodstagram #instafood #koreanfood #kfood"
진복호 신관,https://www.instagram.com/explore/locations/594065261028044/,_jinbokho_032_,1일 전,2021-08-05T05:55:22.000Z,2021년 8월 5일,"여름에도 고소하게 보내야지~
단호박과 전복의 조화!

내장까지의 구이의 맛도
참 좋은 버터전복구이!😁

지글지글 맛있게 익어가는 전복과
소리만 들어도 침꼴깍💦
하게 되는 비주얼!
궁금하시다면~ 진복호로go!"
요리왕,https://www.instagram.com/explore/locations/1008549920/,kyubin_daystar,5월 10일,2021-05-10T08:32:01.000Z,2021년 5월 10일,"#쉐프서완_동영상

🥳전복 버터 오븐 구이

오늘은 “전복 버터 오븐 구이”입니다.
사실은 크게 뭐가 들어가진 않지만,
쉐프인 신랑의 손길로 고급져 지는
요리의 완성을 보시게 되실꺼에요.

손길 하나에 레스토랑 부럽지 않은
정말 맛있는 요리였어요.
혼자 거의 다 먹었다는 건 안 비밀 🤫
힝 너무 모잘란것도 안 비밀 🤐

재료 : 전복 , 버터 , 간마늘
버터갈릭소스 : 버터 4스푼, 소금 약간,
설탕 티스푼으로 반 티스푼 넣고 섞어서
준비를 해주세요.

𝟙. 전복은 씻어서 준비 해주세요.
(바로 전전 피드 전복 손질하기 편을 보시고 준비해주시면 됩니다)
𝟚. 손질된 전복은 껍질을 분리해 칼집을 내어 준비해주세요.
𝟛. 올리브 오일을 후라이팬에 두르고,
전복을 앞,뒤로 뒤집어 가며 30~40초 정도 구워 줍니다.
𝟜. 이때 로즈마리 가루, 후추를 뿌려 마무리 해주시면 됩니다.
𝟝. 전복 껍질에 구운 전복을 올려 만들어 놓은 버터갈릭소스를 올려주세요.
𝟞. 오븐에 220도에 4분 정도 굽습니다.
𝟟. 이쁘게 플레이팅 하면 완성 🤩

tip. 저희는 그라노파다노, 레드 파프리카, 후추 톡톡, 파슬리 가루로 플레이팅을
해주었습니다.

전복도 신선하고 맛있어야 이렇게 만들맛이 나겠지요.
저희 전복은 @cham_joheun_susan
에서 협찬받아 진행하였습니다.
이래서 다들 완도산 전복 노래를 부르는가 봅니다 ^_^

월요일😜날은 꾸리하지만 마음만은
아주아주 화창한 하루 보내시길 바래요.

#전복요리 #전복버터구이 #전복
#참좋은수산 #협찬 #홈쿡
#요리하는남자 #요리스타그램"
,,yoyomi2488,2분 전,2021-08-07T01:43:55.000Z,2021년 8월 7일,"#요요미일상
ㆍ
ㆍ
ㆍ
오늘도 불맛 🔥
ㆍ
오랜만의 치즈가리비도 맛있었지만
ㆍ
완도 산지직송 전복은
ㆍ
입에서 녹고, 그전복 듬뿍 넣고 끓인 라면은
ㆍ
세상 꿀맛이었다고 한다 😋
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
#전복으로배채우기는처음🤭
#시장에서사먹는전복은
#조개였어😁
#완도에지인이있으면좋은거였군🤭
ㆍ
#전복구이#전복회#전복버터구이
#전복라면#가리비치즈구이
#오늘도좋은날"
