location_info,location_href,upload_id,date_text,date_time,date_title,main_text
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,ddomukzzi,3일 전,2021-08-03T11:44:47.000Z,2021년 8월 3일,"< #협찬 인데 마잇음💛/ #고수의집밥 @gozipfood / 김정이 #삼계탕 + 전복&능이버섯 죽 >
삼계탕 지쨔 져아해서 주기적으로 먹는 편인데 택배는 처음인데 마잇어요!!💛
잡내 하나도 안 나고 완전 간도 딱이고 삼계탕+죽 전부 다 마잇어요!!!!👍🏻💛
✔️삼계탕
닭 완전 야들하구 살 통통하구 살짝 한방맛 나면서 국물이 찐하구 걸죽하구 존맛탱ㅠㅜㅠㅠ💛
잡내가 하나도 안 나서 지쨔 마잇어요ㅠㅜㅠ
따로 소금 안 찍어먹어두 굿굿ㅎㅎ
✔️전복죽
전복때매 꼬숩하구 씹히는 맛이 져은 아이!💛
따뜻하게 먹으니까 배가 따뜻하구 든든해지는 느낌이 굿굿ㅎㅎ
✔️능이버섯죽
딱 먹자마자 능이버섯의 향긋함이 확 느껴지면서 능이버섯이 챱챱 씹히는게 존맛탱구리ㅠㅜ💛
갠적으로 버섯덕후라 얘가 더 마잇엇어요!!💛
✔️전체적인 맛과 느낌
삼계탕 져아하시면 꼭 한 번 드셔보세요!!💛
냉동이 아닌 냉장이라 정말 싱싱하구 잡내 안 나고 국물 찐하구 맛나요ㅠㅜㅠㅠ💛
삼계탕이랑 죽 져아하시면 강추강추!!ㅎㅎ"
온천장역,https://www.instagram.com/explore/locations/760358744/,lee_d_ik,1일 전,2021-08-04T13:46:52.000Z,2021년 8월 4일,"연화리 갈필요 없는 해산물 존맛
.
.
.
.
.
.
#부산 #부산맛집 #부산술집 #동래 #동래맛집 #동래술집 #온천장 #온천장맛집 #온천장술집 #해산물 #해산물맛집 #해산물술집 #철이야 #맛스타그램 #술스타그램 #일상 #데일리 #전복죽"
연화리 해녀촌,https://www.instagram.com/explore/locations/301945967/,jeehye_yun,7월 17일,2021-07-17T14:57:32.000Z,2021년 7월 17일,"🙂
.
.
해산물+전복죽
꿀조합을 사랑하는나🙃

건강검진 끝나면
늘 죽먹으러 오는곳😂

부산살면서 여긴 처음와본다는
그녀들을 모시고 옴👍
싱싱하고 맛있다고 꺅꺅거리는
그녀들때문에 뿌듯🤣🤣🤣

싱싱한해산물
#0번정해집
우리사진찍는거 직접도와주심👏
감사합니다

#연화리해녀촌
#기장 #해산물 #전복죽
#부산가볼만한곳

난 해녀촌때문에
기장을 사랑함💙🤣"
,,j_heeya___,7월 22일,2021-07-22T08:51:52.000Z,2021년 7월 22일,"제품제공_ 날도 더운데 초간단 보양식🥣

요즘같이 더운 날 냄비 앞에 서서 끓일 때마다 너무 힘든데
이건 진짜 초간단!! 전복죽이에요👍🏻
튼이한테 전복죽 몇 번 끓여준 적 있는데
전복 손질하고 자르고 볶고 육수내서 넣고 난리도 아니었는데...
이렇게 간단하게 맛난 전복죽이 완성되네요.

#제주김만복 전복죽인데 재료가 전부 손질되어 오는거라
밥솥에 다 때려넣고 취사 버튼 누르면 끝이에요.
이건 마치 #밥솥이유식 느낌??🤩
(3번째 영상 참고)
설명서도 너무 친절하게 와서 요리똥손도 무조건 성공!
사실 전 개인적으로 돈 주고 전복죽 안 사 먹을만큼,
누가 공짜로 줘도 안 먹는 사람인데ㅋㅋㅋ 이건 맛있네요.
튼이도 한그릇 싹 비움!!(마지막사진)

맛있는 제주 전복죽 구매는 @kimmm_nim

.
.
.
.

#보양식 #전복죽 #제주김만복전복죽 #완료기이유식 #유아식 #아이반찬 #한그릇요리 #유아식단 #유아식단공유 #유아식메뉴 #저녁메뉴 #집밥 #yummy #foodstagram #koreanfood #kidsmeal #babyfoodrecipe"
부산 기장,https://www.instagram.com/explore/locations/276340952/,ho_justin2019,7월 23일,2021-07-22T22:35:11.000Z,2021년 7월 23일,"음식으로 스토리를 짠 한편의 드라마네요!
감동에 눈물을 흘려봅니다ㅋㅋ
#기장끝집
.
.
.
.
.
.
#기장전복죽#일출기장미역국#기장맛집#기장연화리맛집#기장맛집기장끝집#일광맛집#기장명물#전복죽#부산맛집#부산기장맛집"
,,cadylanlmm,7월 22일,2021-07-21T23:56:48.000Z,2021년 7월 22일,"기장끝집 친구 소개로 알게 된 곳인데 맛있게 먹고 가네용
저도 친구들한테 알려줄게에요ㅋㅋ
#기장끝집#기장전복죽#일출기장미역국#기장맛집#기장연화리맛집#기장맛집기장끝집#일광맛집#기장명물#전복죽#부산맛집#부산기장맛집"
명진전복,https://www.instagram.com/explore/locations/279801240/,foodyammyji,7월 2일,2021-07-01T15:28:30.000Z,2021년 7월 2일,"• #명진전복 •
조금 늦은 저녁이라 많은 음식점이 문을 닫아 어렵게 찾아낸 곳이었는데 생각보다 괜찮았던 기억이 있어용 😋 전복이 실하더라구요! #전복구이 도 먹고싶었지만 ㅠㅠ 요걸로 만족하기 ..

🦪 #전복죽 12,000
🍲 #전복돌솥밥 15,000
#고갈비 기본반찬

🥄#잘먹었습니다 😋"
,,yomassi,7월 24일,2021-07-24T14:23:53.000Z,2021년 7월 24일,"제품제공

나님 요즘 제주도 가고싶은지
제주 생선에 제주 전복죽까지 섭럽함.
제주도는 못가도 제주도 먹거리들을
집에서 먹을수있으니 세상 참 좋아졌다.

찹쌀이랑 육수랑 참기름까지 다 들어있고
설명서보고 압력솥에 순서대로 볶다가
(볶을때부터 꼬신내 진동하고)
딸랑딸랑하는데 넘칠거같아서 냄비에 나눠 끓였는데
점점 늘어나는 양을 보고 쫌 놀랬다🙊
남으면 어쩌지 걱정 했는데
맛있다고 두그릇씩 먹고
먹으면서 바로 재주문 독촉받음😝

진짜 맛있는 #제주김만복전복죽 은
@kimmm_nim 님께서 공구중이세요"
부산 기장,https://www.instagram.com/explore/locations/276340952/,qqbsjskaap,3일 전,2021-08-02T18:37:41.000Z,2021년 8월 3일,"#기장끝집 재방문했어요
어머니 모시고 왔는데 얼마나 좋아하시는지 저까지 기분이 좋은날이네요 :)
.
.
.
#기장전복죽#일출기장미역국#기장맛집#기장연화리맛집#기장맛집기장끝집#일광맛집#기장명물#전복죽#부산맛집#부산기장맛집"
,,suejinkyungmam,4분 전,2021-08-06T12:01:00.000Z,2021년 8월 6일,"#전복볶음
하려구 했는데...수경이가
#전복죽
먹고 싶다고 해서
참기름에 내장볶다
다시마육수 넣고 죽으로 방향전환 ㅋ
#옥주부김치
밀키트김치로 간단하게 만들어서 생각보다 배추가 짜서 살짝 부족한맛
#찬밥한덩이
#참기름듬뿍
#냄비설거지필요없네"
