location_info,location_href,upload_id,date_text,date_time,date_title,main_text
Daegu,https://www.instagram.com/explore/locations/6650643/daegu/,choi_k_mi,2019년 9월 21일,2019-09-21T04:30:53.000Z,2019년 9월 21일,#드디어 #미쳤다 #ㅋㅋㅋ
,,berryveryhungry,2020년 1월 16일,2020-01-16T02:00:52.000Z,2020년 1월 16일,"KFC 신상사냥 성공!!!🍔
#폴인크림치즈징거버거 크림치즈볼이 3개 딱!!들어있어요!! 크림치즈 짱맛있구,,
매콤한 소스라서 첨엔 조화가 딱! 맛있었는데 소스가 점점 사라지니까 느끼하더라고요 흑흑..주문할 때 소스 많이 달라구 해요!!!! 그리고 저번신상인 #치짜 먹었는데 왜 이제 먹었나 싶고...달달하고 매콤하고 짭짤하고 아주 나이쓰! 뒤로 갈수록 질리?긴 했지만!!!나름 신상 성공해서 기분이 좋습니다 히히 오늘도 맛있는거 먹고 목요팅하기이😍
-
-
🏪 : KFC
💵 : 폴인크림치즈징거세트(7,800원) 치짜(5,400원)
베리점수 : 🍓🍓🍓.🖐(느끼해서ㅠ)
(1개: 엥 2개: 그냥 3점: 오 먹어봐 4점: 짱맛 5점:묻지마짱맛)
-
#berryveryhungry #KFC #신상 #신상버거 #치즈볼 #햄버거 #크림치즈볼 #햄맥 #햄버거추천 #야식 #치킨 #징거버거 #크림치즈징거버거 #햄버거맛집 #서울맛집 #오늘뭐먹지 #맛집추천 #mukbang #먹방"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,eat_stagramer,2020년 5월 20일,2020-05-20T12:16:04.000Z,2020년 5월 20일,"🍔
잠깐 줘 봐.
딱 한 입만 먹을게.
-
#치킨다먹기
#개싸움
-
KFC Hot Cheese Zinger Burger.
-
#asianfood #foodpics #food #foodporn #foodstagram #foodgasm #hungry #delicious #yummy #diet #iphone8plus #foodie #instafood #kfc #hot #cheese #zinger #burger #chicken #coupangeats #케이에프씨 #핫치즈징거버거 #징거버거 #햄버거 #한입만 #살짝 #맛보기 #미안"
,,huranna,2017년 7월 19일,2017-07-19T02:31:06.000Z,2017년 7월 19일,"햄버거최고몇개???ㅋㅋ
와 진짜 어제 치킨버거 내일이 없을만큼 흡입
슈퍼징거버거 솥뚜껑만 하시구요 오지구요
애플파이 왤케 바삭하며 쫄깃쫄깃 꿀맛
kfc사장님 미쳤다 ㅋㅋㅋㅋ
많이 팔려서 나한테 떨어지는거 1도 없지만
가성비갑 매직박스 세트 대to the 박
예전에 로빈윌리암스 나온 영화에서
피터팬이랑 피터팬 친구들마냥 상다리 부러지게
오지게 차려먹었음 ㅋㅋㅋㅋ
#kfc #징거버거 #슈퍼징거버거 #매직박스 #치킨버거 #핵꿀맛 #햄버거 #햄최몇 #개그맨들의라이브방송 #개라방 #허안나 #정태호"
,,clarainterior,2020년 8월 3일,2020-08-03T11:09:23.000Z,2020년 8월 3일,"#첫줄
.
.
와씨 타워버거
후라이드 치킨 먹는줄
.
.
#타워버거#KFC#징거버거#일상#먹스타그램"
,,uks_tagram,2018년 4월 30일,2018-04-30T00:02:11.000Z,2018년 4월 30일,"#첫줄
역시 치킨은 KFC

#싱가포르 #싱가포르동물원 #singaporeZOO
#KFC
#징거버거 #치킨 #햄버거
18.04.29
#여행 #해외여행 #싱가포르여행 #singapore

#여행스타그램 #치킨스타그램 #햄버거그램
#먹스타그램 #맛스타그램 #푸드스타그램 #인스타푸드
#욱스타그램 #부부스타그램
#먹방 #일상 #소통"
,,gosu0714,3월 23일,2021-03-23T04:51:21.000Z,2021년 3월 23일,"그래요 사랑은 움직이는거야

첫사랑은

#롯데리아 불고기버거

그다음

#맥도날드 상하이스파이스버거

그다음

#맘스터치 싸이버거

그다음

#버거킹 와퍼시리즈

그렇게 돌고돌아 만난

#KFC 고스트헌터버거

음음 소리내며 먹고 말았다.

저녁 섭취 휴무

#버거#럽스타그램#1순위등극
#맛집#셀카#존마탱
#다이어트#진행중#
#제로콜라#위안삼기
#불고기버거#새우버거#와퍼
#싸이버거#징거버거#고스트헌터"
"Busan 釜山, South Korea",https://www.instagram.com/explore/locations/250555046/busan-south-korea/,hwangdaegwan,2020년 7월 8일,2020-07-08T02:06:58.000Z,2020년 7월 8일,"하단에 kfc생겼어요~~ㅎ
애들 보낸뒤 해장버거
올만에먹는 징거버거 비스켓...
직원실수로 양념치킨이랑 추가비스켓 없어짐 ㅠ
#하단 #kfc #징거버거 #비스켓 #해장버거 #먹고먹고또먹고"
,,goodfood__________,2019년 12월 28일,2019-12-28T02:42:07.000Z,2019년 12월 28일,조금 늦은 👊신메뉴리뷰👊 이번엔 #kfc 에서 새로 선보인 #치짜세트 를 먹고왔어요 보기다시피 kfc의 치킨패티에 피자토핑을 해서 판매하고 있는 제품입니다 옆에 있는 #징거버거 는 천원만 추가하면 먹을 수 있었어요! 개인적으로 징거버거는 역시 언제먹어도 맛있게 먹을 수 있는 변함없는 맛이지만 치짜는 뭔가 애매했어요 피자와 치킨의 맛이 조화를 이뤄야하는데 이도저도 아닌 애매한 맛이 나더라구요😭 아마 다시 먹어볼 일은 없을거같아요! 역시 kfc는 징거버거!!!!!!🔥
,,coocha.official,4시간 전,2021-08-05T03:12:33.000Z,2021년 8월 5일,"[#오늘의핫딜]
⠀
#KFC 대표 인기메뉴 세트 3종 🍔🍗🥤
⠀✔️최대 49%할인 버거세트가 5,500원~
⠀
지금 바로 #제품링크 클릭!!🛍️
------------------------------------
#쿠차 #핫딜 #프로모션 #할인 #할인이벤트 #이벤트
#kfc버거 #징거버거 #버거추천 #할인쿠폰 #버거세트
#먹스타그램 #맛스타그램 #점심메뉴"
