location_info,location_href,upload_id,date_text,date_time,date_title,main_text
수유역,https://www.instagram.com/explore/locations/379093712/,g_wwoong,4월 17일,2021-04-17T01:47:43.000Z,2021년 4월 17일,"짜계치 해주실분 괌
.
.
#수유 #짜계치"
,,orange39486,7월 22일,2021-07-22T11:17:11.000Z,2021년 7월 22일,"#짜파게티
.
.
.
애들이 점점크니 먹는양도 어마무시 하네요 삼겹살 두팩샀는데 부족해 저희는 짜파게티 끓였어유 #짜계치 될뻔 치즈가없어서 #짜계 #그리들짜파게티 #잘먹고잘크자 #어린이들 #ㅎㅎㅎ #삼남매밥상 #삼남매맘 #밥상스타그램 #집밥스타그램 #오늘의밥상 #먹팔 #집밥 #오늘의집밥 #도시락 #오늘의술상 #현실밥상 #맛나게냠냠 #좋은꿈꾸세요🌙"
원종사거리,https://www.instagram.com/explore/locations/260182197/,ifesid5,4월 9일,2021-04-08T15:57:58.000Z,2021년 4월 9일,오늘도 잘 먹었습니다
신사마차,https://www.instagram.com/explore/locations/395135281140121/,jolly__ll,2020년 8월 19일,2020-08-19T01:04:15.000Z,2020년 8월 19일,"#신사맛집#신사마차
술 못 먹는 애들끼리 만나서 맥주하나 음료수 시키고 음식은 4개 ㅋ
#짜계치 처음 알았는데 너무 맛있어💛 짜파게티+계란+치즈 조합 집에서 해먹어봐야디 잘 안보이지만 #크림파스타 에도 인원수대로 계란 후라이 넣어주신다 짱 맛있음
#프라이빗룸#예약가능
.
.
.

#가로수길술집 #신사역술집 #신사가로수길 #신사마차 #신사술집 #신사동술집 #신사맛집 #신사동맛집 #신사역맛집 #가로수길맛집 #포장마차 #신사포차 #포차 #이자카야 #참이슬 #처음처럼"
,,shinjjang_g1,5월 13일,2021-05-13T02:44:19.000Z,2021년 5월 13일,"#신짱키친 @so_delicious__ __
🥢트러플 짜계치라면

오늘 점심은 짜계치입니다.
짜짜로니+계란+치즈 = 짜계치

짜파게티 좋아하는 분들은 짜파게티로!
저는 짜짜로니를 더 좋아해요~
액상소스에 뭔가 더 맛있움🐷

트러플 오일 안좋아하시는 분들은 생략!
참깨도 마지막에 생략가능~

✍🏻만드는법
1. 물을 끓인다
2. 라면을 넣고 끓인다
3. 소스와 함께 라면을 섞는다
4. 계란후라이를 만들어준다
5. 그릇에 짜짜로니를 올린다
6. 계란후라이 반숙, 치즈를 올린다
7. 트러플오일을 뿌리고 참깨도 뿌린다
8. 맛있게 먹는다

✍🏻 how to make
1. Boil water
2. Boil the ramyeon
3. Mix the ramyeon with the sauce
4. Make fried eggs
5. Put the zazzaroni in a bowl
6. Soft-boiled fried egg and topped with cheese
7. Sprinkle with truffle oil and sesame seeds
8. Eat deliciously
.
.
#짜짜로니 #짜계치 #삼양 #짜장라면
#간편식 #짜파게티 #트러플오일
#짜파구리 #편의점음식 #라면레시피
#jjajangmyeon #koreanfoods
#요리동영상 #자취생요리 #한끼식사"
,,_mimi_table_,3월 28일,2021-03-28T10:57:24.000Z,2021년 3월 28일,"3월28일 일요일 저녁은 짜왕, 짜계치 😜
일요일은 귀찮으니까 인스턴트 마구 먹기!
그래도 그냥 끓이는 건 조금 아쉬우니까
짜왕 안에 들어있는 오일 대신 트러플오일 스프레이 뿌려주고
치즈랑 계란 올리기. 🤗 #칼로리폭탄
#농심 #짜왕 #짜파게티 #짜계치 #계란후라이 #체다치즈 #상하치즈 #더블업 #트러플오일 #트러플오일스프레이 #만토바 #mantova"
5분 순삭,https://www.instagram.com/explore/locations/100469965143266/5/,narayeon_sso_hyun_,7월 25일,2021-07-25T01:15:23.000Z,2021년 7월 25일,"🙂📌협찬
#나라집밥 #실비김치

실비김치에서 #파김치 를
보내주셔서 파김치엔 머다?!?!😉
오늘은 내가 요리사👩‍🍳 😝😝

➰짜장라면 계란후라이 치즈 #짜계치
➰세상 맛나게 매운 선화동 #실비파김치
➰탕슉소스 만들어서 닭안심으로 #탕수육

역시 파김치엔 짜장라면 최고👍👍
신랑은 매운거 절대 못드시는데
익기전에 다 먹자며 어찌나 잘 드시는지
괜히 멋져부러?!🙄

더위 조심하시고
행복한 주말 보내셔용😍

🛒@park_duck_kyu

#짜장 #짜장면 #탕슉 #김치"
,,ba.ki.jin,2019년 8월 22일,2019-08-22T11:38:24.000Z,2019년 8월 22일,"-
맛있는 파김치가 있으면
자연스럽게 떠오르는 짜장라면
오랜만에 짜계치에 파김치ㅋㅋ🥢
.
대규모 생산하는 김치공장이 아닌
가족들끼리 직접 절이고 양념해서
당일만든 김치를 당일 배송해주는
#맛나라자매김치 파김치1kg 19000
.
역시 짜장라면에 파김치는😋👍
파김치 질기지 않고 아삭아삭
양념도 안짜고 적당한게 딱 맛있고
100% 국내산 신선한 재료들만 사용하고
조미료를 전혀 사용하지 않아서 더 좋은😍
.
맛있는 파김치 ▶️ @jm_kimchi
.
.
.
#파김치 #파김치맛집 #김치 #김치맛집 #짜계치 #짜파게티 #짜장라면 #집밥 #집밥스타그램"
학익동 동네술집,https://www.instagram.com/explore/locations/1771542703174674/,dongne_sulzip,7월 25일,2021-07-25T08:53:33.000Z,2021년 7월 25일,"일요일 오픈😄
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#짜계치 #학익동동네술집 #동술 #술집이름이 #동네술집 #학익동술집 #학익동맛집 #학익동핫플 #인천술집 #학익동 #용현동 #구월동 #인하대 #인하대후문 #인하대술집 #인하공전 #인하공전정문 #안주맛집 #안주가맛있는술집 #동네에서 #한잔하기좋은곳"
단독,https://www.instagram.com/explore/locations/105418850831317/,jjively_0109,8시간 전,2021-08-04T00:40:09.000Z,2021년 8월 4일,"한식주점 단독 😋
.
#먹스타그램 #먹팔맞팔 #부경대맛집 #대연동맛집 #대연동단독 #한식주점 #매운가지튀김 #버터새우구이 #짜계치 #옴뇸뇸😋 #채애커플🥰"
