location_info,location_href,upload_id,date_text,date_time,date_title,main_text
"Andong, Korea",https://www.instagram.com/explore/locations/222093869/andong-korea/,okya180,4월 18일,2021-04-18T03:33:42.000Z,2021년 4월 18일,"#옥야180 오픈부터 폭풍주문
감사합니당🙌🏻🙌🏻🙌🏻
일요일도 매장, 포장, 배달 가능하구요
내일 월요일은 정기휴무이니 오늘
많이들 찾아주세용😘😘
오늘의 추천메뉴는 모짜렐라치즈
듬~뿍 올라간 치즈떡볶이🧀🧀❤️
ㆍ
ㆍ

#가격도착한 #치즈떡볶이 #안동맛집 #안동떡볶이 #안동떡볶이맛집 #안동신시장 #안동신시장맛집 #안동신시장청년몰 #신시장청년몰 #오고가게 #옛날떡볶이 #떡순튀 #먹스타그램 #맛있다그램 #맛스타그램 #안동여행 #안동분식 #안동분식맛집 #안동간식 #떡볶이 #jmt #jmtgr #선팔하면맞팔 #좋아요 #좋아요반사 #일상 #데일리 #소통해요 #안동핫플"
신촌 어딘가,https://www.instagram.com/explore/locations/249536260/,muk._.kyo,7월 14일,2021-07-14T13:53:56.000Z,2021년 7월 14일,"후추향 가득한 자극적인 K-FOOD 떡볶이 & 우동사리

숯불 닭다리살이 시그니처 메뉴인 온달집이지만
사실 이 곳 떡볶이 맛집입니다ㅋㅋㅋ
예.. 닭다리살도 맛있지만 지금 생각나는게 요 떡볶이에요,,,

쫄깃 쫄깃한 떡과 어묵, 그리고 치즈이불
여기에 매콤한 소스와 후추 잔뜩!!!
아주 그냥 강렬한 매콤함에 혼쭐남

매운 맛을 고소한 치즈로 중화시키다가
마지막에 후추로 뽝! 🤣
자꾸 자꾸 손이가네요ㅋㅋㅋ

맵찔이라 땀 뻘뻘 흘렸으나
에어콘 바로 직빵자리를 양보해줘서 행복쓰...
@atozzang_g @drinkingvillain_kwan 감사합니다

심야우동은 비주얼부터 너무 맘에 드는데 이거...
우동국물 적당히 벤 우동사리를
떡볶이 소스에 비벼 먹으니까

와 이거 그냥 소주안주로 딱ㅋㅋㅋ

그만큼 개인적으로 매워서 저는 이만..😇
그래도 또 생각나는 맛~
코로나 잠잠해지면 또 가자...
.
.
ⓚ 신촌역 2번출구 #온달집
ⓚ 서울 서대문구 창천동 52-22 1층
ⓚ 닭다리살 11,000원
ⓚ 치즈떡볶이 11,000원
ⓚ 심야우동 5,000원
ⓚ 간장마요밥 5,000원
_
#신촌맛집 #떡볶이 #치즈떡볶이 #떡볶이맛집 #숯불닭다리 #신촌맛집추천 #창천동맛집 #서울맛집 #서울떡볶이 #먹교_신촌 #일상스타그램"
숙대 Wow 신내떡,https://www.instagram.com/explore/locations/289740743/wow/,dailydolly_,5월 10일,2021-05-10T08:06:47.000Z,2021년 5월 10일,"55번째 떡볶이투어
숙대입구의 떡볶이 맛집, 떡볶이 보고 갔다가 감자튀김에 반한다는 바로 그곳 #와우신내떡 이다. 트리플 눈꽃 치즈를 가득 얹어 토치로 지져준다. 잘 섞어 먹으라고 하시는데 섞으면 치즈반죽됨. 쭉쭉 늘어난다. 재밌다.

안에 재료는 밀떡, 떡국떡, 수제비가 들어있다. 고등학생때 먹던 디델리가 생각나는 맛이다. 근데 맵기 조절은 됨. 어묵 길게 잘라서 튀긴게 약간 면 같은 기분도 주고 오묘함. 짱짱맛 감자튀김은 또떡처럼 치즈소스 뿌려주는데 위에 스위트 칠리도 더했다. 이건 그냥 사기다. 맛없없 조합.

세트에 포함된 참치마요 밥은 쌀이 조금 말라?딱딱해?서 아쉬웠다. 나름 먹킷리스트였던 곳 기대보단 아쉬웠지만 그래도 뭐 무난무난 멀지만 않다면 먹으러 갈만함~ 나갈때 젤리도 주셨음

와우홀릭세트 11,900원

#떡볶이_다혜

#용산맛집 #숙대입구맛집 #용산맛집 #치즈떡볶이"
,,bok._.ki,7월 26일,2021-07-26T09:45:44.000Z,2021년 7월 26일,"한달간 떡볶이 끊고 오겠습니다...🥲⠀ ⠀
⠀ ⠀
굴러 다니기 직전이라 개강 전 다이어트,,,⠀ ⠀
그래도 보키 계정에는 꾸준히 업로드 된다는 거 ! ⠀ ⠀
⠀ ⠀
사진은 다이어트 시작 전전날 마지막 덕복희을 먹으려고 했으나 하필 이날만 시켜먹는 지점이 일찍 문 닫아서 남자친구가 같이 가준 덕분에 한밤중에 택시타고 다른 지점까지 가서 먹은 매떡 🐷 ⠀ ⠀
⠀ ⠀
⠀ ⠀
#신가네매운떡볶이 #신가네떡볶이 #신가네 #떡볶이 #치즈떡볶이 #매운떡볶이 #맛감자 #참치김밥 #김밥 #떡볶이중독 #떡볶이덕후 #떡볶이성애자 #떡볶이맛집 #떡볶이그램 #떡볶이스타그램 #분식스타그램 #먹스타그램 #맛스타그램 #먹스타그램맞팔 #먹스타맞팔 #먹팔 #엽기떡볶이 #엽떡 #응급실떡볶이 #응떡 #신떡 #매떡 #치떡 #다이어트 #좋아요"
,,hawhaw7,7월 19일,2021-07-19T10:20:07.000Z,2021년 7월 19일,"원래 집순이는 병원 검진 있는날 맛집 들렸다 오는게 취미이자 낙인데… 코시국이라 배달음식… 또르르💧

떡볶이나 조지쟈!! 오늘따라 김말이 왜케 맛있냐구!!👍👍
친구가 사다준 김치 김밥 이것도 참 맛나구만❣️
.
.
.

.
#응급실국물떡볶이 #국물떡볶이맛집#치즈떡볶이#응떡#응떡중상맛 #응급실국물떡볶이본점"
,,223_taiki,3월 27일,2021-03-27T04:18:16.000Z,2021년 3월 27일,"新大久保
『イタロー　korea restaurnt』

肉が食べたくなって、とりあえず看板が目立ってたので入ってみたw

お店たくさんあるから迷うよね😅

サムギョプサルと骨付きカルビも食ってみた。あとチーズトッポギ

ここはサムギョプサルの食べ放題があるみたいよ🙌
肉を食べまくりたい人は是非✨

肉の焼ける音が食欲をそそりますな🤤

#イタロー
#ジョンノ
#종로
#サムギョプサル
#骨付きカルビ
#チーズトッポギ
#삼겹살
#일본삼겹살
#치즈떡볶이
#新大久保
#新大久保イタロー
#新大久保グルメ
#新大久保韓国料理
#新大久保サムギョプサル
#新大久保ごはん
#新大久保ランチ
#韓国料理
#韓国グルメ
#韓国好きな人と繋がりたい
#新大久保好きな人と繋がりたい
#どりあんず堤とサムギョプサルと骨付きカルビとチーズトッポギ
#早く韓国行きたい"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,ddomukzzi,6월 2일,2021-06-02T12:33:48.000Z,2021년 6월 2일,"< 내돈내산💛/ #쏘크라테스떡볶이 @ssocrates.official / 쏘크라테스반반(2단계 중간맛 ₩14,900)+모짜렐라 치즈추가(₩3,000)+넓은당면사리(₩2,500)=(₩20,400) >
퇴근하고 첫 끼로 백만년만에 쏘크라테스..💛
처음 생겻을 때 엄청 시켜먹다가 오랜만에 먹은 아이ㅎㅎㅎ
여긴 약간 멸치육수?!(멸치 비린내 노노)느낌의 떡뽀끼?!🌝
먼가 예전보다 후추맛이 강해진거 같아요!👍🏻💛
모짜렐라 추가하고 동생이 중당 말고 넓은 당면 먹구싶다해서ㅎㅎ넓은 당면도 추가!🧚🏻‍♀️
✔️쏘크라테스반반
떡 반 어묵 반인 요 아이!ㅎㅎ💛
오랜만에 머것는데 2단계도 맵더라구여,,,ㅎㅎ
예전보다 먼가 멸치육수?!맛도 진하게 나구 후추맛도 더 나는거 같아요!!🧚🏻‍♀️
떡이 영상처럼 엄청 말캉쫠깃!!!💛
여긴 갠적으로 어묵보다 떡이 더 마잇는거 같아요!
리뷰이벤트로 받은 김말이튀김도 존맛!ㅎㅎ"
,,muk.place,5월 6일,2021-05-06T10:57:30.000Z,2021년 5월 6일,쭈~욱 늘어나는 치즈떡볶이에 튀김오뎅 튀김만두 푹 찍어먹으면 꿀맛!
,,mingi0000,7월 23일,2021-07-23T03:06:23.000Z,2021년 7월 23일,"오늘 #GS타워 사원식당 분식데이 메뉴로 제공된 #고등급식 #더블떡갈비전주비빔 삼각김밥🍙❤ 다행히 직원분들께서 맛있게 드셔주신 덕분에☺ #치즈떡볶이 #일본식당면샐러드 #치킨가라아게 #엘리시안 점장님, 쉐프님, 매니저님, 영양사님 최고👍 @jyj0420 @yoonmeong"
,,mukbang.ala.ala,44분 전,2021-08-04T08:04:27.000Z,2021년 8월 4일,"·˚ ༘ 🧸↷𝑤𝑒𝑙𝑐𝑜𝑚𝑒𝑠 𝑡𝑜 @mukbang.ala.ala 𝑐𝑎𝑓𝑒⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
-ˋ₊˚.𝚝𝚘𝚍𝚊𝚢’𝚜 𝚏𝚘𝚘𝚍 𝚒𝚜 ‧₊° ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
ˏˋ ᶠᵒᵒᵈ 🍒 ·˚ ༘↴⁣⁣⁣⁣
💗Cheesy Corn DOG, Mozzarella Tteokbokki ⁣
⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣
Support Me :⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@mukbang.ala.ala ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@mukbang.ala.ala ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@mukbang.ala.ala ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
Like, Comment and Tag Your Friend ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣
@hongyu.asmr ⁣⁣⁣
⁣⁣
⁣⁣
#asmr #mukbang #asmreating #asmrfood #satisfyingsounds #yummy #youtuber #mukbangvideo #eatingshow #asmrmuckbang #mugbangs #realsound #koreaneats #spicyricecake #tteokbokki #toppokki #mozzarella⁣
#corndog #mozzarellacorndog #분모자떡볶이 #떡볶이 #치즈떡볶이 #모짜렐라핫도그⁣
#리얼사운드 #이팅사운드 #먹방 #먹스타그램 #asmr먹방"
,,my8229,52분 전,2021-08-04T07:56:32.000Z,2021년 8월 4일,"제천 우중캠핑 둘째 셋째날 먹은음식

떡만두국에
전날밤 먹고싶지만 참고 잤던 군만두~
틈틈히 아아도 마시고
떡볶이에 해물부침개
내가 만든 닭꼬치
그리들에 삼겹살과 김치구이
전복죽까지...

집에오며 마라탕포장해오고
유니는 버거킹
남은 피데기 다 구워서 흡입... 😊

격하게 먹는구나~~☺

계곡물놀이해서
살안쪘을거야~~ 암만... 😅

2박3일 제천 우중캠핑 먹방 끝

#떡볶이 #부침개 #해물전 #치즈떡볶이 #캠핑요리추천 #군만두 #떡만두국 #캠핑식단 #전복죽 #닭꼬치 #캠핑족 #캠핑요리 #캠핑라이프 #캠핑음식 #우드그릇 #갬성캠핑 #일상 #아들맘 #요리 #아들식단 #캠핑용품 #캠핑먹방 #캠핑스타그램 #캠핑메뉴 #갬성캠핑그릇 #2박3일캠핑 #캠핑음식추천 #캠핑푸드 #캠핑한끼 #우중캠핑"
,,lineup1807,1시간 전,2021-08-04T07:43:06.000Z,2021년 8월 4일,"은선이네 한달만에 들렸다.
반가웠네 ㅎㅇ 뭔가 달라진 느낌?!
#신전떡볶이 #치즈떡볶이 #중간맛
#튀긴오뎅 #김말이
매번 지점바꿔 시켜서 그런가 맵진않은데 양이넘 많네 1인분이야 저게
똑같은거 한통 뜯지도못했네.
#그린애플 #스미노프 #보드카
#토마토쥬스 #토닉워터"
