location_info,location_href,upload_id,date_text,date_time,date_title,main_text
남포동,https://www.instagram.com/explore/locations/221072035447382/,lse.86,2020년 11월 30일,2020-11-30T05:24:19.000Z,2020년 11월 30일,"#도라보울
#치킨과하루야채17종
#돼지고기와야채 🍛
#치킨가라야게
오늘은 #내생일 이니까
나 먹고싶은거 한그릇만 딱
먹고 들어와서 #집콕 할께유 😅😅
#에피소드가 쫌 있었지만...😓
간만에 #딸이랑데이트 #좋았다 😘
양예원이 찍은 내사진도 살짝 투척 🤭
얼굴 밀가루 덩어리 같이 커다랗게 찍고
오른쪽으로 쏠리게 찍은건 요즘 갬성이라는 딸 🤣
셀카랑 차이나서 괜히 미안합니다 😂😂ㅋㅋ
.
.
.
.
.
.
.
.
.
#남포동#점심#점심메뉴#남포동맛집#dorabowl
#삿포로카레#먹부림#먹방#딸이랑#데이트
#밥만먹고가지요#코로나조심#아주미#머리산발
#점심스타그램#남매맘#소통#좋아요"
,,,,,,
,,,,,,
,,,,,,
,,visual_0207,3월 28일,2021-03-28T02:55:35.000Z,2021년 3월 28일,"담양 가볼만한 맛집, 오마이밥🌿"
,,seazle2020,4월 22일,2021-04-22T14:35:36.000Z,2021년 4월 22일,"오늘도 열일 후 가볍게 한잔🤗

퇴근 후 집에 왔는데
남표니랑 아이들이 함께 만든
스파게티랑 #치킨가라야게 😍😍

역시 이래서 가족이 최고인가봅니다👍👍

든든한 저녁먹었으니
저 내일 #택배 열심히 불태울수있어요😆
주문 많이 주세요🤣🤣

#치킨가라야케 #구입처 #씨즐
#맛있어요 #요리스타그램

#남푠이 #갑자기 #친절해졌다
#왜그런걸까요?
#부부스타그램❤"
모루식당 천안,https://www.instagram.com/explore/locations/2049152125351431/,noonbibaram,2018년 7월 22일,2018-07-22T08:09:39.000Z,2018년 7월 22일,"_
여기서 밥 먹고
브루어스 가면 딱이야.
냉우동 먹으러 또 가자.
-
🍛🍜"
도토리식당,https://www.instagram.com/explore/locations/1015864366/,krissootal,2016년 7월 12일,2016-07-12T09:32:16.000Z,2016년 7월 12일,".
🌰 이번에는 상수동의 도토리식당 🌰
치킨 가라야게, 새우크림카레 그리고 감자고로케를 시켰다. 아 진짜 너어무 맛있는 거 아닌가. 마치 일본에 간 것같은 공간이랑 플레이팅이라니 ! 마지막에 파인애플 한 조각까지 다 먹고 왔다. 흐앙. 나만 알고 싶은 그런 예쁘고 맛있는 가게였다. 진짜 사랑스러운 곳에서의 행복한 저녁이었다. 요즘 입맛도 없고 챙겨먹기도 귀찮았는데 말이얏. 다음에 나랑 여기서 우리 밥 한끼 해요 ( •̀.̫•́)✧ #토플스터디과제너무많아서힘이드무니다_빠샤"
,,today_recipe777,7월 14일,2021-07-14T03:44:41.000Z,2021년 7월 14일,"나의 최애 술집 남천동 노는바다
진짜 고노와다 사시미 한점당 소주1잔씩
한접시에 소주 4병짜리임.
사케도 다른집보다 저렴
이외에도 수제치킨가라야게가 대박인집
이집에서 미쳐서 고노와다 먹으러 유명한 이자까야
일식집 다가봤지만 절대 이집느낌은 안남
가게 이전하기전 조그만한 상가에 있을때부터
오리지날 찐단골 임에도 . 때때로 생각나서
혼밥 레벨 최고레벨인 이자까야서 혼술도 쌉가능한집

소짜 26,000원
대짜 36,000원

*주차는 근처에 알아서
*바다향기 가득하기 때문에 해산물 좋아한다면
테이큰처럼 납치해서라도 뎃고와야댐
*데리고 왔던사람이 전부 단골이 되는 신기한경험(?)

#노는바다 #남천동 #부산맛집 #수영맛집 #고노와다
#광어사시미 #고노와다사시미 #준마이다이긴죠 #치킨가라야게 #핵맛집 #JMT #busandelicious
#BD수첩 #선팔하면맞팔 #창업문의 #오늘의레시피
#투데이레시피 #todayrecipe"
,,817oink_,7월 9일,2021-07-09T12:58:29.000Z,2021년 7월 9일,": #군산 #돈부리야 #사케동 #믹스동 #치킨가라야게
ㅤㅤ"
