location_info,location_href,upload_id,date_text,date_time,date_title,main_text
호무랑,https://www.instagram.com/explore/locations/101983156/,soyounge99,2020년 8월 27일,2020-08-27T11:34:41.000Z,2020년 8월 27일,"#호무랑 #좋은분들과 #카레 #소영맛집 #오늘아님주의

치매예방에 좋다고 해서 열심히 먹는 카레~ 어린이 입맛이라 좋아하는 돈까스 #카레돈카츠 #청담맛집 #치매예방

코로나 걱정으로 근심이 가득한 요즘, 맛난것 먹으면서 걱정을 떨쳐 보려고 노력 중이다 #코로나19물러가라 #힘내자힘"
,,potato___cp,4월 13일,2021-04-13T05:50:34.000Z,2021년 4월 13일,"&
- 돈카츠 맛집 인정💯

.
.
.
.
#원주 #원주맛집 #카츠당 #돈카츠맛집"
코메루,https://www.instagram.com/explore/locations/159519201457492/,foodfighter_in,2020년 12월 8일,2020-12-08T10:09:43.000Z,2020년 12월 8일,"카레요정 모래돌이의 소원풀이상
오키나와 쌩부터 한 잔 벌컥 마시고, 우나쥬에 카레돈카츠.
완벽히 실한 살밥은 아니었지만 밥양에 대비하면 한 입, 한 입 충분히 호사스러웠던 우나쥬. 곁들인 아와비니츠케는 다소 무미건조.
카레돈카츠는 두툼한 특 등심카츠가 아주 뚠뚠하고 두터운게 내 배 같았다. #범어동 #카레2차 #우나쥬 #장어덮밥 #카레돈카츠"
,,seung_zzang,2018년 8월 12일,2018-08-12T10:28:03.000Z,2018년 8월 12일,"#먹스타그램 #맛스타그램 #먹방 #instafood #foodstagram #맛집투어 #먹방투어 #잘먹는여자 #먹탱이 #순천돈까스 #순천맛집 #연향동 #순천동명카츠 #행복 #순천
연향2지구 호반아파트앞 <#동명카츠 >♪
TV보다#돈까스먹방 보고,#돈까스 먹으러달려옴😍
다~먹어보고싶어서종류별로다~주문😅소스도주문!!
#테이크아웃전문점 이지만?테이블있어서먹고가기로ㅎ
#카놀라유 👍에튀겨나온돈까스와~~~신이난다요🤩
열심히흡입하고있는데사장님꺼서밥이랑#콜라 서비스주심😚
포장까지해서나옴💕(다~맛있는데ㅎ#치돈 은강추👍)
#등심돈카츠 2,500/#치즈돈카츠 3,500/#안심돈카츠 (2)3,500
#카레돈카츠 2,800/#왕새우커틀렛 (3)5,000
#생선커틀렛 2,000/#돈카츠 소스 1,000/#타르타르소스 1,000"
거북이금고,https://www.instagram.com/explore/locations/266585057191261/,samuel_h.jung,3월 23일,2021-03-23T07:35:28.000Z,2021년 3월 23일,오늘 점심 내 생애 할리 가 아니라 로드레이스 바이크 첫 주행 날 해운대 에서 수영구 남천동 으로 넘어와 간만에 동네인근 리얼 굿 경양식 집 거북이금고 급 방문 메인 메뉴 제주 흑돼지 등심 안심 카레카츠 한 상 여전히 한그릇 안에 보여지는 바삭하면서도 돼지고기 퀄리티의 실함은 여전히 리얼 굿 이였더랬지 고소 자작한 카레향과 조화로웠던 전체적인 맛이가 Really Amazing Beauty Delicious Fantastic Fried Pork Cutlet With Curry Menu Taste 😍😍😍😘😘😘😋😋😋😆😆😆👏👏👏👍👍👍🍱🍽🍖🐷🍘 벚꽃이 만개하는 주중 다시 올해 봄 시즌의 절정이 다가오겠지 😎🚲🌞🌈🌸🌼🏙 #수영구 #남천동 #남천동해변시장 #경양식 #돈카츠 #거북이금고 #제주흑돼지돈카츠 #카레돈카츠 #트렉자전거 #도마니AL2
전포동,https://www.instagram.com/explore/locations/257726078/,samuel_h.jung,2019년 6월 5일,2019-06-05T08:05:12.000Z,2019년 6월 5일,점점 더위가 몰려오는 요즘시기 간만에 출장 갔다가 돈까스 맛점 즐기러 전포동 골목인근 춘카츠 급 방문 메뉴구성은 돈까스가 기본으로 깔리는 4가지 종류이니 참조 바라면서 메인 메뉴 카레돈까스 한 상 잔 튀겨진 튀김속 돼지고기 속사정 탱글 야들 적절한 고기식감이 굿 카레랑 곁들여서 즐겨주니 맛깔 조화로움이 굿 카레랑 밥은 리필가능 단박지게 즐기기 좋은 전체적인 맛이가 Really Amazing Great Delicious Popular Pork Meat Cutlet Woth Curry Rice Menu Taste 😘😘😘😋😋😋😆😆😆👏👏👏👌👌👌🍖🐷🍘🍛 타 들어가는 온누리에 햇살은 여름을 맞이하고 땡볕에 좀 있아니 덥긴 덥더라 아직까진 전초전 다음 달 이후 부터가 진짜 핵덥겠지 🥵🏍🌞🌈🌵🌴🏙 #서면 #전포동 #일식카츠 #밥집 #춘카츠 #카레돈카츠 #스트리트글라이드스페셜 #StreetglideSpecial
뚝섬 어딘가,https://www.instagram.com/explore/locations/246098803/,ovely_u,2019년 7월 29일,2019-07-29T11:11:54.000Z,2019년 7월 29일,"혼자와서 전메뉴 다먹으려던거 어케 알고 #카린지
부들부들 핫한가게 #솔드아웃
다 먹어보고 싸갈라고 도시락통 가져왔.. 담에 채워주세요 ㅋㅋ

조금 더 잠잠해지면 가야겟옹😭 #역시나핫해
#뚝섬맛집#카레돈카츠#블리맛집#블리무룩#혼블리"
대구스타디움,https://www.instagram.com/explore/locations/252067748/,venuusmk,6월 7일,2021-06-07T06:08:52.000Z,2021년 6월 7일,딸램 오프에 둘이서 공심옥 냉면 만두 먹고 식후 독서하러 동네 스벅 대기하다 수업 늦으랴 포기. 너무 더우니 쿨한 곳은 모조리 대기네. 카페 자리 여름전쟁 시작됐네 이제 먹었으니 다시 열공열일하세 #딸램오프 #둘이서점심 #공심옥 #냉면 #스벅주차대기 #30분만에포기 #홈바아아 #홈바라테 #월요일오후 #리나들타임 #카레졸이기 #월계수추가 #저녁은카레 #카레돈카츠 #딸과동시독서 #페스트 #카뮈천재 #금요일데드라인
,,bbang.jae.k,7월 20일,2021-07-20T14:46:16.000Z,2021년 7월 20일,"잘먹고 잘살기 ...더보기
.
.
.
.
#돈가스 #소바 #치즈돈가스 #카레돈카츠 #먹스타그램 #맛집 #돈가스맛집"
해운대 해리단길,https://www.instagram.com/explore/locations/108506047576219/,sjs0307,7월 23일,2021-07-22T15:03:39.000Z,2021년 7월 23일,"해운대 핫플 해리단길 한바퀴 돌아보기~!
카레돈카츠 맛집가서 점심해결~~😘
평일오후라 거리 한산함ㅋ
.
.
#부산#해운대#핫플#해리단길데이트💑
#카레돈카츠#카가와식당#해리단길맛집👍
#여름휴가보내기#여행스타그램💕"
,,junhope2018,7월 22일,2021-07-22T13:16:21.000Z,2021년 7월 22일,#카레돈카츠 #오늘
,,yoonsik82,7월 22일,2021-07-22T07:32:31.000Z,2021년 7월 22일,"오랜만에 만난 친구랑
점심으로 먹은 오지개돈카츠😋
.
.
#점심 #오랜만에만난친구랑 #오유미당보람점
#알록달록 #예쁜 #오지개돈카츠 #카레돈카츠
#yummy #오늘점심픽 #돈카츠 #잘먹고가요
#맛있어요 #dailylife #소소한일상"
,,haohao_yummy,7월 22일,2021-07-22T01:06:22.000Z,2021년 7월 22일,"#오레노카츠#돈까스

노오란 체다치즈 듬뿍
#수제체다크림치즈돈카츠
맛있게매콤한#매콤돈카츠
#카레돈카츠#수제생돈카츠

지이이인짜 #두툼#끝판왕
치즈돈카츠 매콤돈카츠 궁합이 아주 #말해뭐해
벌써 2번방문해뜸.
난 매콤돈카츠 픽

#먹스타#맛스타#먹스타그램#맛스타맞팔
#먹방#맛스타그램#돈까스#맛집추천
#혜화#대학로#오레노카츠대학로점
#대학로맛집#종로#인스타그램#맞팔#맞팔선팔#치즈돈까스#추천"
,,1130ym71,7월 15일,2021-07-15T04:18:31.000Z,2021년 7월 15일,맛있다맛있다 너~~~#카레돈카츠#너무#맛있다그램 #점심#런치#만족#줌마스타그램 #아들스타그램 #형제스타그램 #아들둘맘 #부산맘 #육스타그램 #4살차이 #일상 #소통 #맞팔해요 #경성대#남천동
,,hj1oo2,7월 14일,2021-07-14T05:48:34.000Z,2021년 7월 14일,"#20210714wed
#오늘점심뭐먹지 🤤🤤🤤
.
.
바로너!
#호카츠 #카레돈카츠"
"Ulsan, South Korea",https://www.instagram.com/explore/locations/1017206871/ulsan-south-korea/,___j__flower__,7월 12일,2021-07-12T03:07:52.000Z,2021년 7월 12일,"#첫줄
요즘 미친듯이 먹기만 한거같당🤣
벌크업을 이러케 쓰는게 맞는가ㅋㅋ
더우니까 맛있는거라도 마니 묵쟈💕
.
.
.
.
.
.
#울산 #울산맛집 #울산카페 #울산먹방 #피자 #스시 #조개구이 #냉모밀 #카레돈카츠 #족발 #보쌈 #춘천막국수 #여름 #몸보신 #해신탕 #백숙 #먹방 #먹부림 #벌크업 #여행스타그램 #먹스타그램 #럽스타그램 #일상 #데일리 #맞팔 #소통 #인친"
하이카츠,https://www.instagram.com/explore/locations/109312200908426/,katsuandmore,7월 2일,2021-07-02T05:06:30.000Z,2021년 7월 2일,"얼마전 부터 시작한 카레돈카츠

#하이카츠
#카레돈카츠#죽곡돈카츠#카레#강정보돈까스#다사맛집#대구맛집#다사돈카츠#"
,,yooo._.rimm,6월 30일,2021-06-30T13:29:00.000Z,2021년 6월 30일,❤️‍🔥🤜🤛👊
,,nuttyboom_com,6월 29일,2021-06-29T10:52:34.000Z,2021년 6월 29일,#제주 #첫끼 #선흘 #브런치 #수제버거 #카레돈카츠 #소노벨제주 #조천맛집
,,jarmukjin,6월 20일,2021-06-20T12:54:07.000Z,2021년 6월 20일,#먹부림 #돈카츠 #돈카츠맛집 #치즈돈카츠 #카레돈카츠 #우동 #일식 #먹방 #외식 #음식스타그램 #먹스타그램 #먹방스타그램 #먹스타 #fff #happy #instagood #instafood #instagram #instadaily #koreanfood #korea #korean
,,aiady12,6월 17일,2021-06-17T03:52:17.000Z,2021년 6월 17일,#오유미당목포남악점 #무안맛집 # 남악맛집 #목포맛집 #전남도청맛집 #카레돈카츠 # #치돈카츠 #소고기쌀국수
,,yogajoomma,6월 17일,2021-06-17T03:32:00.000Z,2021년 6월 17일,"#오유미당송탄점
#송탄맛집
#평택맛집
#서정동맛집
#송탄돈까스
#송탄쌀국수
#소고기쌀국수
#카레돈카츠

분위기좋고 맛도좋은~~
오늘도 잘 먹었습니당~"
고파,https://www.instagram.com/explore/locations/2187235348192016/,muk_______k,6월 16일,2021-06-16T05:00:15.000Z,2021년 6월 16일,"-
카레 돈카츠🤤
#카레돈카츠 #카레 #돈카츠 #카레돈까스 #돈까스 #존맛탱 #혼술 #혼밥 #먹팔 #먹스타맞팔 #의정부 #고파 #로바다야끼고파 #좋아요"
,,youmeyoung,6월 12일,2021-06-12T11:36:03.000Z,2021년 6월 12일,"맛난 것도 함께 먹어야 맛이 나지~
짧지만 강렬하게 만나고
훅! 치고 빠지는
#진돈
#카레돈카츠
#왕새우튀김
#장미딸기에이드
#맛느낄려는데사라져"
,,newthinkkk,6월 8일,2021-06-08T11:44:30.000Z,2021년 6월 8일,맛있어서 행복했던 돼지보스🐷
