location_info,location_href,upload_id,date_text,date_time,date_title,main_text
Daegu,https://www.instagram.com/explore/locations/6650643/daegu/,jinwon5385,6일 전,2021-08-16T09:46:58.000Z,2021년 8월 16일,"대구 대봉동 귀로식당
검은콩국수, 빈대떡
.
.
입추를 지나고나니 아침 저녁으로 제법 선선한 바람이 불어주네요

오늘간 곳은 대구향교 부근입니다

대구향교 하니 학창시절 예절교육 갔던 기억이 간만에 회자되네요

출필곡반필면~

나갈때 반드시 아뢰고 돌아오면 얼굴을 비추라는 뜻으로

어른들께 자신의 안위를 보고함과 동시에 어른들께 안부인사를 자주하라는 뜻이죠

이 참에 부모님께 연통한번 넣어야 겠습니다

귀로식당~

향교 부근에서 올해로 44년차 노포식당입니다

할머니 1인가게인데 상당히 친절하시네요

입구에 들어서면 옥외메뉴판이 눈길을 사로 잡습니다ㅎㅎ

예전에 가게밖에 붙어있었는지 상당히 궁금해지는데 깜빡하고 못 물어봤네요

물어봐주실분 구합니다🙋‍♂️

검은콩국수(8천원)~

국내산 검은콩과 참깨, 땅콩, 누런콩을 직접 갈아서 제공해줍니다

면발은 동구시장 장할매맛집과 동일하게 메밀면을 사용하네요

메밀함량 35%면발로 시원한 콩물에 시원한 성질의 메밀이 만나 시원함이 배가 됩니다

콩국물먼저 먹어보면 고소하고 진하면서 단맛도 미세하게 있어 두유느낌이 살짝 날려고 하는데

위에 고명들 소고기끼미와 계란지단이 짭쪼름하게 나와서 단맛을 잡아줌과 동시에 소금없이도 간을 딱 맞춰줍니다

소고기끼미가 중간중간 면발과 국물에 같이 딸려 올라오면서 매력적인 식감을 보여주네요

콩물과 메일이 찬 성질이기에 소고기기름이 들어가면 배탈날 우려가 있어 소고기를 볶고 다시 냉장을 시켜

위에 떠오르는 하얀기름을 손수 다 제거해서 내어주는 세심함까지 매력있네요

곱배기는 추가금액없이 얼마든지 더 주시는데

소쿠리갬성에 손으로 툭 담아주시는 할머니 손맛까지 매력가득합니다

그릇또한 깔맞춤 옷을 입은듯 상당히 고급스러운데

콩국수중에 명품콩국수가 있다면 바로

이런게 아닐까? 라는 식으로 외면과 내면에 고퀄 간지가 줄줄 흘러 넘치네요

녹두빈대떡(8천원)~

두장 꾸어서 제공이 됩니다

녹두에 야채를 가득 넣고 국내산 돼지전지는 생고기를 넣어서 구어주십니다

겉바속촉의 잘구운 빈대떡인데

막걸리 안주로 제격입니다

같이내어주는 직접담은 묵은지와 깻잎무침등과 곁들여 먹으면 한결더 맛이 업되네요
.
.
.
.
.
귀로식당~

할머니 사장님의 친절함과 드넓은 인심을 느낄수 있는 곳이네요

출필곡반필면을 교훈삼아 나올때 큰소리로 인사하였지만

이 자리를 빌어서 한번더 인사드립니다

잘먹고 갑니다

다음에 또 오겠습니다
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#대구맛집 #대구 #맛집투어 #전국맛집 #대구먹스타그램 #좋아요 #JMT #대구맛집추천 #대구맛집투어 #대구맛집탐방 #대구맛집그램 #진원_대구중구 #진원_대봉동 #콩국수 #빈대떡 #귀로식당"
진주회관 콩국수,https://www.instagram.com/explore/locations/3727363/,so.oooooh,3일 전,2021-08-18T10:49:09.000Z,2021년 8월 18일,"1. 한동안 콩국수”만” 파는 집이라는점
2. 이모님들이 그닥 친절하진 않으시단점
-
콩국수가 앤간히 맛있지 않으면 이런 문제점들이
사소한 혹은 중요한 문제로 작용할수 있는데
콩국수가 보통 맛있는게 아니라 다른건 하나도 생각안나는 마법"
,,ellyj_table,8월 13일,2021-08-12T23:16:14.000Z,2021년 8월 13일,아침 대신 콩물 한 컵 마시라고 했더니 국수를 말아달라는 분🤦🏻‍♀️ 그래서 모닝 콩국수#이런와이프또없다
부산우리집,https://www.instagram.com/explore/locations/133210996821269/,muk_jeong,8월 11일,2021-08-11T04:39:47.000Z,2021년 8월 11일,"오늘점심💙협찬🍽
#더네이처파머스 #콩게미

인친님들~ 맛점하셨나요☺
저는 시원하게 #콩국수 랑
#백청우만두 흐빕했어요😆
이더운날 콩국수 메뉴 딱이죵👏👏
#콩게미콩물 은‼️
100% 국내산 콩을 사용하고
멸균하지않고 방부제도 넣지않은
순수 콩물이에요~~☺☺
완죤~ 걸쭉하고 진하고 고소해요😍
떠먹으면 진짜 풍미가❤❤❤
전 소금파라 살짝 넣어주니
더더 맛잇네요👏👏👏
콩국수 좋아하시는분!!!
요기꺼 한번 드셔보세용
너무 맛있어요😊😊😊
인친님들~~ 오늘도
즐거운 수요일 보내세요🙌🙌

구매문의 👉@thenaturefarmers

#콩국수맛집 #콩국수🍜 #콩물 #콩물국수🍜 #콩물국수 #콩국물 #엄마표요리 #엄마표밥상 #엄마집밥 #아침밥상 #아침메뉴 #아침메뉴추천 #홈쿡스타그램🍳 #집밥메뉴 #집밥그램🍚 #점심추천 #저녁메뉴추천 #저녁메뉴 #점심메뉴 #점심메뉴추천"
,,kcultureinjapan,8월 11일,2021-08-11T08:35:10.000Z,2021년 8월 11일,"夏の暑さを乗り切る☀️韓国の麺料理

昨日は東京で今年初の猛暑日を記録するなど、暑い日が続いていますね🥵
みなさん、体調を崩されていませんか？

暑い日にはやはり冷たくてツルっとした麺料理が食べたくなりますよね！
そこで今日は韓国で夏によく食べる麺料理をご紹介したいと思います！
（写真は全て職員が実際に食べたものです🍴）

①冷麺
みなさんお馴染みの冷麺はやはり夏に欠かせません！
日本で広く知られているスープのある冷麺が、実は現在の北韓（北朝鮮）の平壌発祥であるのをご存知ですか？
今はすっかり夏の食べ物としての認識が強いですが、元々は暖かいオンドルの部屋で食べる冬の料理だったのだとか！
お店によってレシピは様々ですが、蕎麦粉を主原料とした麺と牛肉のダシを使っているのが特徴です。

②ミルミョン
冷麺にとても似ている料理にミルミョンがあります。
こちらは韓国南東部に位置する釜山近辺の郷土料理で、小麦粉を主原料とした麺と豚肉のダシを使っていることが冷麺との最大の違いです！
また、平壌式冷麺とは違い甘辛いソースが入った刺激的な味つけになっています！

③チョルミョン
チョルミョンは麺、千切り野菜、ゆで卵などを甘辛い＋酸っぱいソースと混ぜ合わせて食べる麺です。
チョルミョンの麺は冷麺よりも太く、モチモチでかつ歯ごたえがあることが特徴です。
新鮮なお野菜が摂れて、甘辛くて酸っぱいソースが食欲をそそる夏にぴったりな一品です♪

④コングクス（大豆素麺）
コングクスとは小麦粉の麺を冷たい大豆のスープで食べる麺料理です。
一般的にスープの味が薄いので、お好みで塩を入れて味を調整します。
韓国南西部に位置する全羅道では塩の代わりにお砂糖を入れて食べるのだそうです！
大豆の味が強く感じられるので、豆乳が好きな方にはおすすめです✨

⑤ヨルムグクス（大根若菜キムチ素麺）
ヨルムとは大根若菜のことで、夏によく食べる栄養価の高いお野菜です。
ビタミンＣや食物繊維が豊富なので免疫力や消化機能を高めてくれるだけでなく、汗と共に体外へ出てしまったミネラルを補ってくれるので、体力回復にも効果的なのだそうです。
ヨルムはキムチとして食べることが多いですが、そのキムチを使って作ったのがヨルムグクスです！
まさに夏を乗り切るための栄養満点な麺料理です！

今回は夏の暑さを乗り切る韓国の麺料理をご紹介しましたが、いかがでしたか？
残りの夏も韓国の麺料理を食べて乗り切りましょう！

#麺料理 #冷麺 #ミルミョン #チョルミョン #コングクス #ヨルムグクス #냉면 #밀면 #쫄면 #콩국수 #열무국수 #韓国料理 #韓国グルメ #韓国情報 #韓国 #韓国文化 #駐日韓国文化院"
,,hoon4001,8월 10일,2021-08-10T03:02:15.000Z,2021년 8월 10일,"#내돈내산 그리고 #협찬
입추가 지났지만 아직은 무더운 날씨😫 시원한 #콩게미 콩물꺼내 콩국수 해먹었어요😀 예전에 협찬받아 먹어본건데 맛있어서 콩국수 좋아하는 아버지댁에 5팩 사서 보내드렸는데 콩국물은 빨리 상하니까 나눠먹자 하셔서 2팩 얻어와서 먹었죠😁
.
.
역시 콩비린내 없이 걸쭉하고 고소한 콩물~넘 맛있어요👍콩국수 팁은 중면 사서 삶아도 맛있지만, 콩국수용 국수가 따로 나온다는 사실😉저는 집근처 시장에 겉절이 사러갔다가 보여서 샀어요. 삶아먹어본 결과, 좀 더 쫄깃한 면발, 덜 퍼지는 느낌, 노란빛(치자가 들어있네요😁) 덕분에 더 맛깔나보이는 효과? 한번 사서 드셔보세요🙂아!그리고 콩물은 빨리 상하니까 받으면 바로드시길 추천합니다🙋‍♂️
.
.
콩게미 콩물 어디서 사는지 아시죠?
#더네이처파머스 @thenaturefarmers
.
.
.
#할머니가콩국수용국수가있다며
#총각이라고함
#그래서산건아니구요"
,,eunae_son,1일 전,2021-08-20T14:12:09.000Z,2021년 8월 20일,"#오늘저녁
남편이 좋아하는 콩국수😄😄
으른이 되도 콩국수는 무슨맛으로 먹는지 아직 적응이 안되는😅😅 난 김치맛으로 먹음😆😆
연우는 비비고바지락칼국수로~~👍👍
.
#집밥 #집밥스타그램 #쿡스타그램 #요리스타그램 #콩국수 #콩국수만들기 #남편은좋아하는메뉴 #콩국수는무슨맛으로먹는건가요 #어린이입맛 #여름에한번은먹어줘야지"
,,cheez__z,2일 전,2021-08-20T07:49:26.000Z,2021년 8월 20일,"사계절 내내가
아닌 4월에서 9월 딱 6개월만 영업하는 대전 고단백 식당✔️
⠀
메뉴는 메주콩으로 만든 노란 콩국수(9,000)와 서리태로 만든
검은 콩국수(10,000) 딱 2가지와 반찬은 열무김치 하나가 끝.

어릴 적 몇 번 콩국수 먹어보고 특유의 콩 비린내가 맞지 않아
먹어볼 시도조차 안 하다가 방문하게 되었는데 고단백 식당에
서 제 입맛을 조금은 바꿔주신 거 같습니다😊?
⠀
일단 국물 자체에 간이 살짝 되어있는 편인데 콩 비린내는 전혀
느껴지지 않아서 첫입부터 오? 반응이 나오는 게 신기하네여 !
국물이 걸쭉하면서도 부드러운 편이라 술술 들어간다면 면발은
딱 잘 삶아진 면발이라 먹는내내 탱글-한게 먹을수록 반전 매력

노란 콩국수는 깔끔 담백하다면 검은콩은 조금 더 걸쭉한 느낌
이라 개인적으로는 노란 콩국수가 더 취향 저격이었고, 설탕과
소금 중 소금 팍팍- 뿌려먹는 게 ⭐️ 내 서타일⭐️
푹 익은 열무김치도 콩국수랑 미친 캐미를 자랑하니 듬뿍 같이
싸먹는 거 추천 드립니당💛
⠀
아직까지 콩국수 입문 단계인 저를 고단백 식당이 콩국수 인상
을 바꿔준 곳이라 저처럼 콩국수가 어렵거나 못 드시는 분들은
여기 도전해보시는 거 어떠신지,,👌🏻
.
.
.
#콩국수
#고단백식당 #대전맛집 #치즈_대전"
,,coconute_mimi,8월 4일,2021-08-04T12:42:53.000Z,2021년 8월 4일,"🎈코미밥상
야구 한일전이 어케 될까요,,
떨려요,,
이기겠죠!! 기도하면서 보게 되네요🙏
.
단호박을 오늘은 바삭하게 튀겨봤어요, 겉바속촉의 매덩이 튀김이네요🤗
곤약꽈리고추조림,
마늘쫑새유볶음,
연근조림,
콩나물무침,
2시간전에 만든 싱싱 겉절이,
매콤 목살 두루치기,
검은콩국,
냉동실에 있던 추어탕, 곰탕
잡곡밥
.
점심을 잘 먹어서 신나게 요리했네요🤭😊
.
.
.
.
.
대한민국🇰🇷👏👏👏 👏👏
.
.
.
.
.
#집밥 #저녁밥상 #단호박튀김 #곤약조림 #꽈리고추조림 #연근조림 #콩나물무침 #콩국수 #콩국 #추어탕 #곰탕 #한식 #가정식 #집밥스타그램🍴"
,,gimdeogsu954,10분 전,2021-08-22T09:57:30.000Z,2021년 8월 22일,#주말점심밥상#콩국수#얼갈이김치#깍두기
