location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,jumsuk7,2일 전,2021-08-03T10:29:46.000Z,2021년 8월 3일,"#저녁#집밥🍚

8월3일 화요일

화요일 저녁 메인

오늘 저녁은
매콤한 반건조 오징어볶음
고추잡채랑 꽃빵 만들고
박대구이 콩나물무침 만들었어요
그리고 냉장고에 있는 밑반찬들~
전 매콤한 오징어볶음에 밥 슥슥 비벼 맛있게 순삭요 ㅎㅎ😋😍
남편님과 아들은 고추잡채가 맛있다며 꽃빵에 쌈싸 먹고 또 먹고
ㅋㅋ 잘먹네요
오늘 저녁도 맛있게 잘 먹었습니다
건강한 저녁 시원한 저녁 되세요😍😍
.
.
.
#저녁밥상 #집밥스타그램
#맛스타그램 #먹스타그래
#쿡스타그램 #홈쿡스타그램
#온더테이블 #요리스타그램
#주부스타그램 #한식 #가정식
#요리하는여자 #고추잡채 #꽃빵
#오징어볶음 #콩나물무침
#박대구이 #비트물김치
#콩나물국 #파김치 #애호박볶음
#부지갱이나물 #가지찜무침"
우리집♥,https://www.instagram.com/explore/locations/430227633/,dahye.cook,7월 28일,2021-07-28T11:19:11.000Z,2021년 7월 28일,"🔍 ᴛᴏᴅᴀʏ'ꜱ ꜱᴘᴇᴄɪᴀʟ #육회비빔밥

드디어 에어컨을 고쳐서.. 간만에 성의있는 밥상🤣
집이니까? 육회 산더미로 얹은 #육비 🥳 난 #불고기비빔밥"
,,ss.unni_table,4월 17일,2021-04-17T04:09:53.000Z,2021년 4월 17일,"🍚🍚🍚

제가 대학생때 친구네집 갔다가
친구 어머니가 해주신 콩나물볶음을 먹고 반해서,,
그때 친구네 반찬통에 있던 콩나물볶음을 다 털었던 기억이 나네요,,,🥲

저는 매콤하고 양념이 찐~~한 콩나물보끔을 조와하거던요!
요거 하나면 밥 두공기 가능!!!😳

(제가 맨날 글쓸때마다 ‘조와’ 라고 쓰니까 남치니가 너.. 왜 매번 ‘조와’라고 써? ‘좋아’인거 알아..? 라고 조심스레 묻더라고욬ㅋㅋㅋㅋㅋ
다른분들도 내가 ‘좋아’를 모른다고 알수도있겠구나 싶어서 해명글 씁니다! 저 ‘좋아’ 알아유 ㅠ ‘조와’는 귀여워서 쓰는거니까 넘어가주셔요😇)

🔸재료

콩나물(제가 산건 아마 600g 짜리 였을거에요!)
대파
양파
고춧가루 3.5T
멸치액젓 2.5T
다진마늘 1.5T
참기름
통깨

🔹레시피

1. 후라이팬에 기름 두르고 대파,양파 볶다가
2. 깨끗히 씻은 콩나물 넣고
3. 그 위에 고춧가루 액젓 다진마늘 넣고
4. 젓가락으로 휙휙 ! 콩나물이 숨이 죽을때까지
5. 콩나물이 죽으면😑 참기름 휙휙 통깨 챡챡!

인친님들 맛있는 하루되시고 즐놀토보내기로 약속~~~🤙🏻🤎🤎"
,,joayogram,2일 전,2021-08-03T08:11:37.000Z,2021년 8월 3일,"[조아요테이블 𖤐 ]
👩🏻 이게 최선일까? 너무 성급해
좀더 신중해야하지 않을까?
👦🏻 응 지금으로써는 이 결정이 최선이야
.
.
.
.
.
.

배고픈데 맛있는건 먹고싶고 어디가 더 빠를까 머리맞대고 배민보는데요…
세상진지합니다 🤤
.
짤방은 어제 #밥상스타그램 🤗
단호박듬뿍 #카레라이스#콩나물국"
,,toto.banggu,6월 21일,2021-06-21T10:03:17.000Z,2021년 6월 21일,".
🍒콩나물국

어제도 과음😖

오늘도 해장

🦐새우까지 넣으니

국물이 더 시원하균

살려줘서 고마워 콩나물아😘😘😘
.
.
.
#집밥#콩나물국#해장국#숙취#숙취해소
#먹스타그램#맛스타그램#요리스타그램
#맛팔#맞팔#먹팔#적당히마시자🍺🍻"
"Seoul, Korea",https://www.instagram.com/explore/locations/213094191/seoul-korea/,min_nnngg,6월 17일,2021-06-17T06:34:55.000Z,2021년 6월 17일,"2021.06.17
멘탈 나간 날~~~어제 나간 급식 의견 받았는데,,
냉모밀에 치즈돈까스 주는데도
만족 못하면 어떡하라고~~~~~~~~~ 쪄죽겠어서
날씨랑 잘어울리는 냉국 줬는데 튀김엔 따뜻한국물을
달라니~🤬🤬😡🤬😡😡🤬😡🤬😫

오뚜기 잎새만두 맛있어요,,추천추천
고기2김치1주려했는데 반대로 발주해서 고기1김치2 준
바보같은 나,,,😭
얼른 입찰준비다하고 복싱하러가야지,,,, 샌드백 뿌신다,,

#급식#학교급식#고등학교급식#영양사#학교영양사#급식스타그램#영양사스타그램#오뚜기#잎새만두#돼지갈비찜#고기만두#김치만두#브로콜리초무침#콩나물국#만두추천#오뚜기잎새만두"
송파 가든파이브,https://www.instagram.com/explore/locations/1853860631542683/,jungwonnee,5월 28일,2021-05-28T05:21:01.000Z,2021년 5월 28일,"#식판샷
선생님들 오늘 비가 난리도 아니게 왔는데☔️
식수 안녕하셨어요,,,?

저는 안녕하지 못했답니다,,,,☠️
셋팅 뒤집어지게 했잖아요🏃🏻‍♀️

그래도 매출이 올랐으니 기쁘네요!
하핳하하하🙂🙃🙂🙃

하... 금요일이다.. 한주도 고생 많으셨어요❤️

🎈#오늘의메뉴
#소불고기덮밥 #파프리카감자채볶음
#어묵볶음 #치커리무침 #콩나물국
#샐러드 #그린샐러드"
,,mi.sssssun,3일 전,2021-08-02T22:25:44.000Z,2021년 8월 3일,"비오는 아침 사진색감😡 화요일 #미슌도시락 닭갈비 한덩이 꺼내서 볶음밥! 국종류도 딱 1인분씩만 끓이기🤘🏼
#닭갈비볶음밥 #콩나물국 #맛살전 #양파장아찌 #복숭아"
,,cc_story0907,5월 25일,2021-05-24T23:13:05.000Z,2021년 5월 25일,"아침은 콩나물국
해장이 필요한 아내의 오더가
들어와서 급하게 대충 끓였는데
맛있다고 잘 먹네요 ㅋㅋ

#콩나물국
#해장완료👌
#잘먹으니
#해줄맛나네
#먹스타그램"
,,sks35647,22분 전,2021-08-06T04:15:27.000Z,2021년 8월 6일,"점심 회사밥
#세상행복 #칼로리폭발💥 #볶음밥 #치킨 #알리오올리오파스타 #콩나물국"
,,food__minimini,25분 전,2021-08-06T04:12:43.000Z,2021년 8월 6일,"2021.07.19

마더 해장국😆"
