location_info,location_href,upload_id,date_text,date_time,date_title,main_text
고촌우리집.,https://www.instagram.com/explore/locations/349852795459614/,rhtkdals1,2020년 2월 19일,2020-02-19T11:07:08.000Z,2020년 2월 19일,"#첫줄
다들 햄버거 두개씩은 드시죠???
#버거킹 에서 와퍼 3900원씩 팔길래 두개 사왔습니다
#통새우와퍼 랑 #콰트로치즈와퍼 🤗
.
.
다들 아시는 맛이고 ㅎㅎㅎ
저는 #햄버거 두개는 먹어야 배가 차서 완전 지금 배빵빵입니다😅
.
.
그래도 1월부터 나름 #다이어트 하며 먹고있는데 오늘까지 약 8키로 감량!!!!🤩🤩
앞으로 건강하게 먹기위해 한 5키로 정도 더 감량할 생각입니다... ㅎㅎㅎㅎ 응원해주세요
.
.
#카메라 좋은건 아니지만 중고로 데려왔어요 ㅎ
사진은 폰카인게 함정... 사진이 아직은 잘... ㅎㅎㅎㅎㅎ
공부해서 열심히 찍으러 다니겠습니다!!
.
.
#먹스타맞팔 #burgerking
#burger #먹스타그램 #먹스타 #일상스타그램 #데일리 #좋아요 #음식스타그램 #존맛 #존맛탱구리
#맞팔은댓글 #맞팔은댓"
경희대앞,https://www.instagram.com/explore/locations/276336479657007/,siktam_queen,5월 30일,2021-05-30T09:24:56.000Z,2021년 5월 30일,"🤔🤔🤔🤔🤔🤔
멀리 보아야 잘보인다
너도 그렇다
#노안
.
경희대 버거킹 다시 오픈했으니까
쿠폰 애껴 써야지🤣
.
#버거킹#버거킹쿠폰#버거킹스페셜쿠폰#아기상어새우버거#엄마상어새우버거#아빠상어새우버거#몬스터와퍼#콰트로치즈와퍼#베이컨치즈와퍼#와퍼주니어#베이컨치즈와퍼#기네스콰트로치즈와퍼#고추장소불고기버거#크리미모짜볼#좋아요#좋아요환영#좋아요그램#좋아요반사#맛집#선팔#맞팔#선팔맞팔#먹팔#먹팔해요#먹팔환영#먹팔스타그램#맞팔해요#맞팔환영#맞팔스타그램##식탐여왕화들짝"
집구석,https://www.instagram.com/explore/locations/255716287797528/,zzaming__,2019년 8월 18일,2019-08-18T09:27:36.000Z,2019년 8월 18일,"#🍔 .

미나기가 준
버거킹 콰트로치즈와퍼에
치즈빼고 치즈소스빼니
그냥 생빵 생양상추 생양파 생토마토
강제 다욧행 ^_^;;;;;;
닭가슴살샐러드 사왓찌만
이미 생식했으니 이제 라면묵짜~~~!!!! .

#버거킹 #콰트로치즈와퍼
#불일 #집구석 #집순이
#집이최고얀
#이불밖은위험해
#다이어트는내일부터
#셀스타그램
#selfie #daily"
경기도 의정부 민락동,https://www.instagram.com/explore/locations/587520370/,ujbminrak,5월 28일,2021-05-28T13:15:56.000Z,2021년 5월 28일,"기네스와퍼+콰트로치즈와퍼 포장해오기😆 5월마지막주 단품 1+1 8000원 총4개 구매후 2개씩 나눠먹기😁ㅎㅎ
.
#버거킹#기네스와퍼#콰트로치즈와퍼#와퍼#햄버거#버거#햄버거🍔#먹스타그램#맛스타그램#햄버거스타그램#배불러#원플러스원#행사#프로모션"
,,meokjjang999,7월 29일,2021-07-29T05:43:47.000Z,2021년 7월 29일,"#내돈내산 #내돈내먹
햄버거 먹을때 반 똑 갈라서먹으면 그나마 덜 쳐발쳐발 할 수 있움ㅋㅋ
제 최애 #콰트로치즈와퍼 🍔"
,,iamlja,2013년 9월 1일,2013-09-01T05:56:30.000Z,2013년 9월 1일,"이거슨 치즈덕후인 나를 위한 버거인가 사랑해 #버거킹♥
#콰트로치즈와퍼 #와퍼 #버거 #햄버거 #먹스타그램 #burgerking #wopper #burger #instafood"
대전 둔산동,https://www.instagram.com/explore/locations/326068474871926/,leejhbro,2020년 9월 26일,2020-09-26T07:27:29.000Z,2020년 9월 26일,"운동 끝나고 #버거킹 #콰트로치즈와퍼
#햄최몇?
저는 하나 먹으니깐 배부른데요ㅜㅜㅜ"
안주마을,https://www.instagram.com/explore/locations/1413151/,jyp_jewap,2017년 12월 27일,2017-12-27T13:19:22.000Z,2017년 12월 27일,"2017.12.27
풉!!! #버거킹 #베이컨콰트로치즈와퍼
#콰트로치즈와퍼 #680그램 #여주휴게소
여주휴게소 버거킹에서만 가능한 #인생버거
@kae_yujin 유진형 사랑해!!!!
햄버거가 680그램이야~~~고기 한근!!!!
잘 먹었습니다~~^^"
"Ulsan, Korea",https://www.instagram.com/explore/locations/5771181/ulsan-korea/,all.that.ulsan,2020년 2월 23일,2020-02-23T11:29:44.000Z,2020년 2월 23일,"버거킹😜 집에서 집밥만 먹으니 이것도 땡긴당
오늘 마트도 다 쉬는 날이고 근처 중형 마트도 사람들이 식료품 사재기 하는듯🤯🤯🤯 배달음식 보다는 포장이 더 나은듯😜
.
.
.
.
.
.
.
.
.
.
#버거킹
#치킨텐더
#감자튀김
#통새우와퍼
#몬스터와퍼
#콰트로치즈와퍼
#더블해쉬불고기
#먹스타맞팔
#먹스타그램
#맛스타그램
#선팔하면맞팔
#맞팔댓글
#맞팔환영"
,,osos1052,17분 전,2021-08-08T14:58:07.000Z,2021년 8월 8일,"3개월 남았다...
#다이어트1년#때려친다#호세야오리바베큐#장작오리구이#초코케이크#빨미까레#크로플#아인슈페너#그래비티#버거킹#통새우와퍼#콰트로치즈와퍼#베이컨치즈와퍼#어니언링#감자튀김#치킨너겟#일요일점심#퍼니스트로우#우유에꽂으면딸기우유#신기하네#수육#무생채#귀춘#고김밥#꼬마김밥#휴가끝#여름방학끝#곧생일이잖아#광복절녀#주말안녕"
