location_info,location_href,upload_id,date_text,date_time,date_title,main_text
우리집,https://www.instagram.com/explore/locations/795705598/,hee.ya_____,7월 21일,2021-07-21T14:46:59.000Z,2021년 7월 21일,"⠀
⠀
애들이
엄마가 한게 맛있다고..먹고 싶다는데
어쩔꺼야..
해줘야지🥲😅
⠀
트더에서 등심 통으로 사서
근막,지방 제거하고
(등심에 마블링이..대박)
⠀
너무 딱딱하지 않게 적당히
바삭하며 맛나게 튀기기~
⠀
튀기면서 입에들어가는게 반!!ㅋㅋ
⠀
이제 하도 만들어서
웬만한 중국집보다 훨 맛있다👍🏻
진심💕💕💕
⠀
만드는데 체력을 다써서
도저히 플레이팅은 못하겠더라🤣🤣
⠀
#갈수록느는기술
#집에서만드는
#수제
#탕수육
#소스
#기가막힘
#대박
#뭐든만들어주는엄마
#집밥
#클라쓰"
,,coe2493,7월 28일,2021-07-28T10:58:34.000Z,2021년 7월 28일,"ㆍ
이 더위에 튀김 튀겨주는 엄마
ㆍ
주방에서 튀기면 냄새베일까봐
뒷베란다에있는 세컨주방에서
햇빛받아가며 튀겨줌🙈
ㆍ
닭안심한팩사와 요렇게 만들어놓고
3일정도반찬으로 조금씩 튀겨줘요
ㆍ
어렵지않으니 한번 해보세요
명작 #백점엄마의편식없는매일밥상 에 있는데
밀 계 빵 순서생략하고
요렇게 만들어봤어요
ㆍ
닭안심 4등분정도 잘라서
똑같은 과정으로하면
팝콘치킨 만들 수 있어요
ㆍ
내일은 요걸로 또띠아롤 만들어줘야겠어요
내일은 또띠아롤 들고올게요
영상꿈나무🤣
ㆍ
ㆍ
튀길때 #무쎄 팬 사용했어요 진짜 튀길때 짱
@cook_and_candle 공구상품
ㆍ
영상처럼 보관할때 사용한 실리콘트레이는 정말 잘쓰고있는 #맥트레이 #하울스홈 제품입니다 @haulshome
ㆍ
ㆍ
#치킨텐더#튀김#치킨#chicken#방학#방학간식#방학간식추천#간식"
,,wooyeon1175,2일 전,2021-08-03T13:30:13.000Z,2021년 8월 3일,"-
오늘은 특별하게
명품으로 치킨을,,
먹어야겠다 ㅎㅎ
#푸라닭

역시 매력있네,
닭자체가 냄새도 없고
간도 딱 좋아서 매력이👍

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#치킨 #치킨추천 #푸라닭치킨 #푸라닭블랙알리오 #치킨맛집 #치느님 #치킨스타그램 #치킨은언제나옳다 #치맥 #저녁 #야식스타그램 #야식 #먹방 #먹스타그램 #맛스타그램 #먹깨비 #추천 #⭐️⭐️⭐️⭐️ #배달음식 #치킨먹방 #휴가 #집콕 #육즙 #마늘 #고기스타그램 #통닭 #닭 #튀김 #ㅋㅋㅋ"
,,na_1_hwan,5일 전,2021-07-31T10:19:23.000Z,2021년 7월 31일,"저스트텐동 송도트리플스트리트점
처음먹어보는 텐동
상당히 맛난 음식이었다
김튀김 한 30장먹고싶다
#텐동 #저스트텐동 #송도맛집 #송도트리플스트리트 #튀김 #튀김맛집 #매력 #먹스타그램 #맛스타그램"
,,oboeju,3시간 전,2021-08-05T11:37:50.000Z,2021년 8월 5일,"⠀
해피치즈스마일😋
퇴근하자마자 넘어와서
예전부터 와보고싶은곳!!
이쁘기도하고 맛있기도하고👍🏻
먹고 후식에 용돈까지 풀코스로
생일선물받음 고마워🎂🎂🥰
10시까지 밖에 못있지만 좋다😉"
,,coe2493,7월 4일,2021-07-04T11:24:39.000Z,2021년 7월 4일,"#공구중#밤호박공구중#잠시후마감
ㆍ
💥💥옵션1번 최여사x지장샘3kg 선택하셔야 가격혜택이 큰 공구상품입니다💥💥
ㆍ

지장샘 X 최여사2탄으로 진행되었던
미니밤호박공구가 오늘자정 마감됩니다
ㆍ
💥낼 오전9시까지 열어둘게요
그때직원들 출근이라 열려있을거라네요😆😆
ㆍ
ㆍ
초당옥수수에이어 엄청난 주문🙈
감사합니다🙏
ㆍ
공구전카메라고장나서
미뤄지게되고 애탔는데
이렇게 잘 마무리되서 다행이에요😭
ㆍ
좋은농산물 정말좋은가격으로
판매해준 지장샘사장님 @jijangsaem_farm 복받으실거에요❤️
ㆍ
마지막메뉴는
원래는 단호박스프하려고했는데
오늘 비왔잖아요
급 메뉴변경해서 #단호박튀김 만들어봤어요
ㆍ
튀김하나는 자신있는 최바삭씨라
𐨛 𐌅 𐨛 𐌅 𐨛 𐌅
진짜 맛있으니 꼭 해보세요
고구마튀김보다 훨씬 맛있어요❤️
ㆍ
자막에있는 팁만 기억하시고
눈꽃가득튀김 만들어드세요😁
ㆍ
단호박튀김은 깊은솥은 필요없어니
그냥 후라이팬에 기름넉넉히 두르고 하심되요 저는 #최무쎄씨 라 #무쎄 에 튀겼어요( @cook_and_candle 공구품)
ㆍ
오늘자정마감이니 월욜 오전9시까지 열어놓을게요
놓치지마세요
재공구 없어요
ㆍ
사랑해주셔서 감사하모니카🎶
ㆍ
🎃완전단 밤호박도있고 조금덜단 밤호박도 있고 같은박스에 있는상품이여도 당도가 조금씩 다르더라고요
후숙하면 당도가 더 올라가니 후숙해서 드세요😁😁
10일정도 후숙해서 보낸거긴 해서 바로 드셔도 되구요
조금더 두심 더 달아요😁
ㆍ
🎃공구기간:2(금)오전9시~5(월)오전9시
🎃발송:2일오후2시이전 2일발송 그이후4일발송
ㆍ
💥필독해주세요
좋은가격 좋은품질로 찾아왔어요
3일간만 드리는 혜택이니 놓치지마세요
재공구❌
ㆍ
💥스토어찜하기 누르시고 천원쿠폰받아 천원할인혜택 꼭 받으세요
ㆍ
💥상세페이지 자세히 읽어주세요
ㆍ
💥밤호박은 파근파근한 밤맛이 나는 호박이에요 후숙할수록 퍽퍽함은 사라지고 당도는 올라갑니다
ㆍ
💥겉면에 기스난것도 있어요
자연스러운거니 이해해주세요 환불사유❌
ㆍ
💥따서 7~10일정도 후숙해 보내드리는거에요 바로 드셔도 맛있을거에요 좀더두심 당도는 올라가고 파근파근함은 조금씩 덜해요 밤고구마와 꿀고구마차이를 생각하심될것같아요
ㆍ

#미니밤호박#미니단호박#보우짱#단호박#밤호박#튀김#일식집튀김"
,,polaathome,7월 24일,2021-07-24T11:58:24.000Z,2021년 7월 24일,".
🥩🥩🍤🍤
역시 #튀김 은 #에어프라이어 보다 기름에 직접 튀겨야 바삭하니 제 맛이죠..😛❤️ 오늘의 메뉴는 #등심돈까스 !!🐖🐖

+ 지금 #폴라앳홈 에서 이틀째 최저가격으로 #오픈특가 진행중인 #메이플조리도구 4종! 👩🏻‍🍳
어제밤 오픈 시작시간부터 #주말 임에도 꾸준히 찾아주셔서 정말 감사드립니다🙏🏻
#조리도구 중에서 #거름망 도구는 식재료를 탕 안에서 건져낼 때도 좋지만, 요렇게 #튀김요리 할 때 정말 편하네요🤔.
뜨거운 기름 튈까봐 핀셋집게로는 #돈까스 꺼내는 일이 무리가 있는데 요렇게 넉넉한 스푼채망스타일이라 튀김을 건져낼 때도- 타버린 튀김찌거기를 걷어낼 때도 너무 편해요👍🏻👍🏻.
구매하신 분들께서는 참고해주세요!
✔️메이플조리도구4종 오픈특가는 일요일자정까지입니다⏰

무더웠던 #토요일 - 편안하게 보내셨나요? 아직우리에겐 하루의 휴일이 더 남아있어요! 시원한 집에서 #맛저 하시면서 남은 #주말 도 행복하게 보내세요😎.

(튀김기는 소장용입니다)
.
.
.
.
.
#폴라앳홈#쿡스타그램#돈까스#메이플조리도구#예쁜조리도구#홈쿡#튀김요리#채망#거름망스푼#살림#주말#일상#일상스타그램"
,,djjune,7월 17일,2021-07-17T12:49:36.000Z,2021년 7월 17일,"👨🏻‍🍳 대왕 오징어튀김 #협찬

올반의 대왕 오징어튀김!
오징어 몸살을 갈지 않고 통째로 튀겨져서 나온 거라
길이가 어마어마해요 무려 20cm!!

에어프라이어에 간단하게 조리도 가능하지만
팬에 기름 붓고 살짝 튀겨봤어요
아무래도 튀김은 기름맛이 들어가야지 제맛!

28cm의 큰 팬도 겨우 사이즈가 맞을 정도로
튀김이 엄청 크네요

탱글탱글한 식감이 좋고
포함된 칠리소스랑 잘 어울리네요
타르타르 소스와도 잘 어울릴 듯

간단한 간식이나 맥주 안주로 완전 딱이네요!

오징어 튀김 먹다가 배부르긴 또 처음

""본 상품은 신세계푸드로부터 무상제공 받았습니다"""
언제나 좋은일만 있길 바라는 마음,https://www.instagram.com/explore/locations/319589885/,kim_____pink,7월 22일,2021-07-22T02:17:31.000Z,2021년 7월 22일,"ʕ•ᴥ•ʔෆ
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
• 순대 (3천원)
• 튀김 (10개 5천원)
• 떡볶이 (6개 3천원)
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
포장 풀고 나 살짝 동공지진 👀
떡 5개 어묵 1개ㅋㅋ 난 어묵이 좋은데... 💦
담엔 반대로 싸달라고 꼭 말씀 드려야겠당ㅋ
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
순대가 제일 좋음🙂 특히 장기가 맛있음🙆‍♀️
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
곧 주말이다ㅏㅏㅏ 꺄ㅑㅑㅑ ✧٩(•́⌄•́๑)و ✧
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#분식 #야식 #간식 #안주 #술안주 #소주 #소맥 #술스타그램 #순대 #튀김 #떡볶이 #요리스타그램 #집밥스타그램 #혼밥 #혼술 #존맛"
,,isaemna,9분 전,2021-08-05T15:02:17.000Z,2021년 8월 6일,"#둘째날
#바다낚시#차귀도
#전날급전화해서시간맞춤
#다행히성공적
#못잡았으면울뻔
#고등어#보리멸#신기한생선많음
#마지막은회
#내가잡우고등어회
#튀김#탕#맛있군#바로먹으니"
