location_info,location_href,upload_id,date_text,date_time,date_title,main_text
버거킹,https://www.instagram.com/explore/locations/377540062722674/,happyhage._.mukja,4월 22일,2021-04-22T03:50:31.000Z,2021년 4월 22일,"❤️#버거킹 #트러플머쉬룸와퍼 #내돈내먹 ❤️

버거킹 트러플 머쉬룸 와퍼!!! 일단 저는 기본에 토마토 패티 한 번 더 추가하나 떡 좋드라구용😝💗

맛은 역시 버거킹답게 불맛이 장난 아님... 그리고 간간히 씹히는 버섯도 맛있어서 버섯 싫어하는 사람도 맛인데 먹을 수 있을 것 같아용!!🥰
안에 들어있는 양상추나 토마토, 양파 매우 싱싱하고 아삭아삭하니 먹는 맛도 있고 베이컨이 진짜ㅠㅠㅠㅠㅠ

기본 베이스 불맛에 상큼한 야채 들어가고 담백한 패티면 심심한데 딱 거기에 짭쪼름한 베이컨이 들어가서 너무 맛있었고 소스도 진짜 달달 담백 짭짤하니 넘 맛있었어용🤩❤️
근데 진짜 불맛이랑 소스는 어케 내는 겨... 역시 버거킹❤️❤️❤️

사이드는 감자튀김과 사이다!!
감자튀김이 좀 두꺼운 편인데도 맛있게 잘 먹었습니댜 ㅎㅎ‼️

🍔재구매 ❤️❤️❤️🤍🤍(가성비는 아닌 거 같아요 ㅠㅠ 맛은 엄청엄청엄청 맛있는데 가격에 비하면...)"
,,y_not_eat,2019년 3월 21일,2019-03-21T04:14:07.000Z,2019년 3월 21일,"? #협찬
-
🍔 버거킹 : 트러플머쉬룸와퍼 🍔
-
님덜한테는 통새우 먹으라고 해놓고 나는 머쉬룸~
.
쫄깃쫄깃 오독오독 버섯이랑
크림소스 느낌의 소스에 토마토 넘 잘 어울리고요
패티 두 장이라 양도 마음도 든든 🐷
.
버거킹은 뭐든 올엑스트라가 진리
300원 더 내고 소스랑 야채 둘 다 추가하면
지구 킹을 넘어 우주 킹 됩니다 👑
.
소스나 야채 하나만 추가하면 꽁짜니까
다이어트 하시는 분들은 야채만 추가해드셔요..
이것이 바로 햄버거세트 제로콜라 다이어트 💃🏻
.
.
#버거킹 #트러플머쉬룸와퍼 #와퍼 #머쉬룸와퍼 #머쉬룸버거
#버거 #점심 #점심메뉴 #존맛탱 #올엑스트라 #먹짤
#먹스타그램 #맛스타그램 #먹스타 #먹스타맞팔 #맞팔댓글"
,,tla_qh_al,7월 16일,2021-07-16T02:25:27.000Z,2021년 7월 16일,"저기요 #버거킹 님들????
왜 때문에 #트러플머쉬룸와퍼 단종이조!!!!????!!!?!?‽??!!?😠😡🤬
최애 버거가 단종됐다.. 기네스 머쉬룸은 맛앖다구어ㅠㅠㅠ #멘붕 #분노 #킹받네"
Bucheon,https://www.instagram.com/explore/locations/251970389/bucheon/,lion_jungjung,5월 7일,2021-05-07T05:31:41.000Z,2021년 5월 7일,"나만 #연휴 야 지금?
#나혼자 #점심 #버거킹
#트러플머쉬룸와퍼 #먹방
#먹스타그램"
부산서부시외버스터미널,https://www.instagram.com/explore/locations/298867367/,reicon_hamburger,3월 12일,2021-03-12T09:58:22.000Z,2021년 3월 12일,"트러플 머쉬룸와퍼 (단품 6500원, 세트 8500원)
2021/03/12 18:40 버거킹 부산서부터미널점
.
오늘부로 와퍼 시리즈가 전부 200원씩 올랐다 ㅠㅠ
벅킹도 먹고 살아야되니 별 수 없었겠지.
.
여튼 버거킹의 끝판 대왕인 트러플 머쉬룸와퍼는 일단 한입 먹자마자 ㅈㄴ 맛있어서 욕이 자동반사(!)가 된다.
버섯의 오독한 식감과 트러플 크림소스의 미친 향, 그리고 패티의 불맛에 베이컨 특유의 맛까지 온갖 진미가 다 섞여있다.
.
그런데 오늘따라 유독 불맛이 약하게 느껴졌다...
뭔가 이상하길래 패티만 먹었더니 불맛이 안나; 피곤해서 입이 이상한건지 확신이 들지 않아서 그냥 다 먹긴 했지만.
안 먹던 아메리카노를 먹어서 그런가..? 아닌가;; 아닌 것 같기도...
.
평점 : 4.9점 (SS등급) /5.0
.
#햄버거 #버거킹 #버거킹부산서부터미널점 #트러플머쉬룸와퍼 #SS등급 #레이콘 #Reicon
https://reicon.tistory.com"
,,lui14won,4월 10일,2021-04-10T11:35:10.000Z,2021년 4월 10일,겨울이 가기엔 아쉬운 게들 ㅠㅠ 게맛 못잊어 🦀 시지에 가면 꼭 먹고 오는 #꼬지짱 여기 아저씨 손맛이 예술인데 청년이 구운것도 인생 꼬지 맛이네 👏 그 청년 잘 굽네 👏 꼬지 먹고 바로 버거킹 때리는 환상의 코스 🐷🐷🐷 #버거킹 내사랑 #트러플머쉬룸와퍼 #플랜트와퍼 맛도 좋았다 💕 #시지맛집 #시지꼬지짱 #대구꼬지 #대구꼬지짱 #홍게 #홍게볶음밥
,,cong_soonjji,1월 26일,2021-01-26T11:37:10.000Z,2021년 1월 26일,"#버거킹 배달시켜 먹기 🙋‍♀️.

버거킹 진짜 안올려서 그렇지 거의 한달에 한두번은 꼭 먹음 .. 🙏
이번엔 한번도 안먹어본 새로운 메뉴들을 먹어봤다.

#통새우스테이크버거 세트에 #트러플감자튀김 , #몬스터와퍼 단품, #코코넛새우튀김 픽 😎. 가격은 생략...ㅋㅋㅋ
이렇게 해서 25000원 정도 나왔던거 같다.

역시 롯데리아나 뭐 요런데에 비해서는 가격이 있지만 맛있으니까 ㅎㅎㅎ 롯리 안먹고 버거킹 먹쥐 👍

근데 요번 메뉴 픽들은 좀아쉽 ㅠㅠ 😭.
통새우 스테이크 버거는 새우에서 살짝 냄새나고 버거자체가 느끼했으며 , 몬스터 와퍼는 그에 비해 엄청 자극적!!!! 짜..다 그래야하나??ㅠㅠ

담부턴 원래 나의 최애인 #트러플머쉬룸와퍼 를 먹어야겠당 ㅎㅎㅎ 굳이 통새우 스테이크 먹을바엔 나의 차애 #통새우와퍼 를 먹어야쥡. 통새우와퍼는 가성비도 끝판왕 👍👍ㅋㅋㅋ

트러플 감자는 사이드중에 최최최애 어찌 저런생각을 😍. 코코넛새우는 차애 ㅋㅋㅋ

암튼 버거킹 신메뉴 나올때마다 먹어보는 버거킹 덕후 1인이었습니다 😳. 💕 (고추장, 기네스 다먹어봄ㅋㅋㅋ)
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#버거킹메뉴추천 #햄버거맛집 #햄버거 #와퍼 #버거맛집 #광주버거맛집 #광주맛집 #광주 #광주일상 #광주소통 #먹스타그램 #맛스타그램 #먹스타맞팔 #먹팔해요 #먹스타 #먹팔 #foodie #foodstagram #food #먹방 #likeforlikes #좋아요반사 #좋반"
,,joshua_red_moon,2020년 12월 28일,2020-12-27T19:47:42.000Z,2020년 12월 28일,"☆버거킹 왕십리센트라스점☆
트러플머쉬룸와퍼 더블 + 직화소불고기버거~
오늘도 버거~
버섯 식감 너무 좋음~
마요네즈 듬뿍 뿌려 먹으면 구뜨🤗
2020. 09. 27.
#상왕십리맛집
#버거맛집
#동네맛집
#트러플머쉬룸와퍼
#직화소불고기버거
ᆞ
ᆞ
ᆞ
#Lune #Moon #Layla #먹ing #한량 #맛있게먹으면살안찜 #배부른게젤싫음 #애식가 #혼밥사랑 #무한고기사랑 #육식주의자 #고기에대한사랑보다진실된사랑은없다 #고기로널리이롭게하라 #힘들고지칠땐고기앞으로가라 #먹스타그램 #푸드스타그램 #육토피아 #먹짜 #육짜 #매일미식회 #食道樂 #버거킹 #서울하왕십리동"
,,bab_enje_muknya,2020년 12월 8일,2020-12-08T05:18:01.000Z,2020년 12월 8일,"버거킹!!!!
트러플 머쉬룸 와퍼 주니어
버섯 마시뜨아!!

#맛스타그램 #먹스타그램 #맛팔 #먹팔 #food #foodstagram #햄버거 #버거킹 #와퍼 #트러플머쉬룸와퍼 #감자튀김 #배달음식 #점심 #선팔하면맞팔 #좋아요 #대학생 #시험기간 #아이폰12미니"
,,noiz_foodie,7월 20일,2021-07-19T22:35:11.000Z,2021년 7월 20일,"#안동#버거킹 #안동맛집…?
버거킹 나한테 왜 그랬어?
왜 #트러플머쉬룸와퍼 단종시켰어?
대체품이랍시고 기네스를 시켰고 다신 안 먹을 것
(트러플 풍미 대신 느껴지는 데리야끼or불고기 맛)
인생 버거를 잃어버렸따…☆
.
#기네스머쉬룸와퍼#스태커2와퍼"
