location_info,location_href,upload_id,date_text,date_time,date_title,main_text
한밀식당,https://www.instagram.com/explore/locations/106811434114092/,hanmilsikdang,2020년 3월 24일,2020-03-24T01:04:59.000Z,2020년 3월 24일,"🍺시원한 맥주와 곁들어 먹기 딱!좋은 해산물 요리 팔보채랍니다🦑 출근 길, 예쁜 벚꽃이 반겨줘서 기분 좋은 아침이에요💘 다들 오늘도 행복하시구 식사시간에 한밀에서 만나요🤙🏼"
일일향 여의도,https://www.instagram.com/explore/locations/103683451226440/,hyunjoowhoon,2020년 12월 3일,2020-12-03T04:21:18.000Z,2020년 12월 3일,"또 #중국집!
#팔보채 와 #유린기 그리고 #짬뽕"
플로리다반점,https://www.instagram.com/explore/locations/1025685914278283/,sups_platform,3월 10일,2021-03-10T07:28:22.000Z,2021년 3월 10일,"[플로리다 반점]
팔보채는 연태랑 먹는거라던데
독주를 싫어하는지라...
맥주랑 먹어도 충분히 맛나더이다
.
.
.
#플로리다반점 #맛집 #먹스타그램 #먹스타 #합정 #중식 #팔보채 #깐풍기 #유산슬밥 #합정맛집 #food #foodie #foodporn #instafood #chinesefood"
마더파더,https://www.instagram.com/explore/locations/1500041220244272/,seoye_eun,2020년 1월 27일,2020-01-27T07:39:30.000Z,2020년 1월 27일,"아빠가 만들어주는 #팔보채 ♥️♥️
아빠가 만들어주는 요리 맛있게 묵는게 내 사랑표현ㅋㅋㅋㅋㅋㅋ♥️♥️진짜 넘맛이쬬ㅜㅜ
울마파 손님들도 다인정하는 아빠요리맛😍😍"
루이,https://www.instagram.com/explore/locations/394417353/,gimlet_joon,2020년 8월 6일,2020-08-06T11:21:25.000Z,2020년 8월 6일,"#광화문맛집 #게실볶음밥 #팔보채
#루이 #미식가김용준
여경래쉐프님을 비롯 홍보각의 팀중에서 에이스분들이 모두 근무중인 요즘 광화문 루이의 음식들이 아주 훌륭하다. 탕수육은 11향같은 트랜디하지 스타일이 아니라 호불호가 있겠지만 양상추를 넣고 볶아 촉촉한데 밥알이 날리는 게살볶음밥 진심 맛있다. XO소스 넉넉히 넣고 신선한 해물로 만든 팔보채도 훌륭하다."
,,anjae_sikdang,2020년 9월 4일,2020-09-04T13:20:08.000Z,2020년 9월 4일,"안재식당마감일기.⁣
⁣
어제 오늘은 점심에 중국요리를 먹었다. ⁣
어제는 팔보채 깐풍기⁣
오늘은 유산슬 양장피⁣
⁣
누가 들으면 안재식당 돈 잘버는 갑네 할수도 있지만 원래 앵갤지수가 좀 많이 높은편이다. ⁣
⁣
그렇다고 평일 점심에 이틀 연속으로 요리를 시켜먹는건 요즘 상황(점심 매출이 10만원을 넘지 않는 지금 ㅋㅋ)에는 불가능에 가까운데 그걸 가능하게 해주는 곳이 생겼다. ⁣
⁣
짜이요!! 라는 중국집이다. 사실 예전에 직원님과 한번 식사를 하러가고는 가지 않았던 곳인데 길을 걷다 팔보채 깐풍기 유산슬 양장피 중 택 2 3만원!! 이라는 알림글을 보았다. ⁣
⁣
팔보채는 어렸을적부터 집안에 경사가 있으면 먹어볼수 있는 최애 요리중 하나 인데 집에서 해먹을라쳐도 해산물 종류가 많아 그냥 사먹는게 더 이득이지만 보통 3만원이 넘기때문에 잘 못먹는 음식이다. 양장피 유산슬도 마찬가지!!⁣
⁣
양장피는 다양한 해산물과 양장피(이걸 해파리로 아시는 분들도 많으시지만 해파리는 다양한 해산물중 하나이고 실제 양장피는 전분으로 만든 면의 일종이다.)를 톡쏘는 겨자소스와 함께 먹는 음식인데 사진은 못찍었지만 송화단(삭힌오리알)까지 올라가 있었다. ⁣
⁣
유산슬은 돼지고기와 해산물 야채를 얇게 채쳐서 볶아 전분소스와 함께 볶아내는 요리인데 죽순과 팽이버섯 건해삼등의 식감이 아주 좋은 완소요리!!(깐풍기는 설명이 필요없을듯!!)⁣
⁣
아무튼 이 요리 2개에 3만원이면 맛이 없더라도 도전해볼 가지치가 있지 않을까 직원회의를 통해 결론을 내렸고 다만 너무 조금씩 나오지는 않을까? 이름만 팔보채지 오징어 파프리카볶음은 아닐까? 걱정을 했었다. ⁣
⁣
그런데 결론적으로는 매우 만족!! ⁣
3만원내고 나오기 죄송스러울정도로 양도 구성도 맛도 좋았다. ⁣
물론 고급요리집들을 생각하고 찾아갈건아니지만 이 가격에 이양에 이 맛이면 너무나 만족스러웠다. ⁣
⁣
흥분한 우리는 다시 직원회의를 통해 열심히 해서 돈 많이 벌어서 일주일에 2번씩은 먹으러오자는 결론을 내렸다. ⁣
⁣
정신적으로 힘든시기지만 먹는것이 좋아 시작한일 제대로 챙겨먹고 힘내서 잘 버텨봐야겠다!!⁣
⁣
#안재식당 #안재식당마감일기 #팔보채 #유산슬 #양장피 #깐풍기 #송화단 #고급요리 #가성비 #킹성비 #짜이요 #힘내"
삼각지역,https://www.instagram.com/explore/locations/909986/,kisang56,1월 19일,2021-01-19T08:32:44.000Z,2021년 1월 19일,"#중화객잔수 #삼각지맛집 #신상중식당
삼각지에 새롭게 떠오르는 중식당 중화객잔수 포스팅1, 비주얼도 예쁘고 맛있는 음식들이 가득하여 둘로 나눠 올린다.
.
이미 맛있다는 소문을 잔뜩 듣고 간 터라 기대를 하고 갔는데, 그 기대 이상으로 맛있었다. 요리부터 식사까지 무엇하나 빠지는게 없었다.
.
정말 많은 메뉴 먹고 왔는데 인상적이었던걸 골라 본다면 첫번째로 #팔보채 다. 매콤한 양념으로 신선한 해물이 잔뜩 들어가는데 식감 와... 첫 메뉴부터 반해버렸다. 그리고 대표메뉴인 #롤멘보샤 는 이 식당만의 해석이 들어가있는데 기존 멘보샤와 다른 느낌으로 다가온다. 이 부드러운 맛은 한번 경험해볼 필요가 있다. 식사 중에서는 #중화국밥 이 인상적이었는데 무려 볶음밥에 짬뽕국물을 얹어 주신다. 이 고소함과 얼큰함의 조합, 최고의 해장템이 될 것 같다.
.
먹고 온지 꽤 되었는데 아직도 기억에 강렬히 남아있는 중식당이다, 근처라면 무조건 추천~!"
서래향 선릉점,https://www.instagram.com/explore/locations/1747131082276552/,wonjoony,4월 19일,2021-04-18T23:05:13.000Z,2021년 4월 19일,"#foodstagram #foodporn #foodpic #foodie #instapic #먹스타그램 #술스타그램 #2차스타그램 #선릉역 #팔보채 #탕수육 #오향장육 #서래향 #서래향선릉점 #베레푸드

중앙해장에서 먹고 우린 돼지들이니까 2차로 중식 먹으러 감.
그동안 잘 먹어보지 못했던 메뉴들을 먹어보는데.
팔보채 먹고 그동안 주문 안한걸 후회했음.
연태고량과 찰떡."
전가복,https://www.instagram.com/explore/locations/338562120265909/,eunjunpapa,2020년 1월 12일,2020-01-12T10:38:30.000Z,2020년 1월 12일,"좋은 날이라 맛있는 음식 찾아왔어요.
#인천차이나타운 단골집이 있었지만 오늘은 @orrzzing 님이 추천해주신 #전가복.으로!!
.
동네에서 비싸게 주고도 맛없게 먹곤했던 중식을 오늘은 너무나도 맛있게 그리고 가성비 최고로 만날 수 있어서 너무 기쁜~~
#팔보채#탕수육#양장피#난자완스
#짬뽕#짜장면...까지...
.
그렇게 배터지게 먹고도 또 #신포국제시장.에서 닭강정 포장하러 줄서있는 중.
대단한 우리가족 ㅜㅜ"
,,grey___88,1시간 전,2021-07-31T02:17:42.000Z,2021년 7월 31일,"주말이니까...#마요새우 와 #팔보채 #아리원
.
.
#안산맛집 #안산가족외식장소 #안산가볼만한곳 #안산중국집 #테이블거리멀어요 #안산중국집포장 #안산에서뭐먹지 #안산데이트장소 #안산점심 #고잔동맛집 #고잔역맛집 #고잔동중국집 #중앙동맛집 #중앙동중국집 #안산나들이 #맞팔"
